"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","individualCount","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"11","2020-11-04 11:12:34-03","ESALQ","ESA","94727","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","Anderson, W.R.","Elias, S.I.","Kollmann, L. et al.","2279.0","1999","03","29",NA,"Brasil","Espírito Santo","Santa Tereza",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA094727","ESA094727",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:12:34-03","ESALQ","ESA","94724","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","Anderson, W.R.","Elias, S.I.","Kollmann, L. et al.","876.0","1998","10","29",NA,"Brasil","Espírito Santo","Santa Tereza",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA094724","ESA094724",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:44:47-02","IPA","IPA","76064","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","Francener, A.","Lima, D.P.","12657","1969","11","13","Southern America","Brasil","Bahia","Una","Mata da Fazenda Lagoinha","-39.0752983093262","-15.2932996749878",NA,"Árvore com aproximadamente 6m de alt. e 7cm de diâmetro. Flores amarelas com pelôs marrons.","IPA0076064",NA,"2015","08",NA,NA,"36070","auto","11",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:32:34-03","MBM","MBM","167844","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","Amorim, A.M.","Amorim, A.M.; et al.; et al.","1568",NA,NA,NA,"Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,"MBM167844","MBM167844",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:32:34-03","MBM","MBM","164361","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","Amorim, A.M.","Amorim, A.M.; et al.; et al.","1262",NA,NA,NA,"Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,"MBM164361","MBM164361",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:32:34-03","MBM","MBM","238389","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","Amorim, A.M.","Kollmann, L.; et al.; et al.","708",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Santa Teresa","Santo Antônio","-40.6002998352051","-19.9356002807617",NA,NA,"MBM238389","MBM238389",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"17","2014-09-17 05:30:00-03","MO","MOBOT","2841721","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","W>R. Anderson","André M. Amorim|Sérgio C. de Sant'Ana|Jomar G. Jardim|Edgar B. dos Santos|José L. Hage","Amorim 1262","1993","4","14","South America","Brazil","Bahia",NA,"Município de Una, Reserva Biológica do Mico-Leáo (IBAMA) Entrada no km 46 da Rod. BA-001 Ilhéus ? Una. Regláo da Mata Higrófila Sul balana. Coletas efetudas na estrada que leva a sede da reserva.","-39.0833333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"18","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","19464",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","W.R. Anderson/2009","R.R. Vervloet; et al","1682","2003","01","21",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Árvore com 22m, frutos imaturos de cor verde, meia encosta, dossel 15m, altitude 870m.","MBML019464","MBML019464",NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","23769",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","W.R. Anderson/2009","L. Kollmann; et al","7327","2005","01","26",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Henrique","-40.553889","-19.836389",NA,"Árvore 16m. DAP 40cm. Frutos verdes.","MBML023769","MBML023769",NA,NA,"40W33'14","19S50'11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","7394",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","R.F. Almeida/III-2013","L. D. Thomaz","982","1993","07","27",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Altura 7m, PAP 20cm, caule interno branco, externo róseo.","MBML007394","MBML007394",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","7743",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","S. I. Elias/2005","L. Kollmann; E. Bausen & W. Pizziolo","666","1998","10","06",NA,"Brasil","Espírito Santo","Santa Teresa","Aparecidinha","-40.593889","-19.973056",NA,"Mata de encosta, arvoreto 13m. DAP 15cm. Fuste 4m. Flores brancas e verdes.","MBML007743","MBML007743",NA,NA,"40W35'38","19S58'23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","7744",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","André M. Amorim/1998","L. Kollmann; E. Bausen & W. Pizziolo","708","1998","10","07",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Chapada. Mata baixa. Árvore 10m. DAP 20cm. Fuste 8m. Flores brancas.","MBML007744","MBML007744",NA,NA,"40W35'21","19S55'20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","8683",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","André M. Amorim/X-2004","L. Kollmann; E. Bausen & W. Pizziolo","876","1998","10","29",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Chapada. Mata baixa. Árvore 10m. DAP 24cm. Fuste 7m. Flores brancas e rosas.","MBML008683","MBML008683",NA,NA,"40W35'21","19S55'20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","8839",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","S. I. Elias/2005","L. Kollmann; E. Bausen & W. Pizziolo","905","1998","11","09",NA,"Brasil","Espírito Santo","Santa Teresa","Aparecidinha","-40.593889","-19.973056",NA,"Mata de baixada. Árvore 11m. DAP 22cm. Fuste 8m. Flores brancas e amarelas.","MBML008839","MBML008839",NA,NA,"40W35'38","19S58'23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9371",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","André M. Amorim/X-2004","L. Kollmann; E. Bausen & W. Pizziolo","1256","1998","12","08",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Chapada, mata baixa. Árvore 8m. DAP 22cm. Fuste 6m. Frutos verdes.","MBML009371","MBML009371",NA,NA,"40W35'21","19S55'20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9962",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","S. I. Elias/2005","L. Kollmann; E. Bausen & W. Pizziolo","2279","1999","03","29",NA,"Brasil","Espírito Santo","Santa Teresa","Aparecidinha","-40.593889","-19.973056",NA,"Arvore 18m. DAP 24cm. Fuste 4m. Frutos brancos.","MBML009962","MBML009962",NA,NA,"40W35'38","19S58'23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","14798",NA,"Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R. Anderson","M. Sobral, 2013","L. Kollmann; et al","3476","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.8908004760742","-18.7549991607666",NA,"Arvoreto 8m. DAP 20cm. Fuste 6m. Botões brancos.","MBML014798","MBML014798",NA,NA,NA,NA,"36480","auto",NA,NA,NA,NA,NA,NA,NA
"28","2019-10-07 09:31:45-03","UEFS","HUEFS","17941","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson",NA,"Amorim, A.M.","1568","1993","11","28",NA,"Brasil","Bahia","Una",NA,"-39.083333","-15.15",NA,NA,"HUEFS0017941","HUEFS0017941",NA,NA,"39W5'","15S9'",NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA
"29","2019-10-07 09:31:45-03","UEFS","HUEFS","17951","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson",NA,"Amorim, A.M.","1262","1993","04","14",NA,"Brasil","Bahia","Una",NA,"-39.083333","-15.15",NA,NA,"HUEFS0017951","HUEFS0017951",NA,NA,"39W5'","15S9'",NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA
"30","2019-10-07 09:31:45-03","UEFS","HUEFS","188768","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson",NA,"Matos, E.N.de","2814","2011","10","31",NA,"Brasil","Bahia","Valença","Estrada para Maricultura Bahia","-38.998333","-13.285556",NA,"Restinga. Floresta.","HUEFS0188768","HUEFS0188768",NA,NA,"38W59'54''","13S17'8''",NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA
"31","2020-07-23 12:10:47-03","CEPLAC","CEPEC","124011","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","V. Demuner","3724","2007","04","19",NA,"Brasil","Espírito Santo","leopoldina","Bragança, mata do Tyrol, prop.Lúcio Tomazini.","-40.549444","-20.136944",NA,NA,NA,NA,NA,NA,"40W32'58","20S8'13",NA,NA,NA,NA,NA,"04/12/2013",NA,NA,NA
"32","2020-07-23 12:10:47-03","CEPLAC","CEPEC","128372","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. M Amorim","D. Rocha","1120","2010","05","18",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita, área da fitossociologia.","-39.566111","-15.395833",NA,"Coleta testemunho do inventário na RPPN Serra Bonita (Rocha & Amorim 2011). Indivíduo nº P10-42",NA,NA,NA,NA,"39W33'58","15S23'45",NA,NA,NA,NA,NA,NA,"500","500",NA
"33","2020-07-23 12:10:47-03","CEPLAC","CEPEC","140648","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"Sem Informação","Lopes, L.C.M.","367","2012","04","12",NA,"Brasil","Bahia","UNA",NA,"-39.121944","-15.155278",NA,NA,NA,NA,NA,NA,"39W7'19","15S9'19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-23 12:10:47-03","CEPLAC","CEPEC","57991","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","O. J. Pereira","2285","1990","11","28",NA,"Brasil","Espírito Santo","SETIBA","Setiba/Guarapari.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/12/2013",NA,NA,NA
"35","2020-07-23 12:10:47-03","CEPLAC","CEPEC","58243","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. M. Amorim","A. M. Amorim","1262","1993","04","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão (REBIO). Entrada KM 46 BA-001 Ilheus/Uma. Estrada para sede da Reserva.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,NA,NA,"30/06/1993",NA,NA,NA
"36","2020-07-23 12:10:47-03","CEPLAC","CEPEC","7857","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"W. R. Anderson","R. S. Pinheiro","1691","1979","04","04",NA,"Brasil","Bahia","santa luzia","Rod. p/ Canavieiras.","-39.3342018127441","-15.4294004440308",NA,NA,NA,NA,NA,NA,NA,NA,"33804","auto",NA,NA,NA,"30/12/1983",NA,NA,NA
"37","2020-07-23 12:10:47-03","CEPLAC","CEPEC","3516","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"W. R. Anderson","S. G. da Vinha","53","1967","12","13",NA,"Brasil","Bahia","ubaitaba","Rod. Ubaitaba/Maraú.","-39.323299407959","-14.3125",NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","27575","auto",NA,NA,NA,"30/12/1982",NA,NA,"Paratipo"
"38","2020-07-23 12:10:47-03","CEPLAC","CEPEC","27619","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. M. Amorim","S. A. Mori","13806","1981","04","28",NA,"Brasil","Bahia","UNA","Arredores Fazs. Maruim e Dois de Julho, 33Km ao SW Olivença. Rod. Olivença/Buerarema.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,"30/12/2012",NA,NA,NA
"39","2020-07-23 12:10:47-03","CEPLAC","CEPEC","5275","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"W. R. Anderson","T. S. dos Santos","479","1969","11","10",NA,"Brasil","Bahia","UNA","Faz. São Rafael. Obs. Coleção de madeira.","-39.0752983093262","-15.2932996749878",NA,"<ll>dwc_commonname:</ll> Mucambo-roxo",NA,NA,NA,NA,"0W0'0","0S0'0","36070","auto",NA,NA,NA,"30/12/1982",NA,NA,"Holótipo"
"40","2020-07-23 12:10:47-03","CEPLAC","CEPEC","89411","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"Amorim, A. M.","A. Martini","106","1999","03","25",NA,"Brasil","Bahia","UNA","Reserva Biológica de Una. Piedade.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,"39W8'78","15S10'66","36070","auto",NA,NA,NA,"06/12/2013",NA,NA,NA
"41","2020-07-23 12:10:47-03","CEPLAC","CEPEC","84273","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. M. Amorim","A. M. de Carvalho","6843","1980","01","09",NA,"Brasil","Bahia","UNA","Reserva Biologica do Mico-leão (REBIO). (IBAMA).Entrada no KM 46 BA-001 Ilheus/Uma.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,"30/12/2003",NA,NA,NA
"42","2020-07-23 12:10:47-03","CEPLAC","CEPEC","97480","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","A. M. Amorim","3354","2000","02","23",NA,"Brasil","Espírito Santo","LINHARES","Sooretama. Reserva Florestal Vale do Rio Doce, CVRD.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Muricí-branco",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,"04/12/2013",NA,NA,NA
"43","2020-07-23 12:10:47-03","CEPLAC","CEPEC","84014","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","L. Kollmann","2279","1999","03","29",NA,"Brasil","Espírito Santo","SANTA TERESA","Aparecidinha, terreno de L. Bringhenti.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"05/12/2013",NA,NA,NA
"44","2020-07-23 12:10:47-03","CEPLAC","CEPEC","83997","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","L. Kollmann","905","1998","11","09",NA,"Brasil","Espírito Santo","SANTA TERESA","Aparecidinha. Terreno de Luiz Bringhenti.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"05/12/2013",NA,NA,NA
"45","2020-07-23 12:10:47-03","CEPLAC","CEPEC","102611","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","R. R. Vervloet","1682","2003","01","21",NA,"Brasil","Espírito Santo","SANTA TERESA","Nova Lombardia, Reserva Biológica Augusto Ruschi, divisa, represa.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"02/12/2013",NA,NA,NA
"46","2020-07-23 12:10:47-03","CEPLAC","CEPEC","84013","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","L. Kollmann","876","1998","10","29",NA,"Brasil","Espírito Santo","SANTA TERESA","santo Antonio. Tereno do Bosa.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"05/12/2013",NA,NA,NA
"47","2020-07-23 12:10:47-03","CEPLAC","CEPEC","83953","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","L. Kollmann","1256","1998","12","08",NA,"Brasil","Espírito Santo","SANTA TERESA","Santo Antônio. Tereno do Bosa.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"04/12/2013",NA,NA,NA
"48","2020-07-23 12:10:47-03","CEPLAC","CEPEC","79901","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. M. Amorim","L. Kollmann","708","1988","11","09",NA,"Brasil","Espírito Santo","SANTA TERESA","Santo Antonio. Terreno do Boza.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"30/12/1998",NA,NA,NA
"49","2020-07-23 12:10:47-03","CEPLAC","CEPEC","132193","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"A. Francener","L. Kollmann","7327","2005","01","26",NA,"Brasil","Espírito Santo","SANTA TERESA","Santo Henrique, beira de estrada.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"05/12/2013",NA,NA,NA
"50","2019-11-21 10:08:10-03","IBt","SP","267549","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","Amorim, AM","Amorim, AM; Sant'Ana, SC; Jardim, JG; Santos, EB; Hage, JL","1262","1993","04","14",NA,"Brasil","Bahia","Una","Reserva Biológica do Mico-leão, Entrada no Km 46 da Rod. BA-001 Ilhéus/Una. Estrada que leva à sede da reserva","-39.083333","-15.15",NA,"Árvore ca. 10 m alt. Folhas algo discolores, face superior verde-escura brilhante, inferior verde-pálido. Frutos imaturos verdes, cálice verde com pêlos castanhos, glândulas verdes","SP013870","SP013870","1993",NA,"-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
