"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","sex"
"11","2020-06-29 11:32:08-03","UFRJ","RFA","3189","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Delitsch",NA,NA,"Alemanha",NA,"Leipzig",NA,NA,NA,NA,"RFA31946",NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:33:02-03","EAO","IAN","108275","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Mason, HL","13581",NA,NA,NA,NA,NA,NA,NA,NA,"IAN108275",NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1545068","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Spegazzini CL",NA,"Southern America","Argentina","Buenos Aires",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1545068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1545068",NA,"Alismatales",NA,"L.",NA,"1902","01","19",NA,NA,"NL-U1545068",NA,NA,"Magnoliopsidae","U 0098909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:33:18-03","MN","R","216904","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Netto, L.S.M.",NA,NA,"França",NA,NA,NA,NA,NA,NA,"R010002718",NA,NA,NA,"L.",NA,"1864","06",NA,NA,NA,"R010002718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:33:18-03","MN","R","216905","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","s.col.","4200",NA,"Alemanha",NA,"Hanover",NA,NA,NA,NA,"R010002717",NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,"R010002717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:33:18-03","MN","R","217061","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Podpera, J.","1186 a",NA,"República Tcheca","Moravia Orient-Merid","Uhersky Ostroh","Písek",NA,NA,"Flora Exsiccata Reipublicae Bohemicae Slovenicae","R010002720",NA,NA,NA,"L.",NA,"1933","07","21",NA,NA,"R010002720","170","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:33:18-03","MN","R","232402","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Fontana, A.P.; Souza, E.; Pimenta, W.A.; Marques, C. & Tavares, R.","7229",NA,"Brasil","Pernambuco","Cabrobó","Barragem Marí Lote 1. Área prioritária para conservação: CA-459-Vale do Sertão Central-Insuficientemente conhecida",NA,NA,NA,"R010036305",NA,NA,NA,"L.","Siqueira-Filho, J.A.","2010","10","23",NA,"-8.307222","R010036305","350","350",NA,NA,"2011","08","12","039°19'49,00W","08°18'26,00S",NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:33:18-03","MN","R","109390","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Mason, H.L.","13581",NA,"Califórnia","Condado de Merced",NA,"Alkaline Grasslands of the San Joaquin Valley. Alkaline stream, 5 miles north of volta Merced County",NA,NA,"Marsh Plant Survey of California. California Divison of Fish na Game, Federal Aid in Wildlife Restoration, Porject of California 20-R, in Cooperation with the Herbarium of the University of California","R010002713",NA,NA,NA,"L.",NA,"1948","06","29",NA,NA,"R010002713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:33:18-03","MN","R","191884","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Mello Mattos, A.M.",NA,NA,"Brasil",NA,NA,NA,NA,NA,"Herbarium of the University of Alabama","R010002715",NA,NA,NA,"L.","Haynes, R.R.","1897","08",NA,NA,NA,"R010002715",NA,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:33:18-03","MN","R","216111","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Bove, C.P.; Philbrick, C.T. & Philbrick, P.K.B.","2342",NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,"R010002716",NA,NA,NA,"L.",NA,"2012","07","04","-39.327083","-8.518778","R010002716","330","330",NA,NA,NA,NA,NA,"39°19'37,5W","8°31'7,6S",NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:33:18-03","MN","R","216902","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Bonjean, J.",NA,NA,"Turquia",NA,"Sabandja",NA,NA,NA,NA,"R010002741",NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,"R010002741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:33:18-03","MN","R","216903","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Suza, J.","1186",NA,"Republica Theca","Moravia Occid","Trebie","in piscina Podhorník prope stationem viae ferratae Studenec",NA,NA,"Flora Exsiccata Reipublicae Bohemicae Slovenicae","R010002740",NA,NA,NA,"L.",NA,"1928","06","30",NA,NA,"R010002740","430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:33:18-03","MN","R","232397","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Pimenta, W.A. ; Bassos, F.A.","24",NA,"Brasil","Ceará","Jati","Área de ampliação do Reservatório Engenheiro Ávidos",NA,NA,NA,"R010036300",NA,NA,NA,"L.","Campelo, M.J.A.","2010","09","25","-38.891889","-7.620889","R010036300","406","406",NA,NA,"2011","08","23","038°53'30,80W","07°37'15,20S",NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:33:18-03","MN","R","232398","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Ferreira,, J.V.A.; Fabricante, J.R.; Oliveira, A. & Couto, R.S.","118",NA,"Brasil","Pernambuco","Cabrobó","Ilha da Assunção, porção noroeste da Ilha, propriedade de seu Francisco",NA,NA,NA,"R010036301",NA,NA,NA,"L.","Cotarelli, V.M.","2011","08","17","-39.327056","-8.51875","R010036301","322","322",NA,NA,"2012","10","03","039°19'37,40W","08°31'07,50S",NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:33:18-03","MN","R","232399","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Cotarelli, V.M.; Bove, C.P.; Philbrick, C.T.; Araujo, E.S. & Sabino, J.H.F.","1894",NA,"Brasil","Pernambuco","Cabrobó","Fazenda Mari II, Açude Mari",NA,NA,NA,"R010036302",NA,NA,NA,"L.","Siqueira-Filho, J.A.","2012","07","04","-39.309167","-8.362","R010036302","339","339",NA,NA,"2011","08","02","039°18'33,00W","08°21'43,20S",NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:33:18-03","MN","R","232400","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Siqueira-Filho, J.A.; Araujo, E.S.; Lima, I.F.; Cotarelli, V.M. & Souza, E.","2547",NA,"Brasil","Pernambuco","Parnamirim","Açude entre Montes (DNOCS). Área prioritária para conservação: CA-459-Vale do Sertão Central-Insuficientemente conhecida.",NA,NA,NA,"R010036303",NA,NA,NA,"L.","Siqueira-Filho, J.A.","2011","07","30","-39.939861","-8.149389","R010036303","387","387",NA,NA,"2011","08","25","039°56'23,50W","08°08'57,80S",NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:33:18-03","MN","R","232401","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Oliveira, M.; Souza, E. & Pimenta, W.A.","5201",NA,"Brasil","Pernambuco","Ibimirim","Açude Poço da Cruz. Ilha do Muliguim, morada de Dona tranquilidade",NA,NA,NA,"R010036304",NA,NA,NA,"L.","Siqueira-Filho, J.A.","2010","10","30","-37.616194","-8.393139","R010036304","441","441",NA,NA,"2011","08","12","037°36'58,30W","08°23'35,30S",NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:33:18-03","MN","R","232403","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Fontana, A.P.; Marques, C. & Rodrigues, G.","6911",NA,"Brasil","Tocantins","São Félix do Tocantins","Parque Estadual do Jalapão, Cachoeira da Prata. Área prioritária para conservação: CP-471- Chapada do Sudoeste do Piauí, Maranhão e Tocantins-1 - Extremamente alta.",NA,NA,NA,"R010036306",NA,NA,NA,"L.",NA,"2010","06","18","-46.495556","-10.136278","R010036306","523","523",NA,NA,NA,NA,NA,"046°29'44,00W","10°08'10,60S",NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:33:18-03","MN","R","31512","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Moreira, C.; Siqueira, E.",NA,NA,"Brasil","Minas Gerais","Jaguará",NA,NA,NA,"Herbarium of the University of Alabama","R010002711",NA,NA,NA,"L.","Haynes, R.R.","1899","02",NA,NA,NA,"R010002711",NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:33:18-03","MN","R","42173","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus subsp.pusillus","Glaziou, A.F.M.; Galvão, F.R.",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Gabinete de Botânica da Escola Polytechnica, 5876; Herb. J. de Saldanha","R000042173",NA,NA,"subsp.pusillus","L.","Haynes, R.R.","1881","09","09",NA,NA,"R000042173_001",NA,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:33:18-03","MN","R","216906","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus var.berchtoldii","Schoenau, K. von",NA,NA,"Alemanha",NA,"Oberbayern",NA,NA,NA,"Herbarium Karl von Schoenau","R010002721",NA,NA,"var.berchtoldii","(Fieber) Nyman",NA,"1904","07","03",NA,NA,"R010002721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:33:18-03","MN","R","30739","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Drouet, F.","2583",NA,"Brasil","Ceará","Maranguape","Açude Columinjuba",NA,NA,"Comissão Technica de Piscicultura do Nordeste do Brasil. University of Missouri. Ex Herb. Gray. Herbarium of the University of Alabama","R010002712",NA,NA,NA,"L.","Haynes, R.R.","1935","10","09","-38.6856002807617","-3.89083003997803","R010002712",NA,NA,NA,NA,"1997",NA,NA,NA,NA,"40608","auto",NA,NA,NA,NA
"33","2021-01-14 15:33:18-03","MN","R","121877","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus subsp.pusillus","Lutz, A.","1282",NA,"Brasil","Bahia","Ilhéus","Lagoa do Almeida",NA,NA,"Herbário Adolpho Lutz. Herbarium of the University of Alabama","R010002714",NA,NA,"subsp.pusillus","L.","Haynes, R.R.","1917","08","08","-39.0494003295898","-14.7889003753662","R010002714",NA,NA,NA,NA,"1998",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA
"34","2021-01-14 15:33:18-03","MN","R","3","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Ule, E.H.G.","4505",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","perto de Jacarepaguá",NA,NA,NA,"R010002707",NA,NA,NA,"L.","Haynes, R.R.","1897","11",NA,"-43.2075004577637","-22.9027996063232","R010002707",NA,NA,NA,NA,"1997",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"35","2020-11-19 10:25:08-03","CPAP","CPAP","5549","PreserverdSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Ferreira, C. J. A.","11",NA,"Brasil","MS","Miranda","Rio Salobra",NA,NA,"Submersa. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: . SUBSTRATO: fundo arenoso. RELEVO: .",NA,NA,NA,NA,"L.",NA,"1988","08","08","-56.3782997131348","-20.2406005859375",NA,NA,NA,NA,NA,"1996","08","30",NA,NA,"92112","auto",NA,NA,NA,NA
"36","2014-09-22 09:03:16-03","FEMACT","MIRR","11897","S","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Henry-Silva, G. .G.","s.n.",NA,"Brasil","Rio Grande do Norte","Apodi","Reservatório de Santa Cruz, 5º48'44 S, 37º49'49 W.",NA,NA,NA,NA,NA,NA,NA,"L.","Schültz Rodrigues, R.","2013","11","25","-37.7989","-5.66417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32753","auto",NA,NA,NA,NA
"37","2019-11-29 11:33:12-03","IPA","IPA","10834","S","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Phipps, J.B.","759","Africa","Zimbabwe","Southern Rhodesia","Urungwe","Sanyati River near junction of River Fulechi. In pools in river. Abundant. River very low.",NA,NA,NA,"IPA0010834","Plantae",NA,NA,"L.",NA,"1957","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-27 13:26:30-03","IAP","PACA-AGP","40317","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rambo, B.",NA,NA,"Brasil","RS","Porto Alegre","Vila Manresa",NA,NA,"Habitat: In palude, submersa Fenofase: estéril","PACA040317","Magnoliophyta","Najadales",NA,"L.","Rodrigo Schütz Rodrigues","1949","01","29","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Liliatae",NA,"2000","02",NA,NA,NA,"29946","auto",NA,NA,NA,NA
"39","2019-08-27 13:26:30-03","IAP","PACA-AGP","38922","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rambo, B.",NA,NA,"Brasil","RS","Porto Alegre","Vila Manresa",NA,NA,"Habitat: In palude , submersa Fenofase: estéril","PACA038922","Magnoliophyta","Najadales",NA,"L.","Rodrigo Schütz Rodrigue","1949","01","29","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Liliatae",NA,"2000","02",NA,NA,NA,"29946","auto",NA,NA,NA,NA
"40","2019-08-27 13:26:30-03","IAP","PACA-AGP","26093","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rambo, B.",NA,NA,"Brasil","RS","Quaraí","Faz. do Jarau",NA,NA,"ICN; Junto tem material de Potamogeton polygonus Cham. Et Schlecht. det. por Rodrigues, R.S. 02.2000 Habitat: In palude submersa Fenofase: flor","PACA026093","Magnoliophyta","Najadales",NA,"L.","Rodrigues, R.S.","1945","01",NA,"-56.4514007568359","-30.3875007629395",NA,NA,NA,"Liliatae",NA,"2000","02",NA,NA,NA,"74636","auto",NA,NA,NA,NA
"41","2019-08-27 13:26:30-03","IAP","PACA-AGP","596","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rambo, B.",NA,NA,"Brasil","RS","Esteio",NA,NA,NA,"Habitat: In rivulo paludoso submersa Fenofase: estéril","PACA000596","Magnoliophyta","Najadales",NA,"L.","R. Schütz Rodrigues","1932","11","16","-51.17919921875","-29.861400604248",NA,NA,NA,"Liliatae",NA,"2000","02",NA,NA,NA,"7214","auto",NA,NA,NA,NA
"42","2019-08-27 13:26:30-03","IAP","PACA-AGP","45804","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rambo, B.",NA,NA,"Brasil","RS","Farroupilha","Santa Rita",NA,NA,"Habitat: In rivulo fluitans Fenofase: estéril","PACA045804","Magnoliophyta","Najadales",NA,"L.","Rodrigo Schütz Rodrigues","1950","02","07","-51.3478012084961","-29.2250003814697",NA,NA,NA,"Liliatae",NA,"2000","02",NA,NA,NA,"19545","auto",NA,NA,NA,NA
"43","2021-04-07 11:48:00-03","UFMS","CGMS","57354","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","V.J. Pott; A. Pott","7907",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro, cerca de 6Km leste da sede; sub-região da Nhecolândia, Pantanal.",NA,NA,"Flor ausente. Fruto ausente. Material em solução Transeau. Habitat: Salina. Solo arenoso. Relevo plano. Frequente. Habito: Erva aquática submersa.","CGMS1087279",NA,NA,NA,"L.",NA,"2005","08","15","-56.2216667","-19.5566667",NA,"110","110",NA,NA,NA,NA,NA,"-56,2216667","-19,5566667",NA,NA,NA,NA,NA,NA
"44","2021-04-07 11:48:00-03","UFMS","CGMS","75050","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","C.J.A. Ferreira","13",NA,"Brasil","Mato Grosso do Sul","Miranda","2 Km embocadura acima no Rio Salobra.",NA,NA,"Flor não vista. CPAP - 5552. Habitat: Rio de água corrente e transparente. Solo arenoso calcífera (conchifera). Habito: Submersa fixa.","CGMS1107918",NA,NA,"pusillus","L.","V.J. Pott","1988","10","15","-56.3782997131348","-20.2406005859375",NA,NA,NA,NA,NA,"1996","08","30",NA,NA,"92112","auto",NA,NA,NA,NA
"45","2019-11-27 13:52:11-03","UFS","ASE","33583","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Santos, MH; Lino, JB","119","Southern America","Brasil","Sergipe","Amparo de São Francisco","Lagoa dos Campinhos",NA,NA,"Inflorescência branca-amarelada, submersa.","ASE0006040","Magnoliophyta",NA,NA,"L.","Santos, MH","2014","09","03","-36.929444","-10.134167",NA,"12","12",NA,NA,NA,NA,NA,"-36.929444","-10.134167",NA,NA,NA,NA,NA,NA
"46","2019-11-27 13:52:11-03","UFS","ASE","30655","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Eiten, G; Eiten, LT; Mimura, I","5990","Southern America","Brasil","São Paulo","Iepê","Fazenda C.A.P.I., 2 Km due N of Rio Paranapanema & 7 km e of Porto Alvorada. Near Lagoa da cima (also called Lagoa Seca) ; in artificial canal ca. 3m wide.",NA,NA,NA,"ASE0002246","Magnoliophyta",NA,NA,"L.","Haynes, RR","1965","02","09","-51.07","-22.44","ASE0002246",NA,NA,NA,NA,"1997",NA,NA,"-51.07","-22.44",NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:20:43-03","UNICAMP","UEC","94693","S","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Faria, AD; Matsumoto, K; Galvão, JC; Belinello, R","97/380",NA,"Brazil","São Paulo","Apiaí","Estrada de terra Apiaí-Ribeirão Branco, a ca 4 km da cidade.",NA,NA,"Em riacho, submerso.","UEC024359","Liliopsida",NA,NA,"L.","Rodrigues, RS","1997","02","25","-48.616111","-24.444167","UEC024359",NA,NA,NA,NA,"2000","02",NA,"-48.616111","-24.444167",NA,NA,NA,NA,NA,NA
"48","2019-08-20 10:01:45-03","UNICAMP","UEC","117245","S","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Rodrigues, RS; Flores, AS","795",NA,"Brazil","Rio Grande do Sul","Arroio do Sal","Em arroio ca. 20 cm de profundidade, água transparente, substrato arenoso.",NA,NA,"Plantas com folhas submersas, espigas com flores submersas.","UEC006956","Liliopsida",NA,NA,"L.","Rodrigues, RS","1998","10","20","-49.8889007568359","-29.551399230957","UEC006956",NA,NA,NA,NA,"1998",NA,NA,NA,NA,"15157","auto",NA,NA,NA,NA
