"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","typeStatus","relatedCatalogItem","sex"
"11","2021-01-14 15:26:43-03","MN","R","102431","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Silveira, A.; Rabello, C. & Magalhaes, H.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Comissão Geográfica e Geológica de Minas.",NA,"93","1895","12",NA,NA,NA,"R010028972,R010028973",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:44-03","MN","R","105776","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Smith, L.B.; Segadas-Vianna, F.; Vattimo, I.; Silva, L.S.O.; Dau, L.; Machline, G.C. & Costa, J.A.F.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"6480","1952","04","10",NA,NA,"R010028970,R010028971",NA,"2014",NA,NA,NA,NA,"500","500",NA,NA,NA,NA,NA
"13","2021-01-14 15:26:44-03","MN","R","105780","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Smith, L.B.; Segadas-Vianna, F.; Vattimo, I.; Silva, L.S.O.; Dau, L.; Machline, G.C. & Costa, J.A.F.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"6479","1952","04","10",NA,NA,"R010028968,R010028969",NA,"2014",NA,NA,NA,NA,"500","500",NA,NA,NA,NA,NA
"14","2021-01-14 15:26:44-03","MN","R","205272","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Oliveira, M.C.; Machado, A.F.P.; Pederneiras, L.C.; Paula, L.H.A.; Barros, R.R.; Rodrigues, A.C.L.N. & Souza, T.S.","Brasil","Rio de Janeiro","Quissama",NA,"-41.432933","-22.089833",NA,NA,NA,NA,"1152","2005","05","03",NA,NA,"R010028980,R010028981",NA,"2014",NA,"41°25.976'W","22°05.390'S",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:26:44-03","MN","R","213911","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Guedes, M.L.","Brasil","Rio de Janeiro",NA,NA,"-42.894667","-22.964833",NA,NA,NA,NA,"19590","2012","04","07",NA,NA,"R010028965",NA,"2014",NA,"42°53, 68'W","22°57,89'S",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:44-03","MN","R","218470","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Segadas -Vianna, F.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"5051","1950","04",NA,NA,NA,"R010028990,R010028993,R010028992",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:44-03","MN","R","218528","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Castellanos, A.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1958","01","17",NA,NA,"R010028943",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:26:44-03","MN","R","218945","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Almeida, M.C. ; Moura, R.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"32","2013","08","28",NA,NA,"R010028939,R010028940",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:26:44-03","MN","R","218947","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Almeida, M.C.","Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico","-43.211251","-22.961315",NA,NA,NA,NA,"39","2013","08","30",NA,NA,"R010028987",NA,"2014",NA,"-43.211251","-22.961315",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:26:44-03","MN","R","223942","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.",NA,"Almeida, M.C.; Beatriz Neves","Brasil","São Luiz do Paraitinga",NA,"Parque Estadual da Serra do Mar, Núcleo Santa Virginia. Na beira do lago(trilha prainha) ao lado do alojamento.",NA,NA,NA,NA,NA,NA,"110","2015","02","02",NA,NA,"R010028953,R010028954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:44-03","MN","R","30774","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Ule, E.H.G.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1895","08",NA,NA,NA,"R010028984,R010028985,R010028986",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:26:44-03","MN","R","91113","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Sampaio, A.J.","Brasil","Rio de Janeiro","Campos",NA,NA,NA,NA,NA,NA,NA,"8455","1939","08",NA,NA,NA,"R010028977,R010028978",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-16 08:05:17-03","MN","R","240034","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Cardoso, W.C.","Cardoso, W.C.; Silva, L.A.","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447",NA,"Cactaceae da Região Serrana Central do Espírito Santo","auto","328","2015","03","05",NA,NA,"R010072084","R010072084","2015","03",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-31 13:37:06-03","MN","R","232425","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Cardoso, W.C.","Cardoso, W.C.; Thomaz, L.D. & Pope, A.B.","Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863","48150",NA,NA,"auto","386","2015","10","21",NA,NA,"R010037008",NA,"2015","10","4.065.802W","2.037.076S","21",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-16 08:05:17-03","MN","R","240020","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Cardoso, W.C.","Cardoso, W.C.; Dal col, A.C.S.; Pope, A.B. & Majevsky, A.J.","Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863","48150",NA,"Cactaceae da Região Serrana Central do Espírito Santo","auto","339","2015","08","07",NA,NA,"R010072047","R010072047","2015","08","-40.65942W","-20.37449S","07","830","830",NA,NA,NA,NA,NA
"26","2021-01-14 15:26:43-03","MN","R","102428","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Brandao, F.","Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455","30417",NA,"Comissão Geográfica e Geológica de Minas.","auto","2298","1847","05",NA,NA,NA,"R010028974,R010028975,R010028976",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:26:44-03","MN","R","224003","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","670","2013","10","16",NA,NA,"R010028950",NA,"2014",NA,NA,NA,NA,"27","27",NA,NA,NA,NA,NA
"28","2021-01-14 15:26:44-03","MN","R","224851","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Silva, A.G.O.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","667","2013","10","09",NA,NA,"R010028959",NA,"2014",NA,NA,NA,NA,"29","29",NA,NA,NA,NA,NA
"29","2021-01-14 15:26:44-03","MN","R","224864","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Gonzaga, D.R.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","664","2013","10","09",NA,NA,"R010028956,R010028957",NA,"2014",NA,NA,NA,NA,"29","29",NA,NA,NA,NA,NA
"30","2021-01-14 15:26:44-03","MN","R","224865","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Gonzaga, D.R.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","669","2013","10","16",NA,NA,"R010028962",NA,"2014",NA,NA,NA,NA,"29","29",NA,NA,NA,NA,NA
"31","2021-01-14 15:26:44-03","MN","R","224869","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","662","2013","10","09",NA,NA,"R010028958",NA,"2014",NA,NA,NA,NA,"29","29",NA,NA,NA,NA,NA
"32","2021-01-14 15:26:44-03","MN","R","224485","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","663","2013","10","09",NA,NA,"R010028948,R010028949",NA,"2014",NA,NA,NA,NA,"28","28",NA,NA,NA,NA,NA
"33","2021-01-14 15:26:44-03","MN","R","224897","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Gonzaga, D.R.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","646","2013","09","23",NA,NA,"R010028955",NA,"2014",NA,NA,NA,NA,"20","20",NA,NA,NA,NA,NA
"34","2021-01-14 15:26:44-03","MN","R","224900","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Gonzaga, D.R.","Silva, A.G.O.","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","666","2013","10","09",NA,NA,"R010028960,R010028961",NA,"2014",NA,NA,NA,NA,"29","29",NA,NA,NA,NA,NA
"35","2021-01-14 15:26:44-03","MN","R","198962","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Silva, I.M.; Oliveira, M.C.; Moreira, F.F.; Accardo, M.A.P.; Souza, A.T. & Souza, P.T.","Brasil","Rio de Janeiro","Quissama",NA,"-41.4721984863281","-22.1067008972168","33509",NA,NA,"auto","705","2000","09","13",NA,NA,"R010028982",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-14 15:26:44-03","MN","R","218525","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Braga, H.N.","Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686","17620",NA,NA,"auto","3735","2002","07","06",NA,NA,"R010028944",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-01-14 15:26:44-03","MN","R","218587","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Taylor, N.P.","Scheinvar, L.; Avon, A.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","6335","1996","03",NA,NA,NA,"R010028936",NA,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-01-14 15:26:44-03","MN","R","189445","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Freitas, M.F.; Araujo, D.S.D. & Sarahyba, L.S.","Brasil","Rio de Janeiro","Saquarema",NA,"-42.5102996826172","-22.9200000762939","17036",NA,NA,"auto","215","1991","03","26",NA,NA,"R010028966,R010028967",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:26:44-03","MN","R","91036","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Dusén, P.K.H.","Brasil","Rio de Janeiro","Rio de Janeiro","Campo Grande","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","2",NA,NA,NA,NA,NA,"R010028983",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-01-14 15:26:44-03","MN","R","218522","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Costa, J.A.F.; Silva, J.G.","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,"1995","12","19",NA,NA,"R010028951,R010028952",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-14 15:26:44-03","MN","R","218940","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Almeida, M.C.","Almeida, M.C. ; Costa, L.M. & Santos, F.B.","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto","14","2013","03","19",NA,NA,"R010028937,R010028938",NA,"2014",NA,"44°34.836'","22°28.395'",NA,"490","490",NA,NA,NA,NA,NA
"42","2021-01-14 15:26:44-03","MN","R","224866","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Gonzaga, D.R.","Silva, A.G.O.; Lacerda, R.W.","Brasil","Rio de Janeiro","Magé","Santo Aleixo","-43.040599822998","-22.6527996063232","20531",NA,NA,"auto","62","2011","05","02",NA,NA,"R010028964",NA,"2014",NA,NA,NA,NA,"195","195",NA,NA,NA,NA,NA
"43","2021-01-14 15:26:44-03","MN","R","91046","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Brade, A.C.","Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,"1928","09",NA,NA,NA,"R010028979",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-01-14 15:26:44-03","MN","R","30771","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Brade, A.C.","Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,"1928","10",NA,NA,NA,"R010028988,R010028989",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-01-14 15:26:44-03","MN","R","22143","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Brade, A.C.","Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","10418","1928",NA,NA,NA,NA,"R010028941,R010028942",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-01-14 15:26:44-03","MN","R","218530","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.","Rente, J.A.; Rente, E.C.","Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,"1957","10","11",NA,NA,"R010028945,R010028946,R010028947",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-01-14 15:26:44-03","MN","R","224847","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Silva, A.G.O.","Silva, A.G.O.","Brasil","Rio de Janeiro","Duque de Caxias","Taquara","-43.3116989135742","-22.7856006622314","34388",NA,NA,"auto","155","2011","09","03",NA,NA,"R010028963",NA,"2014",NA,NA,NA,NA,"184","184",NA,NA,NA,NA,NA
"48","2019-02-15 11:35:54-02","IPA","IPA","27153","S","Plantae","Plantae",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.C.","Grupo Flora Pedra do Cavalo","Brasil","Bahia","Cachoeira","Vale dos Rios Paraguaçu e Jacuípe","-39.083333","-12.533333",NA,NA,"Epífita, áfila com caule cilíndrico. Inflorescência cauliflora com botões branco-esverdeado e flores alvas.",NA,"931","1980","11",NA,"Southern America",NA,"IPA0027153",NA,"1999","12","-39.083333","-12.533333",NA,"40","120",NA,NA,NA,NA,NA
"49","2020-12-20 21:16:31-03","UFV","VIC","15104","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.C.","Valente, G.E.; Basílio, L.A.","Brasil","Minas Gerais","Coimbra","Serra de São Geraldo, Próximo à Rorovia Viçosa - Ubá. Remanescente de mata primária.","-42.8027992248535","-20.8567008972168","10161",NA,"Epífita sobre Cariniana legalis O. Kuntz.; de 30 metros de altura, derrubada, com perímetro medindo 4,52 metros a 4,0 metros do solo e 4,0 metros a 10 metros do solo.","auto","139","1995","10","11",NA,NA,"VIC015104","VIC015104","2004","07",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA
"50","2020-12-20 21:16:31-03","UFV","VIC","2435","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","Zappi, D.C.; Machado, M.","Kuhlmann, J.G.","Brasil","Minas Gerais","Viçosa","E. S. A. V.","-42.8819007873535","-20.7539005279541","13937",NA,NA,"auto","s.n.","1935","01","25",NA,NA,"VIC002435","VIC002435","2004","07",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA
"51","2019-11-21 14:33:08-03","UFJF","CESJ","71582","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","D.R. Gonzaga","D.R. Gonzaga; P.N. Gonzaga; E.C. Gonzaga; A. Balbino-Júnior","Brasil","Minas Gerais","Barbacena","entrada da Comunidade dos Fernandes, Km 19, sentido Santa Bárbara do Tugúrio","-43.7736015319824","-21.2257995605469","27982",NA,"Epífita a ca.3m, pericarpelo verde, flores creme alvacentas. Pouco frequente.","auto","618","2015","10","10","América do Sul",NA,"CESJ071582",NA,"2015","10",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA
"52","2019-11-21 14:33:08-03","UFJF","CESJ","58783","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K. Schum.","D.S. Pifano","F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Juiz de Fora","Jardim Botânico da UFJF","-43.3502998352051","-21.7642002105713","36144",NA,"Epífita, flores alvas e em botão. No caminho para a ponte da Av. Brasil, na mata.","auto","2811","2010","09","23","América do Sul",NA,"CESJ058783",NA,"2012","03",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA
