"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"11","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","14165",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","P. Fiaschi/jan.2011","L. Kollmann; et al","3528","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.8908004760742","-18.7549991607666",NA,"Erva 80cm. Flores brancas.","MBML014165",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36480","auto",NA,NA,NA
"12","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","46225",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","J.L. Costa Lima/29-V-2014","L. Kollmann; A. P. Fontana","12721","2013","05","29",NA,"Brasil","Espírito Santo","Castelo","ES 379","-41.184700012207","-20.6035995483398",NA,"Erva 1m ao sol, flores brancas","MBML046225",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA
"13","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","37329",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","P. Fiaschi/jan.2011","L. Kollmann; & A.P.Fontana","11493","2009","01","27",NA,"Brasil","Espírito Santo","Afonso Claudio","Estrada Garrafão-Vila Pontões","-41.1239013671875","-20.0741996765137",NA,"Erva 1 m no sol, flores amarelas.","MBML037329",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25110","auto",NA,NA,NA
"14","2019-11-13 11:27:50-03","USP","SPF","200952","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Fiaschi, P","Kollmann, L","11493","2009","01","27",NA,"Brasil","Espírito Santo","Afonso Cláudio",NA,"-41.1239013671875","-20.0741996765137",NA,NA,"SPF00200952",NA,"2011",NA,NA,NA,NA,NA,NA,NA,"25110","auto",NA,NA,NA
"15","2019-11-13 11:27:50-03","USP","SPF","109276","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Lourteig, A","Hatschbach, G","55581","1991","06","17",NA,"Brasil","Espírito Santo","Afonso Cláudio","Barra do infância.","-41.1239013671875","-20.0741996765137",NA,"Ereta, flor alvescente. Mata da margem de rio encachoeirado; junto a rochas.","SPF00109276",NA,NA,NA,NA,NA,NA,"600","600","paratype","25110","auto",NA,NA,NA
"16","2019-11-13 11:27:50-03","USP","SPF","191469","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Fiaschi, P","Simonelli, M","1150","2007","04","21",NA,"Brasil","Espírito Santo","Atilio Vivacqua","Serra das Torres","-41.198299407959","-20.9141998291016",NA,NA,"SPF00191469",NA,"2010","02",NA,NA,NA,"520","520",NA,"17154","auto",NA,NA,NA
"17","2019-11-13 11:27:50-03","USP","SPF","197776","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Lourteig, A","Brade, AC","19904","1949","05","26",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim",NA,"-41.1128005981445","-20.8488998413086",NA,NA,"SPF00197776",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35694","auto",NA,NA,NA
"18","2019-11-13 11:27:50-03","USP","SPF","197777","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Fiaschi, P","Brade, AC","18484","1946","05","28",NA,"Brasil","Espírito Santo","Itaguaçu","Jatiboca, na beira do rio.","-40.855598449707","-19.8019008636475",NA,NA,"SPF00197777",NA,"2010","03","24",NA,NA,NA,NA,"isotype","26990","auto",NA,NA,NA
"19","2019-11-13 11:27:50-03","USP","SPF","191465","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Fiaschi, P","Kollmann, L","8677","2006","02","24",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"SPF00191465",NA,"2011","04",NA,NA,NA,"850","850",NA,"23813","auto",NA,NA,NA
"20","2019-10-25 14:22:32-03","UEFS","HUEFS","205250","PreservedSpecimen","Plantae","Angiospermae","Oxalidales","Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","T.S.Costa","Snak, C.","1114","2014","02","16",NA,"Brasil","Minas Gerais","Caratinga","APA Pedra de Itaúna","-42.122222","-19.804167",NA,NA,"HUEFS0205250","HUEFS0205250 HUEFS0205250_e1","2019","10",NA,"42W7'20''","19S48'15''","912","912",NA,NA,NA,NA,NA,"Rosanae"
"21","2019-11-01 15:07:30-03","UnB","UB","192549","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Lourteig, A","Brade, AC","19904","1949","05","26","Southern America","Brasil","Espírito Santo",NA,"Cachoeira do Itapemirim - Fazenda Santo Antonio da Pedra Branca",NA,NA,NA,"Erva 50-70cm, folhas alvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:07:30-03","UnB","UB","192552","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Fiaschi, P","Brade, AC; Altamiro; Duarte, AP","18484","1946","05","28","Southern America","Brasil","Espírito Santo","Itaguaçu","Jatiboca, na beira do rio.","-40.855598449707","-19.8019008636475",NA,"Flores alvas, subarbusto 0,50 - 0,70 centimetros de altura.",NA,NA,"2010","03","24",NA,NA,NA,NA,"isotype","26990","auto",NA,NA,NA
"23","2020-08-20 14:58:42-03","UFSC","FLOR","62567","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","P. Fiaschi","Fiaschi, P.","4661","2016","06","05",NA,"Brasil","Espírito Santo","Afonso Cláudio","Estrada de terra de Pontões para Garrafão, ca. 4,5 km de Pontões.","-41.023611","-20.184167",NA,"Subarbusto bastante delgado, até 2 m alt., comum na beira da estrada, na orla da mata. Flores com sépalas esverdeadas a vináceas e pétalas alvas, com máculas alaranjadas na fauce. Frutos imaturos verde-claros, com sépalas verdes, pass","FLOR0062567",NA,"2016","02",NA,"41º1'25''W","20º11'3''S",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-08-20 14:58:42-03","UFSC","FLOR","63424","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","T.S. Costa","Costa, T.S.; Fiaschi, P.; Zorzanelli, J.P.F.; Vaio, M.","119","2017","02","16",NA,"Brasil","Espírito Santo","Castelo","Estrada de Castelo para o Parque Estadual do Forno Grande. Acesso por Bateia/Apeninos, ramal à esq., ca. 2,6 km.","-41.149444","-20.586944",NA,"Grande população da espécie, com indivíduos com até 2 m de altura. Folhas trifolioladas agrupadas em dois ou mais pseudoverticilos ao longo do caule. Flores brancas, com estrias alaranjadas na fauce da corola e calice verde/violáceo.","FLOR0063424",NA,"2017","02",NA,"41º8'58''W","20º35'13''S","458","458",NA,NA,NA,NA,NA,NA
"25","2020-08-20 14:58:42-03","UFSC","FLOR","63425","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","T.S. Costa","Costa, T.S.; Fiaschi, P.; Rocha, D.; Vaio, M.","115","2017","02","11",NA,"Brasil","Minas Gerais","Caratinga","APA da Pedra Itaúna. Orla de floresta na encosta da Pedra. Fazenda do Marquinho, divisa com a propriedade do Rafa, próxima à cerca de arame farpado e de uma grande pedra.","-42.12","-19.805",NA,"Subarbusto ca. 60 cm de altura. Folhas trifolioladas agrupadas em dois ou mais pseudoverticilos ao longo do caule. Flores brancas, com estrias alaranjadas na fauce da corola. Fruto globoso. Material preparado com álcool 90%","FLOR0063425",NA,"2017","02",NA,"42º7'12''W","19º48'18''S","943","943",NA,NA,NA,NA,NA,NA
