"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"27","2019-05-06 11:54:37-03","UFU","HUFU","35409","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Forzza, R.C.","Forzza, R.C.; Scalon, V.R. & Lopes, A.V.","2080",NA,"Brasil","Minas Gerais","Reserva Bilógica da Represa do Grama, Em paredão próximo a mata.",NA,"Folhas com até 1,2 m de comprimento, bainhas 30 X 30 cm. Escapo verde ca. de 1,4 m. de comprimento. Brácteas do escapo semelhantes às folhas com base vinácea. Brácteas de primeira ordem verde-claras com ápice vináceo. Brácteas verde","HUFU00025820","(Carrière) Harms","2002","03","03","Descoberto","-42.9674987792969","-21.4596996307373","HUFU00025820",NA,"11991","auto","2002","05",NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 16:27:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","imperialis","Vriesea imperialis",NA,"Glaziou, AFM","13262",NA,"?",NA,"loco non indicato et sine floribus distribuit",NA,"Floret Novembri. (V. s. spont. in herb. Berol., Brux., Petrop., Warming. et cult. in herb. Leod. et Vindob.)",NA,"E.Morren",NA,NA,NA,NA,NA,NA,"P03P3N0105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 16:27:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","imperialis","Vriesea imperialis",NA,"Glaziou, AFM","15469","Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro in Organensium montium tractu",NA,NA,NA,"E.Morren",NA,NA,NA,"Rio de Janeiro","-43.21","-22.9","P03P3N0105",NA,NA,NA,NA,NA,NA,"-43.21","-22.9",NA,NA,NA,NA,NA
"30","2019-11-21 10:02:30-03","IBt","SP","382056","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM; Miller, I","222",NA,"Brasil","Rio de Janeiro","Macaé de Cima, Sítio do Sr. Pedro.",NA,NA,"SP050763","(Carrière) Harms","2005","11","20","Nova Friburgo","-42.496833","-22.369139","SP050763",NA,NA,NA,"2005","11",NA,"-42.496833","-22.369139",NA,NA,NA,"1300","1300"
"31","2019-11-21 10:02:30-03","IBt","SP","382056a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM; Miller, I","222",NA,"Brasil","Rio de Janeiro","Macaé de Cima, Sítio do Sr. Pedro.",NA,NA,"SP050764","(Carrière) Harms","2005","11","20","Nova Friburgo","-42.496833","-22.369139","SP050764",NA,NA,NA,"2005","11",NA,"-42.496833","-22.369139",NA,NA,NA,"1300","1300"
"32","2019-11-21 10:02:30-03","IBt","SP","382057","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM; Miller, I","221",NA,"Brasil","Rio de Janeiro","Macaé de Cima, Sítio do Sr. Pedro.",NA,NA,NA,"(Carrière) Harms","2005","11","20","Nova Friburgo","-42.496833","-22.369139",NA,NA,NA,NA,"2005","11",NA,"-42.496833","-22.369139",NA,NA,NA,"1300","1300"
"33","2019-11-21 10:02:30-03","IBt","SP","399696","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM","453",NA,"Brasil","Rio de Janeiro","Serra da Estrela, Estrada velha Rio-Petrópolis, Meio da Serra.",NA,NA,NA,"(Carrière) Harms","2007","12","29","Petrópolis","-43.17725","-22.535861",NA,NA,NA,NA,"2007",NA,NA,"-43.17725","-22.535861",NA,NA,NA,"799","799"
"34","2019-11-21 10:02:30-03","IBt","SP","399697","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM","452",NA,"Brasil","Rio de Janeiro","Serra da Estrela, Estrada velha Rio-Petrópolis, Meio da Serra.",NA,NA,NA,"(Carrière) Harms","2007","12","29","Petrópolis","-43.17725","-22.535861",NA,NA,NA,NA,"2007",NA,NA,"-43.17725","-22.535861",NA,NA,NA,"799","799"
"35","2019-11-21 10:02:30-03","IBt","SP","399698","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM","451",NA,"Brasil","Rio de Janeiro","Serra da Estrela, Estrada velha Rio-Petrópolis, Meio da Serra.",NA,NA,"SP050772","(Carrière) Harms","2007","12","29","Petrópolis","-43.17725","-22.535861","SP050772",NA,NA,NA,"2007",NA,NA,"-43.17725","-22.535861",NA,NA,NA,"799","799"
"36","2019-11-21 10:02:30-03","IBt","SP","399698a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM","451",NA,"Brasil","Rio de Janeiro","Serra da Estrela, Estrada velha Rio-Petrópolis, Meio da Serra.",NA,NA,"SP050773","(Carrière) Harms","2007","12","29","Petrópolis","-43.17725","-22.535861","SP050773",NA,NA,NA,"2007",NA,NA,"-43.17725","-22.535861",NA,NA,NA,"799","799"
"37","2019-11-21 10:02:30-03","IBt","SP","444425","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Krieger, L","15531",NA,"Brasil","Minas Gerais",NA,NA,NA,"SP050762","(Carrière) Harms","1946","10","27","Juiz de Fora","-43.3502998352051","-21.7642002105713","SP050762",NA,"36144","auto","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:02:30-03","IBt","SP","401940a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Ferreira, FM; Viana, PL; Salimena, FRG","996",NA,"Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,NA,"SP050771","(Carrière) Harms","2006","03","08","Lima Duarte","-43.793098449707","-21.8425006866455","SP050771",NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:02:30-03","IBt","SP","401940","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Ferreira, FM; Viana, PL; Salimena, FRG","996",NA,"Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,NA,"SP050770","(Carrière) Harms","2006","03","08","Lima Duarte","-43.793098449707","-21.8425006866455","SP050770",NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:02:30-03","IBt","SP","396357","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Forzza, RC; et al.","3202",NA,"Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Gruta dos Moreiras.",NA,NA,"SP050769","(Carrière) Harms","2004","03","11","Lima Duarte","-43.793098449707","-21.8425006866455","SP050769",NA,"30417","auto","2008",NA,NA,NA,NA,NA,NA,NA,"1650","1650"
"41","2019-11-21 10:02:30-03","IBt","SP","382062","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM; Calvente, AM","215",NA,"Brasil","Rio de Janeiro","Distrito de Lumiar, Toca da Onça, Sítio do Sr. Zeli, em frente à Igreja Assembléia de Deus.",NA,NA,"SP050768","(Carrière) Harms","2005","11","16","Nova Friburgo","-42.5311012268066","-22.2819004058838","SP050768",NA,"33190","auto","2005","11",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:02:30-03","IBt","SP","397483a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Martinelli, G","Martinelli, G; Miller, D","14799",NA,"Brasil","Rio de Janeiro","Macaé de Cima, Pedra da Ventania.",NA,NA,"SP050775","(Carrière) Harms","1992","12","22","Nova Friburgo","-42.5311012268066","-22.2819004058838","SP050775",NA,"33190","auto","2007","06","04",NA,NA,NA,NA,NA,"1200","1200"
"43","2019-11-21 10:02:30-03","IBt","SP","397483","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Martinelli, G","Martinelli, G; Miller, D","14799",NA,"Brasil","Rio de Janeiro","Macaé de Cima, Pedra da Ventania.",NA,NA,"SP050774","(Carrière) Harms","1992","12","22","Nova Friburgo","-42.5311012268066","-22.2819004058838","SP050774",NA,"33190","auto","2007","06","04",NA,NA,NA,NA,NA,"1200","1200"
"44","2019-11-21 10:02:30-03","IBt","SP","397591","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM","450",NA,"Brasil","São Paulo","Jardim Botânico, Cultivada na Seção de Plantas Ornamentais, sem procedência exata.",NA,NA,NA,"(Carrière) Harms","2007","11","27","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:02:30-03","IBt","SP","382097","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM","266",NA,"Brasil","São Paulo","Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta de Terezópolis - RJ (sem confirmação).",NA,NA,"SP050765","(Carrière) Harms","2006","01","10","São Paulo","-46.6300010681152","-23.5400009155273","SP050765",NA,"53584","auto","2006","01",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:02:30-03","IBt","SP","382063","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM","214",NA,"Brasil","São Paulo","Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta em Juiz de Fora-MG (sem confirmação).",NA,NA,"SP050766","(Carrière) Harms","2005","10","31","São Paulo","-46.6300010681152","-23.5400009155273","SP050766",NA,"53584","auto","2005","11",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:02:30-03","IBt","SP","382063a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Versieux, LM","Versieux, LM","214",NA,"Brasil","São Paulo","Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta em Juiz de Fora-MG (sem confirmação).",NA,NA,"SP050767","(Carrière) Harms","2005","10","31","São Paulo","-46.6300010681152","-23.5400009155273","SP050767",NA,"53584","auto","2005","11",NA,NA,NA,NA,NA,NA,NA,NA
