"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","day","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","individualCount","sex"
"11","2021-02-11 17:20:51-03","UFPR","UPCB","86955","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb. Rodr.) Pridgeon & M.W. Chase","Toscano de Brito, A.L.V.","3560","2016","07","Brasil","sem localidade",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"Cultivada por M. Klingelfus s.n.. Amostra conservada em solução de glicerina com álcool..",NA,NA,"Toscano de Brito, A.L.V.","2016","09","15",NA,NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1718139","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb. Rodr.","Israel G. Vargas C.|et al.","Vargas Caballero 3178",NA,NA,"Bolivia","Santa Cruz","Florida","PARQUE NACIONAL AMBORÓ; laderas de Los Toros, 10 Km al NE de las instalaciones de Achira Camping. Bosque húmedo con Juglans cf. boliviana y otras sp. de Myrtáceas y Lauráceas. Terreno muy accidentado, laderas intervenido por ganadería y algunos chacos aislados.",NA,NA,NA,NA,NA,"-63.75","-18.11666",NA,NA,NA,NA,"R. Vásquez '94",NA,NA,NA,"1800.00000000","2000.00000000","South America",NA,NA,NA,NA
"13","2013-08-29 10:35:00-03","MO","MOBOT","1744993","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb. Rodr.","Roberto Vásquez","Vásquez C. 1231","1990","4","Bolivia","Santa Cruz","Florida",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"1",NA
"14","2012-04-24 11:27:00-03","MO","MOBOT","2839256","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb. Rodr.","Per Dusén","Dusén 17010","1915","2","Brazil","Paraná",NA,"Morungava praedisun haud procul abjtarare app. situm in silvea etc.,.",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,"Pabst",NA,NA,NA,"740.00000000",NA,"South America",NA,NA,"1",NA
"15","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","24598",NA,"Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","L. Kollmann; et al","7902","2005","07","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","41W6'2","20S31'9","MBML024598","09",NA,"-41.100556","-20.519167",NA,"Epifita na sombra. Flores vermelhas.","MBML024598",NA,"G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","26229",NA,"Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","L. Kollmann; et al","8875","2006","04","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","41W6'2","20S31'9","MBML026229","28",NA,"-41.100556","-20.519167",NA,"Epífita na sombra. Flores vináceas.","MBML026229",NA,"G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","46947",NA,"Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","A. P. Fontana; K.A. Brahim & L.C. Bissoli","3491","2007","06","Brasil","Espírito Santo","Itaguaçu","Serra do Caparaó. Fundo de Vale","40W58'24","19S44'52","MBML046947","06",NA,"-40.973333","-19.747778",NA,"Epífita na sombra. Sépalas verdes com máculas vináceas. Fruto verde. Projeto CORES - Conservação das Orquídeas em risco de extinção.","MBML046947",NA,"G.B. Bortolan/Jan.-2020",NA,NA,NA,"1280","1280",NA,NA,NA,NA,NA
"18","2020-09-04 16:57:03-03","MBML","MBML-HERBARIO","48005",NA,"Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","J.P.F. Zorzanelli","988","2014","04","Brasil","Espírito Santo","Castelo","Caxixe Frio, próximo ao Parque Estadual de Forno Grande. Área de regeneração natural, aparentemente conservada","41W4'20","20S29'41","MBML048005","10",NA,"-41.072222","-20.494722",NA,"Epífita com botões vináceos e verdes com manchas. Frutos verdes","MBML048005",NA,"G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","38409",NA,"Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","D.R. Couto","91","2004","04","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões",NA,NA,"MBML038409","27",NA,"-41.3664016723633","-21.0641994476318","29430","Epífita. Flores vinho, fechada com pequena fissura na lateral. Jardim dos Pontões, Mata de cima, próximo ao córrego.","MBML038409","auto","G.B. Bortolan/Jan.-2020",NA,NA,NA,"850","850",NA,NA,NA,NA,NA
"20","2021-03-25 13:53:01-03","UNIVILLE","JOI","14998","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Mancinelli, W.S.","953","2009","07","Brasil","Paraná","Ponta Grossa","Vila Velha.",NA,NA,"JOI014998","28",NA,"-50.1618995666504","-25.0949993133545","46557","; HABITO: Epífita",NA,"auto","Mancinelli, W. S.","2009","07","28",NA,NA,NA,NA,NA,NA,NA
"21","2021-02-12 15:02:21-03","UFSCar","SPSC","7286","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","A.W.C. Ferreira",NA,"2005","03","Brasil","São Paulo","São Carlos","Represa 29.","9999","9999",NA,"17",NA,NA,NA,NA,"Ripicola",NA,NA,"A.W.C. Ferreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb.Rodr.","Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais",NA,"Habitat in sylvis humidis supra truncos Myrtaceae secus Rio Correnteza ad Carmo do Rio Claro, et in sylvis secus Rio das Antas ad Cachoeira Grande prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P03P4N0100",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"23","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","renipetala","Pleurothallis renipetala","(Barb.Rodr.) Cogn.","Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais",NA,"Habitat in ,,cerrados supra arbores secus flum. Correnteza tribut. flum. Sapucahy ad Carmo do Rio Claro, et secus flum. Parahyybuna prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P03P4N0100",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"24","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","renipetala","Pleurothallis renipetala","(Barb.Rodr.) Cogn.","Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais",NA,"in arboribus locis humidis secus flum. Rio de Correnteza",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P03P4N0100",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"25","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","renipetala","Pleurothallis renipetala","(Barb.Rodr.) Cogn.","Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais",NA,"in arboribus locis humidis secus flum. Rio de Correnteza prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P03P4N0100",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"26","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","renipetala","Pleurothallis renipetala","(Barb.Rodr.) Cogn.","Regnell, AF","2021",NA,NA,"Brazil","Minas Gerais","Caldas","in arboribus prope Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,"-46.3861","-21.9236","25710","Floret Februario - Martio","P03P4N0100","auto",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"27","2019-11-21 10:12:48-03","IBt","SP","33195","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Mello, JS","s.n.","1935","05","Brasil","São Paulo","Espraiado","Fazenda N.S. da Glória",NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,"Barros, F","2005","04","04",NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:12:48-03","IBt","SP","27077","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Gehrt, A","s.n.",NA,NA,"Brasil","São Paulo","Amparo","Cultivada em São Paulo (Pinheiros), fl. XII/1930",NA,NA,NA,NA,NA,"-46.7599983215332","-22.7000007629395","18036",NA,NA,"auto","Barros, F","2005","04","04",NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:12:48-03","IBt","SP","39559","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Gehrt, A","s.n.","1938","06","Brasil","São Paulo","Botucatu","Fazenda Oito Pontas",NA,NA,NA,"23",NA,"-48.439998626709","-22.8799991607666","40412",NA,NA,"auto","Barros, F","2005","04","04",NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:12:48-03","IBt","SP","55065","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Pires, AS","s.n.","1948","07","Brasil","São Paulo","Limeira",NA,NA,NA,NA,"12",NA,"-47.4000015258789","-22.5599994659424","20999",NA,NA,"auto","Barros, F","2005","04","04",NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:12:48-03","IBt","SP","47108","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Handro, O","s.n.","1937","03","Brasil","São Paulo","São Paulo","Jardim Botânico",NA,NA,NA,"28",NA,"-46.6300010681152","-23.5400009155273","53584",NA,NA,"auto","Barros, F","2005","04","04",NA,NA,NA,NA,NA,NA,NA
"32","2020-03-18 18:40:09-03","AMES","HU-HERB","AMES 02083943","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","renipetala","Pleurothallis renipetala","(Barbosa Rodrigues) Cogniaux","A. Gehrt","39559","1938","6","Brazil","São Paulo",NA,"Botucatú, Mata da Faz. Oito Pontas.",NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","39559","Sheet",NA,"undetermined"
