"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00984793","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","7642","1964","10","31","South America","Brazil","Goiás","Ca. 40 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.78","-17.27","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984793","NY00984793_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","600498","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","R. H. Fortunato","I. Mimura","315","1962","02","27","South America","Brazil","São Paulo","Ca. 9,9 km SSE em linha reta da praça principal de Sâo José dos Campos","-45.88","-23.1703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600498","NY00600498_01","Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00984676","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Mato Grosso","Prov. Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984676","NY00984676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00984789","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","9683","1965","10","29","South America","Brazil","Distrito Federal","vicinity of city dump and TV tower.","-47.9","-15.8","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984789","NY00984789_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00984620","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","17895","1966","06","28","South America","Brazil","Goiás","Ca. 45 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","-51.77","-17.28","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984620","NY00984620_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00984834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","25335a","1970","01","24","South America","Brazil","Goiás","Contraforte Central, Serra do Facão, ca. 40 km N.E. of Catalão.","-47.68268","-17.91116","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984834","NY00984834_01","Catalão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00984713","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","8331","1965","09","15","South America","Brazil","Distrito Federal","Ca. 10 km E. of Brasília, near Rio Torto.","-47.87","-15.72","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984713","NY00984713_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00984714","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","8547","1965","09","22","South America","Brazil","Distrito Federal","Asa Sul.","-47.908","-15.817","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984714","NY00984714_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-10-21 18:30:00-02","NY","NYBG","7865","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","fusiforme","Eriosema crinitum fusiforme","(Rusby) Grear","J. W. Grear","M. Bang","427a","1890",NA,NA,"South America","Bolivia",NA,"Vicinity La Paz. Alt. 10000 ft.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007865","NY00007865_01",NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00984679","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"J. F. Ramos","R. & S.47","1967","10",NA,"South America","Brazil","Mato Grosso","Collected near the base camp of the expedition (c. 270 km N of Xavantina)","-51.87","-12.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984679","NY00984679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00984642","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"H. S. Irwin","16154","1966","05","27","South America","Brazil","Mato Grosso","Ca. 175 km. N. of Xavantina. Serra do Roncador.","-51.8","-13.18","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984642","NY00984642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00984644","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"H. S. Irwin","16321","1966","05","31","South America","Brazil","Mato Grosso","Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984644","NY00984644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00984638","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"H. S. Irwin","6557","1964","10","02","South America","Brazil","Mato Grosso","Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984638","NY00984638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00984806","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","12335","1966","02","08","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984806","NY00984806_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","607937","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","22083","1969","01","16","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 25km S. of Diamantina on road to Gouveia",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607937","NY00607937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01019685","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","24667","1969","03","19","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km south of Alto Paraíso, road to São João de Aliança","-47.52","-14.28","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132226' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019685","NY01019685_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-27 05:26:00-03","NY","NYBG","607942","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato","R. H. Fortunato","G. Davidse","15634","1979","02","23","South America","Venezuela","Apure","Distrito Pedro Camejo, eastern side of the Galeras de Cinaruco, near the southern end, ca. 47 airline km NE of Puerto Páez","-67.27","6.6","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00984788","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","9683","1965","10","29","South America","Brazil","Distrito Federal","vicinity of city dump and TV tower.","-47.9","-15.8","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984788","NY00984788_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","600497","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear Jr.","I. Mimura","521","1962","08","28","South America","Brazil","São Paulo","Ca. 9,8km SSE em linha reta da praça principal de Sâo José dos Campos","-45.88","-23.1703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600497","NY00600497_01","Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00984711","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","7289","1964","10","24","South America","Brazil","Goiás","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","-51.7","-17.3","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984711","NY00984711_01","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00984850","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","8388","1965","09","16","South America","Brazil","Distrito Federal","Córrego Capoeira do Bálsamo, ca. 10 km. E. of Brasília","-47.9294","-15.7797","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984850","NY00984850_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00984735","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","9018","1965","10","07","South America","Brazil","Distrito Federal","Ca. 1.5 km E. of Sobradinho","-47.80271","-15.6333","1115","1115","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984735","NY00984735_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01019676","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","10732","1965","11","30","South America","Brazil","Goiás","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019676","NY01019676_01","Abadiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01450929","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","R. C. Barneby","M. G. Vieira","788","1979","10","30","South America","Brazil","Rondônia","A 4 km de Vilhena","-60.17","-12.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1380373' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450929","NY01450929_01","Vilhena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00984804","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","12190","1966","02","02","South America","Brazil","Distrito Federal",NA,"-47.9167","-15.7833","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984804","NY00984804_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00984742","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","25296","1970","01","24","South America","Brazil","Goiás","Contraforte Central, Serra do Facão, ca. 35 km N.E. of Catalão","-47.71609","-17.9431","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984742","NY00984742_01","Catalão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01019680","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","16633","1966","06","05","South America","Brazil","Mato Grosso","Ca. 75 km. N. of Xavantina. Serra do Roncador.","-52.12","-14.03","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019680","NY01019680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00984829","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","12777","1966","02","13","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984829","NY00984829_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00984718","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","12207","1966","02","02","South America","Brazil","Distrito Federal",NA,"-47.9167","-15.7833","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984718","NY00984718_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01019787","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","9174","1965","10","13","South America","Brazil","Distrito Federal","Between Brasília & Sobradinho","-47.83","-15.68","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137551' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019787","NY01019787_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01019658","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","10560","1965","11","19","South America","Brazil","Goiás","Serra do Rio Preto, ca. 3 km E. of Cabeceiras","-46.9553","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019658","NY01019658_01","Cabeceiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","600548","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","A. P. Fortuna Perez","I. G. Vargas Caballero","3274","1994","10","17","South America","Bolivia","Santa Cruz","Cerro Mutún, 7 km al NE de la pista de aterrizaje del campamento minero (25 km al S de Puerto Suárez)","-57.8783","-19.19","730","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=519154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600548",NA,"Chiquitos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
