"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","infraspecificEpithet","maximumElevationInMeters","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"30","2020-02-08 10:10:25-03","NBC","NL-BOTANY","U.1476861","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","R. & P.",NA,"Solomon JC","1982","11","27","Bolivia",NA,NA,"-68.1","-16.133333","-68.1","-16.133333","NL-U1476861","NL-U1476861",NA,"Piperales",NA,"Southern America","Dpto. La Paz, Prov. Murillo, 27.4 km N (below) of dam at Lago Zongo.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1476861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:10:25-03","NBC","NL-BOTANY","U.1476862","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","R. & P.",NA,"Solomon JC","1982","11","12","Bolivia",NA,NA,"-67.883333","-16.2","-67.883333","-16.2","NL-U1476862","NL-U1476862",NA,"Piperales",NA,"Southern America","Dpto. La Paz, Prov. Nor Yungas, 4.6 km below Yolosa, then 19.1 km on road up the Rio Huarinilla.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1476862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-20 21:18:50-03","UFV","VIC","10538","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","-42.6571998596191","-20.8400001525879",NA,NA,"VIC010538","VIC010538",NA,NA,"609",NA,"Fazenda das Oliveiras",NA,NA,"Erva sobre pedras,inflorescências verdes,folhas de tonalidade verde escuro, e claro na face adaxial, local úmido e sombreado.",NA,NA,NA,NA,"19783","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-12-20 21:18:50-03","UFV","VIC","10539","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","-42.6571998596191","-20.8400001525879",NA,NA,"VIC010539","VIC010539",NA,NA,"610",NA,"Fazenda das Oliveiras",NA,NA,"Erva sobre pedra,inflorescências verdes,local úmido e sombreado",NA,NA,NA,NA,"19783","auto",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:41:37-03","UFJF","CESJ","11754","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","D. Monteiro","L. Krieger; U.C. Câmara","1972","08",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"CESJ011754",NA,"Angiosperma",NA,"CESJ11754","América do Sul","Fazenda de Santana",NA,NA,"Epífita, verde-claro, folhas carnosas.",NA,NA,NA,NA,NA,NA,"2012","03",NA,NA,NA,NA,NA
"35","2019-11-21 14:41:37-03","UFJF","CESJ","60778","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","L. Menini Neto","D.E.F. Barbosa; L. Menini Neto; S.G. Furtado","2012","10","06","Brasil","Minas Gerais","Chácara","-43.182222","-21.655833","-43.182222","-21.655833","CESJ060778",NA,"Angiosperma",NA,"128","América do Sul","Fazenda Fortaleza de Santana, Interior de Floresta Estacional Semidecidual, próximo ao curso d'água","750",NA,"Interior de floresta, próximo ao curso d'água. Epífita a ca. 50cm alt. Folhas verde-escuras, inflorescência verde-escuro, matizada de castanho.",NA,"800",NA,NA,NA,NA,"2012","10","20",NA,NA,NA,NA
"36","2019-11-21 14:41:37-03","UFJF","CESJ","46284","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","E.F.Guimarães","K. Antunes; C.N. Matozinhos; N.L. Abreu; F.S. Souza; P.L. Viana","2005","11",NA,"Brasil","Minas Gerais","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,"CESJ046284",NA,"Angiosperma",NA,"209","América do Sul","Serra Negra, Cânion próximo a Gruta do Funil",NA,NA,"Epífita em local de pouca luminosidade e muita umidade. Inflorescência verde.",NA,NA,NA,NA,"20815","auto","2006","12","08",NA,NA,NA,NA
"37","2021-03-01 16:37:49-03","UNICAMP","UEC","165593","S","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Meireles, LD; et al.","2005","07","21","Brazil","Minas Gerais","Passa Quatro","-44.9667015075684","-22.3903007507324",NA,NA,"UEC068613","UEC068613","Magnoliopsida",NA,"1892",NA,"Estrada para Toca do Lobo",NA,NA,"Erva com inflorescência jovem.; Floresta montana",NA,NA,NA,NA,"17293","auto",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:37:49-03","UNICAMP","UEC","165594","S","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Meireles, LD; et al.","2005","07","21","Brazil","Minas Gerais","Passa Quatro","-44.9667015075684","-22.3903007507324",NA,NA,"UEC068611","UEC068611","Magnoliopsida",NA,"1889",NA,"Estrada para Toca do Lobo",NA,NA,"Erva com ramos avermelhados; Floresta montana",NA,NA,NA,NA,"17293","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-06-27 10:26:17-03","UFES","VIES","30979","S","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","Guimarães, E.F.","Couto, D.R.","2009","08","20","Brasil","Espírito Santo","Mimoso do Sul","-41.3664016723633","-21.0641994476318",NA,NA,"VIES030979","VIES030979",NA,NA,"1237",NA,"Pedra dos Pontões.","730",NA,NA,NA,"730",NA,NA,"29430","auto","2012",NA,NA,NA,NA,NA,NA
"40","2018-01-16 15:21:29-02","MNHN","RECOLNAT_MNHN_P","P00468111","PreservedSpecimen",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","Mathieu","Mandon, G.","1860","5",NA,"Bolivie",NA,NA,NA,NA,NA,NA,"P00468111","P00468111_01",NA,NA,NA,NA,"Province Larecaja. Vicinis Ananea, cerro de Tuisi","3150","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00468111' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1117",NA,NA,NA
"41","2015-09-03 18:40:28-03","MNHN","RECOLNAT_MNHN_P","P01633871","PreservedSpecimen",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Glaziou, A.","1868","9","10","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P01633871","P01633871_01",NA,NA,NA,NA,"Brésil. Serra des Orgnes.",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01633871' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2913",NA,NA,NA
"42","2015-09-03 18:40:28-03","MNHN","RECOLNAT_MNHN_P","P01633874","PreservedSpecimen",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Gaudichaud, C.","1833","1","1","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"P01633874","P01633874_01",NA,NA,NA,NA,"Brésil. Province de Rio-Grande.",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01633874' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1740",NA,NA,NA
"43","2015-09-03 18:40:28-03","MNHN","RECOLNAT_MNHN_P","P01633876","PreservedSpecimen",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"Glaziou","1869","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P01633876","P01633876_01",NA,NA,NA,NA,"Serra dos Orgãos, sur les arbres et les Rochers.",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01633876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2913",NA,NA,NA
