"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","county","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","dayIdentified"
"11","2020-12-11 11:45:36-03","UFMG","BHCB","19630","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Scatena, VL; Lemos Filho, JP","s.n.","1992","06","08","Southern America","Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,NA,NA,NA,NA,"Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:45:36-03","UFMG","BHCB","18900","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Stehmann, JR; et al.","s.n.","1990","10","21","Southern America","Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:45:36-03","UFMG","BHCB","10086","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Andrade, IR; Horta, MB","s.n.","1987","07","12","Southern America","Brasil","Minas Gerais","Serra do Cipó. Serra da Salitreira.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:45:36-03","UFMG","BHCB","10078","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Andrade, IR; Horta, MB","s.n.","1987","07","12","Southern America","Brasil","Minas Gerais","Serra do Cipó. Serra da Salitreira.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2009-07-27 09:37:00-03","MO","MOBOT","3002691","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Auguste F.M. Glaziou","Glaziou 19948","1892","9","30","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2014-08-23 05:35:00-03","MO","MOBOT","3003101","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22497","1969","1","23","South America","Brazil","Minas Gerais","Wet ground near creek. Deep valley, ca. 20 km S.W. of Diamantina.",NA,NA,"1200.00000000","1300.00000000",NA,NA,NA,NA,NA,"R. Kral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-03-30 12:44:00-03","MO","MOBOT","3003063","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","M.G.L. Wanderley","Wanderley 546","1982","5","15","South America","Brazil","Minas Gerais","Km 127 ao longo da rodovia Belo Horizonte- Conceição do Mato Grosso.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,"M. Garcas & L. Wanderley","Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,"1",NA,NA
"18","2019-06-10 10:11:49-03","FZB-BH","BHZB","8759","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya",NA,"Ferreira Junior, C.A. et al.","426","2012","05","14",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Com duplicata. Duplicata doada para Herbário SP",NA,NA,NA,"Confirmada M.G.L. Wanderley & J. Santos Guedes","Santana do Riacho","26557","auto",NA,"2013","07",NA,NA,NA,NA,NA
"19","2019-06-10 10:11:49-03","FZB-BH","BHZB","2199","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya",NA,"Mendonça, M.P.",NA,"1999","04","20",NA,"Brasil","MG","Serra do Cipó/ Juquinha","-43.553056","-19.257778","1326","1326",NA,NA,NA,NA,NA,"Confirmada por Wanderley,M.G.L.","Cornélio",NA,NA,NA,"2013","11","43W 33' 11","19S 15' 28",NA,NA,NA
"20","2019-06-10 10:11:49-03","FZB-BH","BHZB","2520","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya",NA,"Abreu, M.E.",NA,"2000","05","31",NA,"Brasil","MG","Serra do Cipó/KM 19 MG 010,19°15'28 S / 43°33'11 W.","-43.553056","-19.257778","1326","1326",NA,"Altitude: 1326m.",NA,NA,NA,"confirmada por M.G.L, Wanderely","Santana do Riacho",NA,NA,NA,"2013","11","43W 33' 11","19S 15' 28",NA,NA,NA
"21","2019-06-10 10:11:49-03","FZB-BH","BHZB","2492","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya",NA,"Mendonça, M.P.",NA,"2000","03","22",NA,"Brasil","MG","Serra do Cipó/ KM 118 MG 010.","-43.553056","-19.257778","1326","1326",NA,"Altitude: 1326m. Coordenadas: 19°15'28 S / 43°33'11 W.",NA,NA,NA,"confirmada por M.G.L, Wanderely","Santana do Riacho",NA,NA,NA,"2013","11","43W 33' 11","19S 15' 28",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2829751","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","B. Maguire, G. Mendes Magalhaes & C. K. Maguire","49102","1960","8","8","South America - Neotropics","Brazil","Minas Gerais","140",NA,NA,"1200","1300",NA,NA,"US01916132","US01916132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"23","2020-09-12 05:00:02-03","US","US","2587184A","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","H. S. Irwin, R. R. Santos, R. Souza & S. F. Fonsêca","22497","1969","1","23","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 20 km S.W. of Diamantina",NA,NA,"1200","1300",NA,NA,"US01916131","US01916131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"24","2021-03-15 18:30:23-03","USP","SPF","223307","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson ex Malme","Echternacht, L","2214","2012","04","07",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Travessia Serra do Cipó - Serra dos Alves. Caminho (sem trilha) entre a Casa de Tábua e Currais.","-43.495278","-19.421667","1504","1504",NA,"Folhas com arranjo flabeliformes, bainhas avermelhadas e mucilaginosas. Flores amarelas.; Campo rupestre, em brejo, vegetação herbáceo-arbustiva densa. Solo arenoso quartzítico, turfoso, encharcado.","SPF00223307",NA,NA,"Wanderley, MGL","Itambé do Mato Dentro",NA,NA,NA,"2018","04","-43.495278","-19.421667",NA,NA,NA
"25","2021-03-15 18:30:23-03","USP","SPF","211129","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson ex Malme","Zappi, DC","2083","2009","03","12",NA,"Brasil","Minas Gerais","Serra do Cipó, Trilha da Serra Morena, a Norte da Faz. Inhame.","-43.790153","-18.921103",NA,NA,NA,"Ervas com base das bainhas amarelas, bainha avermelhada, com mucilagem internamente, inflorescências jovens.; Brejo com Cephalostemon riedelianus.","SPF00211129",NA,NA,"Wanderley, MGL","Santana de Pirapama",NA,NA,NA,"2011","09","-43.790153","-18.921103",NA,NA,"01"
"26","2019-09-04 17:57:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya",NA,"A. Glaziou","19948",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"-44","-18",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA
"27","2019-11-21 10:19:59-03","IBt","SP","204484","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72959","1985","07","31",NA,"Brasil","Minas Gerais",NA,"-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,NA,NA,NA,NA,"Conceição do Mato Dentro","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:19:59-03","IBt","SP","204594","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Kral, R; Lopes, EA; Lima, E","72972","1985","07","31",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,NA,NA,NA,"Wanderley, MGL","Conceição do Mato Dentro","60318","auto",NA,"1988","05",NA,NA,NA,NA,"20"
"29","2020-12-23 08:49:04-03","IBt","SP","423644","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Guedes, JS","s.n.","2010","06","19",NA,"Brasil","Minas Gerais",NA,"-44.4308013916016","-18.7563991546631",NA,NA,NA,NA,NA,NA,NA,NA,"Curvelo","57661","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:19:59-03","IBt","SP","209528","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Filgueiras, TS; Burman, A","1088","1984","01","19",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,NA,"Wanderley, MGL","Diamantina","101169","auto",NA,"1991","07",NA,NA,NA,NA,NA
"31","2021-01-21 15:30:07-03","IBt","SP","497819","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Munhoz, CBR","7137","2010","04","01",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-30 07:49:03-03","IBt","SP","444816","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Zappi, DC","2083","2009","03","12",NA,"Brasil","Minas Gerais",NA,"-44.043098449707","-19.0060997009277",NA,NA,NA,NA,NA,NA,NA,NA,"Santana de Pirapama","43251","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-30 07:49:03-03","IBt","SP","445012","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Ferreira Jr, CA","426","2012","05","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:19:59-03","IBt","SP","245331","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Wanderley, MGL; Salimena Pires, FR","CFSC11522","1989","05","20",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:19:59-03","IBt","SP","245330","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Wanderley, MGL; Salimena Pires, FR","CFSC11521","1989","05","20",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:19:59-03","IBt","SP","221179","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Sajo, MG; Scatena, VL","CFSC11009","1988","03","29",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,"Wanderley, MGL","Santana do Riacho","26557","auto",NA,"1992",NA,NA,NA,NA,NA,NA
"37","2021-01-21 15:30:07-03","IBt","SP","497900","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson","Mota, NFO","624","2007",NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","26697","auto",NA,NA,NA,NA,NA,NA,NA,NA
