"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","dayIdentified","individualCount","infraspecificEpithet"
"11","2021-03-30 12:34:26-03","EAO","IAN","69920","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Black, GA; Magalhães, MG","12096","1951","04","05","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN069920",NA,"Barroso, GM","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:34:26-03","EAO","IAN","97677","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Fróes, RL","33253","1957","08","25","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Planta herbácea dos campos dos arredores da serra.","IAN097677",NA,"Barroso, GM","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:26-03","EAO","IAN","63343","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Pires, JM; Black, GA","2888","1951","01","16","Southern America","Brasil","Minas Gerais",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"IAN063343","IAN063343 IAN063343_e","Barroso, GM","Lagoa Santa","1984","12338","auto","02",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:35:11-03","EAO","IAN","9352","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Trichocline","angustifolia","Trichocline angustifolia","Baker","Sellow, F","1064",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN009352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-25 16:50:25-03","UFBA","ALCB","106059","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N.Roque","Roque, N; Quaresma, AS","3709","2012","09","22","Southern America","Brasil","Minas Gerais","Estrada para Barão do Guaicuí","-43.702778","-18.376944","1434","1434",NA,"até 20 cm alt. Brácteas involucrais verdes, ápice vináceo, flores (raio e disco) com corola alva.",NA,NA,NA,"Gouveia",NA,NA,NA,NA,"-43.702778","-18.376944",NA,NA,NA,NA,NA,NA
"16","2019-11-25 16:50:25-03","UFBA","ALCB","118500","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N.Roque","Roque, N; Sano, PT; Trovó, MLO; Andrino, CO; et al.","4599","2014","11","28","Southern America","Brasil","Minas Gerais","Fazenda Gavião, Baliza.","-43.713056","-17.89","1197","1197",NA,"em solo arenoso, alagado, folhas concolores. Bráteas involucrais vináceas. Flores com corola alva.; campo rupestre",NA,NA,"Roque, N","Diamantina","2014",NA,NA,"11","-43.713056","-17.89",NA,NA,NA,NA,NA,NA
"17","2019-11-25 16:50:25-03","UFBA","ALCB","122504","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","218","2015","10","01","Southern America","Brasil","Minas Gerais","estrada da terra de Diamantina a Sao Gonçalo, ao redor da casa abandonada.","-4.558333","-18.336111","1199","1199",NA,"ca. 40 cm alt. Folhas em roseta, coráceas, eretas, involutas, oblanceoladas, capítulos em corimbo, pedunculo tomentoso; capítulos radiados; brácteas vináceas; flores alvas.","ALCB007943",NA,"Barres, L","Diamantina","2015",NA,NA,"10","-4.558333","-18.336111",NA,NA,NA,NA,NA,NA
"18","2019-11-25 16:50:25-03","UFBA","ALCB","81476","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N.Roque","Roque, N; Sano, PT; Watanabe, MTC; Travó, MLO; Costa, FN","1643","2007","09","22","Southern America","Brasil","Minas Gerais","Galheiros, ca. 28km de Diamantina. Campo atrás da camunidade de Galheiros, conhecido como 'campo da sedinha'. Material para DNA","-43.6002998352051","-18.2493991851807",NA,NA,NA,"até 30 cm alt. Brácteas involucrais vinácea, flores alvas.",NA,NA,"Roque, N","Diamantina","2007","101169","auto","09",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-25 16:50:25-03","UFBA","ALCB","117600","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N.Roque","Roque, N; Sano, PT; Trovó, MLO; Costa, FN; et al.","4573","2014","11","26","Southern America","Brasil","Minas Gerais","Fazenda Alamo, Campos dos Ferreira, nascente do córrego do Sobradão.","-43.72","-17.616111","1204","1204",NA,"em solo arenoso, folhas concolores. Brácteas involucrais castanho-vináceos, flores com corola alva.; campo ruprestre",NA,NA,"Roque, N","Olhos d'Água","2014",NA,NA,"11","-43.72","-17.616111",NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:47:31-03","NBC","NL-BOTANY","WAG.1370942","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Actinoseris","angustifolia","Actinoseris angustifolia","(Gardner) Cabrera","Hatschbach GG",NA,"1978","07","25","Southern America","Brazil",NA,"Grãe Megel, 10 km O, Minas Gerais.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1370942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1370942","NL-WAG1370942",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"21","2021-03-01 16:22:50-03","UNICAMP","UEC","31538","S","Plantae","Magnoliopsida",NA,"Asteraceae","Actinoseris","revoluta","Actinoseris revoluta","Leitão","Joly, AB; Martins, FR; Semir, J; Joly, AM","FSC2580","1972","05","29",NA,"Brazil","Minas Gerais","Serra do Cipó, km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"30cm de altura. capítulos esbranquiçados.","UEC055700","UEC055700","Leitão Filho, HF","Jaboticatubas",NA,"31264","auto",NA,NA,NA,NA,"holotypus",NA,NA,NA,NA
"22","2019-08-20 10:06:34-03","UNICAMP","UEC","129815","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Lewinsohn, TM; Silva, J; Prado, P; Santos, A","PIC96758","1996","09","10",NA,"Brazil","Minas Gerais","Serra do Cipó","-43.513611","-19.243333",NA,NA,NA,NA,"UEC030696","UEC030696","Franco, IM","Santana do Riacho","2013",NA,NA,"04","-43.513611","-19.243333",NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:06:34-03","UNICAMP","UEC","129816","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Lewinsohn, TM; Silva, J; Prado, P; Santos, A","PIC96795","1996","09","11",NA,"Brazil","Minas Gerais","Serra do Cipó","-43.57","-19.298056",NA,NA,NA,NA,"UEC030695","UEC030695","Franco, IM","Santana do Riacho","2013",NA,NA,"04","-43.57","-19.298056",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:25:10-03","UNICAMP","UEC","2762","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Semir, J; Sazima, M","4279","1973","07","22",NA,"Brazil","Minas Gerais","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Capítulos claros. Altura 30 cm.","UEC129458","UEC129458","Roque, N","Jaboticatubas","1999","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:25:10-03","UNICAMP","UEC","2757","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Semir, J; Sazima, M","481","1971","12","12",NA,"Brazil","Minas Gerais","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Flores creme. Planta até 25 cm. Acaule.","UEC129459","UEC129459","Roque, N","Jaboticatubas","1999","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:06:34-03","UNICAMP","UEC","2763","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Semir, J; Sazima, M; Cássia, R","2812","1972","07","24",NA,"Brazil","Minas Gerais","Km 115 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"UEC129457","UEC129457","Roque, N","Jaboticatubas","1999","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:25:10-03","UNICAMP","UEC","2760","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","809","1972","03","04",NA,"Brazil","Minas Gerais","Km 115 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Escapo floral até 30 cm, capítulos alvos.","UEC129456","UEC129456","Roque, N","Jaboticatubas","1999","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:25:10-03","UNICAMP","UEC","2758","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Joly, AB; Semir, J; Ugadim, Y","123","1970","06","06",NA,"Brazil","Minas Gerais","Km 116 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752","1175","1175",NA,"Erva acaule, capítulos brancos.","UEC129461","UEC129461","Roque, N","Jaboticatubas","1999","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:25:10-03","UNICAMP","UEC","152844","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Moraes, MD","686","2005","03","01",NA,"Brazil","Minas Gerais","Serra do Cipó, km 112 da estrada Lagoa Santa para Conceição do Mato Dentro.","-43.8897018432617","-19.6271991729736",NA,NA,NA,"Campo rupestre, em rochas ao longo do córrego.","UEC129463","UEC129463","Moraes, MD","Lagoa Santa",NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:25:10-03","UNICAMP","UEC","142549","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Moraes, MD","687","2005","03","01",NA,"Brazil","Minas Gerais","Serra do Cipó, km 112 da estrada Lagoa Santa para Conceição do Mato Dentro.","-43.8897018432617","-19.6271991729736",NA,NA,NA,"Solo arenoso.","UEC129460","UEC129460","Moraes, MD","Lagoa Santa",NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:25:10-03","UNICAMP","UEC","118089","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Guerreiro, S; Semir, J; Sajo, MG; Belinello, R","42","2000","09","19",NA,"Brazil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,"Capítulo com lígula branca a ligeiramente lavanda.; Ambiente arenoso.","UEC129462","UEC129462","Franco, IM","Santana do Riacho","2013","26557","auto","04",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:17:05-03","MBM","MBM","30850","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","29756","1972","01","17","Southern America","Brazil","Minas Gerais","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"MBM030850",NA,"Roque, N.","Jaboticatubas",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:17:05-03","MBM","MBM","248661","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","Oliveira, J.E. de","139","1940","08","18","Southern America","Brazil","Minas Gerais","Serra do Cipó, km 130","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"MBM248661","MBM248661","Roque, N.","Jaboticatubas",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-09-04 06:09:15-03","MNHN","RECOLNAT_MNHN_P","P02418594","PreservedSpecimen",NA,NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","Sellow",NA,"1859","5","20",NA,"Brasil",NA,". Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02418594' target='other'> <mi>dwc_moreinfo</mi></a>","P02418594","P02418594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1308",NA,NA,NA
"35","2021-04-07 14:12:27-03","JBB","HEPH","7777","S","Plantae","Dicotyledon","Asterales","Asteraceae","Actinoseris","revoluta","Actinoseris revoluta","Leitão","Salles, AEH","1832","1992","04","06","Southern America","Brasil","Minas Gerais","APA, Serra do Cipo-MG.",NA,NA,NA,NA,NA,NA,NA,NA,"Roque, N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-29 17:16:15-03","UFMG","BHCB","134266","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","N.Roque","Hattori, EKO; Viana, PL; Cardoso, D; Salas, R","984","2009","10","29","Southern America","Brasil","Minas Gerais","Serra do Resplandecente - Estrada Itacambira-Juram","-43.346056","-17.040528","1181","1181",NA,"campo rupestre com afloramentos rochosos em meio a solo arenoso; erva, ca. 1 m, corolas alvas, estames amarelos, ramos do estilete alvos",NA,NA,NA,"Itacambira",NA,NA,NA,NA,"-43.346056","-17.040528",NA,NA,NA,NA,NA,NA
"37","2021-01-29 17:16:15-03","UFMG","BHCB","142215","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","N.Roque","Oliveira, CT; Stehmann, JR","309","2008","12","10","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Pico do Inficionado","-43.471111","-20.127222","1365","1365",NA,"Erva de 15 cm, inflorescências secas","BHCB025058",NA,NA,"Catas Altas","2012",NA,NA,"02","-43.471111","-20.127222",NA,NA,NA,NA,NA,NA
"38","2021-01-29 17:16:15-03","UFMG","BHCB","55595","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","N.Roque","Barreto, HLM","9407","1937","11","03","Southern America","Brasil","Minas Gerais","Arranca Rabo","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Campo úmido. Muito frequente. Herbáceo, 0,25m. Flor alva.; Herbáceo, 0,25m. Flor alva.; Campo úmido. Muito frequente.","BHCB008913",NA,NA,"Diamantina","2013","101169","auto","07",NA,NA,NA,NA,NA,"08",NA,NA
"39","2021-01-29 17:16:15-03","UFMG","BHCB","55590","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","N.Roque","Barreto, HLM","3995","1933","08","23","Southern America","Brasil","Minas Gerais","Serra do Cipó., Km 118.","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Pouco frequente. Herbáceo, 0,2m.; Campo.","BHCB008855","BHCB008855",NA,"Santa Luzia","2013","19939","auto","07",NA,NA,NA,NA,NA,"10",NA,NA
"40","2021-01-29 17:16:15-03","UFMG","BHCB","55594","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","N.Roque","Barreto, HLM; W. A. Archer","4923","1936","08","06","Southern America","Brasil","Minas Gerais","Serra do Cipó., Km 121.","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Campo úmido. Muito frequente. Herbáceo, 0,25m. Flor alva.; herbacea 0,25, campo umidos","BHCB008856",NA,NA,"Santa Luzia","2013","19939","auto","07",NA,NA,NA,NA,NA,"10",NA,NA
"41","2009-10-26 12:16:00-02","MO","MOBOT","100223680","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Gardner) Cabrera","Gert G. Hatschbach|F.J. Zelma","Hatschbach 49662","1985","9","14","South America","Brazil","Minas Gerais","Corrego do Tigre.","-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,NA,NA,"Kyi-Gyung Kim & R.K. Jansen","Gouvêia",NA,"37970","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"42","2009-10-26 12:53:00-02","MO","MOBOT","100223690","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N. Roque","Gert G. Hatschbach","Hatschbach 41538","1978","7","25","South America","Brazil","Minas Gerais","Grão Mogol, 10 km O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"43","2010-08-24 09:25:00-03","MO","MOBOT","100223691","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) N. Roque","F. Sellow","Sellow 1064","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"44","2019-06-10 10:10:21-03","FZB-BH","BHZB","9518","S","Plantae",NA,NA,"Asteraceae","Richterago","angustifolia","Richterago angustifolia",NA,"Ferreira Junior, C.A. et al.","619","2012","09","12",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo do Gerais","-43.694722","-19.035278","1233","1233",NA,"Ponto 106, 637362 7894769 1233m com duplicata, , Duplicata doada para Herbário HUFU",NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,"43W 41' 41","19S 02' 07",NA,NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","3724819","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner)","N. Roque & A. Quaresma","3709","2012","9","22","South America - Neotropics","Brazil","Minas Gerais","Planalto Diamantina, Estrada para Barao do Guaicui.","-43.7028","-18.3769","1434",NA,NA,NA,NA,NA,NA,"Gouveia",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"46","2020-09-12 05:00:02-03","US","US","3371702","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner)","N. Roque & P. Hervencio","492","1998","9","30","South America - Neotropics","Brazil","Minas Gerais","Santana do Riacho, Serra do Cipo, km 107.5 da Estrada Delo Horizonte-Conceicao do Mato Dentro (12.7 km da ponte do Rio Cipo)",NA,NA,NA,NA,NA,NA,"US01208554","US01208554_01 US01208554_02","Roque, N.",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"47","2020-09-12 05:00:02-03","US","US","3680844","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner)","N. Roque, P. T. Sano, M. Trovó, C. Andrino & et al.","4599","2014","11","28","South America - Neotropics","Brazil","Minas Gerais","Diamntina, Fazenda Gaviao, Baliza","-43.7131","-17.89","1197",NA,NA,NA,"US01622219","US01622219_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"48","2020-09-12 05:00:02-03","US","US","2569720A","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner)","H. S. Irwin, H. Maxwell & D. C. Wasshausen","20069","1968","2","14","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco; Serra do Cipo, ca. km 120 (ca. 145 km N of Belo Horizonte)",NA,NA,"1200",NA,NA,NA,"US01208555","US01208555_01 US01208555_02","Roque, N.",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"49","2020-09-12 05:00:02-03","US","US","2121754","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner)","W. A. Archer & M. Barreto","4944","1936","8","6","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo k. 121, Santa Luzia",NA,NA,NA,NA,NA,NA,"US01208556","US01208556_01 US01208556_02","Roque, N.",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
