"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount"
"12","2021-03-30 12:34:28-03","EAO","IAN","174783","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Rodrigues, IA","1667","1995","01","11","Southern America","Brasil","Pará",NA,NA,NA,"IAN174783","Dicotiledônea",NA,"(Gardner) Baker","Parauapebas","Serra dos Carajás, (CVRD). N-5.","-49.9021987915039","-6.06750011444092","147801",NA,"auto","Silva, GAR","2007","12","06",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:28-03","EAO","IAN","192606","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Lobato, LCB; Andrade, D; Chaves, PP","3621","2009","04","10","Southern America","Brasil","Pará",NA,NA,"Erva de 0,80 m de altura, inflorescência amarela.","IAN192606","Dicotiledônea",NA,"(Gardner) Baker","Redenção","Vegetação de cerrado.&nf;Projeto financiado pelo ZEE-PA.","-50.0313987731934","-8.02861022949219","64747",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-26 18:07:09-03","CPAN-UFMS","COR","8877","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Hatschbach, G.; Hatschbach, M. & Ribas, O. S.","73298","2002","05","22",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Erva ereta, 2 m de altura; capítulo amarelo Habito: Erva ereta",NA,NA,NA,"(Gardner) Baker","Caracol","Rodovia federal BR-267; próximo de Alto Caracol","-56.959722","-21.761944",NA,NA,NA,"Robinson, H.","2002",NA,NA,"56º57'35''W","21º45'43''S","441","441",NA,NA,NA
"15","2020-05-19 10:29:29-03","UFBA","ALCB","132147","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Pereira-Silva, G","15357","2010","05","26","Southern America","Brasil","Tocantins",NA,NA,"Cerrado.","ALCB048936","Dicotyledon",NA,"(Gardner) Baker","Goiatins","Estrada BR - 010 - Palmeirante (via Graçolância), Km 15","-47.751944","-8.333333",NA,"ALCB048936",NA,"Bringel Júnior, JBA","2011","12",NA,"-47.751944","-8.333333","240","240",NA,NA,NA
"16","2020-05-19 10:29:29-03","UFBA","ALCB","132968","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Bringel Júnior, JBA","281","2006","02","23","Southern America","Brasil","Tocantins",NA,NA,"Ramificado com ca 1,6m de altura, flor amarela; Cerrado","ALCB049767","Dicotyledon",NA,"(Gardner) Baker","Arraias","Estrada de Arraias para Combinado, cerca de 9km de Arraias.","-46.878611","-12.953889",NA,"ALCB049767",NA,"Bringel Júnior, JBA","2006","03",NA,"-46.878611","-12.953889","624","624",NA,NA,NA
"17","2019-10-09 11:09:48-03","UFBA","ALCB","133014","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Aquino, FG","32","2008","04","25","Southern America","Brasil","Goiás",NA,NA,"Capítulos amarelos; Campo sujo","ALCB049814","Dicotyledon",NA,"(Gardner) Baker","Barro Alto","Área da mineradora Anglo American Brasil","-49.012222","-15.096944",NA,"ALCB049814",NA,NA,NA,NA,NA,"-49.012222","-15.096944","663","663",NA,NA,NA
"18","2019-10-09 11:09:48-03","UFBA","ALCB","133129","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Reis-Silva, GA; Carrión, JF","247","2017","04","13","Southern America","Brasil","Goiás",NA,NA,"Capítulos com flores amarelas, flores do raio neutras, anteras negras.","ALCB050841","Dicotyledon",NA,"(Gardner) Baker","Niquelândia","Localidade Macedo, ca. 3 Km abaixo da mina de níquel à esquerda, margem da rodovia.","-48.384444","-14.368056",NA,NA,NA,NA,"2017","04",NA,"-48.384444","-14.368056",NA,NA,NA,NA,NA
"19","2021-02-08 21:31:45-03","UFBA","ALCB","133913","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Alves, M; Costa-Lima, JL","424","2016","04","09","Southern America","Brasil","Ceará",NA,NA,"ca. 1 m altl. Folhas discolores. Brácteas involucrais verdes. Corolas amarelas. Anteras negras.; Carrasco.","ALCB056574","Dicotyledon",NA,"(Gardner) Baker","Ubajara","Distrito de Cajueiro. Ca. 200 m ao norte da parede do açude.","-40.956389","-3.911111",NA,"ALCB056574",NA,"Alves, M","2016","04",NA,"-40.956389","-3.911111","817","817",NA,NA,NA
"20","2019-10-09 11:09:48-03","UFBA","ALCB","126523","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Guedes, ML; Guaré, F; Silveira, ER","25279","2016","11","10","Southern America","Brasil","Ceará",NA,NA,"Folhas lanceoladas, pêlos hispidos. Capítulos heteromorfos, flores do raio e do disco amarelo-ouro.","ALCB040303","Dicotyledon",NA,"(Gardner) Baker","Ibiapaba","Serra Grande, Sítio de Santa Maria.","-40.95","-3.866667",NA,"ALCB040303",NA,"Alves, M","2018","06","18","-40.95","-3.866667",NA,NA,NA,NA,NA
"21","2019-10-09 11:09:48-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Silva, JM; Barbosa, E","5001","2006","06","12","Southern America","Brasil","Mato Grosso do Sul",NA,NA,"ereto. 1 m. Capítulo amarelo.",NA,"Dicotyledon",NA,"(Gardner) Baker","Caracol","Fazenda Recreio dos Cervos","-57.0243988037109","-22.0139007568359","53879",NA,"auto","Rob., H","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 08:47:38-03","NBC","NL-BOTANY","U.1108267","PreservedSpecimen","Plantae","Compositae","Aspilia","attenuata","Aspilia attenuata",NA,"Prance GT; Rodrigues WA; Ramos JF; Farias LG",NA,"1965","11","12","Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108267 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1108267",NA,"Asterales","(Gardner) Baker",NA,"Plants of Brazilian Amazonia, Territory of Rondônia, Basin of Rio Madeira. Trail northof Rio Madeira below confluence of Rio Abuña. River bank.",NA,NA,NA,"NL-U1108267",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"23","2020-11-04 11:00:57-03","ESALQ","ESA","98129","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Silva, J.M.","5001.0","2006","06","12",NA,"Brasil","Mato Grosso do Sul",NA,NA,NA,"ESA098129","Magnoliophyta",NA,NA,"Caracol",NA,"-57.0243988037109","-22.0139007568359","53879","ESA098129","auto","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:00:57-03","ESALQ","ESA","85155","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Hatschbach, G. et al.","73298.0","2002","05","22",NA,"Brasil","Mato Grosso do Sul",NA,NA,NA,"ESA085155","Magnoliophyta",NA,"(Gardn.) Baker","Caracol",NA,"-57.0243988037109","-22.0139007568359","53879","ESA085155","auto","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:00:57-03","ESALQ","ESA","98113","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Hatschbach, G.","74581.0","2003","03","11",NA,"Brasil","Mato Grosso do Sul",NA,NA,NA,"ESA098113","Magnoliophyta",NA,NA,"Bela Vista",NA,"-56.5210990905762","-22.1089000701904","66197","ESA098113","auto","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:00:57-03","ESALQ","ESA","60289","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Souza, V.C. ; Souza, J.P.","22291.0","1999","03","14",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto; flores alvas.","ESA060289","Magnoliophyta",NA,"(Gardner) Baker","Gouveia","Estrada Gouveia - Congonhas do Norte, ca. 6 Km da estrada Gouveia - Curvelo. Campo rupestre, bastante perturbado pelo fogo.","-43.7407989501953","-18.4543991088867","37970","ESA060289","auto","Reis-Silva, G.A.","2017","04","13",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-31 16:50:35-03","UFPI","TEPB","14153","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"ALENCAR, M. E.","1226","2001","04","16",NA,"Brasil","Piauí",NA,NA,"Subarbusto ca. 70 cm, inflorescências amarelas, freq. Média. Substrato arenoso. Ambiente: Mata Fria",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Cachoeira do RIACHÃO (1° cidade) - Parque Nacional de Sete Cidades.","-41.670278","-4.107778",NA,NA,NA,"R. BARROS","2001","07","09","41°40'13W","04°06'28S",NA,NA,NA,NA,NA
"28","2021-03-26 15:10:23-03","UFPI","TEPB","19256","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"CHAVES, E. M. F","239","2003","03","30",NA,"Brasil","Piauí",NA,NA,"Subarbusto Ambiente: Carrasco",NA,NA,NA,"(Gardner) Baker.","Cocal","Laje de Baixo","-41.514722","-3.4525",NA,NA,NA,"R. BARROS","2004","03","10","41°30'53W","03°27'09S",NA,NA,NA,NA,NA
"29","2021-03-22 17:44:37-03","UFPI","TEPB","20349","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"CHAVES, E. M. F","595","2004","02","23",NA,"Brasil","Piauí",NA,NA,"Subarbusto, 50cm, flor: amarela, substrato: arenoso Ambiente: Carrasco",NA,NA,NA,"(Gardner) Baker.","Cocal","Baixa dos Pilões","-41.543056","-3.483889",NA,NA,NA,"Cavalcanti",NA,NA,NA,"41°32'35W","03°29'02S","140","140",NA,NA,NA
"30","2021-04-01 10:58:44-03","UFPI","TEPB","11141","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"R. BARROS","266","1999","07","20",NA,"Brasil","Piauí",NA,NA,"Subarbusto; folhas membranáceas; ramos opostos cruzados; presença de frutos com papus marrom-claro; muito frequente; solo areno-argiloso.",NA,NA,NA,"(Gardn.) Baker","Baixa Grande do Ribeiro","Estação Ecológica de Uruçui-Uma, próximo ao Riacho das Pedras.","-45.2136001586914","-7.85027980804443","157537",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-04 23:42:30-03","UFPI","TEPB","27994","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"MENDES, M. R. A.","40","2007","07","06",NA,"Brasil","Piauí",NA,NA,"Erva; infloresência amarela; folhas verdes (maduras) e pilosas; folhas secas Ambiente: Campo Limpo Úmido",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Parque Nacional de Sete Cidades, área 2 do levantamento fitossociológico","-41.7092018127441","-3.92806005477905","41625",NA,"auto","G. A. R. Silva","2010","04","01",NA,NA,NA,NA,NA,NA,NA
"32","2021-04-04 23:42:30-03","UFPI","TEPB","27995","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"MENDES, M. R. A.","292","2007","09","28",NA,"Brasil","Piauí",NA,NA,"Inflorescência amarelas e botões; frutos maduros e imaturos; folhas verdes Ambiente: Campo Limpo Úmido",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Parque Nacional de Sete Cidades, área 2 do levantamento fitossociológico","-41.7092018127441","-3.92806005477905","41625",NA,"auto","Silva, G.A.R","2010","04","01",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-31 10:25:54-03","UFPI","TEPB","27996","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"MENDES, M. R. A.","169","2007","07","21",NA,"Brasil","Piauí",NA,NA,"Subarbusto; inflorescência amarelas; folhas verdes pilosas Ambiente: Campo Limpo Úmido <ll>dwc_commonname:</ll> Avelóz",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Parque Nacional de Sete Cidades, área 4 do levantamento fitossociológico","-41.7092018127441","-3.92806005477905","41625",NA,"auto","M. F. A. Lucena","2013","10","09",NA,NA,NA,NA,NA,NA,NA
"34","2021-04-04 23:42:30-03","UFPI","TEPB","27996","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"MENDES, M. R. A.","169","2007","07","21",NA,"Brasil","Piauí",NA,NA,"Subarbusto; inflorescência amarelas; folhas verdes pilosas Ambiente: Campo Limpo Úmido",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Parque Nacional de Sete Cidades, área 4 do levantamento fitossociológico","-41.7092018127441","-3.92806005477905","41625",NA,"auto","G. A. R. Silva","2010","04","01",NA,NA,NA,NA,NA,NA,NA
"35","2021-04-04 23:42:30-03","UFPI","TEPB","28001","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"MENDES, M. R. A.","531","2009","07","08",NA,"Brasil","Piauí",NA,NA,"Subarbusto; flores amarelas Ambiente: Campo Limpo Úmido",NA,NA,NA,"(Gardn.) Baker","Piracuruca","Parque Nacional de Sete Cidades, linha 13A do levantamento fitossociológico","-41.7092018127441","-3.92806005477905","41625",NA,"auto","G. A. R. Silva","2010","04","01",NA,NA,NA,NA,NA,NA,NA
"36","2020-11-19 10:22:48-03","CPAP","CPAP","16754","PreserverdSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Hatschbach, G.","58082","1993","02","08",NA,"Brasil","MS",NA,NA,"Sufrútice delgado, ramoso, 70cm de altura. FLOR: capítulos amarelos. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo cerrado. SUBSTRATO: . RELEVO: .",NA,NA,NA,"(Gardner) Baker","Tacuru","Rodovia MS-295, fazenda Santa Paula, 18Km O de Tacuru","-55.0158004760742","-23.6324996948242","36822",NA,"auto","J. Pruski","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-02-15 11:33:44-02","IPA","IPA","69818","S","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Costa, J.M.; Abreu, M.C.; Cordeiro, R.M.; Rocha, W.A.; Abreu, M.C.; Cordeiro, R.M.; Rocha, W.A.","167","2004","04","14","Southern America","Brasil","Piauí",NA,NA,"Erva 25cm; inflorrescência amarela. Frequência regular.; Cerrado sensu stricto. Solo areno-pedregoso. S/registro de abelhas.","IPA0069818","Plantae",NA,"(Gardner) Baker","Castelo do Piauí","percuso da raposa.","-41.683333","-5.216667",NA,"IPA0069818",NA,"Barros, R.","2004","04","30","-41.683333","-5.216667",NA,NA,NA,NA,NA
"38","2019-08-27 13:26:51-03","IAP","PACA-AGP","86411","PreservedSpecimen","Plantae","Compositae","Aspilia","attenuata","Aspilia attenuata",NA,"Hatschbach, G.","73298","2002","05","22",NA,"Brasil","MS",NA,NA,"ereta, 2m, capítulo amarelo Habitat: cerrado","PACA086411","Magnoliophyta","Asterales","(Gardner) Baker","Caracol","Rod. BR-267, próximo do Alto-Caracol","-57.0243988037109","-22.0139007568359","53879",NA,"auto","H. Robinson","2002",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA
"39","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005462","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"G. Hatschbach;","73298","2002","5","22",NA,"Brazil","Mato Grosso do Sul",NA,NA,"Ereta, 2m, capitulo amarelo",NA,"Magnoliophyta","Asterales","Baker",NA,"Rod. BR-267, proximo de Alto Caracol (Mun. Caracol)","-57.027599","-21.981737",NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 14:31:14-03","UFJF","CESJ","45665","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"G. Hatschbach; et al.","74306","2002","11","16","América do Sul","Brasil","Mato Grosso do Sul",NA,NA,"Ereta, 70 cm, capítulo amarelo. Campo cerrado degradado.","CESJ045665","Angiosperma",NA,"(Gardn.) Baker","Bela Vista","Rod. BR-267, 10-15 Km O de Alto Caracol","-56.5210990905762","-22.1089000701904","66197","CESJ045665","auto","H.Robison","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 14:31:14-03","UFJF","CESJ","39192","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"G. Hatschbach; et al.","73298","2002","05","22","América do Sul","Brasil","Mato Grosso do Sul",NA,NA,"Ereta, 2 m, capítulo amarelo. Cerrado.","CESJ039192","Angiosperma",NA,"(Gardn.) Baker","Caracol","Rod. BR-267, próximo de Alto Caracol","-57.0243988037109","-22.0139007568359","53879","CESJ039192","auto","H.Robison","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-07 11:41:17-03","UFMS","CGMS","45003","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"G. Hatschbach; M. Hatschbach; O.S. Ribas","73298","2002","05","22",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Capítulo amarelo. Fruto ausente. Habitat: Cerrado. Habito: Arbusto ereto. 2m de altura.","CGMS1074971",NA,NA,"(Gardner) Baker","Caracol","Rodovia BR-267, próximo de Alto Caracol.","-57.0243988037109","-22.0139007568359","53879",NA,"auto","H. Robinson","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:23:04-03","UNICAMP","UEC","28160","S","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Pirani, JR; Cordeiro, I; Longhi-Wagner, HM","s.n.","1982","03","21",NA,"Brazil","Minas Gerais",NA,NA,"Subarbusto de 1,0m, fores amarelas","UEC102634","Magnoliopsida",NA,"(Gardner) Baker","Santana Do Riacho","Santana do Pirapama.Faz. Inhame(Serra Mineira)Aproximadamente","-43.9","-18.916667",NA,"UEC102634",NA,"Santos, JUM","1991","03","08","-43.9","-18.916667",NA,NA,NA,NA,NA
"44","2021-03-01 16:23:04-03","UNICAMP","UEC","105208","S","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Matsumoto, K; Martins, AB; Faria, AD; Lopes, CA; Jannini, AW","454","1997","10","09",NA,"Brazil","Minas Gerais",NA,NA,"Arbusto ca 40cm","UEC102976","Magnoliopsida",NA,"(Gardner) Baker","Carrancas","Serra do Moleque","-44.659694","-21.588194",NA,"UEC102976",NA,NA,NA,NA,NA,"-44.659694","-21.588194","1300","1300",NA,NA,NA
"45","2021-03-01 16:23:04-03","UNICAMP","UEC","120183","S","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Alencar, ME","1226","2001","04","16",NA,"Brazil","Piauí",NA,NA,"Subarbusto ca. 70cm, inflirescências amarelas, freq. média. Subst. arenoso; Ambiente: MATA FRIA","UEC102635","Magnoliopsida",NA,"(Gardner) Baker","Piracuruca","Cachoeira do RIACHÃO(1°cidade) - PARNA de Sete Cidades","-41.670528","-4.107806",NA,"UEC102635",NA,"Barros, R","2001","07","09","-41.670528","-4.107806",NA,NA,NA,NA,NA
"46","2021-03-01 16:23:04-03","UNICAMP","UEC","191528","S","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Souza, VC; et al.","33829","2006","01","09",NA,"Brazil","Minas Gerais",NA,NA,"Subarbusto, ca. 0,5m alt., flores amarelas.; Campo rupestre","UEC138702","Magnoliopsida",NA,"(Gardner) Baker","Moeda","Serra da Moeda","-44.0527992248535","-20.3330993652344","14750","UEC138702","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-05 16:43:33-03","UFOP","OUPR","3159","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Badini, J.","s.n.","1987","05","25",NA,"Brasil","Minas Gerais",NA,NA,"Campo. Subarbusto. Flores amarelas",NA,NA,NA,"(Gardner) Baker","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711","17082",NA,"auto","Mondin, C.A.; Nakajima, J.N.","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-05 16:43:33-03","UFOP","OUPR","3163","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"Campo. Subarbusto. Flores amarelas",NA,NA,NA,"(Gardner) Baker","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711","17082",NA,"auto","Mondin, C.A.; Nakajima, J.N.","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
