"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"11","2020-12-21 16:42:14-03","MBM","MBM","145708","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Pedralli, G.; et al.; et al.","QAPT1490","1988","10","13","Southern America","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","São Gonçalo do Rio Abaixo","-43.3622016906738","-19.826099395752",NA,"Erva, EDPA-PETI","MBM145708","MBM145708",NA,"2009",NA,NA,NA,NA,"17525","auto",NA,NA,NA
"12","2020-09-29 14:53:44-03","UFPR","UPCB","19614","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Stehmann, J.R.","712","1987","12","21",NA,"Brasil","Minas Gerais","Estação de Peti","São Gonçalo do Rio Abaixo",NA,NA,NA,"Erva, interior da mata..","UPCB0000362","UPCB0000362",NA,"1999","05","04",NA,NA,NA,NA,NA,NA,NA
"13","2020-09-29 14:53:44-03","UFPR","UPCB","20080","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Pedralli, G.",NA,"1987","09","28",NA,"Brasil","Minas Gerais","Santa Barbara",NA,"-43.4152984619141","-19.959400177002",NA,"Herbácea com cerca de 1m. Área carvoeira..","UPCB0000363","UPCB0000363",NA,"1999","05","04",NA,NA,"33136","auto",NA,NA,NA
"14","2020-07-10 09:49:00-03","MBML","MBML-HERBARIO","31952",NA,"Plantae",NA,NA,"Pteridaceae","Adiantum","cf. papillosum","Adiantum cf. papillosum","Handro","A. Salino/XII-2008","V. Demuner; T. A. Cruz, R. R. Vervloet e M. Belisario.","4375","2007","10","24",NA,"Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba, propr.: Claúdio Virloni.","-40.471833","-20.057417",NA,"Terrestre, soros verdes e marrons. Interior de mata secundária.","MBML031952","MBML031952",NA,NA,NA,NA,"40W28'18,6","20S3'26,7",NA,NA,"230","230",NA
"15","2017-11-24 14:12:15-02","UFLA","ESAL","1334","S","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro",NA,"Heringer, EP","43",NA,NA,NA,NA,"Brasil","Minas Gerais","Reducto",NA,NA,NA,NA,"; ; ;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 18:32:00-03","USP","SPF","83813","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J","Heringer, EP","s.n.","1937","10",NA,NA,"Brasil","Minas Gerais","Manhuaçu","Mata","-42.0335998535156","-20.2581005096436",NA,NA,"SPF00083813","SPF00083813",NA,"1997","07","04",NA,NA,"32626","auto",NA,NA,"isotype"
"17","2019-11-07 11:19:28-03","UFMG","BHCB-SL","38175","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Salino, A","Gomes, J","187","1994","09","16","América","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-41.833333","-19.833333",NA,"Erva. Mata Atlântica.",NA,NA,NA,"2001","11",NA,"-41.833333","-19.833333",NA,NA,NA,NA,NA
"18","2019-11-07 11:19:28-03","UFMG","BHCB-SL","42875","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro",NA,"Salino, A","4272","1998","09","04","América","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga, Fazenda Montes Claros","-42.8","-29",NA,"Terrestre",NA,NA,NA,"2001","11",NA,"-42.8","-29",NA,NA,"240","240",NA
"19","2021-01-12 15:24:42-03","UFMG","BHCB-SL","74964","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Salino, A","Carvalho, FA","119","2002","08","01","América","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação de Pesquisa e Desenvolvimento Ambiental","-43.369556","-19.883889",NA,"terrestre no interior de mata",NA,NA,NA,NA,NA,NA,"-43.369556","-19.883889",NA,NA,NA,NA,NA
"20","2021-01-12 15:24:42-03","UFMG","BHCB-SL","82349","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Salino, A","Salino, A","8844","2003","07","31","América","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação de Pesquisa Ambiental de Peti, Na área da Bonserá","-43.614661","-19.8925",NA,"Terrestre; na borda de mata","BHCB002116","BHCB002116",NA,"2003","08",NA,"-43.614661","-19.8925",NA,NA,NA,NA,NA
"21","2019-11-07 11:19:28-03","UFMG","BHCB-SL","108621","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Salino, A","Kollmann, RL; Bausen, E","4225","2001","08","02","América","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,"Terrestre em local ensolarado. Soros Pretos",NA,NA,NA,"2008","04","16",NA,NA,"23813","auto",NA,NA,NA
"22","2016-12-19 13:51:18-02","PERD","PERD","99","S","Plantae",NA,NA,"Adiantaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J","Graçano, D","159","1996","05","02",NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha do Aníbal.","-42.7322006225586","-19.7122001647949",NA,"Acima do barranco. Terrestre. Local seco, argiloso, sombrio. Folhas chegando a 1m de comprimento.",NA,NA,NA,"1997",NA,NA,NA,NA,"28215","auto",NA,NA,NA
"23","2019-11-21 10:17:23-03","IBt","SP","39022","S","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J","Heringer, EP","s.n.","1937","10",NA,NA,"Brasil","Minas Gerais","Manhuaçu",NA,"-42.0335998535156","-20.2581005096436",NA,NA,"SP003745","SP003745",NA,"2017",NA,NA,NA,NA,"32626","auto",NA,NA,"Holotype"
