"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"11","2016-09-27 19:52:00-03","NY","NYBG","01529462","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","rapidarum","Chamaecrista glandulosa rapidarum","H.S.Irwin & Barneby","R. C. Barneby","F. J. Guánchez","4847","1987","11","01","South America","Venezuela","Bolívar","Entre el margen derecho del Río Orinoco medio y el borde NW de la Serrania de Los Pijuguaos (Bajo Río Suapure). 3 km al E del campamento de BAUXIVEN","-66.833","6.55","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807568' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529462","NY01529462_01",NA,"Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01529383","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"L. Uribe-Uribe","698","1943","12","27","South America","Colombia","Antioquia","Sabaneta, Valle de Medellin",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01529453","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"G. Mandon","752","1861","03",NA,"South America","Bolivia","La Paz","Vicinis Sorata",NA,NA,"2690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529453",NA,NA,"Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4176","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","crystallina","Chamaecrista glandulosa crystallina","H.S.Irwin & Barneby",NA,"B. Maguire","36035","1953","11","07","South America","Venezuela","Amazonas","Grand Rapids of the Río Orinoco: 1-1.5 km E of Hotel Amazonas, Puerto Ayacucho. Alt. 100-120 m.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004176","NY00004176_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01529412","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","A. H. Gentry","19150","1977","04","10","South America","Peru","Lima","Santa Eulalia, 40 km E of Lima in valley of Río Rimac",NA,NA,"1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806840' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529412","NY01529412_01",NA,NA,"1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01529391","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"J. N. Rose","22205","1918","08","19","South America","Ecuador",NA,"Vicinity of Huigra, mostly on the Hacienda de Licay",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804744' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529391","NY01529391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","633990","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"L. Riedel","20","1829","12",NA,"South America","Brazil","Rio de Janeiro","In collib. siccis R. Jan.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633990","NY00633990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01529351","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","crystallina","Chamaecrista glandulosa crystallina","H.S.Irwin & Barneby","R. C. Barneby","W. W. Thomas","2545","1979","11","04","South America","Colombia",NA,"Vichada: across Orinoco River from Puerto Ayacucho, Venezuela",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529351","NY01529351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01529425","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"R. A. Ferreyra","328","1946","01","14","South America","Peru","Junín","Huacapistana, entre Tarma y San Ramón",NA,NA,"1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806873' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529425",NA,NA,"Tarma","1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01529355","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","crystallina","Chamaecrista glandulosa crystallina","H.S.Irwin & Barneby",NA,"B. Maguire","36008","1953","10","26","South America","Venezuela","Bolívar","At km 111 on Pto. Ordaz-Ciudad Piar railroad",NA,NA,"300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529355","NY01529355_01",NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01529454","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"G. Mandon","752","1861","03",NA,"South America","Bolivia","La Paz","Vicinis Sorata",NA,NA,"2690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529454",NA,NA,"Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","633996","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"E. Pereira","5754","1961","08","30","South America","Brazil","Rio de Janeiro","Recreio dos Bandeirantes, próximo a mata da encosta","-43.482796","-23.016442",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633996","NY00633996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01529368","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","M. Liberman Cruz","249","1981","01","03","South America","Bolivia","La Paz","Yanacachi; a 3 km por el camino de la Toma de Agua Potable",NA,NA,"2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529368",NA,NA,"Sud Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01529428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","A. Delgado Salinas","A. Delgado Salinas","ADS2046","2001","07","07","South America","Peru","Amazonas","Cañon del Río Utcubamba, camino Pedro Ruíz","-77.9","-6.07","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529428",NA,NA,"Luya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","633994","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"J. C. Mikan","5659",NA,NA,NA,"South America","Brazil","Distrito Federal",NA,"-47.9294","-15.7797",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633994","NY00633994_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01529455","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"C. M. Ochoa","707","1940","03","19","South America","Peru","Ayacucho","Cerro de Yanama, cerca de Ayacucho",NA,NA,"3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01529354","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","crystallina","Chamaecrista glandulosa crystallina","H.S.Irwin & Barneby",NA,"B. Maguire","35888","1953","10","20","South America","Venezuela","Bolívar","On southeast slope of Cerro Bolívar just below Rubble Area XVII",NA,NA,"550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803606' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529354","NY01529354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-30 07:26:00-03","NY","NYBG","01529461","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","rapidarum","Chamaecrista glandulosa rapidarum","H.S.Irwin & Barneby","R. C. Barneby","A. Gröger","778","1993","02","20","South America","Venezuela","Amazonas","App. 5 km al Sur-este de Limón de Parhueña al margen de un curso de agua temporal encima de la laja",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529461","NY01529461_01",NA,"Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01529414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"A. Sagástegui A.","7608","1972","03","29","South America","Peru","La Libertad","Chan Chan",NA,NA,"20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806845' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529414",NA,NA,"Trujillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01529406","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"W. E. Safford","s.n.","1887","08","29","South America","Peru",NA,"Chosica",NA,NA,"853","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01529457","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"W. Rauh","P1683","1957","06","28","South America","Peru",NA,"Abancay",NA,NA,"3200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803593' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01529447","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","A. Mocquerys","1094","1893",NA,NA,"South America","Venezuela",NA,"Prés Mérida",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807396' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01529385","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"M. T. Dawe","831","1918",NA,NA,"South America","Colombia","Valle del Cauca","Western Cordillera at Versailles",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01529348","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"S. G. E. Saunders","740","1962","01","04","South America","Peru","Apurímac","Above Abancay, on road to Cuzco",NA,NA,"3048","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529348",NA,NA,"Abancay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01529360","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"M. Bang","613","1890",NA,NA,"South America","Bolivia",NA,"Yungas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","633993","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"L. Riedel","113","1831",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Collector confirmed by R. Barneby, 1976 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633993","NY00633993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-10-21 17:12:00-02","NY","NYBG","01529343","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andreana","Chamaecrista glandulosa andreana","(Britton & Killip) H.S.Irwin & Barneby","R. C. Barneby","J. E. Ramos Pérez","836","1987","11","01","South America","Colombia","Valle del Cauca","Corregimiento de Rio-grande en la via de Pavas a Restrepo, en predios de la familia Reina",NA,NA,"1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529343","NY01529343_01",NA,"Restrepo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01529377","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","B. R. Ramírez Padilla","1588","1989","06","01","South America","Colombia","Nariño","Corregimiento de Chachagüí",NA,NA,"2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804582' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529377",NA,NA,"Pasto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01529375","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"J. Cuatrecasas","24699","1959","10","10","South America","Colombia","Magdalena","Sierra Nevada de Santa Marta, southeastern slopes: Hoya del Río Donachuí: Cancuría",NA,NA,"2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529375","NY01529375_01",NA,NA,"2650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-30 07:24:00-03","NY","NYBG","01529349","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby",NA,"M. Kessler","3053",NA,NA,NA,"South America","Bolivia","La Paz","17 km from Sorata on road to Quiabaya",NA,NA,"2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529349",NA,NA,"Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","633999","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"G. Gardner","749","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633999","NY00633999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-09-27 19:52:00-03","NY","NYBG","01529463","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","rapidarum","Chamaecrista glandulosa rapidarum","H.S.Irwin & Barneby","R. C. Barneby","F. J. Guánchez","370","1980","11","09","South America","Venezuela","Amazonas","En cerro Uchonhua, a unos 5 km al norte del caserío San Pedro de Cataniapo (en lugar quemado durante la sequia de 1979), a unos 60 km al sur-este de Puerto Ayacucho","-67.18","5.68","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529463",NA,NA,"Atures","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
