"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"11","2016-11-01 14:16:00-02","NY","NYBG","650283","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"W. A. Ducke","1920","11",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650283",NA,"Magnoliophyta","Poales","s.n.","South America","sheet","NY00650283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","650279","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.",NA,NA,NA,NA,"M. A. Chase","1925","01","13","Brazil","Rio de Janeiro",NA,"Corcovado, vicinity of Rio de Janeiro. Paineiras","-43.211821","-22.952523",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650279",NA,"Magnoliophyta","Poales","8191","South America","sheet","NY00650279_01","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-11-07 11:40:00-02","NY","NYBG","01093282","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"R. Dias-Melo",NA,NA,NA,"J. M. A. Braga","2004","03","23","Brazil","Rio de Janeiro","Rio de Janeiro","Horto, entorno do Jardim Botânico do Rio de Janeiro, trecho que se estende até 500 m acima do Solar da Imperatriz, margem do Rio dos Macacos.","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093282",NA,"Magnoliophyta","Poales","7399","South America","sheet","NY01093282_01","80","150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02636712","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","A. C. da Mota",NA,NA,NA,"P. Fiaschi","2005","03","18","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7Km a W de Camacan na estrada para Jacarecí, ramal para a RPPN, ca. 6Km da entrada.","-39.5653","-15.3917",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475367' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636712",NA,"Magnoliophyta","Poales","2888","South America","sheet","NY02636712_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 14:16:00-02","NY","NYBG","650297","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"W. D. Clayton",NA,NA,NA,"J. P. P. Carauta","1971","02","05","Brazil","Rio de Janeiro","Rio de Janeiro","GB, Serra Carioca, Reserva Florestal do Instituto de Conservaçao da Natureza, caminho p/ a Gruta Geonoma","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650297",NA,"Magnoliophyta","Poales","1293","South America","sheet","NY00650297_01","450","500",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01806828","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","G. Davidse",NA,NA,NA,"W. W. Thomas","2004","09","21","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9.6 km NNW of Camacan on road to Jacareci and Jussari; then 6 km up road to Serra Bonita.","-39.5653","-15.3914",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828276' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806828",NA,"Magnoliophyta","Poales","14231","South America","sheet","NY01806828_01","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-11-07 11:41:00-02","NY","NYBG","01096403","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,NA,NA,NA,NA,"L. J. T. Cardoso","2004","06","06","Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico, entorno do IPJBRJ, atras da ENTB.","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237190' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096403",NA,"Magnoliophyta","Poales","162","South America","sheet","NY01096403_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-11-01 14:16:00-02","NY","NYBG","650295","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"J. R. Swallen",NA,NA,NA,"R. Reitz","1953","04","23","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.0658","-26.9194",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650295",NA,"Magnoliophyta","Poales","549","South America","sheet","NY00650295_01","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","650296","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650296",NA,"Magnoliophyta","Poales","18617","South America","sheet","NY00650296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01806836","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","G. Davidse",NA,NA,NA,"W. W. Thomas","2004","02","01","Brazil","Bahia","Mun. Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9.7 km W of Camacan on road to Jacarecí, then 6 km SW on road to RPPN Serra Bonita and Embratel tower.","-39.5652778","-15.3918056",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797052' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806836",NA,"Magnoliophyta","Poales","13756","South America","sheet","NY01806836_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-11-01 14:16:00-02","NY","NYBG","764162","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"R. T. Shirasuna",NA,NA,NA,"F. O. Souza","2000","07","18","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Início da Trilha original dos Tropeiros","-45.4097","-23.6203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764162",NA,"Magnoliophyta","Poales","37","South America","sheet","NY00764162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-11-01 14:17:00-02","NY","NYBG","650284","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"H. Q. B. Fernandes","1985","11","07","Brazil","Espírito Santo","Santa Teresa","Estaçao Biológica de Santa Lúcia","-40.6003","-19.9358",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650284",NA,"Magnoliophyta","Poales","1608","South America","sheet","NY00650284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01806837","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","G. Davidse",NA,NA,NA,"W. W. Thomas","2004","01","30","Brazil","Minas Gerais","Bandeira","Fazenda Boi Rajado, 5.9 km E of Macarani-Bandeiras road on farm road ca. 12 km N of Bandeiras (at Fazenda Canada)","-40.51791667","-15.8064167",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796706' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806837",NA,"Magnoliophyta","Poales","13667","South America","sheet","NY01806837_01","830","850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","650293","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.",NA,NA,NA,NA,"C. E. Calderón","1967","12","08","Brazil","Santa Catarina","Brusque","Azambuja","-48.910147","-27.126635",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650293",NA,"Magnoliophyta","Poales","2003","South America","sheet","NY00650293_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","650290","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","L. G. Clark",NA,NA,NA,"B. D. Sucre","1968","11","07","Brazil","Rio de Janeiro",NA,"(Gb.) Estrada Vista Chinesa","-43.257166","-22.971675",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650290",NA,"Magnoliophyta","Poales","4065","South America","sheet","NY00650290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00924120","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","A. C. da Mota",NA,NA,NA,"W. W. Thomas","2003","03","15","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Near top of mountain, in area near source of the Riberao da Bica.","-39.5425","-15.0956",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924120",NA,"Magnoliophyta","Poales","13334","South America","sheet","NY00924120_01","750","850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-11-01 14:17:00-02","NY","NYBG","650291","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"B. D. Sucre","1969","10","22","Brazil","Rio de Janeiro","Rio de Janeiro","Paço das Pedras, Estrada da Vista Chineza","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650291",NA,"Magnoliophyta","Poales","6103","South America","sheet","NY00650291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-28 16:46:00-03","NY","NYBG","764163","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"R. T. Shirasuna",NA,NA,NA,"F. O. Souza","2000","07","19","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Nova trilha dos Tropeiros","-45.4097","-23.6203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764163",NA,"Magnoliophyta","Poales","82","South America","sheet","NY00764163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02715616","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","A. C. da Mota",NA,NA,NA,"A. M. Amorim","2004","10","29","Brazil","Bahia","Camacan","Fazenda Serra Bonita. RPPN Serra Bonita, 9,7Km a W de Camacan na estrada para Jacarecí, daí, 6km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474192' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715616",NA,"Magnoliophyta","Poales","4354","South America","sheet","NY02715616_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-11-01 14:17:00-02","NY","NYBG","650287","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"W. Boone","1986","11","25","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Divisa da Reserva Biológica","-40.6003","-19.9358",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650287",NA,"Magnoliophyta","Poales","1126","South America","sheet","NY00650287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-07 11:40:00-02","NY","NYBG","01095578","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"A. M. Amorim","2000","06","28","Brazil","Bahia","Floresta Azul","Fazenda Aras Binow. Acesso pela BR 415, em ramal que leva ao alto da torre de transmissão da EMBRATEL.","-39.6989","-14.9422",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095578",NA,"Magnoliophyta","Poales","3562","South America","sheet","NY01095578_01","774","774",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-11-01 14:16:00-02","NY","NYBG","650280","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. Sarahyba",NA,NA,NA,"A. M. S. da F. Vaz","1990","10","20","Brazil","Rio de Janeiro","Santa Maria Madalena","Distrito de Terra Fria, estrada para a Fazenda do ribeirao Vermelho, picada aberta na mata, em área do Parque Estadual do Desengano","-42.0081","-21.9556",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650280",NA,"Magnoliophyta","Poales","825","South America","sheet","NY00650280_01","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","650289","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","S. A. Renvoize",NA,NA,NA,"G. G. Hatschbach","1983","12","01","Brazil","Paraná","Paranaguá","Col. Maria Luiza","-48.5092","-25.5203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650289",NA,"Magnoliophyta","Poales","47179","South America","sheet","NY00650289_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-06 11:42:41-03","UFPI-MRV","HDELTA","4927","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","De Oliveira, F.C.B.",NA,NA,NA,"De Oliveira, F.C.B.","2018","04","13","Brasil","São Paulo","Iporanga","Canhambora","-48.590278","-24.580556",NA,"<ll>dwc_commonname:</ll> Lambe-papo","HDELTA004927",NA,NA,NA,"4",NA,NA,NA,NA,NA,"48°35'25,00''W","24°34'50,00''S",NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:32:00-03","UFRJ","RFA","38276","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","I. S. M. Jaffar","2011","11","19","I. S. M. Jaffar; R. C. Lopes; U. D. R. Costa; L. F. R. da Silva; I. S. M. Jaffar; E. M. Aragão","2011","10","23","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Alameda Palmares, nascente","-43.399444","-22.456389",NA,"Erva semi-heliófila; estolão. Havia população no local","RFA53401",NA,NA,NA,"2",NA,NA,NA,NA,NA,"43º23'58''W","22º27'23''S",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-19 15:45:27-03","UNEB","HUNEB","14209","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.",NA,NA,NA,NA,"Britez, R.M.","1985","08","17","Brasil","Paraná","Paranaguá","Ilha do Mel, Morro do Meio","-48.5092010498047","-25.5200004577637","24916",NA,"HUNEB0014209","auto","Angiospermae","Florideophycidae",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:53:12-03","EAO","IAN","66943","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Góes, OC","1943","07","14","Brasil","Rio de Janeiro",NA,"Retiro, estrada Rio-Petrópolis.",NA,NA,NA,NA,"IAN066943",NA,"Monocotiledônea",NA,"142","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:53:12-03","EAO","IAN","93617","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Glaziou, AFM",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN093617",NA,"Monocotiledônea",NA,"17918","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:12-03","EAO","IAN","55182","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Viégas","1938","10","14","Brasil","Rio de Janeiro","Rio de Janeiro","Alto Boa Vista.","-43.2075004577637","-22.9027996063232","57442","Arbusto.","IAN055182","auto","Monocotiledônea",NA,"2336","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:12-03","EAO","IAN","66739","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","sc","1922","02","28","Brasil","Rio de Janeiro","Rio de Janeiro","Chácara Fonseca.","-43.2075004577637","-22.9027996063232","57442",NA,"IAN066739","auto","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:12-03","EAO","IAN","66586","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Ducke, A","1920","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232","57442",NA,"IAN066586","auto","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:12-03","EAO","IAN","103829","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Ducke, A","1920","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232","57442",NA,"IAN103829","auto","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:53:12-03","EAO","IAN","66741","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Brade, AK","1937","04","14","Brasil","Rio de Janeiro","Rio de Janeiro","serra da Tijuca.","-43.2075004577637","-22.9027996063232","57442",NA,"IAN066741","auto","Monocotiledônea",NA,"15737","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:12-03","EAO","IAN","66936","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Clark, LG","2015","07","09","Brade, AK","1937","04","14","Brasil","Rio de Janeiro","Rio de Janeiro","serra da Tijuca.","-43.2075004577637","-22.9027996063232","57442",NA,"IAN066936","auto","Monocotiledônea",NA,"15737","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-12-04 15:26:40-03","PUCPR","HUCP","13842","S","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hackel","Parodi, LR",NA,NA,NA,"Stellfeld, C","1943","06","23","Brasil","Paraná","Caiobá",NA,NA,NA,NA,NA,NA,NA,"Monocotiledonea",NA,"542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
