"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","eventTime"
"15","2021-04-05 14:34:11-03","UNESC","CRI","13316","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Peterson T. Padilha","2018","03","21","Alexandre Medeiros","2017","09","15","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011923","CRI011923",NA,"Barra.",NA,NA,"Coleta 684. Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:34:11-03","UNESC","CRI","8800","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Rafael Martins","2010","11","02","Ronaldo","2010","11","02","Brasil","Santa Catarina","Bom Jardim da Serra","-49.625","-28.3375","49º37'30''W","28º20'15''S","CRI007531","CRI007531",NA,"Trilha dos Tropeiros.","1281","1281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:34:11-03","UNESC","CRI","4276","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","G. Vendruscolo","2006","08","03","V. P. Boff; L. A. Mentz","1995","09","29","Brasil","Santa Catarina","Jacinto Machado","-49.763889","-28.998056","49º45'50''W","28º59'53''S","CRI007523","CRI007523","310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:26:09-03","UNESC","CRI","13522","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","-49.445556","-28.531389","49º26'44''W","28º31'53''S","CRI012129",NA,NA,"Campo Morozini","161","161","Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:34:11-03","UNESC","CRI","125","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","L. A. Mentz","1997","06","25","Vanilde Citadini-Zanette; A. Bortot","1983","03","10","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI007299","CRI007299","563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:34:11-03","UNESC","CRI","4468","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Valdemar Boff","1996","01","11","Valdemar Boff","1996","01","11","Brasil","Santa Catarina","Fraiburgo","-50.922222","-27.023333","50º55'20''W","27º1'24''S","CRI012644","CRI012644",NA,"Taquarussu",NA,NA,"Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:26:09-03","UNESC","CRI","3502","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","L. A. Mentz",NA,NA,NA,"Robson dos Santos","1994","04","06","Brasil","Santa Catarina","Içara","-49.3","-28.7","49º18'W","28º42'S","CRI007525","CRI007525","14","Esplanada.","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:34:11-03","UNESC","CRI","8246","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Vanilde Citadini-Zanette","2006",NA,NA,"Tanise Boeira Pelegrine Bertolin","2006",NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007526","CRI007526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:26:09-03","UNESC","CRI","11388","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","S. Dreveck",NA,NA,NA,"S. Dreveck; F.E. Carneiro","2009","11","26","Brasil","Santa Catarina","Joinville","-49.140833","-26.187222","49º8'27''W","26º11'14''S","CRI007528","CRI007528","1433","Comfloresta.","822","822","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-23 10:43:49-03","E","E","190948","PreservedSpecimen","Plantae","Solanaceae","Solanum","tabacifolium","Solanum tabacifolium",NA,NA,NA,NA,NA,"Saltzmann","1905","01","04","BR","Bahia",NA,NA,NA,NA,NA,"E00190948",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00190948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","possible type","E. Tropical South America","herbarium specimen of unspecif","BGBASE:214371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00700589","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. de F. Agra",NA,NA,NA,"G. G. Hatschbach","1996","04","15","Brazil","Minas Gerais","Joaquim Felício","-44.1719","-17.7575",NA,NA,"NY00700589",NA,"64824","Serra do Cabral.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00700596","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"A. M. Giulietti","1981","10","30","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00700596","NY00700596_01","s.n.","Estrada Diamantina-Curvelo, 8 km de Diamantina",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836562' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01806143","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","L.A. Gomes",NA,NA,NA,"L.A. Gomes","2012","06","12","Brazil","Sergipe","Santa Luzia do Itanhy","-37.4286","-11.3997",NA,NA,"NY01806143","NY01806143_01","545b","RPPN Mata do Crasto: Borda da mata.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2131126' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00700594","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"H. S. Irwin","1969","01","27","Brazil","Minas Gerais","Diamantina","-43.55","-18.18",NA,NA,"NY00700594","NY00700594_01","22716","Ca. 12km N.E. of Diamantina, road to Mendanha","1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836559' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00700590","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"A. Furlan","1981","04","12","Brazil","Minas Gerais","Grão Mogol","-42.8943","-16.5648",NA,NA,"NY00700590",NA,"s.n.","Próximo de Grão Mogol",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00852498","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. de F. Agra",NA,NA,NA,"W. R. Anderson","1972","02","13","Brazil","Minas Gerais",NA,"-43.3919444","-18.43185",NA,NA,"NY00852498",NA,"35943","Eastern slopes of Pico do Itambé.","1310","1310","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928253' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00700592","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"R. M. Silva","1985","09","04","Brazil","Minas Gerais","Grão Mogol","-42.8894","-16.5594",NA,NA,"NY00700592","NY00700592_01","s.n.","Vale do Rio Itacambiruçu",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836554' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00700598","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"G. G. Hatschbach","1975","02","24","Brazil","Minas Gerais","Diamantina","-43.6003","-18.2494",NA,NA,"NY00700598","NY00700598_01","36465","BR 269, km 10",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836566' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00700591","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"R. M. Harley","1988","10","15","Brazil","Minas Gerais","Grão Mogol","-42.93","-16.62",NA,NA,"NY00700591","NY00700591_01","25034","Ca. 7 km. ao direção sul da cidade, na estrada para Francisco Sá","700","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836549' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00700599","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"I. Cordeiro","1981","04","13","Brazil","Minas Gerais","Grão Mogol","-42.8894","-16.5594",NA,NA,"NY00700599",NA,"s.n.","Atrás da cidade",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836567' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00700593","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"H. S. Irwin","1970","03","28","Brazil","Minas Gerais","Diamantina","-43.7533","-18.0359",NA,NA,"NY00700593","NY00700593_01","28510","Serra do Espinhaço, ca. 5 km N. of São João da Chapada, road to Inhaí","1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836557' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01806823","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","L.A. Gomes",NA,NA,NA,"L.A. Gomes","2012","11","11","Brazil","Sergipe","Santa Luzia do Itanhy","-37.42","-11.38",NA,NA,"NY01806823",NA,"264","RPPN Mata do Crasto, Borda da mata.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2221841' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00700595","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"H. S. Irwin","1970","03","19","Brazil","Minas Gerais","Diamantina","-43.6003","-18.2494",NA,NA,"NY00700595","NY00700595_01","27884","Ca. 18km E. of Diamantina","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00700597","PreservedSpecimen","Plantae","Solanaceae","Solanum","buddleiaefolium","Solanum buddleiaefolium","Sendtn.","M. H. Nee",NA,NA,NA,"M. M. Arbo","1990","05","18","Brazil","Minas Gerais","Diamantina","-43.82","-18.28",NA,NA,"NY00700597",NA,"4347","20-26 km WSW de Diamantina, camino a Conselheiro Mata, MG-220","1270","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836564' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","770466","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe",NA,NA,NA,"R. Reitz","1956","05","04","Brazil","Santa Catarina","Palhoça","-48.6678","-27.6456",NA,NA,"NY00770466","NY00770466_01","3230","Piloes.","200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549222' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","770457","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe",NA,NA,NA,"E. Henz","1944","11","13","Brazil","Rio Grande do Sul","Montenegro","-51.4608","-29.6886",NA,NA,"NY00770457","NY00770457_01","27097","Parecí.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549227' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-27 02:17:00-03","NY","NYBG","00723023","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum",NA,"K. E. Roe",NA,NA,NA,"G. J. Schwarz","1945","03","01","Argentina","Misiones","Candelaria",NA,NA,NA,NA,"NY00723023",NA,"237","Bella Vista",NA,NA,"Altitud 3.00 m [Inferred to be height of plant and not elevation] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-02-01 13:48:00-02","NY","NYBG","00722991","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum",NA,"K. E. Roe",NA,NA,NA,"G. J. Schwarz","1944","11","22","Argentina","Corrientes","Mburucuyá",NA,NA,NA,NA,"NY00722991",NA,"178","Establecimiento La Yerba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00700350","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe",NA,NA,NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro","-42.2789","-20.7258",NA,NA,"NY00700350","NY00700350_01","707",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834107' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00723014","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe",NA,NA,NA,"J. E. Montes","1945","01","23","Argentina","Misiones","Candelaria",NA,NA,NA,NA,"NY00723014",NA,"518","Loreto","218","218","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858657' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","770471","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","M. H. Nee",NA,NA,NA,"E. Basseto","1977","07","14","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,"NY00770471","NY00770471_01","2","Capital, Parque do Estado.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00700349","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe",NA,NA,NA,"J. E. B. Warming",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00700349","NY00700349_01","771","Ad Lagoa Santa",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834095' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
