"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"11","2020-12-20 21:16:14-03","UFV","VIC","29427","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Araújo, R.S. de; et al.","97","2007","08","16",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha do Baú. Floresta Estacional Semidecídua.","-43.5080986022949","-20.2875003814697",NA,"Arbórea com c.a. de 3,0 metros de altura; folíolulos dentados; cálice rosa escuro, flores lilases.","VIC029427","VIC029427",NA,NA,"Araújo, R.S. de","44599","auto","2007","09","15",NA,NA,NA,NA,NA
"12","2021-03-01 16:26:34-03","UNICAMP","UEC","200474","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Pereira, LS; Belinello, R; Leal, DAG","N127","2009","09","02",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.183333","-23.4",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 13 metros de altura. Frequência da espécie na parcela: n=9; Mata Atlântica","UEC158032","UEC158032","990","1045","Pereira, LS; Buturi, FOS",NA,NA,NA,NA,NA,"-45.183333","-23.4",NA,NA,NA
"13","2021-03-01 16:26:34-03","UNICAMP","UEC","182907","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Vinha, D","32",NA,NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","mata",NA,NA,NA,"Plântula originada no banco de sementes do solo e cultivada em casa de vegetação. Coletas de solo realizadas nas parcelas K e N do projeto Biota Gradiente Funcional, localizadas no Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","UEC011486",NA,"1100","1100","Tamashiro, JY",NA,NA,"2014","12","01",NA,NA,NA,NA,NA
"14","2021-03-01 16:26:34-03","UNICAMP","UEC","188951","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Silva, BG","154","2014","04","10",NA,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.971389","-24.064722",NA,"Árvore, 8 m de altura e 11,1 cm de DAP; Floresta Ombrófila Densa","UEC119437","UEC119437","800","800",NA,NA,NA,NA,NA,NA,"-47.971389","-24.064722",NA,NA,NA
"15","2021-03-01 16:26:34-03","UNICAMP","UEC","166659","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Padgurschi, MCG; Tamashiro, JY; Belinello, R","1056","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.","-45.068056","-23.325556",NA,"K1185 Árvore, ca. 13 m, sem flores ou frutos. Abundância: 9 ind.ha-1.","UEC039901","UEC039901","1049","1093","Tamashiro, JY",NA,NA,"2009",NA,NA,"-45.068056","-23.325556",NA,NA,NA
"16","2021-03-01 16:26:34-03","UNICAMP","UEC","166660","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Padgurschi, MCG; Tamashiro, JY; Belinello, R","396","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.","-45.068056","-23.325278",NA,"K0449 Árvore, ca. 20 m, sem flores ou frutos. Abundância: 9 ind.ha-1.","UEC039861","UEC039861","1066","1093","Tamashiro, JY",NA,NA,"2009",NA,NA,"-45.068056","-23.325278",NA,NA,NA
"17","2020-06-18 10:56:01-03","UFRRJ","RBR","2883","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Gentry; E. Zardini","49383","1985","01","09",NA,"Brasil","São Paulo","Natividade da Serra","Road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy.","-45.5","-23.466667",NA,NA,"RBR00002883","RBR00002883","700","700",NA,NA,NA,NA,NA,NA,"45º30'W","23º28'S",NA,NA,NA
"18","2020-06-18 10:56:01-03","UFRRJ","RBR","2884","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Gentry; E. Zardini","49382","1985","01","09",NA,"Brasil","São Paulo","Natividade da Serra","Road NE from Sp. Hwy 99 at Km 66, 0-2.4 km from main hwy.","-45.5","-23.466667",NA,NA,"RBR00002884","RBR00002884","700","700",NA,NA,NA,NA,NA,NA,"45º30'W","23º28'S",NA,NA,NA
"19","2020-06-18 10:56:01-03","UFRRJ","RBR","2899","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Gentry; E. Zardini","49908","1985","01","27",NA,"Brasil","Paraná","Curitiba","Reserva Barigui.","-49.25","-25.5",NA,NA,"RBR00002899","RBR00002899",NA,NA,NA,NA,NA,NA,NA,NA,"49º15'W","25º30'S",NA,NA,NA
"20","2021-03-21 19:33:13-03","UFC","EAC","20900","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Oliveira, M.R.L.","111","1993","10","15","Southern America","Brasil","Ceará","Guaramiranga","Sítio Cana-brava","-38.9331016540527","-4.26332998275757",NA,"Árvore.","EAC0020900","EAC0020900","960","960","Araújo, R.S.","13198","auto","2018","02","28",NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","1041145","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Elza Fromm Trinta|et al.","Fromm Trinta 215","1961","10","14","South America","Brazil","São Paulo",NA,"S. Paulo-Santo, Alto da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","1041836","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Custodio Filho|Alwyn H. Gentry","Custodio Filho 4521","1987","2","3","South America","Brazil","São Paulo",NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim","-46","-23.38333",NA,NA,NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","1041852","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","J.P. Lanna S.","Lanna Sobrinho 1601","1967","10","25","South America","Brazil","Rio de Janeiro",NA,"Guanabara, Tijuca, Floresta, pr. Fazenda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","1042870","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Custodio Filho|Alwyn H. Gentry","Custodio Filho 4721","1987","2","5","South America","Brazil","São Paulo",NA,"Boraceia, between Moji das Cruzes and Biritiba- Mirim, crest of Serra do Mar","-46","-23.58333",NA,NA,NA,NA,"760.00000000","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2014-11-06 22:08:00-02","MO","MOBOT","1044366","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 41-18275","1975","2","18","South America","Brazil","Rio de Janeiro",NA,"Angra dos Reis, Serra do Mar, from Parati to Cunha","-44.83333","-23.16666",NA,NA,NA,NA,"970.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2014-11-06 22:08:00-02","MO","MOBOT","1044376","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 12-9875","1975","8","9","South America","Brazil","São Paulo",NA,"Ubatuba, Serra do Mar, road from Ubatuba to Taubate, km 78-89","-45.11666","-23.41666",NA,NA,NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2014-11-06 22:08:00-02","MO","MOBOT","1044387","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 211-15875","1975","8","15","South America","Brazil","São Paulo",NA,"Ubatuba, Serra do Mar, road from Ubatuba to Taubate, km 78-89","-45.11666","-23.41666",NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2014-11-06 22:08:00-02","MO","MOBOT","1044395","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 31-10275","1975","2","10","South America","Brazil","São Paulo",NA,"Eldorado, Serra da Paranapiacaba",NA,NA,NA,NA,NA,NA,"270.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2014-11-06 22:08:00-02","MO","MOBOT","1044405","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 11-8875","1975","8","8","South America","Brazil","São Paulo",NA,"Ubatuba, Serro do Mar, road from Ubatuba to Tabubate, km 78-89",NA,NA,NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2010-02-13 22:49:00-02","MO","MOBOT","1044425","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. Custodio Filho","Custodio Filho 527","1981","2","11","South America","Brazil","São Paulo",NA,"Cunha, Reserva Florestal.","-44.83333","-23.16666",NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2014-11-06 22:08:00-02","MO","MOBOT","1254453","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 21-11875","1975","8","11","South America","Brazil","São Paulo",NA,"Mun de Ubatuba. Serra do Mar, along the road from Ubatuba to Taubate, km 78-89","-45.11666","-23.41666",NA,NA,NA,NA,"20.00000000","900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","1254454","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Santos","Santos 14177","1935","11","28","South America","Brazil","Rio de Janeiro",NA,"Sta M. Magaolena. Morro da Estacão.",NA,NA,NA,NA,NA,NA,NA,NA,"A. Gentry (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","1254455","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Wilfried Morawetz","Morawetz 51-18275","1975","2","18","South America","Brazil","Rio de Janeiro",NA,"Mun de Angra dos Reis, Serra do Mar. On the way from Parati to Cunha.","-44.83333","-23.16666",NA,NA,NA,NA,"830.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","480798","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco","Gentry 59034","1987","9","4","South America","Brazil","São Paulo",NA,"Carlos Botelho State Park, ca. 30 km S of Park headquarters.","-46.91666","-24.33333",NA,NA,NA,NA,"300.00000000",NA,"A. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,"87-213","6"
"35","2008-05-27 22:02:00-03","MO","MOBOT","481028","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Alwyn H. Gentry|Elsa M. Zardini","Gentry 49382","1985","1","9","South America","Brazil","São Paulo",NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy., wet premontante forest.","-45.5","-23.46666",NA,NA,NA,NA,"700.00000000","750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-22","3"
"36","2008-05-27 22:02:00-03","MO","MOBOT","481044","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Alwyn H. Gentry|Elsa M. Zardini","Gentry 49383","1985","1","9","South America","Brazil","São Paulo",NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy., wet premontante forest.","-45.5","-23.46666",NA,NA,NA,NA,"700.00000000","750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-22","5"
"37","2008-05-27 22:02:00-03","MO","MOBOT","487329","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco","Gentry 58800","1987","9","2","South America","Brazil","São Paulo",NA,"Carlos Botelho State Park, Riberão Branco, Km 55, ca. 23 km S of Park headquarters. Transect 1","-46.93333","-24.25",NA,NA,NA,NA,"560.00000000",NA,"A. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,"87-194","3"
"38","2019-11-21 10:02:14-03","IBt","SP","285331","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Garcia, RJF; Ferreira, GMP; Falanga, R","704","1995","08","14",NA,"Brasil","São Paulo","São Paulo","Sítio à esquerda na estrada Eng. Marsilac, sentido Eng. Marsilac. Trilha após a travessia do riacho, no sentido do pasto","-46.727778","-23.896111",NA,NA,"SP059046","SP059046",NA,NA,NA,NA,NA,NA,NA,NA,"-46.727778","-23.896111",NA,NA,NA
"39","2019-11-21 10:02:14-03","IBt","SP","405","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Schwebel, E","s.n.","1917","10",NA,NA,"Brasil","São Paulo","Santo André","Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,"SP003397","SP003397",NA,NA,"Morawetz, W","27258","auto","1979",NA,NA,NA,NA,"Paratype",NA,NA
"40","2020-11-12 15:23:31-03","IBt","SP","277525","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Tamashiro, JY; Ivanauskas, NM; Souza, JP; Miyagi, PH; Belinello, R; Fernandes, GD","886","1995","04","13",NA,"Brasil","São Paulo","São Bento do Sapucaí","Estrada de terra para Campos do Jordão","-45.7299995422363","-22.6800003051758",NA,NA,"SP059045","SP059045",NA,NA,NA,"18089","auto",NA,NA,NA,NA,NA,NA,NA,NA
