"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","typeStatus","class","verbatimLongitude","verbatimLatitude","fieldNumber"
"15","2019-12-19 11:19:09-03","UFG","UFG","30655","S","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","Ferreira, H.D.","H.D. Ferreira","4488","2007","04","18",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,"Obs: Erva cerca de 60 cm altura, corola lilás","UFG0030655","UFG0030655","2007","85457","auto","04","18",NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3232906","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B. Pastore",NA,"G. Hatschbach & J. Cordeiro","51861","1988","1","25","South America - Neotropics","Brazil","Goiás",NA,"Rod. BR-040, 15-20 km L de Cristalina.",NA,NA,NA,NA,NA,NA,"US02887788","US02887788_01",NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA
"17","2020-09-02 16:29:58-03","Cenargen","CEN","23247","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","J. F. B. Pastore","Taciana Barbosa Cavalcanti","761","1990","08","17",NA,"Brasil","GO","POSSE","BR - 020, a 4 km S do entroncamento da estrada Posse - Brasília.","-46.3694000244141","-14.0930995941162","950","950","Exsicatas","Corola com manchas lilases.","CEN00023247","CEN00023247","2014","55730","auto","02",NA,"4",NA,NA,NA,NA,NA
"18","2019-11-13 11:20:36-03","USP","SPF","188424","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","Buchoski, MG","Paula-Souza, J","8745","2007","10","03",NA,"Brasil","Goiás","Cristalina",NA,"-47.7684","-16.6056",NA,NA,NA,NA,"SPF00188424","SPF00188424","2019",NA,NA,"06",NA,NA,NA,NA,"-47.7684","-16.6056",NA
"19","2019-11-13 11:20:36-03","USP","SPF","109243","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","Buchoski, MG","Hatschbach, G","51861","1988","01","25",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"SPF00109243","SPF00109243","2019","85457","auto","06",NA,NA,NA,NA,NA,NA,NA
"20","2019-10-07 09:16:02-03","UEFS","HUEFS","143580","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","R.M.Harley","Pastore, J.F.B.","2575","2008","04","12",NA,"Brasil","Goiás","Cristalina","Beira da Estrada, ca. 3km de Cristalina.","-47.6136016845703","-16.7686004638672",NA,NA,NA,"Brejo arenoso, areia branca.","HUEFS0143580","HUEFS0143580","2014","85457","auto","05",NA,NA,NA,"Asteranae",NA,NA,NA
"21","2019-12-13 13:54:03-03","UEFS","HUEFS","117510","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R.M.Harley","Pastore, J.F.B.","1701","2007","01","05",NA,"Brasil","Goiás","Hidrolândia","Morro Feio.","-49.231667","-16.923333","903","903",NA,"Campo sujo e limpo. Laterita e pedra sabão. Plano.","HUEFS0117510","HUEFS0117510","2011",NA,NA,"10",NA,NA,NA,"Asteranae","49W13'54''","16S55'24''",NA
"22","2019-12-13 13:54:03-03","UEFS","HUEFS","9747","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.",NA,"Hatschbach, G.","51861","1988","01","25",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"HUEFS0009747","HUEFS0009747",NA,"85457","auto",NA,NA,NA,NA,"Asteranae",NA,NA,NA
"23","2018-05-14 17:19:43-03","F","FMNH-SEEDPLANTS","V0143969F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia",NA,NA,"H. S. Irwin","9806",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,"-48","-12",NA,NA,NA,NA,"V0143969F","V0143969F_01 V0143969F_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"9806"
"24","2019-09-04 18:53:09-03","F","FMNH-SEEDPLANTS","V0061002F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia",NA,NA,"J. B. E. Pohl","1020",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0061002F","V0061002F_01",NA,NA,NA,NA,NA,NA,"Isotype","Dicotyledoneae",NA,NA,NA
"25","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.",NA,"Pohl, JBE","1020",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"in monte Clarvo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.",NA,"?","s.n.",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Crescit in prov. Goyazensi ad Serra dos Chrystaes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-23 10:20:40-03","IBt","SP","298926","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","Buchoski, MG","Kral, R; Wanderley, MGL","75916","1988","12","06",NA,"Brasil","Goiás","Cristalina","4 km sudeste de Cristalina, estrada para Paracatu","-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,NA,NA,"2019","85457","auto","06",NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:07:12-03","IBt","SP","292741","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B.Pastore","Pastore, JFB","Cavalcanti, TB; et al.","761","1990","08","17",NA,"Brasil","Goiás","Posse","Br-020, a 4 km S do entroncamento da estrada Posse/Brasília","-46.3694000244141","-14.0930995941162","850","850",NA,NA,NA,NA,NA,"55730","auto",NA,NA,NA,NA,NA,NA,NA,NA
