"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"11","2021-04-05 14:33:29-03","UNESC","CRI","15296","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","João Paulo Gava Just","2020","01","10","João Paulo Gava Just","2020","01","10","Brasil","Santa Catarina","Nova Veneza","-49.5075","-28.642222","49º30'27''W","28º38'32''S","77","77","CRI014713",NA,"Bairro Bortolotto.",NA,"fruto vermelho sangue/verde JGJ_005 Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:29-03","UNESC","CRI","8277","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette","2006",NA,NA,"Tanise Boeira Pelegrine Bertolin","2006",NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"CRI002590","CRI002590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:14-03","UNESC","CRI","5166","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; T. Ike & T. Komatsubara","1996","11","04","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI002562","CRI002562","Rocinha.","2319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:14-03","UNESC","CRI","14816","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Alecsandro Shardosim Klein","2002","08","07","Alecsandro Shardosim Klein","2002","08","07","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","164","164","CRI014141",NA,"Barragem",NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:14-03","UNESC","CRI","611","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002584","CRI002584","Rio Novo.","961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:14-03","UNESC","CRI","3280","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1993","11","18","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002569","CRI002569","Rio Novo.","1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:14-03","UNESC","CRI","8364","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette",NA,NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.431944","-28.69","49º25'55''W","28º41'24''S","46","46","CRI002587","CRI002587","Parque Ecológico Municipal José Milanese.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:14-03","UNESC","CRI","3513","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Marcos Sobral",NA,NA,NA,"Robson dos Santos","1994","09","22","Brasil",NA,"Brasil","-49.7","-29.133333","49º42'W","29º8'S","30","30","CRI002571","CRI002571","Proximidades da Escola Técnico Federal Agrícola.","122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:14-03","UNESC","CRI","622","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","11","14","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002565","CRI002565","Rio Novo.","972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:25:14-03","UNESC","CRI","1209","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1992","10","15","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002567","CRI002567","Rio Novo.","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:14-03","UNESC","CRI","340","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff","1986","04","25","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S",NA,NA,"CRI009733","CRI009733","Banhado da estiva.","706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:14-03","UNESC","CRI","11914","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Peterson T. Padilha","2010","07","13","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo","-49.685","-28.915556","49º41'6''W","28º54'56''S",NA,NA,"CRI002582","CRI002582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:33:29-03","UNESC","CRI","3893","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1988","11","02","Brasil","Rio Grande do Sul","Pelotas","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","CRI002592","CRI002592","Três cerros.","1029","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:14-03","UNESC","CRI","3698","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Marcos Sobral",NA,NA,NA,"R. Záchia","1992","10","31","Brasil",NA,"Brasil","-50.01","-29.746111","50º0'36''W","29º44'46''S","2","2","CRI002589","CRI002589",NA,"1203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-23 10:39:10-03","E","E","84505","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Proenca, C. & Moretto, G.L.","1996","01","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00084505",NA,NA,"34","<a href=http://data.rbge.org.uk/herb/E00084505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:93688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-09-23 10:39:10-03","E","E","280544","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Howorth, R.","1999","06","28","VE",NA,NA,NA,NA,NA,NA,NA,NA,"E00280544",NA,NA,"190","<a href=http://data.rbge.org.uk/herb/E00280544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:288933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-23 10:39:10-03","E","E","280542","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Howorth, R.","1999","06","30","VE",NA,NA,NA,NA,NA,NA,NA,NA,"E00280542",NA,NA,"224","<a href=http://data.rbge.org.uk/herb/E00280542 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:288925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-23 10:39:10-03","E","E","280543","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Howorth, R.","1999","06","22","VE",NA,NA,NA,NA,NA,NA,NA,NA,"E00280543",NA,NA,"136","<a href=http://data.rbge.org.uk/herb/E00280543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:288927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-23 10:39:10-03","E","E","280533","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Howorth, R.","1999","07","01","VE",NA,NA,NA,NA,NA,NA,NA,NA,"E00280533",NA,NA,"243","<a href=http://data.rbge.org.uk/herb/E00280533 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:288906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-23 10:39:10-03","E","E","187574","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia",NA,NA,NA,NA,NA,"Harley, R.M.","1991","12","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00187574",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00187574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:195348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","03926329","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","acroneura","Alchornea acroneura","Pax & K.Hoffm.",NA,NA,NA,NA,"A. Fuentes C.","2003","11","11","Bolivia","La Paz","Franz Tamayo","-68.6719","-14.6289",NA,NA,"1470",NA,"NY03926329",NA,"Parque Nacional Madidi, Pata, camino hacia el N. Bosque yungueño estacional humedo alterado y bosque secundario","5907","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4211816' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4203555","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","brevistyla","Alchornea brevistyla","Pax & K.Hoffm.",NA,NA,NA,NA,"P. Núñez","1998",NA,NA,"Peru","Cusco","La Convencion","-73.5","-12.85",NA,NA,"2445",NA,"NY04203555",NA,"Dept. Cuzco, Distr. Echarati East rio Apurimac NE Pueblo Libre, up mountain of Anchihuay & Bellavista, south Cordillera Vilcabamba.","23687","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4558801' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","503904","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia triplinervia","(Spreng.) Müll.Arg.","L. B. Smith",NA,NA,NA,"R. M. Klein","1956","01","24","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"250","250","NY00503904","NY00503904_01","Morro da Ressacada, Itajaí","1836","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409028' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales","triplinervia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01300860","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","L. J. Gillespie",NA,NA,NA,"P. J. M. Maas","1987","11","01","Brazil","Amazonas",NA,"-66.88","0.166667",NA,NA,NA,NA,"NY01300860","NY01300860_01","Rio Negro, Rio Demití (=Bemití), 2 to 1 hour motor boat from mouth.","6897","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325518' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02691747","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","W. Trujillo",NA,NA,NA,"N. Castaño Arboleda","2011","05","04","Colombia","Caquetá","El Doncello","-75.30419444","1.681555556",NA,NA,"500",NA,"NY02691747","NY02691747_01","vereda Granada, camino Doncello-Berlín","3299","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353322' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3926585","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"C. E. Cerón Martínez","1988","08","24","Ecuador","Napo",NA,"-77.6","-1.07",NA,NA,"450",NA,"NY03926585",NA,"Estación Biológica Jatun Sacha.","4588","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4212745' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","503875","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00503875","NY00503875_01","Brasilia","617","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589532' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","503858","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","G. M. Barroso",NA,NA,NA,"W. Hoehne","1968","09","11","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,"NY00503858","NY00503858_01","Rio de Janeiro. Estr. Santa Cruz. K. 47","6257","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589470' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","503897","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia parvifolia","(Miq.) Müll.Arg.","A. Radcliffe-Smith",NA,NA,NA,"R. M. Harley","1974","01",NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00503897","NY00503897_01","Serra do Sincorá","16017","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527505' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales","parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","870143","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","C. G. Leal",NA,NA,NA,"A. C. Brade","1934","06",NA,"Brazil","Minas Gerais","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,"NY00870143","NY00870143_01","Conselheiro Matta.","13586","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097304' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02851821","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY02851821","NY02851821_01",NA,"28","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3151572' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","3926550","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"R. T. Pennington","1988","08","10","Bolivia","Pando",NA,"-69.08","-11.42",NA,NA,"250",NA,"NY03926550",NA,"74 km SW Cobija. Puerto Oro. Gentle SW slope.","99","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4212701' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","503843","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","D. C. Daly",NA,NA,NA,"L. P. de Queiroz","1995","03","14","Brazil","Bahia","Morro do Chapéu","-41.1558","-11.5503",NA,NA,NA,NA,"NY00503843","NY00503843_01","Morrao, em torno da estaçao retransmissora da Telebahia, a ca. 1 km do entroncamento para Morro do Chapéu com a BA-052 (estrada do feijao)","4270","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589464' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","3926626","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"D. C. Daly","1987","04","14","Peru","Loreto","Requena","-73.75","-4.92",NA,NA,NA,NA,"NY03926626",NA,"Dtto. Sapuena. Basin of Río Ucayali. Arboretum Jenaro Herrera","5079","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4212788' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","3926631","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"M. Rimachi Y.","1976","04","20","Peru","Loreto","Maynas",NA,NA,NA,NA,NA,NA,"NY03926631",NA,"Dtto. Iquitos. Río Nanay below Bellavista, Carretera de Picuruyacu","2189","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4212793' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00503891","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia laevigata","Müll.Arg.",NA,NA,NA,NA,"B. A. Krukoff","1933","06","29","Brazil","Amazonas",NA,"-70.25","-7.5",NA,NA,NA,NA,"NY00503891","NY00503891_01 NY00503891_02","Near mouth of Rio Embira (tributary of Rio Tarauaca)","5067","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=174005' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales","laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA
