"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"14","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","32192",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","R. Goldenberg/2013","H. Q. Boudet Fernandes; V. Demuner, T. A. Cruz, R. R. Vervloet","3419","2007","10","03",NA,"Brasil","Espírito Santo","Águia Branca","Santa Lúzia. Pedra do Ciro.","-40.662222","-18.985806","175","175",NA,"Vegetação rupestre. Arbusto 5m x 10cm. Flores rosa.","MBML032192","MBML032192_1 MBML032192_2",NA,NA,NA,"40W39'44","18S59'8,9",NA,NA,NA,NA,NA
"15","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","33323",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kullmann","R.Goldenberg/2012","R. Goldenberg; A.P. Fontana, C.N. Fraga, C. Esgario","1153","2008","05","11",NA,"Brasil","Espírito Santo","Águia Branca","Santa Luzia, Córrego Taquaral","-40.648056","-19.022778",NA,NA,NA,"Arbusto 1,5m, sobre pedra pouco inclinada; flores com pétalas purpúreas e base branca; estames com anteras rosadas e filetes brancos","MBML033323","MBML033323",NA,NA,NA,"40W38'53","19S1'22",NA,NA,NA,NA,NA
"16","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","38219",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlmann","A.P. Fontana/Jan.-2013","L. Kollmann; E.Leme & M.Grossi","11724","2009","07","04",NA,"Brasil","Minas Gerais","Carlos Chagas","Pedra perto do Posto Kaladão","-40.995833","-17.8625","345","345",NA,"Arvoreto 4 m ao sol, frutos secos.","MBML038219","MBML038219",NA,NA,NA,"40W59'45","17S51'45",NA,NA,NA,NA,NA
"17","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","48760",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kulhm.","R. Goldenberg/2015","T. Bochorny; R. Goldenberg, L.F. Bacci & L. Kollmann","145","2015","05","13",NA,"Brasil","Espírito Santo","Águia Branca","Afloramento rochoso, prop. José Rochinha","-40.6961","-18.9941","200","200",NA,"Arbusto ca. 2,5 m alt. Folhas glabras. Frutos secos velhos.","MBML048760","MBML048760",NA,NA,NA,"40W41'45,96","18S59'38,76",NA,NA,NA,NA,NA
"18","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","51090",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","R. Goldenberg/2019","A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5898","2009","04","22",NA,"Brasil","Bahia","Guaratinga","Buranhén. Afloramento rochoso na estrada para Santo Antonio do Jacinto.","-40.1575","-16.584722","406","406",NA,"Árvore, ca. 5m. Frutos secos.","MBML051090","MBML051090_1 MBML051090_2",NA,NA,NA,"40W9'27","16S35'5",NA,NA,NA,NA,NA
"19","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","51706",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kulhm.",NA,"A. P. Fontana; C. Esgario","2134","2006","05","22",NA,"Brasil","Espírito Santo","São Roque do Canaã","Misterioso, Pedra dos Três Carneiros. Inselbergue","-40.756389","-19.768056","600","600",NA,"Arbusto ca. 1,8m, heliófila, rupícola. Flores lilás. Frutos amarronzados.","MBML051706","MBML051706",NA,NA,NA,"40W45'23","19S46'5",NA,NA,NA,NA,NA
"20","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","54044",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlmann","M. Gomes/04-04-2019","G. Martinelli; N. Pougy, D. Maurenza & C. Carvalho","20740","2018","11","26",NA,"Brasil","Bahia","Itamarajú","Assentamento Pau-Brasil, Núcleo Pau-Brasil, Monte das Orquídeas, afloramento rochoso","-39.568889","-16.971667","120","120",NA,"Saxícola, heliófila, frequente, folhas verdes, discolores, flores com cálice atropurpúreo, corola roxo-avermelhado, estames roxo com anteras creme, botões florais atropurpúreo, frutos imaturos atropurpúreo","MBML054044","MBML054044",NA,NA,NA,"39W34'8","16S58'18",NA,NA,NA,NA,NA
"21","2021-01-19 14:30:51-03","MBML","MBML-HERBARIO","54440",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Gonella, P.M., 2019","P.M. Gonella; T.H. Condez, C.N. Fraga & D.R. Couto","1140","2019","10","18",NA,"Brasil","Espírito Santo","Pancas","Estrada para a rampa de vôo livre em área de afloramento rochoso.","-40.876444","-19.231778","745","745",NA,"Inselberg. Ilhas de vegetação sobre o afloramento rochoso. Árvore sobre rocha c. 3.5 m alt. Flores magenta escuro. Em final de floração e início de brotação.","MBML054440",NA,NA,NA,NA,"40W52'35,2","19S13'54,4",NA,NA,NA,NA,NA
"22","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","5968",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlmann","Wurdack/1991","H. Q. Boudet Fernandes; et al","2958","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444",NA,NA,NA,"Arbusto 3,5m de altura, frutos passados, castanhos.","MBML005968","MBML005968",NA,NA,NA,"40W22'37","19S53'22",NA,NA,NA,NA,NA
"23","2021-02-25 10:13:00-03","CVRD","CVRD","13204","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Geovane S. Siqueira","Folli, D.A.","6735","2010","11","11","América do Sul","BRASIL","BA","Itamaraju",NA,"-39.699621","-16.871601",NA,NA,NA,"árvore em pedreiras <ll>dwc_commonname:</ll> Manacá da serra","CVRD013204",NA,NA,NA,"2010","-39,699621","-16,871601","11","11","Magnoliopsida",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2846248","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.",NA,"S. Mori, L. A. Mattos Silva & T. S. Santos","10723","1978","9","19","South America - Neotropics","Brazil","Bahia","Itamaraju","Fazenda Pau-Brasil, ca.5km a NW de Itamaraju. Folha SE-24 (17-40d)","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,"US01901228","US01901228_01 US01901228_02","55932","auto",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"25","2020-07-23 12:13:03-03","CEPLAC","CEPEC","62572","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra",NA,"J. J. Wurdack","H. Q. B. Fernandes","2958","1990","05","28",NA,"Brasil","Espírito Santo","IBIRAÇU","Estação Ecologica do Morro da Vargem. Trilha do Mirante 1.","-40.383333","-19.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W23'","19S53'",NA,NA,NA,NA,"30/12/1991"
"26","2020-07-23 12:13:03-03","CEPLAC","CEPEC","150120","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra",NA,"R. Asprino","Nogueira, M.G.C.","201","2014","08","03",NA,"Brasil","Bahia","ITAMARAJÚ","Conglomerado BA_1404-1-6-13","-39.599444","-16.919722",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"39W35'58","16S55'11",NA,NA,NA,NA,NA
"27","2020-07-23 12:13:03-03","CEPLAC","CEPEC","14701","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra",NA,"J. J. Wurdack","S. A. Mori","10723","1978","09","19",NA,"Brasil","Bahia","ITAMARAJÚ","Faz. Pau-brasil, Ca. 5Km NW de Itamarajú","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,NA,NA,"55932","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/1979"
