"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"18","2021-03-15 16:37:00-03","NY","NYBG","540470","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"L. B. Smith","13159","1964","11","11","Brazil","Santa Catarina","Itapiranga","Steep slope by Rio Uruguai, 3-4 km west of Itapiranga","-53.73","-27.17",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540470",NA,NA,NA,NA,"200","250","Magnoliophyta","Malpighiales","South America","sheet","NY00540470_01",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1075504","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","27427","1970","03","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 20 km E. of Diamantina","-43.5196","-18.18055",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075504",NA,NA,NA,NA,"790","790","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","540480","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"G. G. Hatschbach","40225","1977","11","16","Brazil","Paraná","Palmeira","Rod. de Café, rio Tibagi","-49.891776","-25.299294",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540480",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540480_01",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","540474","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"A. F. M. Glaziou","8320","1870","02","12","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.5631","-22.4961",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540474",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540474_01",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00750380","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","18536","1968","01","13","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750380",NA,NA,NA,NA,"1150","1150","Magnoliophyta","Malpighiales","South America","sheet","NY00750380_01",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","540479","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"G. G. Hatschbach","31107","1973","01","10","Brazil","Paraná","Jaguariaíva","Corrego 3 Bocas","-49.7056","-24.2511",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540479",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540479_01",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","540475","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"R. Reitz","9525","1960","02","06","Brazil","Santa Catarina","Blumenau","Salto Weissbach, Blumenau","-49.0658","-26.9194",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540475",NA,NA,NA,NA,"20","20","Magnoliophyta","Malpighiales","South America","sheet","NY00540475_01",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1075498","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","6161","1964","09","12","Brazil","Distrito Federal","Brasília","Catetinho, ca. 15 km. S.W. of Brasília.","-48.13","-15.9",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075498",NA,NA,NA,NA,"700","1000","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","540471","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"A. E. Burkart","18023","1949","10","18","Argentina","Entre Ríos",NA,"Concepción del Uruguay, Isla Cambacúa",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540471",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540471_01",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1075501","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","9846","1965","11","03","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 5 km S. of Cristalina","-47.6","-16.79518",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336524' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075501",NA,NA,NA,NA,"1175","1175","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","540469","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"W. G. F. Herter","1004a","1927","11",NA,"Uruguay","Rio Negro",NA,"San Javier",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540469",NA,NA,NA,NA,"50","50","Magnoliophyta","Malpighiales","South America","sheet","NY00540469_01",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","540484","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"A. Lourteig","2318","1967","12","17","Brazil","Santa Catarina","Ascurra","Mun. Ascurra, Subida","-49.451246","-27.109582",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540484",NA,NA,NA,NA,"100","100","Magnoliophyta","Malpighiales","South America","sheet","NY00540484_01",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","540482","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"R. A. Wasum","4795","1988","10","30","Brazil","Rio Grande do Sul","Caxias do Sul","Criuva - Ilhéus","-51.1792","-29.1683",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540482",NA,NA,NA,NA,"800","800","Magnoliophyta","Malpighiales","South America","sheet","NY00540482_01",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1075495","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","11416","1966","01","06","Brazil","Distrito Federal","Brasília","Riberão Torto, near Sobradinho","-47.87","-15.72",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075495",NA,NA,NA,NA,"975","975","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1075499","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"A. F. M. Glaziou","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"[collector number partly illegible; probably 17212] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075499",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","540477","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"A. Gevieski","48","1953","11","26","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540477",NA,NA,NA,NA,"100","100","Magnoliophyta","Malpighiales","South America","sheet","NY00540477_01",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","540486","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"E. Hassler","9378","1905","03",NA,"Paraguay","Caaguazú",NA,"Prope Caaguazú",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540486",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00750352","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Müll.Arg.","G. G. Hatschbach",NA,"G. G. Hatschbach","38935","1976","10","04","Brazil","Goiás","Ipameri","Rio Corumba.","-48.1594","-17.7219",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750352",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00750352_01",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1075502","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana mucronata","(Müll.Arg.) Müll.Arg.",NA,NA,"D. Philcox","4953","1968","05","05","Brazil","Distrito Federal","Brasília","Side of Rio Paranoá.","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075502",NA,NA,NA,"mucronata",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1075502","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana mucronata","(Müll.Arg.) Müll.Arg.",NA,NA,"D. Philcox","4953","1968","05","05","Brazil","Distrito Federal","Brasília","Side of Rio Paranoá.","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075502",NA,NA,NA,"mucronata",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 11:08:34-03","UNESP-IBB","BOTU","22420","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll. Arg.) Müll. Arg",NA,NA,"Amaral Jr., A.","350","1999","04","08","Brasil","Mato Grosso do Sul","Três Lagoas",NA,"-51.631528","-20.87875",NA,"Arbusto com flores amarelas e frutos.","BOTU022420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51°37'53.5w","20°52'43.5s",NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:30:18-03","UFRJ","RFA","34916","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","C.M. Vieira",NA,"C.M. Vieira; M.A. Louzada","1396","2004","05","22","Brasil","Rio de Janeiro","Itaocara","Trecho entre a ilha do Capixete (Itaocara) e a ilha do Ramão (Cambuci)","-42.076099395752","-21.6692008972168","22830","Arbusto reófito, crescendo entre pedras no rio e pequenas ilhas, muito comum. Folhas verdes discolores. Frutos verde-vinosos","RFA40588","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-13 09:19:40-03","UFRJ","RFA","10920","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","G.G. Hatschbach",NA,"G.G. Hatschbach","25173","1970","10","24","Brasil","Mato Grosso do Sul","Rio Brilhante","Rio Vacaria, margem do rio","-54.5463981628418","-21.8019008636475","65544","Arbusto 2 m de altura","RFA40606","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-13 09:19:40-03","UFRJ","RFA","9179","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","G.G. Hatschbach",NA,"G.G. Hatschbach; H. Haas","13937","1966","03","02","Brasil","Paraná","Jaguariaíva","Lageado 5 Reis","-49.7057991027832","-24.2511005401611","44368","Arbusto; flor creme","RFA40604","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-24 17:10:38-03","UTFPR","DVPR","5926","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.","Silva, DR","2018","Silva, DR; Piva, J; Machado, C","254","2018","04","05","Brasil","Paraná","Capitão Leonidas Marques","Futuro reservatório da UHE Baixo Iguaçu, entre as Córrego Leãozinho e do Rio Andrada.","-53.3352","-25.3021",NA,"Arbusto 2 m, Folhas verdes-discolores, glabas. inflorescência. Frutos secos, ferrugíneos. pto 1017A; Vegetação Riparia ocorrendo sobre associação entre Latossolo e Nitossolo vermelho, Neossolo Litólico e Chernossolo Argilúvico","DVPR005926",NA,"11","15",NA,"249","249","Magnoliophyta",NA,NA,NA,NA,"-53.3352","-25.3021",NA,NA,NA,NA,NA,NA
"43","2020-11-24 17:10:38-03","UTFPR","DVPR","4748","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.","Caxambu, MG","2015","Caxambu, MG; Siqueira, EL; Araújo, CC","6758","2015","08","14","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu do Iguaçu - Trilha da desembocadura do Rio São João do Iguaçu.","-54.28543","-25.3737",NA,"arbusto ca. 2 m, heliófito, rípario. Flores amarelas, diminutas.; Relevo: suave-ondulado.","DVPR004748",NA,"10","07",NA,"100","100","Magnoliophyta",NA,NA,NA,NA,"-54.28543","-25.3737",NA,NA,NA,NA,NA,NA
