"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","previousCatalogNumber"
"30","2009-07-17 17:34:00-03","MO","MOBOT","3116111","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Per Dusén","Dusén 15648","South America","Brazil",NA,NA,"P. Dusen","1914",NA,NA,"Paraná",NA,"uma N. 23 , in campo humido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800.00000000",NA,NA,NA,NA,NA
"31","2019-11-13 11:33:00-03","USP","SPF","10438","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Gehrt, A","s.n.",NA,"Brasil","SPF00010438",NA,"Hoehne, W","1930","06","18","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-25 13:53:47-03","UNIVILLE","JOI","15028","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Mancinelli, W.S.","1108",NA,"Brasil","JOI015028",NA,"Mancinelli, W. S.","2009","12","22","Santa Catarina","Garuva","Monte Crista.","-48.8549995422363","-26.0266990661621","22441","auto",NA,NA,"; HABITAT: campo; HABITO: erva","2009","12","22",NA,NA,"950","950",NA,NA,NA,NA
"33","2019-09-05 17:52:29-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Violaceae","Viola","gracillima","Viola gracillima",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA
"34","2016-08-23 10:23:05-03","NHMLondon","NHM-LONDON-BOT","BM000513352","S","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.",NA,NA,NA,"Brasil",NA,NA,"Ballard, Harvey E. - BHO, Environmental and Plant Biology Department, Ohio University - Ohio Univers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat: In campo humido.","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:1754601"
"35","2015-02-19 11:12:34-02","NHMLondon","NHM-LONDON-BOT","BM000513355","S","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.",NA,NA,NA,"Brasil",NA,NA,"Ballard, Harvey E. - BHO, Environmental and Plant Biology Department, Ohio University - Ohio Univers",NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","01","01",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:1754547"
"36","2020-08-20 20:39:51-03","UFSC","FLOR","35756","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Souza, M.L.; Zanin, A.; Longhi-Wagner, H.M. & Rieper, M.","1748",NA,"Brasil","FLOR0035756","FLOR0035756","Souza, M.L.","2006","12","05","Santa Catarina","Urubici","Fazenda do Sr. Arno Philippe, proximidades da casa da fazenda, Campo dos Padres.","-49.5917015075684","-28.0149993896484","30102","auto",NA,"Malpighiales","erva rasteira, flor violáceas e brancas. Comum","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Lindberg, GA","278","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"Minas Gerais",NA,"Circa Caldas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Lhotsky, J","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"Minas Gerais",NA,"Circa Caldas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Regnell, AF","261","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"Minas Gerais",NA,"Circa Caldas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Lund, PW","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"São Paulo",NA,"E. gr. ad urbes S. Paulo, Mugi etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Lund, PW","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"In umbrosis humidis Goyaz. Oreas.; HABITAT: In umbrosis humidis Goyaz. Oreas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Saint-Hilaire, AFCP","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"São Paulo",NA,"E. gr. ad urbes S. Paulo, Mugi etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Sellow, F","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"São Paulo",NA,"E. gr. ad urbes S. Paulo, Mugi etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:14:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Riedel, L","s.n.","Southern America","Brazil",NA,"P13P1N0071",NA,NA,NA,NA,"São Paulo",NA,"E. gr. ad urbes S. Paulo, Mugi etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-02-08 12:46:19-03","UFRGS","ICN","000725","S","Plantae","Dicotyledon","Violaceae","Viola","gracillima","Viola gracillima","Saint-Hilaire","Lutz, B","s.n.","América do Sul","Brasil",NA,NA,"Schultz","1949","12","22","RS","Lage de Pedra","entre Caracol e Canela",NA,NA,NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-02-08 12:46:19-03","UFRGS","ICN","190216","S","Plantae","Dicotyledon","Violaceae","Viola","gracillima","Viola gracillima","Saint-Hilaire","Silva Filho, PJS","1543","América do Sul","Brasil",NA,NA,"Silva Filho, PJS","2012","03","04","RS","São José dos Ausentes","Pico do Monte Negro. 28°37'1.55S / 49°47'58.58W","-49.799444","-28.616944",NA,NA,NA,NA,"Flores liláses com uma mancha amarela no interior; Beira da estrada, borda de campo seco",NA,NA,NA,"-49.799444","-28.616944","1330","1330",NA,NA,NA,NA
"47","2019-11-21 10:19:52-03","IBt","SP","14157","S","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Loefgren, A","CGG4415",NA,"Brasil","SP031541","SP031541","Marquete, NFS","1899","10","01","São Paulo","São Paulo","Arredores do Monumento do Ipiranga","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,"1981","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:19:52-03","IBt","SP","14160","S","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Usteri, A","s.n.",NA,"Brasil","SP025910","SP025910","Becker, W","1907","11","02","São Paulo","São Paulo","Barra Funda","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,"= Viola gracilissima A. St.-Hil., N.F.S. Marquete, 6/1981","1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2015-10-10 17:35:08-03","UM","RECOLNAT_UM_MPU","MPU010788","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,"Brésil","MPU010788","MPU010788_01","Saint-Hilaire",NA,NA,NA,NA,NA,"Paturages marécageux près St Paul",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu010788' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"syntype",NA,"hb",NA
