"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"11","2019-10-07 09:20:35-03","UEFS","HUEFS","12727","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Queiroz, L.P.de","2933","1992","12","08",NA,"Brasil","Bahia","Castro Alves",NA,"-39.466667","-12.85",NA,NA,"HUEFS0012727","HUEFS0012727 HUEFS0012727_01","2007",NA,"39W28'","12S51'",NA,NA,NA,NA,NA,"Lilianae",NA
"12","2019-10-07 09:20:35-03","UEFS","HUEFS","23963","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","França, F.","1944","1996","10","26",NA,"Brasil","Bahia","Itatim","Morro do Leão.","-39.683333","-12.716667",NA,"Encosta com rocha exposta.","HUEFS0023963","HUEFS0023963 HUEFS0023963_01 HUEFS0023963_02 HUEFS0023963_03","2011","03","39W41'","12S43'","310","310",NA,NA,NA,"Lilianae",NA
"13","2019-10-07 09:20:35-03","UEFS","HUEFS","4321","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Noblick, L.R.","3547","1985","03","01",NA,"Brasil","Bahia","Feira de Santana","Serra de São José","-38.966667","-12.25",NA,NA,"HUEFS0004321","HUEFS0004321 HUEFS0004321_01 HUEFS0004321_02 HUEFS0004321_03","2008",NA,"38W58'","12S15'",NA,NA,NA,NA,NA,"Lilianae",NA
"14","2019-10-07 09:20:35-03","UEFS","HUEFS","62639","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Jardim, J.G.","2817","2000","02","24",NA,"Brasil","Bahia","Santa Terezinha","Pedra Branca 14,5 km na rod. Elísio Medrado/Sta. Teresinha. Torre da Embratel, ca. 7 km do Distr. de Pedra Branca. Serra da Giboia.","-39.475833","-12.853611",NA,"Campos de Altitude.","HUEFS0062639","HUEFS0062639","2007",NA,"39W28'33''","12S51'13''","750","750",NA,NA,NA,"Lilianae",NA
"15","2019-10-07 09:20:35-03","UEFS","HUEFS","6796","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Queiroz, L.P.de","1096","1986","11","14",NA,"Brasil","Bahia","Castro Alves","Serra da Pioneira.","-39.466667","-12.85",NA,NA,"HUEFS0006796","HUEFS0006796 HUEFS0006796_01","2007",NA,"39W28'","12S51'",NA,NA,NA,NA,NA,"Lilianae",NA
"16","2019-10-07 09:20:35-03","UEFS","HUEFS","69732","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","van den Berg, C.","895","2003","03","08",NA,"Brasil","Bahia","Feira de Santana","Maria Quitéria Maria Quitéria, Serra de São José","-38.966667","-12.25",NA,"Topo do afloramento.","HUEFS0069732","HUEFS0069732","2007",NA,"38W58'","12S15'",NA,NA,NA,NA,NA,"Lilianae",NA
"17","2019-10-07 09:20:35-03","UEFS","HUEFS","4526","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Noblick, L.R.","3752","1985","05","25",NA,"Brasil","Bahia","Caetité","Morro com Antenas de Microondas de TV.","-42.5","-14.066667",NA,NA,"HUEFS0004526","HUEFS0004526 HUEFS0004526_01","2007",NA,"42W30'","14S4'","800","1000",NA,NA,NA,"Lilianae",NA
"18","2019-10-07 09:20:35-03","UEFS","HUEFS","128503","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","L.M.Versieux","Oliveira, U.C.de","1","2007","11","02",NA,"Brasil","Bahia","Santa Terezinha","Serra da Gibóia.","-39.5233001708984","-12.771900177002",NA,"Campo Rupestre.","HUEFS0128503","HUEFS0128503 HUEFS0128503_01 HUEFS0128503_02","2011","03",NA,NA,"850","850",NA,"25196","auto","Lilianae",NA
"19","2020-07-23 12:00:48-03","CEPLAC","CEPEC","88437","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii",NA,"T. Wendt","J. G. Jardim","2817","2000","02","24",NA,"Brasil","Bahia","SANTA TEREsINHA","14,5Km na Rod. Elício Medrado/Sta. Terezinha. Torre da Embratel, ca. 7Km do Distrito de Pedra Branca. Serra da Jibóia.","-39.475833","-12.853611",NA,NA,NA,NA,NA,NA,"39W28'33","12S51'13",NA,NA,NA,NA,NA,NA,"01/04/2003"
"20","2020-07-23 12:00:48-03","CEPLAC","CEPEC","94333","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii",NA,"G. M. Sousa","J. G. Jardim","2817","2000","02","24",NA,"Brasil","Bahia","SANTA TEREsINHA","14,5Km na Rod. Elísio Medrado/Sta.Teresinha. Torre da Embratel, ca. 7Km do Distrito de Pedra Branca. Serra da Jibóia.","-39.475833","-12.853611",NA,NA,NA,NA,NA,NA,"39W28'33","12S51'13",NA,NA,NA,NA,NA,NA,"30/08/2005"
"21","2019-11-21 10:02:30-03","IBt","SP","392187a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","416","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050784","SP050784",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"22","2019-11-21 10:02:30-03","IBt","SP","392188","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","415","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,NA,NA,NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"23","2019-11-21 10:02:30-03","IBt","SP","396708","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","417","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050785","SP050785",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"24","2019-11-21 10:02:30-03","IBt","SP","396708a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","417","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050786","SP050786",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"25","2019-11-21 10:02:30-03","IBt","SP","392186","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","418","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050781","SP050781",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"26","2019-11-21 10:02:30-03","IBt","SP","392186a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","418","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050782","SP050782",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
"27","2019-11-21 10:02:30-03","IBt","SP","358726","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Noblick, LR","3752","1985","05","25",NA,"Brasil","Bahia","Caetité","Morro com antenas de microondas de TV.","-42.5","-14.666667",NA,NA,"SP050788","SP050788","2008","01","-42.5","-14.666667","800","1000",NA,NA,NA,NA,NA
"28","2019-11-21 10:02:30-03","IBt","SP","320303","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","França, F; et al.","1944","1996","10","26",NA,"Brasil","Bahia","Itatim","Morro do Leão","-39.683333","-12.716667",NA,NA,"SP050789","SP050789","2008",NA,"-39.683333","-12.716667","310","310",NA,NA,NA,NA,NA
"29","2019-11-21 10:02:30-03","IBt","SP","320303a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","França, F; et al.","1944","1996","10","26",NA,"Brasil","Bahia","Itatim","Morro do Leão","-39.683333","-12.716667",NA,NA,"SP050791","SP050791","2008",NA,"-39.683333","-12.716667","310","310",NA,NA,NA,NA,NA
"30","2019-11-21 10:02:30-03","IBt","SP","320303b","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","França, F; et al.","1944","1996","10","26",NA,"Brasil","Bahia","Itatim","Morro do Leão","-39.683333","-12.716667",NA,NA,"SP050790","SP050790","2008",NA,"-39.683333","-12.716667","310","310",NA,NA,NA,NA,NA
"31","2019-11-21 10:02:30-03","IBt","SP","358393","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Noblick, LR; Lemos","3547","1985","03","01",NA,"Brasil","Bahia","Feira de Santana","Serra de São José","-38.966667","-12.25",NA,NA,"SP050792","SP050792","2007",NA,"-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:02:30-03","IBt","SP","358393a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Noblick, LR; Lemos","3547","1985","03","01",NA,"Brasil","Bahia","Feira de Santana","Serra de São José","-38.966667","-12.25",NA,NA,"SP050794","SP050794","2007",NA,"-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:02:30-03","IBt","SP","358393b","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Noblick, LR; Lemos","3547","1985","03","01",NA,"Brasil","Bahia","Feira de Santana","Serra de São José","-38.966667","-12.25",NA,NA,"SP050793","SP050793","2007",NA,"-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:02:30-03","IBt","SP","364472","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Berg, C; et al.","895","2003","03","08",NA,"Brasil","Bahia","Feira de Santana","Serra de São José, Maria Quitéria.","-38.966667","-12.25",NA,NA,"SP050787","SP050787","2008",NA,"-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA
"35","2019-05-22 10:08:14-03","IBt","SP","396709","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Berg, C; et al.","895","2003","03","08",NA,"Brasil","Bahia","Feira de Santana","Serra de São José, Maria Quitéria.","-38.966667","-12.25",NA,NA,NA,NA,"2008",NA,"-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:02:30-03","IBt","SP","392187","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Versieux, LM; Calvente, AM","416","2007","02","06",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, Próximo às Antenas da Embratel.","-39.948528","-13.550028",NA,NA,"SP050783","SP050783",NA,NA,"-39.948528","-13.550028","820","820",NA,NA,NA,NA,NA
