"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude"
"11","2020-06-29 09:29:45-03","UFRRJ","RBR","36192","S","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"C. Farney",NA,"Brasil",NA,NA,NA,"RBR00036192",NA,NA,"Schott","3909","1999","04","24","Rio de Janeiro","Serra das Emerenças, Vertende para Praia de Tucuns, Mata de Encosta","-41.8816986083984","-22.7469005584717",NA,NA,NA,NA,NA,NA,NA,NA,"Armação de Búzios","12927","auto",NA,NA,NA
"12","2015-09-05 11:05:32-03","MNHN","RECOLNAT_MNHN_P","P05587408","PreservedSpecimen",NA,"Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"Smith, L.B.",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587408' target='other'> <mi>dwc_moreinfo</mi></a>","P05587408",NA,NA,"A.DC.",NA,"1928","12","4","Rio de Janeiro","Brook trail between Paineiras and Jardim Botânico.","-43.23333","-22.93333",NA,NA,"P05587408_01",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"1416",NA,NA
"13","2015-09-05 10:50:31-03","MNHN","RECOLNAT_MNHN_P","P05494603","PreservedSpecimen",NA,"Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Gaudichaud",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05494603' target='other'> <mi>dwc_moreinfo</mi></a>","P05494603",NA,NA,"Schott",NA,"1831","1","1","Rio de Janeiro",NA,NA,NA,NA,NA,"P05494603_01",NA,NA,NA,NA,NA,NA,NA,NA,"1067",NA,NA
"14","2015-09-05 11:06:26-03","MNHN","RECOLNAT_MNHN_P","P05587453","PreservedSpecimen",NA,"Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Gaudichaud, C.",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587453' target='other'> <mi>dwc_moreinfo</mi></a>","P05587453",NA,NA,"Schott",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"P05587453_01",NA,NA,NA,NA,NA,NA,NA,NA,"1067",NA,NA
"15","2015-09-05 11:06:26-03","MNHN","RECOLNAT_MNHN_P","P05587456","PreservedSpecimen",NA,"Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Gaudichaud",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587456' target='other'> <mi>dwc_moreinfo</mi></a>","P05587456",NA,NA,"Schott",NA,"1834","1","1","Rio de Janeiro",NA,NA,NA,NA,NA,"P05587456_01",NA,NA,NA,NA,NA,NA,NA,NA,"1067",NA,NA
"16","2015-09-05 11:06:27-03","MNHN","RECOLNAT_MNHN_P","P05587457","PreservedSpecimen",NA,"Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Gaudichaud",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587457' target='other'> <mi>dwc_moreinfo</mi></a>","P05587457",NA,NA,"Schott",NA,"1834","1","1","Rio de Janeiro",NA,NA,NA,NA,NA,"P05587457_01",NA,NA,NA,NA,NA,NA,NA,NA,"1067",NA,NA
"17","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","50892",NA,"Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"C. N. de Fraga; M. O. O. Pellegrini, C. T. Oliveira, J. A. Oliveira",NA,"Brasil",NA,NA,"Erva ca. 2m. Folhas verde discolores, quando jovens maculadas. Frutos castanho-claro","MBML050892",NA,NA,"A. DC.","3461","2012","09","26","Rio de Janeiro","Santo Antônio do Imbé, mata próximo a cidade. Floresta Atlântica de Encosta","-41.876389","-21.988611","55","55","MBML050892",NA,"L. Kollmann/22-02-2017",NA,NA,NA,"Santa Maria Madalena",NA,NA,NA,"41W52'35","21S59'19"
"18","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","45862",NA,"Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"L. Kollmann; A.P. Fontana",NA,"Brasil",NA,NA,"Erva 1m na sombra, folhas com maculas brancas ou todas verdes, frutos secos.","MBML045862",NA,NA,"A. DC.","12775","2013","06","19","Rio de Janeiro",NA,"-41.917222","-22.059444",NA,NA,"MBML045862",NA,NA,NA,NA,NA,"Conceição de Macabu",NA,NA,NA,"41W55'2","22S3'34"
"19","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","46276",NA,"Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"L. Kollmann; A. P. Fontana",NA,"Brasil",NA,NA,"Planta 1m, folhas verdes com maculas brancas, face abaxial vermelhas, flores rosas.Floração em cultivo 25/02/2013.","MBML046276",NA,NA,"A. DC.","12580","2012","10","04","Rio de Janeiro","Beira da estrada para Córrego Azul","-41.917222","-22.059444",NA,NA,"MBML046276",NA,"L. Kollmann",NA,NA,NA,"Conceição de Macabu",NA,NA,NA,"41W55'2","22S3'34"
"20","2020-07-10 09:44:04-03","MBML","MBML-HERBARIO","46274",NA,"Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"L. Kollmann",NA,"Brasil",NA,NA,"Arbusto 1,5 m, folhas verdes, flores brancas.","MBML046274",NA,NA,"Schott","12916","2013","02","25","Espírito Santo","Coleção L. Kollmann","-40.587778","-19.940556",NA,NA,"MBML046274",NA,"L. Kollmann",NA,NA,NA,"Santa Teresa",NA,NA,NA,"40W35'16","19S56'26"
"21","2020-07-10 09:44:04-03","MBML","MBML-HERBARIO","45526",NA,"Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"L. Kollmann; C.N. de Fraga & L.J.T. Caroso",NA,"Brasil",NA,NA,"Arbusto terrestre na meia sombra, flores e frutos branco-rosados","MBML045526",NA,NA,"Schott","12553","2012","12","04","Rio de Janeiro","Jacarepaguá. Prainha, Parque Municipal da Prainha, Morro dos Cabritos","-43.2075004577637","-22.9027996063232",NA,NA,"MBML045526_1 MBML045526_2",NA,"L. Kollmann",NA,NA,NA,"Rio de Janeiro","57442","auto",NA,NA,NA
"22","2019-10-07 09:24:04-03","UEFS","HUEFS","192750","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Ferreira, P.",NA,"Brasil",NA,NA,NA,"HUEFS0192750","Angiospermae","Cucurbitales","Schott","1001","1972","12","02","Rio de Janeiro","Rio Bonito - Braçanã. Fazenda das Cachoeiras.",NA,NA,NA,NA,"HUEFS0192750","Rosanae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-09-04 18:53:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata","Type [status unknown]","H. W. Schott","South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-23 11:59:47-03","CEPLAC","CEPEC","136964","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Sucre, D.",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"7919",NA,NA,NA,"Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"E.L. Jacques",NA,NA,NA,"rio de janeiro","57442","auto",NA,NA,NA
"25","2017-09-11 16:26:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"Riedel, L","Southern America","Brazil",NA,NA,"in hb. imp. Petrop.",NA,NA,NA,"A.DC.","99",NA,NA,NA,"Rio de Janeiro","Habitat in silvis ad Macahé","-41.79","-22.37",NA,NA,"P04P1N0093",NA,NA,NA,NA,NA,"Macaé",NA,NA,NA,"-41.79","-22.37"
"26","2017-09-11 17:08:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Schott, HW","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Schott","s.n.",NA,NA,NA,NA,"Habitat prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:08:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Gaudichaud Beaupré, C","Southern America","Brazil",NA,NA,"in hb. Berol. et DC., Forbes in hb. Lindl.",NA,NA,NA,"Schott","1067",NA,NA,NA,NA,"Habitat prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2014-09-23 11:01:13-03","G","G-DC","G00320242","S","Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia","TYPUS of Begonia salicifolia A. DC.","Riedel, L.","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00320242",NA,NA,"A. DC.",NA,NA,NA,NA,"Rio de Janeiro",NA,"-42.9125","-22.48222222",NA,NA,NA,NA,"CAT.HERB.PRODR.","2012","01","01",NA,NA,NA,NA,"-42.9125","-22.48222222"
"29","2019-11-21 10:01:53-03","IBt","SP","359256","S","Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"Pereira, E; et al.",NA,"Brasil",NA,NA,"Arbusto de mais ou menos 2m de alt., planta fruticosa, flores alvas em solo de encosta, sobre pedras, lugar sombrio",NA,NA,NA,"A.DC.","4037","1958","07","28","Rio de Janeiro","Restinga de Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Jacques, EL","1993","10","14","Rio de Janeiro","57442","auto",NA,NA,NA
"30","2019-11-21 10:01:53-03","IBt","SP","3418","S","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Barbiellini, AA",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Schott","s.n.","1919","09","15","São Paulo",NA,"-45.4099998474121","-23.6200008392334",NA,NA,NA,NA,"Irmscher, E","1950",NA,NA,"Caraguatatuba","30093","auto",NA,NA,NA
