"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","fieldNumber","preparationType","class","order","dayIdentified","sex"
"11","2021-02-07 08:35:31-03","MN","R","219351","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Moura, R.","680","2008","09","17",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"R010046313",NA,"34265","auto",NA,NA,NA,NA,NA,NA
"12","2021-02-07 08:35:31-03","MN","R","219350","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Moura, R.","681","2008","09","17",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"R010046311",NA,"34265","auto",NA,NA,NA,NA,NA,NA
"13","2021-02-07 08:35:31-03","MN","R","218913","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Moura, R.","2014","01","Neves, B.F.S. 165; Néri, J. & Uribbe, F.P.",NA,"2012","12","13",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"R010019887",NA,"34265","auto",NA,NA,NA,NA,NA,NA
"14","2021-02-07 08:35:31-03","MN","R","219363","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Moura, R.","2014","01","Moura, R. 445; Costa, A.F., Gomes-da-Silva, J. & França, C.",NA,"2007","12","12",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar. Núcleo Picinguaba, trilha da Casa da Farinha","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"R010019889",NA,"34265","auto",NA,NA,NA,NA,NA,NA
"15","2015-09-03 21:11:43-03","MNHN","RECOLNAT_MNHN_P","P01684120","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, A.|Brisson",NA,"1884","1","16",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. Petrópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684120' target='other'> <mi>dwc_moreinfo</mi></a>","P01684120","P01684120_01","36524","auto","15473 a","hb",NA,NA,NA,NA
"16","2015-09-03 21:11:43-03","MNHN","RECOLNAT_MNHN_P","P01684122","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, A.",NA,"1883","1","6",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. Petrópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684122' target='other'> <mi>dwc_moreinfo</mi></a>","P01684122","P01684122_01","36524","auto",NA,"hb",NA,NA,NA,NA
"17","2015-09-03 21:11:43-03","MNHN","RECOLNAT_MNHN_P","P01684121","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, A.",NA,"1883","1","6",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. R.J. Petrópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684121' target='other'> <mi>dwc_moreinfo</mi></a>","P01684121","P01684121_01","36524","auto",NA,"hb",NA,NA,NA,NA
"18","2015-09-03 21:11:43-03","MNHN","RECOLNAT_MNHN_P","P01684119","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, A.",NA,"1883","1","6",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. R.J. Petrópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684119' target='other'> <mi>dwc_moreinfo</mi></a>","P01684119","P01684119_01","36524","auto",NA,"hb",NA,NA,NA,NA
"19","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","5440",NA,"Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","A. Costa/1995",NA,NA,"W. Boone","1284","1989","01",NA,NA,"Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Bromeliário","-40.6","-19.936111","40W36'0","19S56'10",NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010","MBML005440","MBML005440",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-07 09:20:43-03","UEFS","HUEFS","176136","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","M.G.C.Nogueira","2013","04","Conceição, A.A.","4044","2011","08","27",NA,"Brasil","Bahia","Palmeiras","Cachoeira da Fumaça.","-41.454722","-12.599722","41W27'17''","12S35'59''","1300","1300","Campo rupestre.","HUEFS0176136","HUEFS0176136 HUEFS0176136_01",NA,NA,NA,NA,"Lilianae","Poales",NA,NA
"21","2021-04-08 17:13:21-03","UESB","HUESB","9060","S","Plantae","Monocotyledoneae","Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Siqueira Filho, J.A.","2015","10","Souza, R.S.; Silva, G.S.; Souza, A.S.; Oliveira, M.N.; Silva, G.S.; Souza, A.S.; Oliveira, M.N.","273","2013","11","02",NA,"Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.127583","-14.401417","-40.127583","-14.401417",NA,NA,"Herbácea. Folhas simples, rosuladas, crassas, verde. Inflorescência.; Mata Atlântica.","HUESB000009060",NA,NA,NA,NA,NA,NA,NA,"02",NA
"22","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, AFM","14342",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasilia orientalis prov. Rio de Janeiro ad Petropolin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Glaziou, AFM","15473a",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasilia orientalis prov. Rio de Janeiro ad Petropolin",NA,NA,NA,NA,NA,NA,"Floret Januario. (V. s. spontaneam in herb. Berol. et cultam in herb. Berol., Leod.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 12:31:21-03","UNIVASF","HVASF","1112","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","J.A. Siqueira Filho","2018","07","J.A. Siqueira Filho","1991","2008","08","21","América do Sul","Brasil","Ceará","Caucaia","Serra de Maranguape, Pico da Rajada",NA,NA,"9999.000000","9999.000000","968","968","Epífita caída no chão da mata. inflorescência ereta, verde-amarelada. Flores noturnas, campanuladas, pétalas suavemente amarelas, anteras basifixas. Material cultivado no Bromeliário Biouniverso n° 705.","HVASF001112",NA,NA,NA,NA,NA,NA,NA,"03","U"
"25","2021-04-05 12:31:21-03","UNIVASF","HVASF","9169","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","J.A. Siqueira Filho","2018","07","J.A. Siqueira Filho","2389","2010","07","20","América do Sul","Brasil","Pernambuco","Lagoa dos Gatos","RPPN Frei Caneca, Mata da Serra do Quengo",NA,NA,"9999.000000","9999.000000","648","648","Epífita. Folhas com ápice mucronado, negros. Flores amarelas esverdeadas tubulosas, noturnas. Em cultivo no Bromeliário Biouniverso sob o nº 614. Vivasf 333","HVASF009169",NA,NA,NA,NA,NA,NA,NA,"03","U"
