"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252774","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252774",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"12","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252776","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252776",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"13","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252777","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252777",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"14","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252780","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso do Sul",NA,"North of Coxim, Mato Grosso,Brazil",NA,NA,NA,"In hard soil of red sandy loam and fine stones, between and partly under wild grass and plants and short shrubs, with here and there a short, capriciously formed tree.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252780","NL-U0252780",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
"15","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252784","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso",NA,"Porto Murtino, Mato Grosso, Brasilia",NA,NA,NA,"In solo duro silicoso et lapidoso inter herbas, dumeta et arbores.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252784","NL-U0252784",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
"16","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252788","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Posse, Goias, Brasil",NA,NA,NA,"In solo arenoso inter herbas altas, arbusculas distortas vel sub arbustis.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252788","NL-U0252788",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
"17","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252790","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso do Sul",NA,"Corumba, Matto Grosso do Sul, Brasilia.",NA,NA,NA,"Nusquam alibi quam in rimis vel partibus humilioribus rupium planarum et nigrarum, quae factae sunt e metallis manganesii.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252790",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"18","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252791","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Serra dos Alegres, Minas Gerais",NA,NA,NA,"Ibi crescit in harena pulverea flavescente inter dumeta parva ubi et crescunt nonnullae herbae, variae arbores parvae et Monvillea species.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252791",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"19","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252795","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252795",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"20","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0006745","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus magnimammus","Zappi DC; Taylor NP","Horst L",NA,"1972","05","26","Southern America","Brazil","Mato Grosso",NA,"westlich des Rio Iguatemi und dem Rio Ibaré entlang im Mato Grosso",NA,NA,NA,"zwischen kurzen Sträuchern in Lehmsand<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006745","NL-U0006745","(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","magnimammus",NA,NA,NA
"21","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252551","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus magnimammus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252551",NA,"(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"magnimammus",NA,NA,NA
"22","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252715","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus magnimammus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Carcacol, Mato Grosso, Brasilia",NA,NA,NA,"In rupibus lapidosis et micosis inter demuta et arbores humiles raras.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252715",NA,"(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"magnimammus",NA,NA,NA
"23","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252769","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus magnimammus",NA,"Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252769",NA,"(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"magnimammus",NA,NA,NA
"24","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252798","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus magnimammus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252798","NL-U0252798","(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","magnimammus",NA,NA,NA
"25","2020-12-20 21:16:31-03","UFV","VIC","39963","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","M.R.Santos","Santos, M.R.","71","2011","01","29",NA,"Brasil","Mato Grosso do Sul","40km N de Coxim",NA,NA,NA,NA,"Cerrado, cascalho fino, globoso","VIC039963",NA,"(Barb.Rodr.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-20 21:16:31-03","UFV","VIC","40000","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","M.R.Santos","Santos, M.R.","25","2010","08","15",NA,"Brasil","Goiás","Chapada dos Veadeiros",NA,NA,NA,NA,"cerrado rupestre,globoso","VIC040000",NA,"(Barb.Rodr.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-20 21:16:31-03","UFV","VIC","40001","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","M.R.Santos","Santos, M.R.","24","2010","08","15",NA,"Brasil","Goiás","Alto Paraíso",NA,NA,NA,NA,"Planta sobre arenito,globoso","VIC040001",NA,"(Barb.Rodr.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-07 11:42:02-03","UFMS","CGMS","40884","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","G.A. Damasceno-Junior; V.J. Pott","H.C. Vinci-Carlos; A.P. de Souza; R.C. Rivaben; G.A. Damasceno-Junior; Mário Prado (proprietário da fazenda)","424","2013","10","02",NA,"Brasil","Mato Grosso do Sul","Corguinho","Distrito de Taboco. Fazenda Colina Dourada.","-55.1088889","-19.7097222",NA,"Flor branca. Habitat: Cerrado. Afloramento rochoso (lajedo) em meio a Cerrado stricto sensu. Solo rocha arenítica. Relevo acidentado. Habito: Erva rupícola. 0,15m de altura.","CGMS1070877",NA,"(Rodrigues) Britton & Rose",NA,"374","374",NA,NA,"2013","11","25",NA,NA,"-55,1088889","-19,7097222",NA
"29","2021-04-07 11:42:02-03","UFMS","CGMS","49003","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","V.J. Pott","V.J. Pott; A. Pott","6471","2003","08","19",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Aldeia Indígena Terena, Córrego Seco.","-55.6980555","-20.3633333",NA,"Flor ausente. Habitat: Cerrado rupícola. Solo litossolo, arenito com matéria orgânica nas fissuras. Relevo residual monolítico. Habito: Cacto globóide. Esparso.","CGMS1078951",NA,"(Rodrigues) Britton & Rose",NA,"285","285",NA,NA,NA,NA,NA,NA,NA,"-55,6980555","-20,3633333",NA
"30","2021-04-07 11:42:02-03","UFMS","CGMS","55530","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Gerardus Olsthoorn","G. Olsthoorn","543","2015","10","18",NA,"Brasil","Mato Grosso","Barra do Garças","Na cidade pegar a rodovia BR 158 para Nova Xavantina No povoado vale dos sonhos pegar uma estrada de terra indo para o oeste e subir na serra do Roncador.","-52.2283334","-15.3519444",NA,NA,"CGMS1085495",NA,"(Rodrigues) Britton & Rose",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,"-52,2283334","-15,3519444",NA
"31","2021-04-07 11:42:02-03","UFMS","CGMS","55531","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Gerardus Olsthoorn","G. Olsthoorn","551","2015","10","22",NA,"Brasil","Mato Grosso","Rondonópolis","Um pouco ao sul dos limites da rppn cidade das pedras.","-54.9447222","-16.5533333",NA,NA,"CGMS1085496",NA,"(Rodrigues) Britton & Rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-54,9447222","-16,5533333",NA
"32","2021-04-07 11:42:02-03","UFMS","CGMS","53518","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","D. Zappi (sensu lato)","A. Pott; V.J. Pott; L.C.P. Lima","11237","2003","05","10",NA,"Brasil","Mato Grosso do Sul","Corumbá","Reserva Acurizal, Serra do Amolar, borda oeste do Pantanal.","-57.5688889","-17.9075",NA,"Flor ausente. Fruto ausente.Folha cinza. Habitat: Campo de gramíneas e Vellozia, com lenhosas em afloramentos rochosos, com fogo periódico. Solo litólico, arenito. Relevo topo de serra ondulado. Abundante. Habito: Cacto globoso.","CGMS1083483",NA,"(Rodrigues) Britton & Rose",NA,"710","710",NA,NA,"2003","07","17",NA,NA,"-57,5688889","-17,9075",NA
"33","2021-04-07 11:42:02-03","UFMS","CGMS","19317","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","J. dos S. Garcia","J.S. Garcia","60","2007","02","10",NA,"Brasil","Mato Grosso do Sul","Corguinho","Chácara Recanto Anjos da Luz.","-55.1369444","-19.9236111",NA,"Cactoideae. Flor branca. Habitat: Cerrado. Afloramento rochoso. Serra. Habito: Cacto globoso.","CGMS1048625",NA,"(Rodrigues) Britton & Rose",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,"-55,1369444","-19,9236111",NA
"34","2021-04-07 11:42:02-03","UFMS","CGMS","69848","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Marlon Machado","L.C.P. Lima; E.A. Silveira; G.K. Freitas","146","2001","09","21",NA,"Brasil","Mato Grosso do Sul","Corumbá","Fazenda da Penha, Serra do Amolar.","-57.6533012390137","-19.0091991424561",NA,"Flor ausente. Flor ausente. Planta entre pedras. Habitat: Campo rupestre. Solo com afloramento rochoso. Relevo topo do morro. Habito: Cacto prostrado. Raro. Ameaçado.","CGMS1102806",NA,"(Rodrigues) Britton & Rose","295160",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:19:44-03","MBM","MBM","62913","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Taylor, N.P.","Oliveira, P.I.","84","1979","09","17","Southern America","Brazil","Mato Grosso","Chapada dos Guimarães","Chapada dos Guimarães, arredores","-55.749698638916","-15.460599899292",NA,NA,"MBM062913","MBM062913","(Rodr.) Britton & Rose","107042",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:19:44-03","MBM","MBM","149909","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Taylor, N.P.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","56072","1991","11","11","Southern America","Brazil","Tocantins","Paranã","Paranã, rodovia para Caldas","-47.8830986022949","-12.6153001785278",NA,NA,"MBM149909","MBM149909","(Rodr.) Britton & Rose","96675",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","2196537","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Kimnach, M. W.","A. Macedo","1277","1948","10","15","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00173372","US00173372_01","(Rodr.) Britton & Rose",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"38","2019-10-07 09:18:38-03","UEFS","HUEFS","84834","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola",NA,"Machado, M.","105","2004","01","13",NA,"Brasil","Bahia","São Desidério","Sítio Grande, localidade conhecida como Jatobás","-45.076944","-12.473889",NA,"solo arenoso.","HUEFS0084834","HUEFS0084834","(Buining & Brederoo) N.P.Taylor & Zappi",NA,"610","610",NA,"Caryophyllanae",NA,NA,NA,NA,"catingicola","45W4'37''","12S28'26''",NA
"39","2019-10-07 09:18:38-03","UEFS","HUEFS","84835","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola",NA,"Machado, M.","125A","2004","01","14",NA,"Brasil","Bahia","Barreiras","Cachoeira do Redondo no Rio de Janeiro (cerca de 20km em estrada de terra depois da Cachoeira do Acaba Vidas)","-45.439722","-11.881389",NA,"solo arenoso.","HUEFS0084835","HUEFS0084835","(Buining & Brederoo) N.P.Taylor & Zappi",NA,"590","590",NA,"Caryophyllanae",NA,NA,NA,NA,"catingicola","45W26'23''","11S52'53''",NA
"40","2019-10-07 09:18:38-03","UEFS","HUEFS","84836","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola",NA,"Machado, M.","131A","2004","01","15",NA,"Brasil","Goiás","Posse","arredores da cidade","-46.315556","-14.072222",NA,"solo arenoso.","HUEFS0084836","HUEFS0084836","(Buining & Brederoo) N.P.Taylor & Zappi",NA,"855","855",NA,"Caryophyllanae",NA,NA,NA,NA,"catingicola","46W18'56''","14S4'20''",NA
"41","2019-10-07 09:18:38-03","UEFS","HUEFS","84838","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola",NA,"Machado, M.","160A","2004","01","17",NA,"Brasil","Bahia","Santana","próximo à vila de Porto Novo, cerca de 1km da vila na estrada para Santana, daí 5km em estrada vicinal","-43.894722","-13.261111",NA,"solo arenoso.","HUEFS0084838","HUEFS0084838","(Buining & Brederoo) N.P.Taylor & Zappi",NA,"465","465",NA,"Caryophyllanae",NA,NA,NA,NA,"catingicola","43W53'41''","13S15'40''",NA
"42","2019-10-07 09:18:38-03","UEFS","HUEFS","84901","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus var. catingicola",NA,"Machado, M.","160C","2004","01","17",NA,"Brasil","Bahia","Santana","próximo à vila de Porto Novo, cerca de 1km da vila na estrada para Santana, daí 5km em estrada vicinal","-43.894722","-13.261111",NA,"Solo arenoso.","HUEFS0084901","HUEFS0084901","(Buining & Brederoo) N.P.Taylor & Zappi",NA,"465","465",NA,"Caryophyllanae",NA,NA,NA,NA,"var. catingicola","43W53'41''","13S15'40''",NA
