"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","dayIdentified","class","previousCatalogNumber"
"11","2021-03-31 13:40:58-03","MN","R","35601","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Forster, W.","Luetzelburg, P. von","270","1910",NA,NA,NA,"Brasil","Rio de Janeiro","Gávea",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","2002","57442","auto","03",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:58-03","MN","R","52370","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Forster, W.","Rosa, M.","87","1946","11","07",NA,"Brasil","Rio de Janeiro","Tijuca",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","2002","57442","auto","03",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:31:42-03","UFRRJ","RBR","44811","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","F.F.V.A. Barberena","N.M. Corrêa; M.M.S. Murakami","227","2017","09","07",NA,"Brasil","Rio de Janeiro","Guapiaçu. Pastagem ao lado da estrada para a casa de Pesquisa da REGUA, próximo à casa do Sr Nickolas Locke.",NA,NA,"RBR00044811",NA,"Cachoeiras de Macacu","-42.7475","-22.425833","2017",NA,NA,"11","42º44'51''W","22º25'33''S","95","95",NA,NA,NA,NA
"14","2020-12-21 16:38:25-03","MBM","MBM","56446","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Pabst, G.","Carvalho, C.A.M. de","s.n.","1978","02","20","Southern America","Brazil","São Paulo","Ilha de São Sebastião",NA,NA,"MBM056446","MBM056446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:25-03","MBM","MBM","22891","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Pabst, G.","Hatschbach, G.","29741","1972","06","24","Southern America","Brazil","Minas Gerais","Caminho ao Pico Itambé",NA,NA,"MBM022891","MBM022891","Santo Antônio do Itambé","-43.3067016601562","-18.465799331665",NA,"19014","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-04 13:39:11-03","MNHN","RECOLNAT_MNHN_P","P00477991","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.",NA,"Wittig",NA,"1871","11","12",NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477991' target='other'> <mi>dwc_moreinfo</mi></a>","P00477991","P00477991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5512",NA,NA,NA
"17","2015-09-04 12:16:01-03","MNHN","RECOLNAT_MNHN_P","P00477992","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477992' target='other'> <mi>dwc_moreinfo</mi></a>","P00477992","P00477992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5509",NA,NA,NA
"18","2015-09-04 13:39:11-03","MNHN","RECOLNAT_MNHN_P","P00477993","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Cogniaux","Gardner, G.",NA,"1836",NA,NA,NA,"Brésil",NA,"Rio Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477993' target='other'> <mi>dwc_moreinfo</mi></a>","P00477993","P00477993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"242",NA,NA,NA
"19","2015-09-04 13:47:01-03","MNHN","RECOLNAT_MNHN_P","P00477994","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Cogniaux","Gaudichaud, C.",NA,NA,NA,NA,NA,"Brésil",NA,"Rio Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477994' target='other'> <mi>dwc_moreinfo</mi></a>","P00477994","P00477994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"383",NA,NA,NA
"20","2015-09-03 19:46:04-03","MNHN","RECOLNAT_MNHN_P","P00477995","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Cogniaux","Gaudichaud, C.",NA,NA,NA,NA,NA,"Brésil",NA,"Rio Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477995' target='other'> <mi>dwc_moreinfo</mi></a>","P00477995","P00477995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"383",NA,NA,NA
"21","2020-12-11 11:44:29-03","UFMG","BHCB","178550","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Paiva, JAM; Tomich, S; Nascimento, L","549","2015","08","13","Southern America","Brasil","Minas Gerais","RPPN Horto Alegria",NA,"Erva rupícola; botões florais roxos; flores cremes.; Campo Rupestre Quartzítico","BHCB045758",NA,"Mariana","-43.436667","-20.153611","2017",NA,NA,"08","-43.436667","-20.153611",NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:44:29-03","UFMG","BHCB","12462","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Leoni, LS","s.n.","1987","08","25","Southern America","Brasil","Minas Gerais","Fazenda Sta. Rita",NA,"Mata de encosta; encontrada na parte superior dos vegetais de médio e grande porte, em locais mais iluminados.",NA,NA,"Carangola","-42.0293998718262","-20.7331008911133",NA,"21913","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:44:29-03","UFMG","BHCB","180972","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Reis, AFS","53",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Museu de História Natural da UFMG",NA,"Erva rupícola, em cultivo; Mata de galeria","BHCB045759",NA,"Belo Horizonte","-43.937801361084","-19.9207992553711","2017","17082","auto","08",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:44:29-03","UFMG","BHCB","28364","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Stehmann, JR; et al.","s.n.","1990","09","10","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Rupícola, herbácea.","BHCB001349","BHCB001349","Catas Altas","-43.4075012207031","-20.0746994018555","2002","11966","auto","03",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:44:29-03","UFMG","BHCB","67117","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Mota, RC da","919","2000","08","20","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Planta coletada em campo rupestre; erva rupestre; flores vináceas.",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:44:29-03","UFMG","BHCB","92275","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Mota, RC da","2396","2004","09","15","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Planta coletada em campo rupestre; rupestre; flores verde-acastanhadas.",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-08-31 09:19:33-03","INPA","INPA","78887","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Occhioni, P","s.n.","1939","12",NA,"Southern America","Brasil","Rio de Janeiro","-",NA,NA,"INPA0078887","INPA0078887 INPA0078887_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","21096",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","Fraga & Berger/19-11-2003","M. V. S. Berger; et al","93","2003","05","10",NA,"Brasil","Espírito Santo","Pedra do Garrafão",NA,"Rupícola, encosta rochosa. Flores verdes, labelo verde, pétalas arroxeadas, ápice da coluna e antera de cor vináceas.","MBML021096","MBML021096","Santa Maria de Jetibá","-40.924167","-20.176944",NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","29270",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","L. Kollmann/23-09-2004","L. Kollmann","7039","2004","09","23",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Rupestre. Meia sombra, sem substrato. Folhas verdes claras, raízes cinzas, flores verdes. Espatas verde.","MBML029270","MBML029270","Castelo","-41.100556","-20.519167",NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","35794",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","L. Kollmann/08-01-2013","L. Kollmann","11321","2008","11","13",NA,"Brasil","Espírito Santo","Rio Saltinho",NA,"Epífita caida, flores verdes. Floração em cultivo.","MBML035794","MBML035794","Santa Teresa","-40.506944","-19.936111",NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA,NA
"31","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","39137",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","D.R.COUTO","D.R. Couto","535","2008","06","15",NA,"Brasil","Espírito Santo","Estivado",NA,"Epífita, mata ombrófila;Flores verdes-amarelada. Mata Sr. João do IBC. Floresceu em cultivo.","MBML039137","MBML039137","Mimoso do Sul","-41.3664016723633","-21.0641994476318","2008","29430","auto","06",NA,NA,"700","700",NA,"15",NA,NA
"32","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","38408",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","D. R. Couto - 16/5/04","D.R. Couto","129","2004","05","16",NA,"Brasil","Espírito Santo","Estivado- Conceição de Muqui",NA,"Holoepífita característica. Flores claras, vináceas. Fragmento Sr. João Vieira.","MBML038408","MBML038408","Mimoso do Sul","-41.3664016723633","-21.0641994476318","2004","29430","auto","05",NA,NA,"770","770",NA,"16",NA,NA
"33","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","39333",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","L. Kollmann/5-11-2009","L. Kollmann; & A.P.Fontana","11836","2009","11","05",NA,"Brasil","Espírito Santo","Rio Saltinho",NA,"Epífita caida, flores verdes, floração em cultivo.","MBML039333","MBML039333","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-06-10 10:11:20-03","FZB-BH","BHZB","2694","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule",NA,"R.C.Mota","Ordones, J.","242","2000","08","19",NA,"Brasil","MG","Caraça/ Campo de Fora",NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","2008","11966","auto","04",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-06-10 10:11:20-03","FZB-BH","BHZB","1183","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule",NA,"R.C.Mota","Ordones, J.","319","2000","08","20",NA,"Brasil","MG","Caraça/ Bocaína",NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","2008","11966","auto","04",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-09 10:13:42-03","UENF","HUENF","12200","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","H.B.M. Viana","H.B.M. Viana; D.R. Couto, M.P. Reis & Y. Maia","73","2019","05","27",NA,"Brasil","Rio de Janeiro","Fazenda Prosperidade. Fragmento de Floresta Estacional Semidecidual montana.",NA,"Erva epífita formando touceira de aprox. 50 cm de raio, com numerosos filocules, raizes notavelmente robustas. Floração numerosa por grande parte dos ápices foliares. Flores pequenas, incolores tonalizadas de verde claro. Aroma agr","HUENF00013033",NA,"São José de Ubá","-42.032222","-21.401944","2019",NA,NA,"05","42º1'56''W","21º24'7''S","600","600",NA,"27",NA,NA
"37","2019-07-09 12:43:49-03","F","FMNH-SEEDPLANTS","V0436684F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule",NA,"RRC ID Flag","R. P. Belém","3776","1968","6","27","South America","Brazil","Espírito Santo",NA,NA,NA,"V0436684F","V0436684F_01 V0436684F_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3776",NA,"Monocotyledoneae",NA
"38","2019-11-13 16:04:57-03","UNISANTA","HUSC","11482","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Jader Caetano","Andrade, V.","s.n.","2015",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"fotografada",NA,NA,"São Thomé das Letras","-44.9852981567383","-21.7222003936768","2015","16076","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-08-23 09:45:44-03","NHMLondon","NHM-LONDON-BOT","BM000091903","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.",NA,"John Miers; b.1789; d.1879; Miers","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4639448"
"40","2015-02-26 09:30:04-03","NHMLondon","NHM-LONDON-BOT","BM000091904","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.",NA,"George Gardner; b.1812; d.1849; Gardner","242","1836","11",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4639449"
"41","2018-02-26 18:32:31-03","UFMT","UFMT","808","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Porto, P.C.","s.n.","1914",NA,NA,NA,"Brasil","Distrito Federal",NA,NA,NA,"UFMT00000808",NA,"Itatiaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Comm. Geogr.Geol.","2701?",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in prov. S. Paulo prope Synape",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Gardner, G","242?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arborum ramis ad Pedra Bonita prope Tejuca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Gaudichaud Beaupré, C","383",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in prov. Rio de Janeiro",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Miers, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in prov. Rio de Janeiro",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","320",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in arboribus ad Serra da Cayanna prov. Minas Geraes",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","318",NA,NA,NA,"Southern America","Brazil","Minas Gerais","ad Serra do Caparaó",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Gardner, G","242",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arborum ramis ad Pedra Bonita prope Tejuca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Prescott","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"in Brasilia loco haud indicato",NA,"Floret Novembri - Junio",NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Glaziou, AFM","5509?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arboribus ad Tijuca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","318?",NA,NA,NA,"Southern America","Brazil","Minas Gerais","ad Serra do Caparaó",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Miers, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in prov. Rio de Janeiro",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Riedel, L","74",NA,NA,NA,"Southern America","Brazil",NA,"in arborum truncis prope Mandiocca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","prope Theresopolis",NA,NA,NA,"P03P5N0024","Teresópolis","-42.9656","-22.4122",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
