"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","1018460","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","M. A. G. Magenta","D. Sasaki","2003","04","17","Brazil","São Paulo","Pedregulho","Estreito. Usina de Estreito (Acampamento de Estreito).","-47.2772","-20.1578",NA,NA,"NY01018460","NY01018460_01","Less.",NA,NA,NA,"345","720","720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259776' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:34:35-03","EAO","IAN","58322","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Sellow, F",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN058322",NA,"Less.",NA,NA,NA,"867",NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:35-03","EAO","IAN","105420","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Magalhães, MG","1942","07","05","Brasil","Minas Gerais","Belo Horizonte","Campo cerrado sujo, base Serra do Curral.","-43.937801361084","-19.9207992553711",NA,NA,"IAN105420",NA,"Less.",NA,NA,NA,"1861",NA,NA,"Arbusto semi-decumbente; flor amarela.","Dicotiledônea",NA,"Southern America",NA,"17082","auto",NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:34:35-03","EAO","IAN","13996","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Barreto, M","Magalhães, MG","1942","07","25","Brasil","Minas Gerais","Belo Horizonte","Campo sujo, serra do Curral.","-43.937801361084","-19.9207992553711",NA,NA,"IAN013996","IAN013996 IAN013996_e","Less.",NA,NA,NA,"3037",NA,NA,"Arbusto semi-escandente; flor amarela, muito frequente.","Dicotiledônea",NA,"Southern America",NA,"17082","auto",NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:01:12-03","ESALQ","ESA","101228","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Teles, A.M.","2006","05","11","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,"ESA101228","ESA101228",NA,NA,NA,NA,"315.0",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:01:12-03","ESALQ","ESA","102551","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Roth, L.","1955","07","23","Brasil","Minas Gerais","Betim",NA,"-44.198299407959","-19.9678001403809",NA,NA,"ESA102551","ESA102551",NA,NA,NA,NA,"1471.0",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"15199","auto",NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:42:09-03","JBP","HPL","1280","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","H. Lorenzi","H. Lorenzi","2000","11","15","Brasil","RS","Guaiba","Sítio do prof. Matzenbacker, em beira de mata.","-51.325","-30.1139",NA,NA,NA,NA,"F. G. Dietr.","2000","11","15","2446",NA,NA,NA,NA,NA,NA,NA,"28343","auto",NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:27:10-03","IAP","PACA-AGP","91858","PreservedSpecimen","Plantae","Compositae","Calea","serrata",NA,"Calea serrata","J. Larocca","D. Bauer","2001","04","04","Brasil","RS","Morro Reuter","Faz. Padre Eterno","-51.0807991027832","-29.5380992889404",NA,NA,"PACA091858",NA,"Less.",NA,NA,NA,NA,NA,NA,"HASU 16104. Habitat: sobre solo em rochas Hábito: liana","Magnoliophyta","Asterales",NA,NA,"12924","auto","Magnoliatae",NA,NA,NA,NA,NA
"19","2020-12-20 21:15:45-03","UFV","VIC","047831","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Nunes, S.; Senna, M.","1979","07","09","Brasil","Minas Gerais","Passa Quatro","Distrito de Pinheirinhos- Sertão dos Martins","-44.9667015075684","-22.3903007507324",NA,NA,"VIC047831","VIC047831","Less.",NA,NA,NA,"1470",NA,NA,NA,NA,NA,NA,NA,"17293","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:15:45-03","UFV","VIC","048617","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Dall' Agnol, R.F.; et al.","2009","08","05","Brasil","Paraná","Mauá da Serra","Estância Manaim","-51.2294006347656","-23.9013996124268",NA,NA,"VIC048617","VIC048617","Less.",NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,"16036","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:31:34-03","UFJF","CESJ","62886","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","G.A. Reis-Silva","J.H.C. Ribeiro; F.A. Carvalho; N.E. Oliveira-Neto; L.R.T. Madeira","2012","06","02","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua. Coordenadas UTM: Zona 23k, 614834.288E, 7568226.133N (Datum: WGS 84). Altitude: 1122 m.s.m.","-43.887778","-21.986667","-43.887778","-21.986667","CESJ062886",NA,"Less.","2016","06","07","229",NA,NA,"Arvoreta, 2 m, sobre solo quartzitico. Flores do raio amarelas. Indivíduo 40 fitossociologia.","Angiosperma",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:31:34-03","UFJF","CESJ","1471","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"L. Roth","1955","07","23","Brasil","Minas Gerais","Betim",NA,"-44.198299407959","-19.9678001403809",NA,NA,"CESJ001471",NA,"Less.",NA,NA,NA,"CESJ1471",NA,NA,"Arbusto escandente, da capoeira, flores amarelas.","Angiosperma",NA,"América do Sul",NA,"15199","auto",NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:31:34-03","UFJF","CESJ","26754","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","J.N. Nakajima","E. Ribeiro","1992","08","01","Brasil","Minas Gerais","Olaria","São Fco. do Prata, Fazenda Cachoeira","-43.937198638916","-21.8607997894287",NA,NA,"CESJ026754","CESJ026754","Less.","2003","07",NA,"s.n.",NA,NA,NA,"Angiosperma",NA,"América do Sul",NA,"15222","auto",NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:31:34-03","UFJF","CESJ","42901","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","G.A. Reis-Silva","I.L. Rodrigues; A.F. Cabral; G.T.M. Barino","2004","08","21","Brasil","Minas Gerais","Juiz de Fora","Parque da Lajinha, Mata do Cedam","-43.3502998352051","-21.7642002105713",NA,NA,"CESJ042901",NA,"Less.","2016","06","07","s.n.",NA,NA,"Arbusto ca. 1,5m com inflorescências amarelas. Encontradas em torno da cachoeira.","Angiosperma",NA,"América do Sul",NA,"36144","auto",NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:23:35-03","UNICAMP","UEC","145625","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Monge, M","Monge, M; Aranha, JLM; Shimizu, GH","2006","09","30","Brazil","Minas Gerais","Camanducaia","Monte Verde, 8° Ponto - estrada de Monte Verde para São Francisco Xavier","-46.023611","-22.884167","-46.023611","-22.884167","UEC190579","UEC190579","Less.",NA,NA,NA,"66","1850","1850","Liana. capítulos com flores cremes.; Borda da Mata","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:23:35-03","UNICAMP","UEC","160781","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Reis-Silva, GA","Romão, GO; Rodrigues, CDN; Dantas, APT","2006","11","02","Brazil","Rio Grande do Sul","Bom Jesus","Margem do Rio Pelotas, a ca. 31 km de São Joaquim - SC.","-50.072944","-28.480917","-50.072944","-28.480917","UEC009812","UEC009812","Less.","2017","03",NA,"1830","890","890","Erva 60 cm alt.; flores liguladas amarelas.; Margem do rio rochosa.","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:23:35-03","UNICAMP","UEC","187129","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Loeuille, B","Ivanauskas, NM; Polisel, RT","2013","08","27","Brazil","Minas Gerais","Delfim Moreira","Areia Branca - estrada para São Francisco dos Campos, Beira de estrada.","-45.173889","-22.541389","-45.173889","-22.541389","UEC117734","UEC117734","Less.","2015","05",NA,"6483","1460","1460","Arbusto escandecente. Capítulos amarelos.","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:23:35-03","UNICAMP","UEC","169877","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Monge, M","Monge, M; Shimizu, GH; Leoni, LS","2011","08","13","Brazil","Espirito Santo","Alto Caparaó","Parque Nacional do Caparaó, Próximo a Casa Queimada.&nf;Subida para a Macieira","-41.822222","-20.493333","-41.822222","-20.493333","UEC190559","UEC190559","Less.",NA,NA,NA,"984Y40","1573","1573","Liana, volúvel, flores amarelas, odor suave, adocicada.; Barranco","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:23:35-03","UNICAMP","UEC","195063","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Monge, M","Monge, M; Carmo, JAM","2013","09","10","Brazil","Minas Gerais","Camanducaia","Monte Verde. Café do Platô. Entrada para trilha do Platô","-46.355556","-22.862222","-46.355556","-22.862222","UEC148999","UEC148999","Less.",NA,NA,NA,"2096",NA,NA,"Liana, flor amarela.; Floresta ombrófila densa alto-montana","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-20 10:05:02-03","UNICAMP","UEC","120146","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Esteves, RL","Meireles, LD","2001","06","29","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506",NA,NA,"UEC087602","UEC087602","Less.","2003","03",NA,"387",NA,NA,"Liana, capítulos com brácteas verdes e flores amarelas.","Magnoliopsida",NA,NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:23:35-03","UNICAMP","UEC","135705","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Simões, AO; Jannini, AW","1998","08","16","Brazil","Minas Gerais","Carrancas","Serra de Bicas, propriedade do Sr. Toninho","-44.6425018310547","-21.4874992370605",NA,NA,"UEC124466","UEC124466","Less.",NA,NA,NA,"218",NA,NA,"Liana, flores amarelas; Beira de mata","Magnoliopsida",NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:23:35-03","UNICAMP","UEC","48482","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Spina, AP","Leitão Filho, HF; Leitão, PF","1984","12","11","Brazil","Minas Gerais","Poços de Caldas","Cascata das Antas","-46.5614013671875","-21.7877998352051",NA,NA,"UEC100355","UEC100355","Less.","1992","06","16","2231",NA,NA,"Arbusto escendente, capítulos com flores amarelas; Mata ciliar","Magnoliopsida",NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA
"33","2019-08-20 10:05:02-03","UNICAMP","UEC","94332","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Monge, M","Flinte, V","2006","10","27","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dosÓrgãos","-42.9655990600586","-22.4122009277344",NA,NA,"UEC124412","UEC124412","Less.","2010","09",NA,"s.n.","1800","1800","Compositae serrilhada pilosa em flor.","Magnoliopsida",NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:23:35-03","UNICAMP","UEC","71331","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Reis-Silva, GA","Leitão Filho, HF; et al.","1992","06","11","Brazil","São Paulo","Campos do Jordão","Estrada Campos do Jordão - Santo Antônio do Pinhal","-45.5900001525879","-22.7299995422363",NA,NA,"UEC121456","UEC121456","Less.","2017","03",NA,"26768",NA,NA,"Arbusto de ramos tenros e mais ou menos escandentes, porte com ca. 4m de altura, ligulas amarelas; Mata","Magnoliopsida",NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:23:35-03","UNICAMP","UEC","2552","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Leitão Filho, HF","Sarti, SJ","1974","09","06","Brazil","São Paulo","Campos do Jordão","Vila Capivari","-45.5900001525879","-22.7299995422363",NA,NA,"UEC124416","UEC124416","Less.","1974","09","23","s.n.",NA,NA,"Arbusto sub-trepador, flores amarelas, as radiais liguladas e as centrais tubulosas; nativa","Magnoliopsida",NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"36","2020-03-12 10:28:59-03","UFOP","OUPR","34661","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Pedrosa, L.G.","Pedrosa, L.G.","2019","11","03","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Less.","2019","11",NA,"2131",NA,NA,"Arbusto escandente, flores amarelas. Capoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-05 16:43:47-03","UFOP","OUPR","2025","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Lisboa, M.A.","Badini, J.","1973","09","01","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","1973","09","27","s.n.",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"38","2020-03-12 10:28:59-03","UFOP","OUPR","34391","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Pedrosa, L.G.","Pedrosa, L.G.","2019","08","31","Brasil","Minas Gerais","Ouro Preto","Fazenda das Lagoas, A 6km da Barragem","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","2019","08","31","1878",NA,NA,"Arbusto escandente, flores amarelas. Capoeira em regeneração",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"39","2019-11-05 16:43:47-03","UFOP","OUPR","2023","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Lisboa, M.A.","Badini, J.","1973","09","04","Brasil","Minas Gerais","Ouro Preto","Mata do Salto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","1973","10","24","s.n.",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"40","2019-11-05 16:43:47-03","UFOP","OUPR","2022","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Lisboa, M.A.","Badini, J.","1973","05","22","Brasil","Minas Gerais","Ouro Preto","Ribeirão da Cachoeira","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","1973","05","24","s.n.",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"41","2019-11-05 16:43:47-03","UFOP","OUPR","2024","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Badini, J.","Badini, J.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Salto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","1973","09","04","s.n.",NA,NA,"Beira de estrada. Arbusto. Flores amarelas",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"42","2019-11-05 16:43:47-03","UFOP","OUPR","2011","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Badini, J.; Kassis, A.","Badini, J.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Santa Rita de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Less.","1973","09","25","s.n.",NA,NA,"Campo. Arbusto. Flores amarelas",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"43","2019-01-17 11:24:16-02","PUCRS","MPUC","14963","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","C.S.A. Martins",NA,"1996","07","27","Brasil","RS","Canoas",".","-51.1836111","-29.9180556","-51.1836111000","-29.9180556000",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"44","2019-01-17 11:24:16-02","PUCRS","MPUC","1175","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"1972","10","01","Brasil","RS","Guaíba",".","-51.3280556","-30.1011667","-51.3280556000","-30.1011667000",NA,NA,"Less.","1972","01","01",NA,NA,NA,"Escandecente, sobre copa de arvores e arbustos. Ocorre somente até o sul do Brasil. Determinação confirmada pela profa. Graziela Barroso",NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"45","2019-01-17 11:24:16-02","PUCRS","MPUC","3590","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","M.A. Severo",NA,"1973","09","26","Brasil","RS","Porto Alegre","Morro Santana","-51.2372222222","-30.0191388889","-51.2372222222","-30.0191388889",NA,NA,"Less.","1973","01","01",NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"46","2019-01-17 11:24:16-02","PUCRS","MPUC","13181","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"2000","10","22","Brasil","RS","Capão da Canoa","Planicie costeira","-50.0094444","-29.7458333","-50.0094444000","-29.7458333000",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","2",NA,NA,NA,NA
"47","2019-01-17 11:24:16-02","PUCRS","MPUC","11151","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","S.M. Nunes",NA,"2001","07","26","Brasil","RS","Porto Alegre","Morro Santana","-51.2372222222","-30.0191388889","-51.2372222222","-30.0191388889",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"48","2019-01-17 11:24:16-02","PUCRS","MPUC","8933","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher","C.S.A. Martins","1996","11","16","Brasil","RS","Maximiliano de Almeida","Junto ao rio Forquilha","-51.8036111","-27.6341667","-51.8036111000","-27.6341667000",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"49","2019-01-17 11:24:16-02","PUCRS","MPUC","2902","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","S.M. Nunes",NA,"1986","12","19","Brasil","SC","Tubarão",".","-49.0072222","-28.4644444","-49.0072222000","-28.4644444000",NA,NA,"Less.","1986","01","01",NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"50","2019-01-17 11:24:16-02","PUCRS","MPUC","13081","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"1993","10","20","Brasil","RS","Osório","RS 486, entre Terra de Areia e Tainhas.","-50.2694444","-29.8869444","-50.2694444000","-29.8869444000",NA,NA,"Less.","1997","01","01",NA,NA,NA,"Vegetação ruderal (F: 79)",NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1","200","600",NA,NA
"51","2019-01-17 11:24:16-02","PUCRS","MPUC","9726","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"2000","11","26","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"52","2019-01-17 11:24:16-02","PUCRS","MPUC","1868","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"1978","12","28","Brasil","RS","Taquarí",".","-51.8643989562988","-29.7996997833252",NA,NA,NA,NA,"Less.","1990","01","01",NA,NA,NA,NA,NA,"Asterales","South America",NA,"21657","auto","Magnoliopsida","1",NA,NA,"588",NA
"53","2019-01-17 11:24:16-02","PUCRS","MPUC","1939","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","N.I. Matzenbacher",NA,"1978","12","28","Brasil","RS","Taquarí",".","-51.8643989562988","-29.7996997833252",NA,NA,NA,NA,"Less.","1982","01","01",NA,NA,NA,NA,NA,"Asterales","South America",NA,"21657","auto","Magnoliopsida","1",NA,NA,"626",NA
"54","2019-01-17 11:24:16-02","PUCRS","MPUC","11153","S","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","S.M. Nunes",NA,"2001","07","18","Brasil","RS","Porto Alegre","Morro Santana","-51.2372222222","-30.0191388889","-51.2372222222","-30.0191388889",NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,"Asterales","South America",NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
