"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","minimumElevationInMeters","monthIdentified","dayIdentified"
"12","2018-05-17 05:28:00-03","MO","MOBOT","2227706","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Osvaldo Morrone|Norma B. Deginani|María E. Múlgura","1997","4","19","South America","Argentina","10 km de San Ignacio, Parque Teyú Cuare, finca Lenoble, alrededores de la casa",NA,NA,NA,NA,"Zuloaga, F. O. & Morrone, O., /07/",NA,"Morrone 1885","Misiones","San Ignacio","-55.55","-27.26666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2338084","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Schmidt",NA,NA,NA,"South America","Argentina","Salto Encantado",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Schmidt 4555","Misiones","Libertador General San Martín","-54.9","-27.08333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-05-17 05:29:00-03","MO","MOBOT","2402604","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Fernando O. Zuloaga|Osvaldo Morrone|María E. Múlgura|A. Vega","1995","3","6","South America","Argentina","S. Ignacio, casa de Horacio Quiroga",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Zuloaga 5306","Misiones","San Ignacio","-55.55","-27.25",NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA
"15","2011-01-31 07:11:00-02","MO","MOBOT","2402622","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","L.R. Parodi",NA,NA,NA,"South America","Argentina","San Pedro",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Parodi 5609","Misiones","San Pedro","-54.13333","-26.65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-05-17 05:29:00-03","MO","MOBOT","2402659","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Fernando O. Zuloaga|Osvaldo Morrone|María E. Múlgura","1996","4","21","South America","Argentina","Parque Provincial Teyucuaré",NA,NA,NA,NA,"Zuloaga, F. O., /05/",NA,"Zuloaga 5713","Misiones","San Ignacio","-55.55","-27.26666",NA,NA,NA,NA,NA,NA,"200.00000000",NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","241327","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Elsa M. Zardini|M. Velázquez","1990","5","26","South America","Paraguay","5 km SE of Emboscada. Isla Alta. On a plain. Savanna.",NA,NA,NA,NA,"Gerrit Davidse (MO)",NA,"Zardini 20748","Cordillera",NA,"-57.25","-25.13333",NA,NA,NA,NA,"4","336",NA,NA,NA
"18","2013-10-09 05:40:00-03","MO","MOBOT","241386","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Elsa M. Zardini|Ramón Velásquez","1989","6","4","South America","Paraguay","Parque Nacional Ibicu'í. Administración-Arroyo Corrientes-La Rosada. On forest. 26.00S-26.07S 56.46W-56.53W",NA,NA,NA,NA,"Gerrit Davidse (MO)",NA,"Zardini 12482","Paraguarí",NA,"-56.76666","-26",NA,NA,NA,NA,"4","95",NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2426878","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Diego Giraldo-Cañas|F. Biganzoli","1998","3","23","South America","Argentina","Parque Provincial Teyucuaré, senda a la Gruta de los Cuervos",NA,NA,NA,NA,"Zuloaga, F. O., 06/",NA,"Giraldo-Cañas 6597","Misiones","San Ignacio","-55.58333","-27.28333",NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA
"20","2009-07-27 09:22:00-03","MO","MOBOT","2426898","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Fernando O. Zuloaga|Osvaldo Morrone","1999","2","22","South America","Argentina","Entrada al Parque Provincial Teyucuaré",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Zuloaga 6804","Misiones","San Ignacio","-55.55","-27.26666",NA,NA,NA,NA,NA,NA,"220.00000000",NA,NA
"21","2014-02-09 13:30:00-02","MO","MOBOT","2428170","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","G. Grüner",NA,NA,NA,"South America","Argentina","Loreto",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Grüner 764","Misiones","Candelaria","-55.53333","-27.31666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","2428193","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Osvaldo Morrone|Norma B. Deginani|Ana M. Cialdella","1996","2","14","South America","Argentina","Parque Provinvial Cruce Caballero, Ruta Nac. 14, 14 km de San Pedro camino a Tobuna",NA,NA,NA,NA,"Zuloaga, F. O., /06/",NA,"Morrone 779","Misiones","San Pedro","-53.98333","-26.51666",NA,NA,NA,NA,NA,NA,"540.00000000",NA,NA
"23","2012-02-26 07:54:00-03","MO","MOBOT","2452941","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","D. Giambiagio",NA,NA,NA,"South America","Argentina","San Ignacio",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Giambiagio s.n.5","Misiones","San Ignacio","-55.53333","-27.26666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","2492712","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Aurelio Schinini|Ricardo O. Vanni|Sergio Cáceres M.","1993","3","23","South America","Paraguay","Yataity, 46 Km NE de Yuty",NA,NA,NA,NA,"F. Zuloaga",NA,"Schinini Cacace 27777","Caazapá",NA,"-56.08333","-26.36666",NA,NA,NA,NA,NA,NA,"130.00000000",NA,NA
"25","2009-12-23 06:59:00-02","MO","MOBOT","2516188","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Karl Fiebrig",NA,NA,NA,"South America","Paraguay","Zwischen Río Apa und Río Aquidabán, N. Paraguay, Caballero-Cué",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Fiebrig 4790","Concepción",NA,"-57.0005833","-23.0008333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2012-02-29 13:36:00-03","MO","MOBOT","2939452","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","José E. Montes","1958","3","20","South America","Argentina","Loreto. Bianual? tallos rastreros, do .2-.5 m, inflor. verdes, umbelas blancas. Habitat en interior del bosque. Poco abundante.",NA,NA,NA,NA,NA,NA,"Montes 27562","Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,"220.00000000",NA,NA
"27","2012-04-10 05:01:00-03","MO","MOBOT","2939660","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Elena Schwindt","1950",NA,NA,"South America","Argentina","Ruta 14 Km 304 próx. Arroyo Chafairz.",NA,NA,NA,NA,NA,NA,"Schwindt 3266","Misiones","Guaraní",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2009-06-24 20:50:00-03","MO","MOBOT","2939859","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Jason R. Swallen","1946","6","10","South America","Brazil","Dense clumps along road in forest; Colonia Agricola Federal. Dourados, Territory of Ponta Porã.",NA,NA,NA,NA,"G. Davidse",NA,"Swallen 9409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-06-24 20:49:00-03","MO","MOBOT","2939984","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Jason R. Swallen","1946","3","20","South America","Brazil","Guarapuava. Dense shady woods, Fazenda Capao Redondo.",NA,NA,NA,NA,NA,NA,"Swallen 8909","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2009-05-15 13:24:00-03","MO","MOBOT","2940072","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Pedro Jörgensen","1929",NA,NA,"South America","Paraguay","Prostrate. Common in woods ..",NA,NA,NA,NA,NA,NA,"Jörgensen 4094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2014-01-16 10:22:00-02","MO","MOBOT","2940733","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Pastor Arenas Rodríguez","1975","2","23","South America","Paraguay","Tobati, Cerro Tobati.",NA,NA,NA,NA,NA,NA,"Arenas Rodríguez 1145","Cordillera",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"32","2009-05-15 13:24:00-03","MO","MOBOT","2944117","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Pedro Jörgensen","1930",NA,NA,"South America","Paraguay","Villarrica. Común en el monte.",NA,NA,NA,NA,"L.R. Brodi",NA,"Jörgensen 4034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2009-07-17 07:39:00-03","MO","MOBOT","2944119","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Émile Hassler","1913",NA,NA,"South America","Paraguay","Paraguaria Centralis: In regione lacus Ypacaray.",NA,NA,NA,NA,NA,NA,"Hassler 12459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","2944120","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","José E. Montes","1946",NA,NA,"South America","Argentina","Teyucuaré.",NA,NA,NA,NA,NA,NA,"Montes 2110","Misiones","San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2011-12-22 05:01:00-02","MO","MOBOT","1121074","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Teodoro Rojas","1938","5",NA,"South America","Paraguay","Puerto Bertoni",NA,NA,NA,NA,"Gerrit Davidse, 2005 (MO)",NA,"Rojas 7951","Alto Paraná",NA,"-54.58333","-25.65",NA,NA,NA,NA,"1",NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","249891","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","William J. Hahn","1984","4","20","South America","Paraguay","Parque Nacional Ybycui. Semideciduous forest.",NA,NA,NA,NA,"Gerrit Davidse (MO)",NA,"Hahn 2330","Paraguarí",NA,"-55.16666","-26.66666",NA,NA,NA,NA,"2","84-18",NA,NA,NA
"37","2017-02-01 11:31:03-02","UNIOESTE","UNOP","3527","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Souza, T.; Liesenfeld, V.; Jesus, C.S.; Liesenfeld, V.; Jesus, C.S.","2016","01","21",NA,"Brasil","Parque Estadual do Guartelá","Planta herbácea encontrada em borda de Capão de Floresta Ombrófila Mista com solo arenoso seco.",NA,NA,NA,"Cordeiro, J.","2016","39","Paraná","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,"56988","auto",NA,NA,NA,"02","26"
"38","2021-02-08 12:53:40-03","UFRGS","ICN","041500","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Quarín, S; Tressens, SG; Ferraro, L","1976","03","31","América do Sul","Argentina","42 Km E de Ituzaingó, costa del Rio Paraná.","Universidad Nacional Del Nordeste - Corrientes.; 20-30 cm de altura, estolonífera.; Interior de selva marginal.",NA,NA,"Monocotyledon","Cavalheiro, EM",NA,"3375","Corrientes","Ituzaingó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 12:53:40-03","UFRGS","ICN","060050","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Quarín, S","1982","03","25","América do Sul","Argentina","31 Km NE de Mburucuyá.","Universidad Nacional Del Nordeste - Corrientes.; Em interior de bosque.",NA,NA,"Monocotyledon","Cavalheiro, EM","1988","3706","Corrientes","General Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 12:53:40-03","UFRGS","ICN","137768","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","do Carmo, MRB","2004","02","10","América do Sul","Brasil","Parque Estadual do Guartelá","Doação Herbário HUPG.; Erva com 25cm de altura.; Em capão próximo à ponte do riacho do Pedregulho.",NA,NA,"Monocotyledon","Trevisan, R","2016","684","PR","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,"56988","auto",NA,NA,NA,"09","19"
"41","2019-11-21 10:15:42-03","IBt","SP","212386","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Zuloaga, FO; et al.","1984","05","02","Southern America","Argentina","Entre Campo Vieira e Campo Grande.",NA,"SP033288","SP033288",NA,NA,NA,"1996","Misiones","Cainguás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:15:42-03","IBt","SP","85058","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Woolston, AL","1956","08","30",NA,"Paraguai","Depto San Pedro.",NA,"SP033287","SP033287",NA,"Burman, AG","1988","G-149","Alto Paraguay","Primavera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"05","26"
"43","2019-11-21 10:15:42-03","IBt","SP","85462","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Woolston, AL","1955","06","10",NA,"Paraguai","Depto San Pedro.",NA,"SP033285","SP033285",NA,"Burman, AG","1988","G-69","Alto Paraguay","Primavera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"05","26"
"44","2019-11-21 10:15:42-03","IBt","SP","179706","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Sendulsky, T","1982","03",NA,NA,"Brasil","Parque Nacional de Sete Quedas, Ilhas dos Saltos.",NA,"SP033354","SP033354",NA,NA,NA,"1832","Paraná","Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,NA,NA,NA
"45","2019-11-21 10:15:42-03","IBt","SP","175553","S","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Bockermann, W","1981","02","28",NA,"Brasil","Fazenda Barreiro Rico.",NA,"SP033286","SP033286",NA,"Santos, C","2001","s.n.","São Paulo","Anhembi","-48.1199989318848","-22.7800006866455",NA,NA,"25656","auto",NA,NA,NA,NA,NA
