"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","monthIdentified","dayIdentified","verbatimLatitude","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","class"
"11","2021-03-01 16:36:40-03","UNICAMP","UEC","21285","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Souza, MC","Leitão Filho, HF; et al.","10786","1979","12","11",NA,"Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,"Árvore de flores brancas.","UEC103471","UEC103471","2005","37574","auto",NA,"07",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:37:14-03","MBM","MBM","293123","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Gardn.",NA,"Lucas, E.J.","194","2003","11","09","Southern America","Brazil","Paraná","Pontal do Paraná","Shangri-lá","-48.511100769043","-25.6735992431641",NA,NA,"MBM293123","MBM293123",NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:37:14-03","MBM","MBM","212938","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Gardn.","Sobral, M.","Person, V.G.; et al.; et al.","s.n.","1993","01","29","Southern America","Brazil","São Paulo","Cananéia","Capuava, 10km N de Ariri","-47.9199981689453","-25.0100002288818",NA,NA,"MBM212938","MBM212938",NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-04 13:38:25-03","MNHN","RECOLNAT_MNHN_P","P00161247","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.",NA,"Glaziou, A.",NA,"1881","2","12",NA,"Brésil",NA,NA,"Près de Guaxindiba (Rio)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161247' target='other'> <mi>dwc_moreinfo</mi></a>","P00161247","P00161247_01",NA,NA,NA,NA,NA,NA,NA,"isotype","11975",NA,NA,NA
"15","2020-12-11 11:39:26-03","UFMG","BHCB","197857","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.",NA,"Mazine, FF; Capelo, FA; Lucas, E; Silva, JM","1007","2003","11","09","Southern America","Brasil","Paraná","Pontal do Paraná","Balneário Shangri-lá","-48.511100769043","-25.6735992431641",NA,"Árvore ca. 4m, botões jovens avermelhados; beira de estrada de terra","BHCB197857",NA,"2003","19508","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-09 10:13:39-03","UENF","HUENF","6469","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","M.C. Souza","Nascimento, M.T.; Dan, M.L.; Souza, T.P.","2256","2008","09","19",NA,"Brasil","Rio de Janeiro","São José de Ubá","Mata do Emboque","-41.918056","-21.375556",NA,"sp.1","HUENF00006472",NA,"2019",NA,NA,"41º55'5''W","03","26","21º22'32''S",NA,NA,"205","205",NA
"17","2021-02-09 10:13:39-03","UENF","HUENF","6337","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","M.C. Souza","Nascimento, M.T.; Dan, M.L.; Souza, T.P.","1765","2008","08","15",NA,"Brasil","Rio de Janeiro","São José de Ubá","Mata do Emboque","-41.918056","-21.375556",NA,"sp.1","HUENF00006340",NA,"2019",NA,NA,"41º55'5''W","03","26","21º22'32''S",NA,NA,"205","205",NA
"18","2021-02-09 10:13:39-03","UENF","HUENF","3198","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","M.C. Souza","Dan, M.L.; et al.","782","2007","11","01",NA,"Brasil","Rio de Janeiro","São José de Ubá","Fazenda Prosperidade","-42.033056","-21.411667",NA,"Estéril ; folhas bem grandes ; casca igual goiaba","HUENF00003200",NA,"2019",NA,NA,"42º1'59''W","03","26","21º24'42''S",NA,NA,"256","256",NA
"19","2021-02-09 10:13:39-03","UENF","HUENF","6203","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","M.C. Souza","Evaristo, V.T.","270","2008","07","03",NA,"Brasil","Rio de Janeiro","Natividade",NA,"-41.9733009338379","-21.042200088501",NA,NA,"HUENF00006206",NA,"2019","18409","auto",NA,"03","26",NA,NA,NA,NA,NA,NA
"20","2019-12-09 17:30:25-03","UFPR","EFC","7881","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, D.F.","Gatti, G.; Kuniyoshi, Y.S.; Schimmelpfeng, L.C.","159","1997","10","24",NA,"Brasil","Paraná","Paranaguá","Floresta Estadual do Palmito","-48.5558","-25.5917",NA,"Arvoreta de 4 m de altura em beira de curso d'água. Folhas verticiladas e inflorescência avermelhada. __COMMOM_NAME__: guapiricica","EFC007881",NA,"2018",NA,NA,"-48.5558","07","12","-25.5917",NA,NA,"20","20",NA
"21","2019-12-09 17:30:25-03","UFPR","EFC","9085","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, D.F.","Svolenski, A.C.","523","1998","03","03",NA,"Brasil","Paraná","Matinhos","Fazenda Empreendimentos Guaraguaçu Ltda.","-48.5428009033203","-25.8174991607666",NA,"Árvore 8m, dominante no caxetal. __COMMOM_NAME__: Jaguapiroca","EFC009085",NA,"2018","15275","auto",NA,"07","12",NA,NA,NA,NA,NA,NA
"22","2019-12-09 17:30:25-03","UFPR","EFC","7601","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, D.F.","Kuniyoshi, Y.S.; Barddal, M.L.","6091","1997","10","03",NA,"Brasil","Paraná","Matinhos","Rod. Alexandra Matinhos","-48.5428009033203","-25.8174991607666",NA,"Árvore, 4 m, frequente no caxetal. Botões florais. __COMMOM_NAME__: Jaguapiricica","EFC007601",NA,"2018","15275","auto",NA,"07","12",NA,NA,NA,NA,NA,NA
"23","2019-12-09 17:30:25-03","UFPR","EFC","6750","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, D.F.","Kuniyoshi, Y.S.; Carvalho, J.; Kleina, A.L.S.","5969","1996","11","22",NA,"Brasil","Paraná","Paranaguá","Faz. Herbert Barkman","-48.5092010498047","-25.5200004577637",NA,"Árvore 3,0 m, beira do rio Cachoeirinha/Cambará, tronco verde, flores brancas. __COMMOM_NAME__: Jaguapiricica","EFC006750",NA,"2018","24916","auto",NA,"07","12",NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:27:03-03","USP","SPF","164714","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Sobral, M","Mazine, FF","1007","2003","11","09",NA,"Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,"SPF00164714",NA,"2003","19508","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:27:03-03","USP","SPF","70708","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, DF","Neto, MBR","s.n.","1989","10",NA,NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"SPF00070708",NA,"2016","55628","auto",NA,"06",NA,NA,NA,NA,NA,NA,NA
"26","2019-10-07 09:35:38-03","UEFS","HUEFS","164288","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.",NA,"Pessoa, S.V.A.","1217","2007","10","23",NA,"Brasil","Rio de Janeiro","Silva Jardim","Fazenda Santa Helena, remanescente próximo a BR - 01, na borda da mata, no fragmento maior na região onde existe uma vala.","-42.347778","-22.530833",NA,NA,"HUEFS0164288","HUEFS0164288",NA,NA,NA,"42W20'52''",NA,NA,"22S31'51''",NA,NA,NA,NA,"Rosanae"
"27","2019-10-07 09:35:38-03","UEFS","HUEFS","86950","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.",NA,"Glaziou, A.","11975","1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0086950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"28","2019-09-04 19:42:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha",NA,NA,"A. Glaziou","11975",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,"Dicotyledoneae"
"29","2018-05-14 16:12:41-03","F","FMNH-SEEDPLANTS","V0349079F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha",NA,"RRC ID Flag","G. G. Hatschbach","13139","1965","11","17","South America","Brazil","Paraná",NA,NA,"-51","-24",NA,NA,"V0349079F","V0349079F_01 V0349079F_02",NA,NA,NA,NA,NA,NA,NA,NA,"13139",NA,NA,"Dicotyledoneae"
"30","2019-12-20 18:46:45-03","UFSJ","HUFSJ","7781","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Sobral, M","Kollmann, L; Bause, E; Clóves.","3273","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sobra da tarde.","-40.8908004760742","-18.7549991607666",NA,"Arbusto de 2m. Frutos pretos maduros.","HUFSJ007781",NA,"2004","36480","auto",NA,NA,NA,NA,NA,NA,"230","230",NA
"31","2019-02-27 14:03:08-03","UFSJ","HUFSJ","6982","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Sobral, M","Borges, SM","2","1982","11","01",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso.","-47.9199981689453","-25.0100002288818",NA,"Arbusto ou árvore, flor, restinga.","HUFSJ006982",NA,"2016","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 17:30:03-03","UEM","HUEM","13760","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","E.J. Lucas","J.M. de Silva; J.M. de Silva; Mazine, FF; Capello, F","194",NA,NA,NA,NA,"Brasil","Paraná","Pontal do Paraná","Shangri La; beira da estrada","-48.420861","-25.61925",NA,"Árvore; 3,5 m de altura; ramificações a partir de 1,5 m de altura; tronco com 20 cm de diâmetro.; Restinga arbórea.","HUEM000008852","HUEM000008852","2003",NA,NA,"-48.420861","11","09","-25.61925",NA,NA,"11","11",NA
"33","2019-11-01 15:06:13-03","UnB","UB","183552","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Staggemeier, VG","Staggemeier, VG; Camargo, MGG","802","2012","06","08","Southern America","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Cananéia/SP.","-47.929189","-25.092119",NA,"Tronco liso e verde brilhante soltando placas marrons. Folhas verticiladas, saindo de 3 a 4 no mesmo eixo. Estéril. Indivíduo 185 da fenologia. Árvore com 4 m de altura.; Floresta de Planície Tropical Úmida, solo argiloso.",NA,NA,"2012",NA,NA,"-47.929189","06","09","-25.092119",NA,NA,NA,NA,NA
"34","2019-11-01 15:06:13-03","UnB","UB","183553","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Staggemeier, VG","Staggemeier, VG; Camargo, MGG","803","2012","06","08","Southern America","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Cananéia/SP.","-47.929189","-25.092119",NA,"Tronco liso e verde brilhante soltando placas marrons. Folhas verticiladas, saindo de 3 a 4 no mesmo eixo. Estéril. Árvore com 4 m de altura. Indivíduo 186 da fenologia.; Floresta de Planície Tropical Úmida, solo argiloso.",NA,NA,"2012",NA,NA,"-47.929189","06","09","-25.092119",NA,NA,NA,NA,NA
"35","2019-10-03 10:04:18-03","UFSCar","SORO","7642","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiarersk.","E.H.P.Barreto","Garcia, R.J.F.; Branco, F.R.; Branco, F.","2569","2005","09","24",NA,"Brasil","São Paulo","Itanhaém","Rio Preto. Mata ciliar.","-46.7799987792969","-24.1800003051758",NA,"Árvore, 5m alt.; botões, ramos da inflorescência verdes a vináceos. Voucher de estudo paleoambiental (IG-UNICAMP).",NA,NA,"2014","26998","auto",NA,"01",NA,NA,NA,NA,NA,NA,NA
"36","2021-02-23 13:22:55-03","MN","R-TIPOS","9042","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.",NA,"Glaziou, A.F.M.","11975","1881","02","12",NA,"Brasil","Rio de Janeiro","Guaxindiba",NA,NA,NA,NA,NA,"R000009042","R000009042_001",NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA,NA
"37","2020-08-20 14:58:24-03","UFSC","FLOR","1412","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Lima, D.F.","Hatschbach, G.","13139","1965","11","17",NA,"Brasil","Paraná","Paranaguá","Pontal do Sul.","-48.5092010498047","-25.5200004577637",NA,"árvore 8m, flor alvacenta","FLOR0001412",NA,"2016","24916","auto",NA,"04","15",NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:45:32-03","IF","SPSF","15715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Osny T. Aguiar","J.B.Baitello & S.M.Borges","91","1981","11","11","América do Sul","Brasil","SP","Cananéia","Parque Estadual da Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,"COLETA: XLS: SPSFAntigo&nf;Arvoreta de folhas coriáceas; botões jovens esverdeados.; GEOGRAFIA: Área de Restinga;",NA,NA,"2017","37574","auto",NA,"08","25",NA,NA,NA,NA,NA,"Magnoliopsida"
"39","2021-03-04 15:45:32-03","IF","SPSF","24558","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Osny T. Aguiar","M.Sztutman","134","1999","01","07","América do Sul","Brasil","SP","Pariquera Açu","P.E.Pariquera Abaixo",NA,NA,NA,"COLETA: XLS: SPSFAntigo &nf;Árvore de 6m de altura, frutos verdes e negros.; GEOGRAFIA: Floresta Ombrófila Densa. Floresta de Caxeta acessado pela rodovia Piraquera-Iguape, no sitio. de Sr Dário, no lado sul do PEPA, na margem do Ribeirão (condição aluvial",NA,NA,"2017",NA,NA,NA,"08","25",NA,NA,NA,NA,NA,"Magnoliopsida"
"40","2021-02-08 12:44:09-03","UFRGS","ICN","120213","S","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Sobral, M","Person, VG; et al.","s.n.","1993","01","29","América do Sul","Brasil","SP","Cananéia","Capuava 10km ao norte de Ariri","-47.9199981689453","-25.0100002288818",NA,"Árvore, 8m; fruto roxo escuro, quase preto. Restinga higrófila. V. Kiaerskou, Enum. Myrt. Bras.: 72. 1893.",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:12:11-03","IBt","SP","332744","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Kawasaki, ML","Batista, ER; et al.","86","1999","01","08",NA,"Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Floresta ombrófila densa, floresta de restinga paludosa","-47.083333","-25.066667",NA,"Árvore 8m alt.",NA,NA,"1999",NA,NA,"-47.083333",NA,NA,"-25.066667",NA,NA,NA,NA,NA
"42","2019-11-21 10:12:11-03","IBt","SP","244416","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Aguiar, OT","Melo, MMRF; Penina, A","690","1987","01","19",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso, Estrada de captação de água","-47.9199981689453","-25.0100002288818",NA,"Árvore ca. 10m alt., frutos maduros pretos, adocicados, as margens do rio Perequê",NA,NA,"1990","37574","auto",NA,"12","18",NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:12:11-03","IBt","SP","254378","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Kawasaki, ML","Rodrigues, M","s.n.","1992","02","15",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso, Próximo ao rio Araçaúba","-47.9199981689453","-25.0100002288818",NA,"Árvore ca. 4m alt., crescendo em restinga, fruto cor vinho. Projeto M ico Leão Caiçara",NA,NA,"1997","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 10:12:11-03","IBt","SP","163585","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Aguiar, OT","De-Grande, DA; Lopes, EA","352","1979","11","16",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso, Trilha de acesso ao trapiche","-47.9199981689453","-25.0100002288818",NA,"Árvore ca. 6m alt., flores brancas",NA,NA,"1990","37574","auto",NA,"12","18",NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:12:11-03","IBt","SP","329432","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Kawasaki, ML","Fávero, OA; Born, GCC","s.n.","1992",NA,NA,NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:12:11-03","IBt","SP","329443","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","Kawasaki, ML","Fávero, OA; Born, GCC; Martins, OT","355","1992","02","13",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Beira do rio da Cachoeira do Guilherme","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2014-09-23 10:58:59-03","G","G","G00439824","S","Plantae",NA,NA,"Myrtaceae","Myrcia","hexasticha","Myrcia hexasticha","Kiaersk.","?","Glaziou, A. F. M.","11975","1881",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00439824",NA,NA,NA,NA,"-42.9125",NA,NA,"-22.48222222","ISOTYPUS of Myrcia hexasticha Kiaersk.",NA,NA,NA,NA
