"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"11","2020-11-04 11:03:01-03","ESALQ","ESA","62445","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Gorenstein, M.R. et al.","145.0","1999","01","12",NA,"Brasil",NA,NA,NA,"ESA062445","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395","ESA062445",NA,NA,"2019","03","15","55628","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:03:01-03","ESALQ","ESA","62937","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Souza, V.C. et al.","21603.0","1998","12","17",NA,"Brasil",NA,NA,NA,"ESA062937","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","São Sebastião",NA,"-45.4099998474121","-23.7600002288818","ESA062937",NA,NA,"2019","03","15","41977","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:01-03","ESALQ","ESA","63099","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Souza, V.C. et al.","21666.0","1998","12","18",NA,"Brasil",NA,NA,NA,"ESA063099","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","São Sebastião",NA,"-45.4099998474121","-23.7600002288818","ESA063099",NA,NA,"2019","03","15","41977","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:01-03","ESALQ","ESA","111773","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Feliciano, C.D.",NA,"2004","01","16",NA,"Brasil",NA,NA,NA,"ESA111773","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666","ESA111773",NA,NA,"2019","03","15","34059","auto",NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:24:40-03","MN","R","9830","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Glaziou, A.F.M.","12147","1880","05","02",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000009830",NA,NA,"Vell.","Jacques, E.L.","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","R000009830_001",NA,NA,"1992","02","26","36524","auto",NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:24:40-03","MN","R","9831","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Glaziou, A.F.M.","14236","1882","12","23",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000009831",NA,NA,"Vell.","Jacques, E.L.","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","R000009831_001",NA,NA,"1992","11","21","36524","auto",NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:01:04-03","JBP","HPL","2923","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","H. Lorenzi","4809","2000","04","06",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Vell","H. Lorenzi","RJ","Nova Friburgo","Coletada quase no alto da Serra sobre lage de pedra um tanto úmida, em mata.","-42.5311","-22.2819",NA,NA,NA,"2004","04","06","33190","auto",NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:01:04-03","JBP","HPL","1886","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","H. Lorenzi","4809","2004","04","06",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Vell.","H. Lorenzi","RJ","Nova Friburgo","Quase no alto da serra, sobre lage de pedra onde corria um pouco de água, em meia sombra.","-42.5311","-22.2819",NA,NA,NA,"2004","04","05","33190","auto",NA,NA,NA,NA,NA,NA,NA
"19","2016-02-02 14:37:47-02","BGBM","B","B 10 0124344","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","H. Luederwaldt","18007","1907","09",NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124344 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124344",NA,NA,"Vell.",NA,NA,NA,"Estação Raiz da Serra. Sao Paulo.",NA,NA,"B100124344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-02-02 14:37:47-02","BGBM","B","B 10 0124345","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","F. C. Hoehne","746","1917","10","20","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124345 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124345",NA,NA,"Vell.","E. Irmscher",NA,NA,"Alto da Sierra, S.Paulo.",NA,NA,"B100124345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-02-02 14:37:47-02","BGBM","B","B 10 0124346","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Martius","31(mayor)",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124346 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124346",NA,NA,"Vell.","E. Irmscher",NA,NA,"pr. Rio de Janeiro. Mandiocca.",NA,NA,"B100124346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-02-02 14:37:47-02","BGBM","B","B 10 0124348","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Martius","31(mayor)",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124348 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124348",NA,NA,"Vell.","E. Irmscher",NA,NA,"Mandiocca.",NA,NA,"B100124348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-02-02 14:37:47-02","BGBM","B","B 10 0124349","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Edwall","1885",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124349 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124349",NA,NA,"Vell.",NA,NA,NA,"Campo grande, Sao Paulo. Ex Herv. da Com.Greogr.e Geol. de S.Paulo.",NA,NA,"B100124349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-02-02 14:37:48-02","BGBM","B","B 10 0124352","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","F. Sellow","c 2182","1818","08","12","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124352 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124352",NA,NA,"Vell.","E. Irmscher",NA,NA,"Mandiocca.",NA,NA,"B100124352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-02-02 14:37:48-02","BGBM","B","B 10 0124354","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","E. H. G. Ule","4240","1896","12",NA,"Middle and South America","Brazil",NA,NA,"Habitat: Epiphyt im Walde der Serra dos Orgãos. <a href=http://herbarium.bgbm.org/object/B100124354 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124354",NA,NA,"Vell.",NA,NA,NA,"Rio de Janeiro.",NA,NA,"B100124354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-02-02 14:37:47-02","BGBM","B","B 10 0124343","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","A. C. Brade","7396","1913","11",NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124343 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124343",NA,NA,"Vell.",NA,NA,NA,"Campo grande, Sao Paulo.",NA,NA,"B100124343",NA,NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA
"27","2016-02-02 14:37:47-02","BGBM","B","B 10 0124347","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","A. Loefgren","3232","1895","08","05","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124347 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124347",NA,NA,"Vell.",NA,NA,NA,"Ilha de Sebastião, Sao Paulo. Ex Herv. da Com.Greogr.e Geol. de S.Paulo.",NA,NA,"B100124347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-02-02 14:37:47-02","BGBM","B","B 10 0124350","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","E. H. G. Ule","4635",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124350 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124350",NA,NA,"Vell.","E. Irmscher",NA,NA,"Estado de Sth. Catharina.",NA,NA,"B100124350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-02-02 14:37:47-02","BGBM","B","B 10 0124351","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","A. F. M. Glaziou","19821","1892","09","18","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124351 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124351",NA,NA,"Vell.",NA,NA,NA,NA,NA,NA,"B100124351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-02-02 14:37:48-02","BGBM","B","B 10 0124353","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Edwall","18012","1892","05","25","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124353 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124353",NA,NA,"Vell.",NA,NA,NA,"Ubatuba, Sao Paulo.",NA,NA,"B100124353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-02-02 14:37:48-02","BGBM","B","B 10 0124355","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","A. F. M. Glaziou","16325","1887",NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124355 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124355",NA,NA,"Vell.","E. Irmscher",NA,NA,"Rio de Janeiro et Minar.",NA,NA,"B100124355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:26:18-03","UNICAMP","UEC","137340","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Breier, TB; Budke, JC","529","2002","08","22",NA,"Brazil",NA,NA,"Na parcela C11.","UEC005833","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, parcelas permanentes.","-47.916667","-24.166667","UEC005833",NA,NA,"2004","09",NA,NA,NA,NA,NA,"-47.916667","-24.166667",NA,NA,NA
"33","2021-03-01 16:26:18-03","UNICAMP","UEC","137342","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Breier, TB; Dittrich, VAO","0658","2002","09","27",NA,"Brazil",NA,NA,"Na parcela permanente sobre árvore número 10577.","UEC005836","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, parcelas permanentes.","-47.916667","-24.166667","UEC005836",NA,NA,"2004","09",NA,NA,NA,NA,NA,"-47.916667","-24.166667",NA,NA,NA
"34","2019-08-20 10:07:35-03","UNICAMP","UEC","137343","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Breier, TB; Dittrich, VAO","0717","2002","09","25",NA,"Brazil",NA,NA,NA,"UEC005835","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.916667","-24.166667","UEC005835",NA,NA,"2004","09",NA,NA,NA,NA,NA,"-47.916667","-24.166667",NA,NA,NA
"35","2021-03-01 16:26:18-03","UNICAMP","UEC","67929","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Sanchez, M; et al.","29923","1993","11","09",NA,"Brazil",NA,NA,"Herbácea, ca. 15 cm de altura, flores com 2 pétalas brancas, flores masculinas em inflorescência pedicelada e flores femininas sésseis e basais, local sombreado.","UEC005832","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Ubatuba","Núcleo da Caverna de Pincinguaba, trilha do Corisco, mata de encosta.","-48.747386","-23.346667","UEC005832",NA,NA,"2003","05","27",NA,NA,NA,NA,"-48.747386","-23.346667",NA,NA,NA
"36","2021-03-01 16:26:18-03","UNICAMP","UEC","67906","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Barros, F; et al.","29462","1993","11","09",NA,"Brazil",NA,NA,"Epífita, com flores brancas com pendo avermelhado new das folhas averelhadas.","UEC005829","Magnoliopsida",NA,"Vell.","Jacques, EL","São Paulo","Ubatuba","Trilha do Corisco, floresta de encosta.","-44.816667","-23.333333","UEC005829",NA,NA,"1997","11","11",NA,NA,NA,NA,"-44.816667","-23.333333",NA,NA,NA
"37","2021-03-01 16:26:18-03","UNICAMP","UEC","20825","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Hatschbach, G","37827","1975","11","28",NA,"Brazil",NA,NA,"Epífita, flor alva. Mata pluvial.","UEC005830","Magnoliopsida",NA,"Vell.","Hatschbach, G","Paraná","Antonina","Rio Pequeno.","-48.7118988037109","-25.4286003112793","UEC005830",NA,NA,"1980",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:26:18-03","UNICAMP","UEC","92606","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Souza, JP; Souza, VC; Rodrigues, RR; Tamashiro, JY; Ivanauskas, NM","777A","1996","07","12",NA,"Brazil",NA,NA,"Epífita; flores alvas, estames amarelos.; Floresta Ombrófila Densa.","UEC041848","Magnoliopsida",NA,"Vell.","Maruyama, A","São Paulo","Cunha","Parque Estadual da Serra do Mar - Núcleo Cunha. Estrada em direção à trilha do Rio Bonito. Entorno da estrada.","-44.9599990844727","-23.0699996948242","UEC041848",NA,NA,"2020","05","31","38855","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:26:18-03","UNICAMP","UEC","107482","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Gorenstein, MR; Souza, FM; Betini, GS; Costa, CG; Garrote, V; Sztutman, M","31","1999","01","06",NA,"Brazil",NA,NA,"Epífita, flores alvas.; Floresta Ombrófila Densa.","UEC005834","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Iguape","Estação Ecológica de Chauás.","-47.5499992370605","-24.7000007629395","UEC005834",NA,NA,"2003","05","27","55628","auto",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:26:18-03","UNICAMP","UEC","069602","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Stehmann, JR; Sobral, M","1490","1994","08","17",NA,"Brazil",NA,NA,"Epífita.","UEC005827","Magnoliopsida",NA,"Vell.",NA,"São Paulo","Peruíbe","Juréia, trilha Grajaúna-Guilherme.","-46.9900016784668","-24.3199996948242","UEC005827",NA,NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:26:18-03","UNICAMP","UEC","514","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Davis, PH; Shepherd, GJ; Sakane, M; et al.","60903","1976","09","10",NA,"Brazil",NA,NA,"Steep rain forest, on clay. On mossy tree trunks. Female flowers subsessile, male flowers as nakes scapes. Flowers white.","UEC005831","Magnoliopsida",NA,"Vell.","Breier, TB","São Paulo","Sete Barras","Sete Barras reserve, c. 50 km from Sete Barras to São Miguel Arcanjo.","-47.9199981689453","-24.3799991607666","UEC005831",NA,NA,"2003","05","27","34059","auto","100","100",NA,NA,NA,NA,NA
"42","2014-10-14 15:56:29-03","BS","M","M-0145684","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"M0145684","Magnoliophyta","Cucurbitales","Vell.",NA,NA,NA,"ad Mandiocca.",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA
"43","2014-10-14 15:56:29-03","BS","M","M-0145685","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"M0145685","Magnoliophyta","Cucurbitales","Vell.",NA,NA,NA,"Brasilia pr. Rio de Janeiro: Mandiocca.",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA
"44","2020-06-29 09:29:42-03","UFRRJ","RBR","37237","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","E.L. Jacques; C.F. Andrade, J.F.C. Santos, M.S. Wängler","1896","2014","03","13",NA,"Brasil",NA,NA,NA,"RBR00037237",NA,NA,"Vell.","E.L. Jacques","Rio de Janeiro","Duque de Caxias","Estrada do Imperador, 1043 m de altitude, 22° 29#?# 20.9' S, 43° 17#?# 54.9' W.","-43.3116989135742","-22.7856006622314",NA,NA,NA,"2014","03","13","34388","auto",NA,NA,NA,NA,NA,NA,NA
"45","2020-06-29 09:29:42-03","UFRRJ","RBR","36069","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","M.M. Silva-Castro; T.S. Nunes, C. Azevedo, B. Marques","1015","2006","06","08",NA,"Brasil",NA,NA,NA,"RBR00036069",NA,NA,"Vell.","B.S. Gregório","Rio de Janeiro","Parati","Morro da Pedra Solada, Dentro da mata, próximo ao bambuzal, depois do córrego. 23° 18#?# 50' S 44° 44#?# 30' W Alt.: 148 m.","-44.7131004333496","-23.2178001403809",NA,NA,NA,"2010","09",NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA
"46","2020-06-29 09:29:42-03","UFRRJ","RBR","35756","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","R.A. Engelmann; J. Wesenberg, K. Baber","1061","2010","08","19",NA,"Brasil",NA,NA,NA,"RBR00035756",NA,NA,"Vell.","E.L. Jacques, R.A. Engelmann","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos, 22° 28#?# 52.5' S, 43° 01#?# 25.8' W, 800 m de altitude.","-42.9818992614746","-22.5372009277344",NA,NA,NA,"2011","11","10","21463","auto",NA,NA,NA,NA,NA,NA,NA
"47","2020-06-29 09:29:42-03","UFRRJ","RBR","37735","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","R.A. Engelmann; O. Thier","585","2010","02","22",NA,"Brasil",NA,NA,NA,"RBR00037735",NA,NA,"Vell.","E.L. Jacques, R.A. Engelmann","Rio de Janeiro","Magé","Parque Nacional da Serra dos Órgãos, 22° 33#?# 09.5' S, 43° 09#?# 18.9' W, 700m de altitude.","-43.040599822998","-22.6527996063232",NA,NA,NA,"2011","11","10","20531","auto",NA,NA,NA,NA,NA,NA,NA
"48","2020-06-29 09:29:42-03","UFRRJ","RBR","37198","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","E.L. Jacques; J. Wesenberg","1876","2013","11","22",NA,"Brasil",NA,NA,NA,"RBR00037198",NA,NA,"Vell.","E.L. Jacques","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha dos Pesquisadores, a 1243 m de altitude, 22° 27#?# 30,2' S, 43° 00#?# 06,7' W.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"2013","11","22","38539","auto",NA,NA,NA,NA,NA,NA,NA
"49","2020-06-29 09:29:42-03","UFRRJ","RBR","35801","S","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","R.A. Engelmann; J. Wesenberg, K. Baber","981","2010","08","27",NA,"Brasil",NA,NA,NA,"RBR00035801",NA,NA,"Vell.","E.L. Jacques, R.A. Engelmann","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos, Vale do Rio Soberbo, 22° 29#?# 21' S, 43° 00#?# 32' W. Elev.: 500m.","-42.9818992614746","-22.5372009277344",NA,NA,NA,"2011","11","10","21463","auto",NA,NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:17:59-03","MBM","MBM","77892","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Hatschbach, G.","45273","1982","09","03","Southern America","Brazil",NA,NA,NA,"MBM077892",NA,NA,"Vell. ex Char.","Hatschbach, G.","Paraná","Antonina","Mergulhão","-48.7118988037109","-25.4286003112793","MBM077892",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA
"51","2020-12-21 16:17:59-03","MBM","MBM","65814","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Hatschbach, G.","37827","1975","11","28","Southern America","Brazil",NA,NA,NA,"MBM065814",NA,NA,"Vell. ex Char.","Hatschbach, G.","Paraná","Antonina","Rio Pequeno","-48.7118988037109","-25.4286003112793","MBM065814",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA
