"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","typeStatus","monthIdentified"
"11","2021-03-15 18:29:02-03","USP","SPF","67432","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Mattos, J","10588","1961","07","05",NA,"Brasil","São Paulo","Santo André","Estação Biológica do Alto da Serra, Paranapiacaba.","-46.5299987792969","-23.6599998474121",NA,"3,5 m de altura. Flores brancas.; Capoeirinha.","SPF00067432","SPF00067432","27258","auto",NA,NA,NA,NA,NA,NA,NA,"isotype",NA
"12","2019-11-13 11:27:08-03","USP","SPF","67448","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Handro, O","Handro, O","1139","1966","04","15",NA,"Brasil","São Paulo","Santo André","Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SPF00067448",NA,"27258","auto","1966",NA,NA,NA,NA,NA,NA,NA,"04"
"13","2020-02-03 14:46:59-03","USP","SPF","165347","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Garcia, RJF","2137","2002","02","15",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar","-46.733889","-23.993611",NA,NA,"SPF00165347",NA,NA,NA,"2017","-46.733889","-23.993611",NA,NA,NA,NA,NA,NA
"14","2020-02-03 14:46:59-03","USP","SPF","85725","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Hoehne, FC","s.n.","1924","02","28",NA,"Brasil","São Paulo",NA,"Estação Biológica do Alto da Serra",NA,NA,NA,NA,"SPF00085725",NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-03 14:46:59-03","USP","SPF","85715","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Handro, O","1139","1966","04","15",NA,"Brasil","São Paulo","Santo André","Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SPF00085715",NA,"27258","auto","2017",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-07 09:34:50-03","UEFS","HUEFS","87076","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Aulomyrcia","retusa","Aulomyrcia retusa","O.Berg",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"HUEFS0087076",NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,"Tipo",NA
"17","2019-09-04 19:14:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Aulomyrcia","retusa","Aulomyrcia retusa",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype",NA
"18","2019-01-23 11:02:29-02","F","FMNH-SEEDPLANTS","V0064802F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Aulomyrcia","retusa","Aulomyrcia retusa",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0064802F","V0064802F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype",NA
"19","2021-03-04 15:45:33-03","IF","SPSF","28916","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","obcordata","Myrcia obcordata",NA,NA,"G.L.Esteves","2767","2000","10","20","América do Sul","Brasil","SP","Caraguatatuba","P.E.Serra do Mar, Núcleo Caraguatatuba","-45.4099998474121","-23.6200008392334",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata ombrofila em regeneracao&nf;;",NA,NA,"30093","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"20","2021-03-04 15:45:33-03","IF","SPSF","31806","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","obcordata","Myrcia obcordata",NA,NA,"R.J.F. Garcia","2137","2002","02","15","América do Sul","Brasil","SP","São Paulo","P.E.Serra do Mar, Núcleo Curucutu","-46.6300010681152","-23.5400009155273",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"53584","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"21","2017-09-11 17:11:10-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","retusa","Aulomyrcia retusa","O.Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in campis ad Rio das Pedras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-08-26 10:50:12-03","MCN-FZBRS","HAS","55105","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Mattos, J.","10588","1961","12",NA,NA,"Brasil","São Paulo","Santo André","Paranapiacaba, Estação Biológica","-46.5299987792969","-23.6599998474121",NA,"Numa capoeirinha, arb. 3,5m alt., fl. brancas.","HAS0055105",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA
"23","2019-11-21 10:12:15-03","IBt","SP","79843","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Kuhlmann, M","3334","1946","07","04",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Arbusto, frutos pretos quando maduros",NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-05 09:52:28-03","IBt","SP","75701","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Mattos, JR","Mattos, J","10588","1961","12","05",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Numa capoeirinha 3,5m de alt., flores brancas","SP001367","SP001367","27258","auto","1963",NA,NA,NA,NA,NA,NA,"Holotype","11"
"25","2019-11-21 10:12:15-03","IBt","SP","58666","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Kuhlmann, M","4376","1958","05","02",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Arbusto",NA,NA,"27258","auto","1964",NA,NA,NA,NA,NA,NA,NA,"02"
"26","2019-11-21 10:12:15-03","IBt","SP","102225","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Mattos, JR; Mattos, NF","14848","1967","07","27",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,"Numa capoeira, arbusto de 2m de alt., frutos vermelhos",NA,NA,"27258","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:12:15-03","IBt","SP","111140","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Mattos, JR","15441A","1969","05","29",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,"Na mata secundária, arbusto com ca. de 1,2m de alt., frutos maduros, negros",NA,NA,"27258","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-12 10:04:02-03","IBt","SP","310953","S","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Custodio Filho, A","2540","1986","04","17",NA,"Brasil","São Paulo","Biritiba-Mirim","Estação Biológica de Boracéia","-45.866667","-23.633333",NA,"Arbusto 3m alt., flores brancas.","SP116367","SP116367",NA,NA,"2018","-45.866667","-23.633333","890","950",NA,NA,NA,NA
"29","2019-12-12 10:04:02-03","IBt","SP","313210","S","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Souza, VC; et al.","9069","1995","09","04",NA,"Brasil","São Paulo","Eldorado","Parque Estadual Jacupiranga, Núcleo da Caverna do Diabo, trilha para o mirante mais alto, mata tlântica com transição para campo de altitude","-48.0999984741211","-24.5200004577637",NA,"Arbusto ca. 80cm alt., frutos imaturos verdes passando a negros, campo de altitude","SP116366","SP116366","38804","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-12 10:04:02-03","IBt","SP","101988","S","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Mattos, J","13506","1966","04","27",NA,"Brasil","São Paulo","Salesópolis","Estação Biológica de Boracéia.perto das margen s do Rio Coruja.","-45.8400001525879","-23.5300006866455",NA,"Na mata virgem. Arbusto 3m alt., casca cinzenta, frutos imaturos.","SP116365","SP116365","18032","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-12 10:04:02-03","IBt","SP","9556","S","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Hoehne, FC","s.n.","1924","02","28",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,"SP116369","SP116369","27258","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-12 10:04:02-03","IBt","SP","64595","S","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, DF","Kuhlmann, M","4382","1958","04","17",NA,"Brasil","São Paulo","São Bernardo do Campo",NA,"-46.560001373291","-23.6900005340576",NA,"Arbusto do campo,","SP116368","SP116368","31119","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
