"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"15","2019-11-27 13:47:07-03","UFS","ASE","16399","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Schmidt, S; Alves, M; Cordula, E; Marciel, B; Amorim, B; Lucena, MFA","2006","07","Southern America","Brasil","Parque Nacional da Serra de Itabaiana",NA,"Flores lilás. Solo arenoso, areia branca. Área aberta com alguns fragmentos de rocha. Subida da Serra de Itabaiana.; Flores lilás. Solo arenoso, areia branca. Área aberta com alguns fragmentos de rocha. Subida da Serra de Itabaiana.;","ASE0026546",NA,"285","22","Sergipe","Itabaiana","-37.4247","-10.685875","Vital, MT","2008","01",NA,"-37.4247","-10.685875",NA,NA,NA,"675","675",NA,NA,NA,NA,NA
"16","2021-03-01 16:28:37-03","UNICAMP","UEC","131541","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Souza, FM; Souza, VC","1995","12",NA,"Brazil","Águas de Santa Bábara, ca. 11 Km da cidade em direção a Lençois, próximo à entrada da Reserva do Instituto Florestal.",NA,"Erva, até 40 cm de altura; corola violeta-azulada.; Campo cerrado.","UEC094990","UEC094990","9596","19","São Paulo",NA,NA,NA,"Silva, CV","2013","07","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:28:37-03","UNICAMP","UEC","204267","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Pilon, NAL; Durigan, G","2015","02",NA,"Brazil","Estação Ecológica de Águas de Santa Bárbara",NA,"Erva, ca. 50 cm de altura, flores azuis; Campo Cerrado","UEC183017","UEC183017","284","15","São Paulo","Águas de Santa Bárbara","-49.242153","-22.810417","Durigan, G","2015","02","15","-49.242153","-22.810417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:28:37-03","UNICAMP","UEC","3812","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Shepherd, GJ; Andrade, JB; Kinoshita, LS; Tamashiro, JY","1976","11",NA,"Brazil","Estrada Alto Paraíso a Campo Belo, Km 41.",NA,"Herbáceo até 70 cm. Flores azuis.","UEC094991","UEC094991","3734","28","Goiás",NA,NA,NA,"Silva, CV","2007","05","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:28:37-03","UNICAMP","UEC","131541","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Souza, VC; Souza, JP","1995","12",NA,"Brazil","Próximo à entrada da Reserva do Instituto Florestal.",NA,"Erva. Até 40cm de altura. Corola violeta-azulada.; Campo cerrado.",NA,NA,"9596","19","São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","Simão-Bianchini, R","2004","11","17",NA,NA,NA,"18363","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:28:37-03","UNICAMP","UEC","36470","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Leitão Filho, HF; Joly, CA; Oliveira, PS; Lewinsohn, TM","1984","01",NA,"Brazil","Cerrado da Estação Experimental de Itirapina e arredores.",NA,"Herbáceo, flores lilas-arroxeadas.","UEC090732","UEC090732","15910","25","São Paulo","Itirapina","-47.8199996948242","-22.25","Silva, CV","2013","07","05",NA,NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:28:37-03","UNICAMP","UEC","33202","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Leitão Filho, HF; Joly, CA; Martins, FR","1983","01",NA,"Brazil","Reserva de cerrado da Estação Experimental de Itirapina.",NA,"Erva ereta 0,30 m, flores lilases.","UEC090730","UEC090730","14479","24","São Paulo","Itirapina","-47.8199996948242","-22.25","Silva, CV","2013","07","05",NA,NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-05 16:46:47-03","UFOP","OUPR","5729","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Schwacke, C.A.W.","1892","03",NA,"Brasil",NA,NA,NA,NA,NA,"8206",NA,"Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","Silva, C.V.","2011","07","12",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:21:22-03","MBM","MBM","140255","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Arbo, M.M.; et al.; et al.","1990","02","Southern America","Brazil","Rod. BR-020, 20km E da estrada de Planaltina",NA,"Flores brancas, brácteas agudas. Cerrado","MBM140255","MBM140255","3433","02","Distrito Federal",NA,NA,NA,"Krapovickas, A.","1990",NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA,NA
"24","2015-09-04 12:49:39-03","MNHN","RECOLNAT_MNHN_P","P00746282","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Saint-Hilaire, A. de",NA,NA,NA,"Brésil","Province de Goyaz","hb","Evolvulus fuscus Meism.cf. Meded. Bot. Mus. en Herb. Rijks Univ. Utrecht, n. 14 (1934). <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746282' target='other'> <mi>dwc_moreinfo</mi></a>","P00746282","P00746282_01",NA,NA,"Goiás",NA,NA,NA,"Ooststroom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 991",NA,NA,NA,NA
"25","2015-09-04 12:45:20-03","MNHN","RECOLNAT_MNHN_P","P03545460","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Regnell, A.F.","1855","10",NA,"Brasil","Brésil. São Paulo, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545460' target='other'> <mi>dwc_moreinfo</mi></a>","P03545460","P03545460_01",NA,"1","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 187",NA,NA,NA,NA
"26","2015-09-04 12:45:20-03","MNHN","RECOLNAT_MNHN_P","P03545461","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Glaziou, A.","1895","1",NA,"Brasil","Brésil, Goyaz, Fazenda do Lambary, prés de Lagoa Formoza. Goiás, Centro-oeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545461' target='other'> <mi>dwc_moreinfo</mi></a>","P03545461","P03545461_01",NA,"26","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21801",NA,NA,NA,NA
"27","2015-09-04 12:45:20-03","MNHN","RECOLNAT_MNHN_P","P03545462","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Glaziou, A.","1895","1",NA,"Brasil","Brésil; Goyaz. Fazenda dos Porcos, au bord du Rio Pizarão. Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545462' target='other'> <mi>dwc_moreinfo</mi></a>","P03545462","P03545462_01",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21800",NA,NA,NA,NA
"28","2015-09-04 12:45:20-03","MNHN","RECOLNAT_MNHN_P","P03545463","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Glaziou, A.","1895","1",NA,"Brasil","Goyaz. Fazenda dos Porcos, au bord du Rio Pizurão.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545463' target='other'> <mi>dwc_moreinfo</mi></a>","P03545463","P03545463_01",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21800",NA,NA,NA,NA
"29","2015-09-04 12:45:20-03","MNHN","RECOLNAT_MNHN_P","P03545465","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Weddell, H.A.","1844","1",NA,"Brasil","Brésil central. Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545465' target='other'> <mi>dwc_moreinfo</mi></a>","P03545465","P03545465_01",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,NA,NA
"30","2020-10-01 14:25:07-03","JBB","HEPH","9141","S","Plantae","Dicotyledon","Solanales","Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Vieira, RF; et al.","1991","11","Southern America","Brasil","A 5,8 km de Correntina",NA,NA,NA,NA,"1119","17","Bahia","Correntina","-44.6366996765137","-13.3432998657227",NA,NA,NA,NA,NA,NA,NA,"182507","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-03-29 09:32:00-03","MO","MOBOT","2830183","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Anders F. Regnell","1848","2","South America","Brazil","Uberava.",NA,NA,NA,NA,"Regnell s.n.",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"32","2015-08-10 05:49:00-03","MO","MOBOT","2860083","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Amaro Macedo","1950","2","South America","Brazil","Municipio Jatúr, Queixadu.",NA,NA,NA,NA,"Macedo 2134","9","Goiás",NA,NA,NA,"R.W. Schery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2018-04-26 14:53:42-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Souza, VC",NA,NA,"Southern America","Brazil","Ca. 11 Km da cidade em direção a Le",NA,NA,"CONV016796",NA,"9596",NA,"Bahia","Águas de Santa Bárbara",NA,NA,"Simão-Bianchini, R","2003","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"voucher","72712",NA
"34","2019-12-19 11:18:13-03","UFG","UFG","7383","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Rizzo, J.A.","1971","12",NA,"Brasil",NA,NA,NA,"UFG0007383","UFG0007383","7316","14","Goiás","Uruaçu","-49.1408004760742","-14.5247001647949","Simão-Bianchini, R.","1995","12","30",NA,NA,NA,"80860","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-12-19 11:18:13-03","UFG","UFG","8008","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Rizzo, J.A.","1972","02",NA,"Brasil",NA,NA,NA,"UFG0008008","UFG0008008","7653","11","Goiás","Uruaçu","-49.1408004760742","-14.5247001647949","Simão-Bianchini, R.","1995","12","30",NA,NA,NA,"80860","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-12-19 11:18:13-03","UFG","UFG","8718","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Rizzo, J.A.","1972","12",NA,"Brasil",NA,NA,NA,"UFG0008718","UFG0008718","8693","15","Goiás","Jataí","-51.7144012451172","-17.8813991546631","Simão-Bianchini, R.","1995","12","30",NA,NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-12-19 11:18:13-03","UFG","UFG","8001","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Rizzo, J.A.","1972","01",NA,"Brasil",NA,NA,NA,"UFG0008001","UFG0008001","7406","14","Goiás","Uruaçu","-49.1408004760742","-14.5247001647949","Simão-Bianchini, R.","1995","12","30",NA,NA,NA,"80860","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-12-19 11:18:13-03","UFG","UFG","15524","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Gomes-Klein, V.L.; et al.","1994","12",NA,"Brasil","Parque Nacional das Emas",NA,NA,NA,NA,"2620","03","Goiás","Mineiros","-52.5511016845703","-17.5694007873535","Moreira, A.L.C.","2015","11","16",NA,NA,NA,"100343","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-12-19 11:18:13-03","UFG","UFG","13663","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Ferreira, H.D.","1990","02",NA,"Brasil","Parque Nacional das Emas",NA,NA,"UFG0013663","UFG0013663","2334","16","Goiás","Mineiros","-52.5511016845703","-17.5694007873535",NA,NA,NA,NA,NA,NA,NA,"100343","auto",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 11:56:06-03","UFPE","UFP","82259","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Schmidt, S; Alves, M; Cordula, E; Marciel, J; Amorim, B; Lucena, MFA","2006","07",NA,"Brasil",NA,NA,"Flores lilás. Solo arenoso, areia branca. Área aberta com alguns fragmentos de rocha. Subida da Serra de Itabaiana.; Cerrado","UFP082259",NA,"285","22","Sergipe","Itabaiana","-37.361111","-10.739167","Vital, MT","2008","01",NA,"-37.361111","-10.739167",NA,NA,NA,"675","675",NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","1336061","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn. in Mart.","Isosyntype","A. F. Regnell","1848","11","South America - Neotropics","Brazil","Uberava.",NA,NA,"US00111213","US00111213_01","III 187","18","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","1336062","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","virescens","Evolvulus fuscus virescens","Meisn. in Mart.","Isotype; Isosyntype","A. F. Regnell","1867","2","South America - Neotropics","Brazil",NA,NA,"Regnell III 188 is one of the two syntypes of Evolvulus fuscus var. virescens Meisn. Ooststroom (1934) cites 188* [with asterisk] as type of var. canescens and cites 188 [sans asterisk] separately [=paratype?]; unclear whether these comprise a single gathering but date on US duplicates is the same and both US sheets are annotated as var. canescens by Ooststroom (1934). [Isotype and Isosyntype annotations added to labels at later date; S.F. Smith script]","US01094794","US01094794_01","III 188 *","4","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","272989","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","virescens","Evolvulus fuscus virescens","Meisn. in Mart.","Possible Isotype; Isosyntype","A. F. Regnell","1867","2","South America - Neotropics","Brazil",NA,NA,"Regnell III 188 is one of the two syntypes of Evolvulus fuscus var. virescens Meisn. Ooststroom (1934) cites 188* [with asterisk] as type of var. canescens and cites 188 [sans asterisk] separately [=paratype?]; unclear whether these comprise a single gathering but date on US duplicates is the same and both US sheets are annotated as var. canescens by Ooststroom (1934). [Isotype and Isosyntype annotations added to labels at later date; S.F. Smith script]","US00111214","US00111214_01","III 188","4","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"44","2020-09-02 16:23:19-03","Cenargen","CEN","55158","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Aécio Amaral-Santos","2004","03",NA,"Brasil","Afloramento calcário do proprietério Gilberto.","Exsicatas",NA,"CEN00055158","CEN00055158","2406","15","GO","SAO DOMINGOS","-46.624722","-13.779722","R. Simão-Bianchini & C. V. Silva","2006","07",NA,"-46.624722","-13.779722",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA
"45","2020-09-02 16:23:19-03","Cenargen","CEN","47607","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Aécio Amaral-Santos","2003","02",NA,"Brasil","Estrada Palmital - Cabeceira Grande, cerca de 7 km à esquerda, aproximadamente 4 km após a entrada.","Exsicatas","Área de influência da AHE Queimado.","CEN00047607","CEN00047607","1868","20","MG","UNAI","-46.9061012268066","-16.3575000762939","R. Simão-Bianchini & C. V. Silva","2006","07",NA,"-4726639.0","-1606639.0",NA,"97926","auto",NA,NA,NA,"4",NA,NA,NA
"46","2020-10-16 10:36:15-03","UFG","HJ","8259","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Souza, L.F.; Pereira, F.C.","2011","02",NA,"Brasil","Fazenda Boa Vista",NA,"Campo úmido com inundação na estação chuvosa. Solos hidromórficos do tipo gleissolo","HJ00008259",NA,"4638","03","Goiás","Jataí","-52.078889","-17.970833","Luzia Francisca de Souza",NA,NA,NA,"52º4'44''W","17º58'15''S",NA,NA,NA,"873","873",NA,NA,NA,NA,NA
