"","threat.status","search.str"
"105","LC","Aechmea bromeliifolia"
"106","LC","Aechmea bromeliifolia var. albobracteata"
"107","LC","Aechmea calyculata"
"108","DD","Aechmea candida"
"109","DD","Aechmea capixabae"
"110","EN","Aechmea cariocae"
"111","EN","Aechmea castanea"
"112","LC","Aechmea caudata"
"113","LC","Aechmea cylindrata"
"114","EN","Aechmea depressa"
"115","LC","Aechmea distichantha"
"116","EN","Aechmea echinata"
"117","DD","Aechmea entringeri"
"118","NT","Aechmea eurycorymbus"
"119","EN","Aechmea fosteriana"
"120","LC","Aechmea gamosepala"
"121","LC","Aechmea gracilis"
"122","DD","Aechmea guarapariensis"
"123","CR","Aechmea gustavoi"
"124","EN","Aechmea kertesziae"
"125","EN","Aechmea kleinii"
"126","DD","Aechmea lingulata"
"127","NT","Aechmea maasii"
"128","EN","Aechmea macrochlamys"
"129","CR","Aechmea marginalis"
"130","EN","Aechmea muricata"
"131","EN","Aechmea mutica"
"132","LC","Aechmea nudicaulis"
"133","CR","Aechmea orlandiana"
"134","LC","Aechmea pectinata"
"135","DD","Aechmea pedicellata"
"136","DD","Aechmea pimenti-velosoi"
"137","DD","Aechmea podantha"
"138","DD","Aechmea recurvata var. albobracteata"
"139","DD","Aechmea recurvata var. ortgiesii"
"140","DD","Aechmea roberto-seidelii"
"141","DD","Aechmea rubrolilacina"
"142","LC","Aechmea setigera"
"143","EN","Aechmea sphaerocephala"
"144","EN","Aechmea triangularis"
"145","VU","Aechmea vanhoutteana"
"146","EN","Aechmea werdermannii"
"147","CR","Aechmea winkleri"
"148","LC","Aeschynomene denticulata"
"149","EN","Aeschynomene fructipendula"
"150","EN","Aeschynomene graminoides"
"151","EN","Aeschynomene laca-buendiana"
"152","LC","Aeschynomene montevidensis"
"153","LC","Aeschynomene selloi"
"154","DD","Aeschynomene sensitiva var. hispidula"
"155","VU","Aeschynomene simplicifolia"
"156","NT","Agalinis angustifolia"
"157","CR","Agalinis bandeirensis"
"158","VU","Agalinis brachyphylla"
"159","LC","Agalinis communis"
"160","EN","Agalinis itambensis"
"161","EN","Agalinis nana"
"162","EN","Agalinis ramulifera"
"163","CR","Agalinis schwackeana"
"164","LC","Agarista chlorantha"
"165","LC","Agarista niederleinii"
"166","LC","Agarista nummularia"
"167","NT","Agarista pulchra"
"168","LC","Agenium leptocladum"
"169","EN","Agrianthus almasensis"
"170","EN","Agrianthus giuliettiae"
"171","DD","Agrimonia parviflora"
"172","VU","Agrostis lenis"
"173","EN","Agrostis longiberbis"
"174","CR","Agrostis ramboi"
"175","LC","Aiouea acarodomatifera"
"176","EN","Aiouea benthamiana"
"177","VU","Aiouea bracteata"
"178","EN","Aiouea lehmannii"
"179","DD","Aiouea macedoana"
"180","LC","Aiouea piauhyensis"
"181","LC","Aiouea trinervis"
"182","LC","Aiphanes ulei"
"183","DD","Akrosida macrophylla"
"184","CR","Alansmia senilis"
"185","LC","Alatiglossum barbatum"
"186","CR|LC","Alatiglossum croesus"
"187","CR|LC","Alatiglossum longipes"
"188","VU","Albizia burkartiana"
"189","NT","Albizia decandra"
"190","LC","Albizia edwallii"
"191","EN","Albizia glabripetala"
"192","LC","Albizia niopoides"
"193","CR","Alcantarea benzingii"
"194","DD","Alcantarea burle-marxii"
"195","EN","Alcantarea duarteana"
"196","CR","Alcantarea farneyi"
"197","EN","Alcantarea geniculata"
"198","EN","Alcantarea glaziouana"
"199","DD","Alcantarea hatschbachii"
"200","VU","Alcantarea imperialis"
"201","VU","Alcantarea nahoumii"
"202","EN","Alcantarea nevaresii"
"203","NT","Alcantarea roberto-kautskyi"
"204","EN","Alcantarea vinicolor"
"205","DD","Aldama aspilioides"
"206","LC","Aldama bracteata"
"207","EN","Aldama corumbensis"
"208","EN","Aldama filifolia"
"209","VU","Aldama goyazii"
"210","CR","Aldama linearifolia"
"211","CR","Aldama paranensis"
"212","EN","Aldama vernonioides"
"213","CR","Algernonia dimitrii"
"214","CR","Algernonia kuhlmannii"
"215","LC","Allagoptera arenaria"
"216","VU","Allagoptera brevicalyx"
"217","DD","Allantoma integrifolia"
"218","DD","Allantoma kuhlmannii"
"219","LC","Allantoma pachyantha"
"220","DD","Allantoma pauciramosa"
"221","DD","Allantoma uaupensis"
"222","LC","Allophylus puberulus"
"223","LC","Allophylus semidentatus"
"224","EN","Almeidea coerulea"
"225","NT","Alophia coerulea"
"226","EN","Aloysia hatschbachii"
"227","LC","Aloysia polygalifolia"
"228","VU","Alseis involuta"
"229","LC","Alsophila capensis"
"230","LC","Alsophila capensis subsp. polypodioides"
"231","EN","Alstroemeria amabilis"
"232","LC","Alstroemeria apertiflora"
"233","EN","Alstroemeria brasiliensis"
"234","CR","Alstroemeria capixaba"
"235","EN","Alstroemeria caryophyllaea"
"236","EN","Alstroemeria chapadensis"
"237","LC","Alstroemeria inodora"
"238","LC","Alstroemeria isabellana"
"239","CR","Alstroemeria malmeana"
"240","EN","Alstroemeria orchidioides"
"241","EN","Alstroemeria penduliflora"
"242","DD","Alstroemeria variegata"
"243","EN","Alternanthera decurrens"
"244","VU","Alternanthera hirtula"
"245","EN","Alternanthera januarensis"
"246","EN","Alternanthera kurtzii"
"247","DD","Alternanthera malmeana"
"248","LC","Alternanthera micrantha"
"249","LC","Alternanthera paronychioides"
"250","LC","Alternanthera praelonga"
"251","LC","Alternanthera puberula"
"252","LC","Alternanthera reineckii"
"253","LC","Alternanthera sessilis"
"254","LC","Alternanthera tenella"
"255","CR","Altoparadisium chapadense"
"256","EN","Amaranthus rosengurtii"
"257","LC","Amauropelta araucariensis"
"258","LC","Amauropelta concinna"
"259","CR","Amauropelta novaeana"
"260","VU","Amburana acreana"
"261","NT","Amburana cearensis"
"262","DD","Amorimia velutina"
"263","LC","Anacardium humile"
"264","EN","Anagallis alternifolia"
"265","EN","Anagallis barbata"
"266","LC","Ananas fritzmuelleri"
"267","LC","Anathallis adenochila"
"268","DD","Anathallis bleyensis"
"269","CR","Anathallis colnagoi"
"270","DD","Anathallis crebrifolia"
"271","VU","Anathallis gehrtii"
"272","DD","Anathallis kautskyi"
"273","LC","Anathallis montipelladensis"
"274","EN","Anathallis pabstii"
"275","NT","Anathallis radialis"
"276","VU","Anathallis tigridens"
"277","LC","Anaxagorea dolichocarpa"
"278","NT","Anaxagorea silvatica"
"279","LC","Ancistrotropis firmula"
"280","LC","Andira vermifuga"
"281","LC","Andradaea floribunda"
"282","LC","Andradea floribunda"
"283","CR","Andreadoxa flava"
"284","DD","Andropogon campestris"
"285","LC","Andropogon carinatus"
"286","EN","Andropogon glaucophyllus"
"287","LC","Andropogon hypogynus"
"288","VU","Anemia blechnoides"
"289","VU","Anemia dentata"
"290","LC","Anemia elegans"
"291","DD","Anemia espiritosantensis"
"292","VU","Anemia gardneri"
"293","VU","Anemia mirabilis"
"294","NT","Anemia organensis"
"295","VU","Anemia trichorhiza"
"296","NT","Anemia warmingii"
"297","LC","Anemone decapetala"
"298","LC","Anemone sellowii"
"299","EN","Anemopaegma arvense"
"300","CR","Anemopaegma mirabile"
"301","DD","Anemopaegma patelliforme"
"302","DD","Anetanthus gracilis"
"303","LC","Anetium citrifolium"
"304","LC","Aneura pinguis"
"305","CR","Angelonia alternifolia"
"306","NT","Angelonia crassifolia"
"307","NT","Angelonia eriostachys"
"308","LC","Angelonia integerrima"
"309","EN","Angelonia pratensis"
"310","VU","Aniba ferrea"
"311","LC","Aniba heringeri"
"312","NT","Aniba intermedia"
"313","DD","Aniba pedicellata"
"314","EN","Aniba rosaeodora"
"315","VU","Aniba santalodora"
"316","DD","Aniseia martinicensis var. ambigua"
"317","NT","Anneliesia candida"
"318","NT","Anneliesia cuneata"
"319","CR","Anneliesia kayasimae"
"320","NT","Anneliesia russelliana"
"321","NT","Annona bahiensis"
"322","DD","Annona burchellii"
"323","LC","Annona cacans"
"324","DD","Annona calcarata"
"325","LC","Annona coriacea"
"326","LC","Annona dioica"
"327","LC","Annona emarginata"
"328","DD","Annona ferruginea"
"329","LC","Annona glabra"
"330","NT","Annona glaucophylla"
"331","LC","Annona leptopetala"
"332","DD","Annona malmeana"
"333","VU","Annona maritima"
"334","LC","Annona monticola"
"335","EN","Annona parviflora"
"336","VU","Annona pickelii"
"337","LC","Annona sericea"
"338","NT","Annona spinescens"
"339","EN","Annona ubatubensis"
"340","NT","Annona xylopiifolia"
"341","EN","Anomochloa marantoidea"
"342","DD","Anomospermum reticulatum subsp. nitidum"
"343","EN","Anteremanthus hatschbachii"
"344","CR","Anthaenantiopsis fiebrigii"
"345","NT","Anthurium bromelicola"
"346","LC","Anthurium coriaceum"
"347","DD","Anthurium fontellanum"
"348","DD","Anthurium fontellanus"
"349","NT","Anthurium ianthinopodum"
"350","LC","Anthurium jilekii"
"351","VU","Anthurium jureianum"
"352","LC","Anthurium kunthii"
"353","EN","Anthurium langsdorffii"
"354","LC","Anthurium longifolium"
"355","EN","Anthurium lucidum"
"356","EN","Anthurium luschnathianum"
"357","EN","Anthurium megapetiolatum"
"358","NT","Anthurium organense"
"359","LC","Anthurium parasiticum"
"360","NT","Anthurium parvum"
"361","VU","Anthurium radicans"
"362","VU","Anthurium xanthophylloides"
"363","LC","Aosa parviflora"
"364","CR","Aosa uleana"
"365","EN","Aphelandra espirito-santensis"
"366","LC","Aphelandra gigantea"
"367","LC","Aphelandra hirta"
"368","LC","Aphelandra longiflora"
"369","VU","Aphelandra margaritae"
"370","EN","Aphelandra maximiliana"
"371","LC","Aphelandra nitida"
"372","LC","Aphelandra prismatica"
"373","LC","Aphelandra schottiana"
"374","LC","Aphelandra squarrosa"
"375","LC","Apinagia riedelii"
"376","LC","Apium prostratum"
"377","EN","Apoclada simplex"
"378","VU","Apodanthera villosa"
"379","EN","Apodanthes caseariae"
"380","EN","Apodanthes minarum"
"381","LC","Apteria aphylla"
"382","VU","Apuleia leiocarpa"
"383","EN","Arachis villosa"
"384","EN","Araeococcus montanus"
"385","LC","Araeococcus parviflorus"
"386","LC","Aralia warmingiana"
"387","LC","Arapatiella psilophylla"
"388","EN","Araucaria angustifolia"
"389","EN","Aristida brasiliensis"
"390","CR","Aristida constricta"
"391","LC","Aristida laevis"
"392","LC","Aristida oligospira"
"393","DD","Aristida sanctae-luciae"
"394","DD","Aristolochia curviflora"
"395","LC","Aristolochia cymbifera"
"396","EN","Aristolochia hypoglauca"
"397","LC","Aristolochia labiata"
"398","VU","Aristolochia odora"
"399","LC","Aristolochia odoratissima"
"400","LC","Aristolochia wendeliana"
"401","EN","Arrojadoa bahiensis"
"402","NT","Arrojadoa dinae"
"403","EN","Arrojadoa eriocaulis"
"404","EN","Arthrocereus glaziovii"
"405","EN","Arthrocereus melanurus subsp. magnus"
"406","EN","Arthrocereus melanurus subsp. melanurus"
"407","EN","Arthrocereus melanurus subsp. odorus"
"408","EN","Arthrocereus rondonianus"
"409","LC","Arthropogon villosus"
"410","CR","Arthropogon xerachne"
"411","VU","Arundinella deppeana"
"412","LC","Asclepias aequicornu"
"413","LC","Asclepias langsdorffii"
"414","LC","Asclepias mellodora"
"415","EN","Asemeia marquesiana"
"416","CR","Asemeia pohliana"
"417","LC","Aspasia lunata"
"418","NT","Aspicarpa harleyi"
"419","LC","Aspidogyne commelinoides"
"420","LC","Aspidogyne kuczynskii"
"421","DD","Aspidosperma album"
"422","LC","Aspidosperma australe"
"423","LC","Aspidosperma cylindrocarpon"
"424","LC","Aspidosperma desmanthum"
"425","LC","Aspidosperma macrocarpon"
"426","LC","Aspidosperma nobile"
"427","NT","Aspidosperma polyneuron"
"428","DD","Aspidosperma quebracho-blanco"
"429","LC","Aspidosperma ramiflorum"
"430","LC","Aspidosperma riedelii"
"431","DD","Aspidosperma sandwithianum"
"432","LC","Aspidosperma spruceanum"
"433","LC","Aspidosperma tomentosum"
"434","VU","Aspilia almasensis"
"435","LC","Aspilia attenuata"
"436","CR","Aspilia belo-horizontinae"
"437","EN","Aspilia caudata"
"438","LC","Aspilia clausseniana"
"439","EN","Aspilia cordifolia"
"440","VU","Aspilia cylindrocephala"
"441","EN","Aspilia diamantinae"
"442","VU","Aspilia diffusiflora"
"443","CR","Aspilia diniz-cruzeanae"
"444","DD","Aspilia discolor"
"445","NT","Aspilia duarteana"
"446","CR","Aspilia eglerii"
"447","EN","Aspilia espinhacensis"
"448","LC","Aspilia floribunda"
"449","VU","Aspilia goiazensis"
"450","EN","Aspilia grazielae"
"451","DD","Aspilia hatschbachii"
"452","CR","Aspilia jugata"
"453","CR","Aspilia ovatifolia"
"454","LC","Aspilia paraensis"
"455","EN","Aspilia pereirae"
"456","DD","Aspilia podophylla"
"457","DD","Aspilia pohlii"
"458","LC","Aspilia procumbens"
"459","EN","Aspilia prostrata"
"460","EN","Aspilia pseudoyedaea"
"461","VU","Aspilia reticulata"
"462","EN","Aspilia silphioides"
"463","NT","Asplenium austrobrasiliense"
"464","CR","Asplenium beckeri"
"465","EN","Asplenium bradeanum"
"466","NT","Asplenium campos-portoi"
"467","EN","Asplenium castaneum"
"468","LC","Asplenium lacinulatum"
"469","LC","Asplenium muellerianum"
"470","LC","Asplenium praemorsum"
"471","CR","Asplenium schwackei"
"472","CR","Asplenium trindadense"
"473","LC","Asplenium ulbrichtii"
"474","LC","Asplenium wacketii"
"475","LC|VU","Asplundia brachypus"
"476","LC|VU","Asplundia polymera"
"477","LC|VU","Asplundia polymera subsp. reitzii"
"478","LC","Asteranthos brasiliensis"
"479","LC","Asterella venosa"
"480","DD","Asterostigma cubense"
"481","LC","Asterostigma lividum"
"482","LC","Asterostigma lombardii"
"483","EN","Astraea cincta"
"484","LC","Astraea lobata"
"485","LC","Astrocaryum aculeatissimum"
"486","DD","Astrocaryum minus"
"487","EN","Astronium balansae"
"488","LC","Astronium fraxinifolium"
"489","LC","Astronium graveolens"
"490","LC","Astronium urundeuva"
"491","LC","Athenaea fasciculata"
"492","DD","Athyrium filix-femina"
"493","EN","Atractylocarpus brasiliensis"
"494","EN","Atractylocarpus longisetus"
"495","VU","Attalea barreirensis"
"496","EN","Attalea brasiliensis"
"497","NT","Attalea funifera"
"498","LC","Attalea oleifera"
"499","LC","Attalea phalerata"
"500","LC","Attalea pindobassu"
"501","LC","Attalea tessmannii"
"502","LC","Aulonemia aristulata"
"503","LC","Aulonemia effusa"
"504","EN","Aulonemia ulei"
"505","LC","Aureliana fasciculata"
"506","CR","Austroblechnum andinum"
"507","NT","Austroblechnum organense"
"508","LC","Austroblechnum penna-marina"
"509","EN","Austroblechnum squamipes"
"510","LC","Austrocritonia angulicaulis"
"511","VU","Austroeupatorium rosmarinaceum"
"512","EN","Axonopus argentinus"
"513","LC","Axonopus aureus"
"514","CR","Axonopus bryoides"
"515","EN","Axonopus carajasensis"
"516","LC","Axonopus chrysoblepharis"
"517","LC","Axonopus comans"
"518","LC","Axonopus complanatus"
"519","VU","Axonopus fastigiatus"
"520","VU","Axonopus grandifolius"
"521","CR","Axonopus hydrolithicus"
"522","EN","Axonopus monticola"
"523","LC","Axonopus pressus"
"524","EN","Axonopus ramboi"
"525","CR","Axonopus uninodis"
"526","NT","Azara uruguayensis"
"527","EN","Baccharis aracatubensis"
"528","EN","Baccharis arassatubaensis"
"529","LC","Baccharis brevifolia"
"530","VU","Baccharis concinna"
"531","EN","Baccharis elliptica"
"532","LC","Baccharis grandimucronata"
"533","EN","Baccharis hypericifolia"
"534","VU","Baccharis lychnophora"
"535","LC","Baccharis megapotamica"
"536","NT","Baccharis paranensis"
"537","VU","Baccharis penningtonii"
"538","VU","Baccharis polyphylla"
"539","VU","Baccharis pseudo-alpestris"
"540","VU","Baccharis pseudoalpestris"
"541","LC","Baccharis sagittalis"
"542","NT","Baccharis sphenophylla"
"543","LC","Baccharis truncata"
"544","LC","Baccharis xiphophylla"
"545","EN","Bacopa cochlearia"
"546","LC","Bacopa congesta"
"547","LC","Bactris constanciae"
"548","NT","Bactris ferruginea"
"549","LC","Bactris hatschbachii"
"550","LC","Bactris pickelii"
"551","EN","Bactris timbuiensis"
"552","NT","Balfourodendron riedelianum"
"553","LC","Banara brasiliensis"
"554","VU","Banisteriopsis andersonii"
"555","VU","Banisteriopsis arborea"
"556","VU","Banisteriopsis basifixa"
"557","VU","Banisteriopsis byssacea"
"558","EN","Banisteriopsis cipoensis"
"559","VU","Banisteriopsis goiana"
"560","EN","Banisteriopsis hatschbachii"
"561","EN","Banisteriopsis hirsuta"
"562","EN","Banisteriopsis magdalenensis"
"563","NT","Banisteriopsis parviflora"
"564","CR","Banisteriopsis pseudojanusia"
"565","DD","Banisteriopsis salicifolia"
"566","VU","Banisteriopsis sellowiana"
"567","LC","Baptistonia cornigera"
"568","LC","Baptistonia cruciata"
"569","EN","Baptistonia kautskyi"
"570","LC","Baptistonia lietzei"
"571","LC","Baptistonia pubes"
"572","NT","Baptistonia sarcodes"
"573","CR","Baptistonia truncata"
"574","LC","Baptistonia venusta"
"575","EN","Barbacenia andersonii"
"576","VU","Barbacenia blackii"
"577","EN","Barbacenia contasana"
"578","CR","Barbacenia cylindrica"
"579","EN","Barbacenia delicatula"
"580","DD","Barbacenia ensifolia"
"581","CR","Barbacenia exscapa"
"582","EN","Barbacenia fulva"
"583","EN","Barbacenia glabra"
"584","CR","Barbacenia glutinosa"
"585","EN","Barbacenia gounelleana"
"586","EN","Barbacenia hatschbachii"
"587","DD","Barbacenia hirtiflora"
"588","CR","Barbacenia longiscapa"
"589","CR","Barbacenia lymansmithii"
"590","DD","Barbacenia minima"
"591","EN","Barbacenia paranaensis"
"592","CR","Barbacenia pungens"
"593","CR","Barbacenia reflexa"
"594","EN","Barbacenia regis"
"595","CR","Barbacenia riparia"
"596","EN","Barbacenia rodriguesii"
"597","EN","Barbacenia spectabilis"
"598","EN","Barbacenia spiralis"
"599","EN","Barbacenia umbrosa"
"600","EN","Barbacenia williamsii"
"601","NT","Barbosella dusenii"
"602","DD","Barbosella spiritu-sanctensis"
"603","DD","Barbosella spiritusanctensis"
"604","EN","Barbosella trilobata"
"605","LC","Barjonia erecta"
"606","EN","Barjonia grazielae"
"607","EN","Barjonia harleyi"
"608","NT","Barnebya dispar"
"609","LC","Barrosoa apiculata"
"610","LC","Bathysa australis"
"611","LC","Bathysa cuspidata"
"612","CR","Bauhinia candelabriformis"
"613","EN","Bauhinia integerrima"
"614","VU","Bauhinia leptantha"
"615","VU","Bauhinia malacotrichoides"
"616","DD","Bauhinia marginata"
"617","EN","Begonia albidula"
"618","EN","Begonia altamiroi"
"619","LC","Begonia angularis"
"620","EN","Begonia apparicioi"
"621","EN","Begonia bahiensis"
"622","EN","Begonia besleriifolia"
"623","DD","Begonia brevilobata"
"624","EN","Begonia coccinea"
"625","CR","Begonia crispula"
"626","VU","Begonia curtii"
"627","EN","Begonia dentatiloba"
"628","LC","Begonia descoleana"
"629","EN","Begonia espiritosantensis"
"630","LC","Begonia fruticosa"
"631","EN","Begonia glabra"
"632","EN","Begonia handroi"
"633","LC","Begonia herbacea"
"634","LC","Begonia hirtella"
"635","LC","Begonia hispida"
"636","LC","Begonia huegelii"
"637","EN","Begonia ibitiocensis"
"638","CR","Begonia inconspicua"
"639","LC","Begonia integerrima"
"640","EN","Begonia itaguassuensis"
"641","EN","Begonia itatinensis"
"642","CR","Begonia jureiensis"
"643","EN","Begonia kuhlmannii"
"644","CR","Begonia larorum"
"645","DD","Begonia obscura"
"646","EN","Begonia organensis"
"647","EN","Begonia paranaensis"
"648","EN","Begonia paulensis"
"649","EN","Begonia perdusenii"
"650","CR","Begonia piresiana"
"651","EN","Begonia pluvialis"
"652","EN","Begonia polygonifolia"
"653","LC","Begonia radicans"
"654","LC","Begonia rufa"
"655","CR","Begonia ruschii"
"656","CR","Begonia salesopolensis"
"657","EN","Begonia santoslimae"
"658","CR","Begonia scharffii"
"659","EN","Begonia smilacina"
"660","EN","Begonia stenolepis"
"661","EN","Begonia sylvatica"
"662","EN","Begonia toledoana"
"663","LC","Begonia ulmifolia"
"664","EN","Begonia undulata"
"665","LC","Begonia valdensium"
"666","CR","Begonia venosa"
"667","EN","Begonia vicina"
"668","NT","Beilschmiedia linharensis"
"669","EN","Beilschmiedia rigida"
"670","DD","Belemia fucsioides"
"671","CR|VU","Berberis campos-portoi"
"672","CR|VU","Berberis kleinii"
"673","EN","Bernardia confertifolia"
"674","EN","Bernardia crassifolia"
"675","EN","Bernardia pulchella"
"676","DD","Bernardia similis"
"677","VU","Bertholletia excelsa"
"678","CR","Bertolonia angustifolia"
"679","CR","Bertolonia formosa"
"680","EN","Bertolonia foveolata"
"681","CR","Bertolonia hoehneana"
"682","EN","Bertolonia leuzeana"
"683","EN","Bertolonia paranaensis"
"684","VU","Besleria grandifolia"
"685","DD","Besleria meridionalis"
"686","VU","Besleria umbrosa"
"687","LC","Bidens bipinnata"
"688","EN","Bidens edentula"
"689","LC","Bifrenaria aureofulva"
"690","LC","Bifrenaria calcarata"
"691","LC","Bifrenaria harrisoniae"
"692","LC","Bifrenaria inodora"
"693","LC","Bifrenaria leucorrhoda"
"694","LC","Bifrenaria racemosa"
"695","CR","Bifrenaria silvana"
"696","LC","Bifrenaria tetragona"
"697","LC","Bifrenaria tyrianthina"
"698","EN","Bifrenaria wittigii"
"699","LC","Billbergia alfonsijoannis"
"700","EN","Billbergia brasiliensis"
"701","LC","Billbergia distachia"
"702","LC","Billbergia leptopoda"
"703","DD","Billbergia lietzei"
"704","NT","Billbergia lymanii"
"705","DD","Billbergia macrocalyx"
"706","LC","Billbergia magnifica"
"707","LC","Billbergia meyeri"
"708","NT","Billbergia minarum"
"709","LC","Billbergia nutans"
"710","DD","Billbergia pohliana"
"711","DD","Billbergia pyramidalis"
"712","LC","Billbergia zebrina"
"713","DD","Bionia bella"
"714","CR","Bipinnula biplumata"
"715","DD","Bipinnula montana"
"716","EN","Bipinnula penicillata"
"717","LC","Bixa arborea"
"718","CR","Blechnum andinum"
"719","VU","Blechnum heringeri"
"720","DD","Blechnum mochaenum"
"721","EN","Blechnum mochaenum var. squamipes"
"722","NT","Blechnum organense"
"723","LC","Blechnum penna-marina"
"724","VU","Blechnum sprucei"
"725","LC","Blepharocalyx salicifolius"
"726","LC","Blepharodon bicuspidatum"
"727","EN","Blepharodon hatschbachii"
"728","LC","Blepharodon manicatum"
"729","EN","Blepharolejeunea securifolia"
"730","LC","Blotiella lindeniana"
"731","NT","Blumenbachia eichleri"
"732","LC","Blumenbachia scabra"
"733","LC","Blutaparon portulacoides"
"734","NT","Bocagea viridis"
"735","DD","Bocoa ratteri"
"736","LC","Bonamia agrostopolis"
"737","LC","Bonamia burchellii"
"738","CR","Bonamia kuhlmannii"
"739","EN","Boopis bupleuroides"
"740","EN","Boopis itatiaiae"
"741","DD","Borreria amapaensis"
"742","DD","Borreria burchellii"
"743","NT","Borreria gracillima"
"744","DD","Borreria guimaraesensis"
"745","DD","Borreria irwiniana"
"746","VU","Borreria paulista"
"747","DD","Borreria pulchristipula"
"748","LC","Borreria remota"
"749","DD","Borreria rosmarinifolia"
"750","DD","Borreria tocantinsiana"
"751","VU","Bothriochloa laguroides"
"752","LC","Botrychium virginianum"
"753","LC","Botrypus virginianus"
"754","DD","Bouchea chascanoides"
"755","LC","Bouchea fluminensis"
"756","NT","Bouchetia anomala"
"757","LC","Bowdichia nitida"
"758","NT","Bowdichia virgilioides"
"759","VU","Brachionidium restrepioides"
"760","LC","Brachymenium hornschuchianum"
"761","LC","Brachymenium hornschunchianum"
"762","VU","Brachystele camporum"
"763","CR","Bradea anomala"
"764","CR","Bradea bicornuta"
"765","EN","Bradea borrerioides"
"766","DD","Bradea kuhlmanni"
"767","CR","Bradea montana"
"768","EN","Brasilicereus markgrafii"
"769","LC","Brasilidium concolor"
"770","LC","Brasilidium crispum"
"771","LC","Brasilidium gardneri"
"772","LC|LC","Brasilidium gravesianum"
"773","CR|CR","Brasilidium marshallianum"
"774","CR|CR","Brasilidium pectorale"
"775","LC|LC","Brasilidium praetextum"
