"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","recordNumber","phylum","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-08-27 13:26:39-03","IAP","PACA-AGP","45849","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1950","02","16",NA,"Brasil","RS","Morro da Polícia","Habitat: In alte graminosis Fenofase: flor","PACA045849",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:26:39-03","IAP","PACA-AGP","93608","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","K. Potter","K. Potter","1985","01","01",NA,"Brasil","RS","Morro da Polícia","HEDU 835&nf;Erva florida, em campo limpo sol pleno Habitat: Campo limpo","PACA093608",NA,"Magnoliophyta",NA,NA,"Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:26:39-03","IAP","PACA-AGP","41323","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1949","04","27",NA,"Brasil","RS","Morro Santa Teresa","Habitat: In campestribus graminosis Fenofase: flor","PACA041323",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:26:39-03","IAP","PACA-AGP","39122","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1948","12","18",NA,"Brasil","RS","Chacara Weber","Habitat: In campestribus alte graminosis Fenofase: flor","PACA039122",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:26:39-03","IAP","PACA-AGP","39788","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1949","01","09",NA,"Brasil","RS","Morro das Abertas","Habitat: In campestribus dumetosis Fenofase: flor","PACA039788",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:26:39-03","IAP","PACA-AGP","676","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","C. Orth SJ","1934","01","10",NA,"Brasil","RS","Vila Manresa","Habitat: In campestribus dumetosis Fenofase: flor","PACA000676",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:26:39-03","IAP","PACA-AGP","28924","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1945","05","23",NA,"Brasil","RS","Vila Manresa","Habitat: In campestribus saxosis Fenofase: flor","PACA028924",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:26:39-03","IAP","PACA-AGP","67262","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","M.L.P., Z.S. & L.M.","1975","01","31",NA,"Brasil","RS","Morro Itapoã, Parq. Itapoã","Flores amarelas, Trans 1.25&nf;Herb. ICG n. 1179 Fenofase: flor","PACA067262",NA,"Magnoliophyta","2014","04","Viamão","-51.0233001708984","-30.0811004638672","41667","auto",NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:26:39-03","IAP","PACA-AGP","31756","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Rambo, B.","1946","02","07",NA,"Brasil","SC","Sombrio","Habitat: In arenosis dumetosis Fenofase: flor","PACA031756",NA,"Magnoliophyta","2014","04","Araranguá","-49.4858016967773","-28.934700012207","19353","auto",NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:41:12-03","UFJF","CESJ","9203","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchus","arechavaletanii","Stenorrhynchus arechavaletanii","Barb.Rodr","C.R. Buzzatto","L. Krieger","1970","09","21","América do Sul","Brasil","Minas Gerais",NA,"no chão. lugares ensolarados. Flores rosa-arroxeadas, raízes grossas.","CESJ009203","CESJ9203","Angiosperma","2014","03","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:41:12-03","UFJF","CESJ","9799","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchus","arechavaletanii","Stenorrhynchus arechavaletanii","Barb.Rodr","Pabst","L. Krieger","1970","12","28","América do Sul","Brasil","Paraná",NA,"No campo, fl. alaranjadas, raízes tuberosas.","CESJ009799","CESJ9799","Angiosperma","1971","07","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto","19",NA,NA,NA,NA,NA
"22","2019-11-21 14:41:12-03","UFJF","CESJ","11320","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchus","arechavaletanii","Stenorrhynchus arechavaletanii","Barb.Rodr","C.R. Buzzatto","L. Krieger","1971","12","18","América do Sul","Brasil","Paraná","Parque Estadual de Vila Velha","no campo artenoso. Raízes profundas, flores alaranjadas.","CESJ011320","CESJ11320","Angiosperma","2014","03","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:20:19-03","UNICAMP","UEC","96795","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb.Rodr.",NA,"Borba, EL; Felix, JM; Vaccarelli, VN","1997","12","15",NA,"Brazil","Minas Gerais","Trilha da Tropa, na beira do riacho.","Flores vermelhas.; Campo rupestre, local brejoso.","UEC078923","535","Liliopsida",NA,NA,"Grão Mogol","-42.9","-16.55",NA,NA,NA,"-42.9","-16.55","UEC078923",NA,NA
"24","2019-11-08 08:54:32-03","FURB","FURB","40626","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Verdi, M","Verdi, M.; Jarenkow, J.A.","2012","12","01",NA,"Brasil","Rio Grande do Sul","Serra dos Pedrosos.",NA,"FURB36352","6308",NA,"2012","12","Encruzilhada do Sul","-52.9111111","-30.7697223",NA,NA,"01","-52.9111111","-30.7697223","FURB36352","324","324"
"25","2021-03-16 17:50:19-03","UCS","HUCS","35140","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Waechter, J.L.","Setubal, R.","2006","01","02",NA,"Brasil","Rio Grande do Sul","Morro São Pedro - Espaço de Conservação","flores rosadas; campo úmido de topo de morro",NA,"572","Angiospermae",NA,NA,"Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,"160","160"
"26","2019-08-16 08:40:26-03","UTFPR","HCF","13242","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","M.E. Engels","M.G. Caxambu","2013","11","28",NA,"Brasil","PR","Sítio Sete Quedas","erva heliófita, ca. 0,80 m, ereta. Flores cor de laranja. Campo limpo.",NA,"4985",NA,"2014","04","Tibagi","-50.259444","-24.583278",NA,NA,NA,"50°15'34 W","24°34'59,8 S",NA,"1087","1087"
"27","2020-12-21 16:38:51-03","MBM","MBM","395916","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Engels, M.E.","Engels, M.E.; Lozano, E.D.; Lozano, E.D.","2013","12","10","Southern America","Brazil","Paraná","Recanto dos Papagaios","Folhas e escapo verde. Flores alaranjadas.; Floresta Ombrófila Mista. Em campo.","MBM395916","2084",NA,"2013","12","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto","10",NA,NA,"MBM395916",NA,NA
"28","2020-12-21 16:38:51-03","MBM","MBM","160973","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Buzatto, C.R.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","1993","06","13","Southern America","Brazil","Goiás","Rodovia GO 118, 5-8 km S de Alto Paraíso.","Flor amarelo-alaranjado. Campo rupestre, solo arenoso, úmido, junto a afloramentos rochosos","MBM160973","59341",NA,"2010","11",NA,NA,NA,NA,NA,"02",NA,NA,"MBM160973",NA,NA
"29","2020-12-21 16:38:51-03","MBM","MBM","387800","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Engels, M.E.","Lozano, E.D.","2013","12","18","Southern America","Brazil","Paraná","Parque Estadual de Vila Velha","Herbácea, 70 cm, flores laranja, campo semihidromórfico.; Campos Gerais","MBM387800","2417",NA,"2019","04","Ponta Grossa","-49.991917","-25.247556",NA,NA,"11","-49.991917","-25.247556","MBM387800",NA,NA
"30","2020-12-21 16:38:51-03","MBM","MBM","387808","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Engels, M.E.","Lozano, E.D.","2013","12","19","Southern America","Brazil","Paraná","Fazenda Santa Rita","Herbácea, 50 cm, flores alaranjadas, campo úmido.; Campos Gerais","MBM387808","2461",NA,"2019","04","Palmeira","-49.820917","-25.316222",NA,NA,"11","-49.820917","-25.316222","MBM387808",NA,NA
"31","2020-12-21 16:38:51-03","MBM","MBM","402080","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Barboza, E.","Silva, J.M.; Motta, J.T.; Motta, J.T.","2015","03","20","Southern America","Brazil","Paraná","CIC","Terrícola. Flor creme.; Campo graminoso.","MBM402080","8836",NA,"2016","01","Curitiba","-49.326944","-25.553333",NA,NA,NA,"-49.326944","-25.553333","MBM402080","906","906"
"32","2020-12-21 16:38:51-03","MBM","MBM","12738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, G.","Hatschbach, G.","1968","11","28","Southern America","Brazil","Paraná","Fazenda do Lobo",NA,"MBM012738","20429",NA,NA,NA,"Arapoti","-49.8266983032227","-24.1578006744385","41852","auto",NA,NA,NA,"MBM012738",NA,NA
"33","2020-12-21 16:38:51-03","MBM","MBM","7738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, G.","Hatschbach, G.","1968","01","19","Southern America","Brazil","Paraná","Posto Agropecuário",NA,"MBM007738","18342",NA,NA,NA,"Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,"MBM007738",NA,NA
"34","2020-12-21 16:38:51-03","MBM","MBM","50194","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, G.","Hatschbach, G.","1959","11","28","Southern America","Brazil","Paraná","Fazenda do Tigre",NA,"MBM050194","6804",NA,NA,NA,"Arapoti","-49.8266983032227","-24.1578006744385","41852","auto",NA,NA,NA,"MBM050194",NA,NA
"35","2020-12-21 16:38:51-03","MBM","MBM","51085","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, G.","Reitz, R.","1963","01","31","Southern America","Brazil","Santa Catarina","Campos Novos",NA,"MBM051085","6424",NA,NA,NA,"Campos Novos","-51.2249984741211","-27.4016990661621","43319","auto",NA,NA,NA,"MBM051085",NA,NA
"36","2011-02-25 14:27:00-03","MO","MOBOT","2518304","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay",NA,"Mariano B. Berro","1908","2","2","South America","Uruguay","Cerro Largo","Tres Cruces",NA,NA,"Berro 5747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-20 15:00:16-03","FUVATES","HVAT","2098","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","C. Buzatto","A. Jasper","2000","11","14",NA,"Brasil","Rio Grande do Sul",NA,NA,"HVAT00002098","s.n.",NA,"2009","09","São José dos Ausentes","-50.065833","-28.748333",NA,NA,"10","50º3'57''W","28º44'54''S",NA,NA,NA
"38","2019-12-09 17:30:35-03","UFPR","EFC","16630","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Engels, M. E.","Engels, M. E.","2010","12","08",NA,"Brasil","Paraná","Rio Verde","Terrestre, campo, corola alaranjada.","EFC016630","231",NA,"2011","02","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA
"39","2020-08-20 14:54:50-03","UFSC","FLOR","66964","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Funez, L.A.","Funez, L.A.; Costa-Rezende, D.H.; Ribeiro-Nardes, W.; Comin, M.","2018","11","10",NA,"Brasil","Santa Catarina","Campeche.","Erva. Projeto Peld-PPBio + MIND Funga","FLOR0066964","8901",NA,"2019","04","Florianópolis","-48.474167","-27.66",NA,NA,"09","48º28'27''W","27º39'36''S","FLOR0066964","5","5"
"40","2020-08-20 20:37:56-03","UFSC","FLOR","2551","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Pabst, G.","Bresolin, A.","1971","01","18",NA,"Brasil","Santa Catarina","Siriú.","terrícola, flor rosa-vermelho. Forma de carencia.","FLOR0002551","87",NA,"1971",NA,"Garopaba","-48.6133003234863","-28.0233001708984","11115","auto",NA,NA,NA,NA,NA,NA
"41","2021-02-08 12:52:22-03","UFRGS","ICN","145745","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Buzatto, CR","Buzatto, CR","2006","11","12","América do Sul","Brasil","RS","BR 116 km 308 Fazenda São Maximiano",NA,"ICN00041191","209","Monocotyledon",NA,NA,"Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA
"42","2021-02-08 12:52:22-03","UFRGS","ICN","149285","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Waechter, JL","Setubal, R; Bassi, J","2006","01","02","América do Sul","Brasil","RS","morro São Pedro Econsciência Espaço de Conservação","erva em campo úmido de topo de morro","ICN00041190","93","Monocotyledon",NA,NA,"Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,"145","145"
"43","2021-02-08 12:52:22-03","UFRGS","ICN","200054","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Schaefer, J","Schaefer, J","2019","02","09","América do Sul","Brasil","RS","Serrinha Velha",NA,"ICN00041189","JS865","Monocotyledon","2019","02","Segredo","-52.9791984558105","-29.3414001464844","18423","auto","20",NA,NA,NA,NA,NA
"44","2021-02-08 12:52:22-03","UFRGS","ICN","125992","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb. Rodr.) Garay","Buzatto, CR","Setubal, R; Kray, J; De Marchi, T","2007","02","12","América do Sul","Brasil","RS","Fazenda do Cilho","herbacea, flores róseo-avermelhadas; em campo rupestre","ICN00041188","852","Monocotyledon",NA,NA,"Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto",NA,NA,NA,NA,NA,NA
"45","2021-02-08 12:52:22-03","UFRGS","ICN","177543","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Buzatto, CR","Buzatto, CR","2010","11","23","América do Sul","Brasil","RS",NA,NA,"ICN00041284","659","Monocotyledon","2010","11","Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","auto","23",NA,NA,NA,NA,NA
"46","2021-02-08 12:52:22-03","UFRGS","ICN","127244","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Rocha, FS","Pinheiro, M",NA,NA,NA,"América do Sul","Brasil","RS","Parque Estadual de Itapuã, morro do Araçá","campo rupestre","ICN00041286","507","Monocotyledon",NA,NA,"Viamão","-51.0233001708984","-30.0811004638672","41667","auto",NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:52:22-03","UFRGS","ICN","015125","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, GFJ","Dutra, J",NA,NA,NA,"América do Sul","Brasil","RS","Caraúna",NA,"ICN00041283","1125","Monocotyledon","1954","02","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto","24",NA,NA,NA,NA,NA
"48","2021-02-08 12:52:22-03","UFRGS","ICN","110796","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Nunes, VF","Matzenbacher, NI","1994","02","26","América do Sul","Brasil","RS","Fazenda São Maximiano (Cerro do Poeta)","Frutos deiscentes.; Terrícola, rupestre, heliófita.","ICN00041285","s.n.","Monocotyledon",NA,NA,"Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA
"49","2021-02-08 12:52:22-03","UFRGS","ICN","015078","S","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","Pabst, GFJ","Dutra, J","1929","12","06","América do Sul","Brasil","RS","no cume do Morro Negro",NA,"ICN00041282","1078","Monocotyledon",NA,NA,"Itapuã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-11-21 10:13:51-03","IBt","SP","396395","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Mamede, MCH","Mello-Silva, R; Cordeiro, I; Assis, MC; Pirani, JR","1987","11","04",NA,"Brasil","Minas Gerais","Bacia do Ribeirão da Morte",NA,NA,"CFCR11506",NA,"2011","05","Grão Mogol","-42.916667","-16.558333",NA,NA,NA,"-42.916667","-16.558333",NA,"1000","1150"
"51","2019-11-21 10:13:51-03","IBt","SP","51593","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Mamede, MCH","Legrand, CD","1944","01","21",NA,"Desconhecido",NA,"Alrededores de Rivera, en barranca pedregosa",NA,NA,"3562",NA,"2011","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-11-21 10:13:51-03","IBt","SP","54577","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Mamede, MCH","Rosengurtt, B","1943","02","06",NA,"Uruguai","Maldonado","Bosque Lussich",NA,NA,"B-4415",NA,"2011","05","Punta Ballena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:13:51-03","IBt","SP","18477","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Mamede, MCH","Hoehne, FC","1927","02","12",NA,"Brasil","Minas Gerais",NA,NA,NA,"s.n.",NA,"2011","05","Lavras","-44.999698638916","-21.2453002929688","20044","auto",NA,NA,NA,NA,NA,NA
"54","2019-11-21 10:13:51-03","IBt","SP","64965","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Guimarães, LRS","Campos, SM","1959","11","24",NA,"Brasil","São Paulo",NA,NA,NA,"125",NA,"2011","01","Angatuba","-48.4099998474121","-23.4899997711182","29114","auto","28",NA,NA,NA,NA,NA
"55","2019-11-21 10:13:51-03","IBt","SP","24485","S","Plantae",NA,NA,"Orchidaceae","Skeptrostachys","arechavaletanii","Skeptrostachys arechavaletanii","(Barb.Rodr.) Garay","Guimarães, LRS","Hoehne, FC","1929","11","08",NA,"Brasil","São Paulo",NA,NA,NA,"s.n.",NA,"2011","01","Cotia","-46.9099998474121","-23.6000003814697","23869","auto","28",NA,NA,NA,NA,NA
