"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"11","2012-10-17 05:07:00-03","MO","MOBOT","218848","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isotype","Thomas R. Soderstrom|George F. Russell|José L. Hage","Soderstrom 2110","1976","4","4","South America","Brazil","Bahia",NA,"Mpio. Itaju do Colónia. Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Victória, mata cipó.",NA,NA,"210.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-08-31 09:21:40-03","INPA","INPA","72178","S","Plantae","Monocotyledon","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","isotype","Soderstrom, TR","2110","1976","04","04","Southern America","Brasil","Bahia","Itajú do Colónia","Fazenda Uruguayana and vicinity, 8 Kms south of Santa Cruz da Victória. Mata Cipó: open forest with many climbing plants and shrubby vegetation on sandy soil, with spiny plants such as cacti, shrubby Mimosoideae, Marantaceae, Anthurrium, Cryptanthus,","-39.7243995666504","-15.1424999237061","210",NA,NA,"INPA0072178","INPA0072178 INPA0072178_e",NA,"26963","auto","Soderstrom, TR","1985",NA,NA,NA,NA,"210",NA,NA,NA
"13","2020-09-25 10:39:18-03","UFPE","UFP","11726","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Sáderstr & Zuloaga.",NA,"Luceño, M","320","1995","04","26",NA,"Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,NA,"Em área de Brejo de Altitude.","UFP011726",NA,NA,"35136","auto","Oliveira, RP","2003","12",NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2902351","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"T. R. Soderstrom","2622","1980","3","17","South America - Neotropics","Brazil","Rio de Janeiro","Jacarepaguá","Vargem grande, nursery d. sucre",NA,NA,"10",NA,NA,"US00143982","US00143982_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","2810731","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom, G. F. Russell & J. Hage","2110","1976","4","4","South America - Neotropics","Brazil","Bahia","Itaju do Colonia","Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Victoria.","-39.7243995666504","-15.1424999237061",NA,NA,NA,"US00141298","US00141298_01","Monocotyledonae","26963","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"16","2020-09-12 05:00:02-03","US","US","2810730","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom, G. F. Russell & J. Hage","2110","1976","4","4","South America - Neotropics","Brazil","Bahia","Itaju do Colonia","Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Victoria.","-39.7243995666504","-15.1424999237061",NA,NA,NA,"US00141297","US00141297_01","Monocotyledonae","26963","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2020-09-12 05:00:02-03","US","US","2810732","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom, G. F. Russell & J. Hage","2110","1976","4","4","South America - Neotropics","Brazil","Bahia","Itaju do Colonia","Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Victoria.","-39.7243995666504","-15.1424999237061",NA,NA,NA,"US00141299","US00141299_01","Monocotyledonae","26963","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2019-10-07 09:22:25-03","UEFS","HUEFS","41771","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isótipo","Soderstrom, T.R.","2110","1976","04","04",NA,"Brasil","Bahia","Itaju do Colônia","8 Km S of Santa Cruz da Vitoria.","-39.8","-14.95",NA,NA,"Mata de cipo.","HUEFS0041771",NA,"Lilianae",NA,NA,NA,NA,NA,NA,"39W48'","14S57'",NA,NA,NA,NA
"19","2019-10-07 09:22:25-03","UEFS","HUEFS","46405","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Silva, A.G.da","292","2000","04","28",NA,"Brasil","Pernambuco","Madre de Deus","Brejo da Madre de Deus, Mata do Malhada.","-36.4","-8.183333","565",NA,"Mata estacional.","HUEFS0046405","HUEFS0046405","Lilianae",NA,NA,"R.P.Oliveira","2000","06",NA,"36W24'0''","8S11'0''","960",NA,NA,NA
"20","2019-10-07 09:22:25-03","UEFS","HUEFS","50163","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Jardim, J.G.","3133","2000","11","02",NA,"Brasil","Bahia","Itororó","ca. 50km E da sede municipal.","-40.039167","-15.096111",NA,NA,NA,"HUEFS0050163","HUEFS0050163","Lilianae",NA,NA,"R.P.Oliveira","2001","03",NA,"40W2'21''","15S5'46''",NA,NA,NA,NA
"21","2019-10-07 09:22:25-03","UEFS","HUEFS","80645","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Oliveira, R.P.","1077","2004","03","12",NA,"Brasil","Bahia","Palmira","ca. 4 km, da cidade, Fazenda Matarazzo.","-39.583333","-15.166667",NA,NA,"Mata seca.","HUEFS0080645","HUEFS0080645","Lilianae",NA,NA,NA,NA,NA,NA,"39W35'","15S10'",NA,NA,NA,NA
"22","2019-10-07 09:22:25-03","UEFS","HUEFS","69675","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Oliveira, R.P.","820","2003","03","14",NA,"Brasil","Bahia","Palmira","ca. 9km da Fazenda Teimoso (Jussari) em direção a Palmira. Fazenda Matarazzo (Sr. Lima Verde).","-39.583333","-15.166667",NA,NA,"Mata Seca","HUEFS0069675","HUEFS0069675","Lilianae",NA,NA,NA,NA,NA,NA,"39W35'","15S10'",NA,NA,NA,NA
"23","2019-10-07 09:22:25-03","UEFS","HUEFS","52122","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Oliveira, R.P.","725","2001","03","14",NA,"Brasil","Bahia","Jussari","estrada para Palmira, Faz. Matarazzo.","-39.583333","-15.166667",NA,NA,"Mata de cipó.","HUEFS0052122","HUEFS0052122 HUEFS0052122_01","Lilianae",NA,NA,"R.P.Oliveira","2001","03",NA,"39W35'","15S10'",NA,NA,NA,NA
"24","2019-10-07 09:22:25-03","UEFS","HUEFS","89876","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Holótipo","Soderstrom, T.R.","2110","1976","04","04",NA,"Brasil","Bahia","Itaju do Colônia","Fazenda Uruguayana and vicinity, 8 kms south of Santa Cruz da Victória. Mata Cipó","-39.7243995666504","-15.1424999237061","210",NA,NA,"HUEFS0089876",NA,"Lilianae","26963","auto",NA,NA,NA,NA,NA,NA,"210",NA,NA,NA
"25","2019-09-04 18:25:08-03","F","FMNH-SEEDPLANTS","V0047010F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,"Isotype","T. R. Soderstrom et al.","2110","1976","4","4","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0047010F","V0047010F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-23 12:18:57-03","CEPLAC","CEPEC","131237","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,NA,"R. P. de Oliveira","725","2001","03","14",NA,"Brasil","Bahia","JUSSARÍ","Estrada para Palmira, Faz. Matarazzo.","-39.583333","-15.166667",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"R. P. de Oliveira",NA,NA,NA,"39W35'","15S10'",NA,NA,NA,NA
"27","2020-07-23 12:18:57-03","CEPLAC","CEPEC","94702","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,NA,"R. P. de Oliveira","20","2003","03","14",NA,"Brasil","Bahia","palmira","Ca. 9Km da Faz. Teimoso (Jussari) em direção a Palmira. Faz. Matarazzo (Sr. Lima Verde).","-39.583333","-15.166667",NA,NA,NA,NA,NA,NA,NA,NA,"R. P. de Oliveira",NA,NA,NA,"39W35'","15S10'",NA,NA,NA,"30/12/2003"
"28","2020-07-23 12:18:57-03","CEPLAC","CEPEC","12757","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,"Isótipo","T. R. Soderstrom","2110","1976","04","04",NA,"Brasil","Bahia","ITAJÚ DO COLÔNIA","8Km ao S de Sta. Cruz da Vitoria, Faz. Uruguaiana.","-39.7243995666504","-15.1424999237061",NA,NA,NA,NA,NA,NA,"26963","auto","T. R. Soderstrom",NA,NA,NA,"0W0'0","0S0'0",NA,NA,NA,"30/12/1984"
"29","2020-07-23 12:18:57-03","CEPLAC","CEPEC","44968","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,"Holótipo","T. R. Soderstrom","2110","1976","04","04",NA,"Brasil","Bahia","ITAJÚ DO COLÔNIA","8Km S Sta. Cruz da Vitoria, Faz. Uruguaiana.","-39.7243995666504","-15.1424999237061",NA,NA,NA,NA,NA,NA,"26963","auto","T. R. Soderstrom",NA,NA,NA,"0*0'99","99*99'99",NA,NA,NA,"30/12/1985"
"30","2020-07-23 12:18:57-03","CEPLAC","CEPEC","82520","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia",NA,"Isótipo","T. R. Soderstrom","2110","1981","03","05",NA,"Brasil","Bahia","ITAJÚ DO COLÔNIA","Fazenda Uruguayana e arredores, 8Km ao S de Sta. Cruz da Vitória, à esquerda da rod. 1,5Km.","-39.7243995666504","-15.1424999237061",NA,NA,NA,NA,NA,NA,"26963","auto","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1976"
"31","2021-02-08 12:54:18-03","UFRGS","ICN","131758","S","Plantae","Monocotyledon",NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Longhi-Wagner, HM; Oliveira, RP","9233","2004","03","12","América do Sul","Brasil","BA","Palmira","Fazenda Matarazzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Longhi-Wagner, HM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:16:45-03","IBt","SP","373367","S","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","Isotype","Soderstrom, TR; et al.","2110","1976","04","04",NA,"Brasil","Bahia","Itajú do Colônia","Fazenda Uruguayana, 8 km S of Santa Cruz da Vitória","-39.7243995666504","-15.1424999237061","210",NA,NA,"SP003172","SP003172",NA,"26963","auto",NA,NA,NA,NA,NA,NA,"210",NA,NA,NA
"33","2019-11-21 10:16:45-03","IBt","SP","235848","S","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Soderstrom, TR; Russel, GF; Hage, J","2114","1976","04","04",NA,"Brasil","Bahia","Itajú do Colônia","Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Vitória.","-39.7243995666504","-15.1424999237061","210",NA,NA,NA,NA,NA,"26963","auto","Oliveira, RP","2001","07",NA,NA,NA,"210",NA,NA,NA
"34","2019-11-21 10:16:45-03","IBt","SP","235882","S","Plantae",NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Soderstrom, TR; Russel, GF; Hage, J","2173","1976","04","28",NA,"Brasil","Bahia","Ubaíra","Ca. 3 km E of Ubaíra on road to Munuipe.","-39.6627998352051","-13.2680997848511","340",NA,NA,"SP037902","SP037902",NA,"29816","auto","Oliveira, RP","2009","09",NA,NA,NA,"340",NA,NA,NA
"35","2014-09-23 10:57:56-03","G","G","G00013293","S","Plantae",NA,NA,"Gramineae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Soderstrom, T. R., G. F. Russell & J. Hage","2173","1976","04","28","AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00013293",NA,NA,NA,NA,"Oliveira, R. P.","2006","01","01","-53.08972222","-10.77305556",NA,NA,NA,NA
