"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"11","2020-12-21 16:46:49-03","MBM","MBM","138999","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","longiscapa",NA,"Pleurostima longiscapa","(Goeth. & Henr.) Menezes","Menezes, N.L.",NA,"Menezes, N.L.; et al.; et al.","1082",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Gouveia","Fazenda Contagem","-43.7407989501953","-18.4543991088867",NA,NA,"MBM138999","MBM138999",NA,NA,NA,NA,NA,NA,NA,"37970","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:46:49-03","MBM","MBM","139000","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","longiscapa",NA,"Pleurostima longiscapa","(Goeth. & Henr.) Menezes","Mello-Silva, R.",NA,"Menezes, N.L.","753",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Gouveia","Fazenda Contagem","-43.7407989501953","-18.4543991088867",NA,NA,"MBM139000","MBM139000",NA,NA,NA,NA,NA,NA,NA,"37970","auto",NA,NA,NA,NA,NA
"13","2015-09-05 09:55:36-03","MNHN","RECOLNAT_MNHN_P","P00712994","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Barbacenia","inclinata",NA,"Barbacenia inclinata","Goethart & Henrard","Goethart","isotype","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra dos Crystaes, près de Diamantina, sur les rochers",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00712994' target='other'> <mi>dwc_moreinfo</mi></a>","P00712994","P00712994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19921",NA,NA,NA,NA
"14","2020-12-11 11:45:25-03","UFMG","BHCB","44551","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-08-23 05:35:00-03","MO","MOBOT","3028652","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","L.B. Smith",NA,"Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22532","1969","1","24","South America","Brazil","Goiás",NA,"Campo bordering meadow and slow creek, with adjacent outcrops, vicinity of Datas.",NA,NA,NA,NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2639893","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","brevifolia","recurvata","Barbacenia brevifolia recurvata","L.B. Sm.",NA,"Isotype","H. L. Mello-Barreto","9526","1937","11","5","South America - Neotropics","Brazil","Minas Gerais","Diamantina","Guinda","-43.6002998352051","-18.2493991851807",NA,NA,"US00092430","US00092430_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,"101169","auto",NA,"1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3217024","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","inclinata",NA,"Barbacenia inclinata","Goethart & Henrard",NA,NA,"N. L. Menezes, J. R. Pirani, A. Furlan, I. Cordeiro & M. T. Rodrigues","1071","1980","12","13","South America - Neotropics","Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, a 8km do asfalto.","-43.6002998352051","-18.2493991851807",NA,NA,"US01329258","US01329258_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,"101169","auto",NA,"1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","3217025","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,"N. L. Menezes","753","1977","12","16","South America - Neotropics","Brazil","Minas Gerais",NA,"Fazenda Contagem. km 68 da estrada Curvelo-Diamantina.",NA,NA,NA,NA,"US01329273","US01329273_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2849443","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,"N. L. Menezes","564","1975","4","21","South America - Neotropics","Brazil","Minas Gerais",NA,"Km 20 da estrada que liga Diamantina a São Gonçalo da Mata",NA,NA,NA,NA,"US01329274","US01329274_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2849444","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,"N. L. Menezes","753","1977","12","15","South America - Neotropics","Brazil","Minas Gerais",NA,"km 68 da estrada Curvelo-Diamantina",NA,NA,NA,NA,"US01329275","US01329275_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2597897","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,"H. S. Irwin, R. G. P. Santos, R. Souza & S. F. Fonseca","22186","1969","1","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Rocky slopes with soil-fille crevices and pockets, ca. 12km S.W. of Diamantina.",NA,NA,NA,NA,"US01329276","US01329276_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2019-11-13 11:32:34-03","USP","SPF","217693","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","Mello-Silva, R",NA,"Mello-Silva, R","3693","2014","01","15",NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina-Conselheiro Mata (MG 220), 21 km da estrada Diamantina-Datas (BR 367). Grande inselberg quartzítico com campo limpo na base, próximo à estrada.","-43.847","-18.294972",NA,NA,"SPF00217693",NA,"1221","1221",NA,"2014",NA,NA,NA,NA,NA,NA,NA,"-43.847","-18.294972",NA
"23","2020-04-29 16:30:35-03","UFVJM","HDJF","6907","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","Ferreira-Júnior, CA",NA,"Faria, JEQ; Otoni, TJO; Oliveira, PA","7973","2017","07","08","Southern America","Brasil","Minas Gerais","Serro","Fazenda Tempo Perdido, próximo ao Distrito de Capivarí","-43.438611","-18.415556",NA,NA,"HDJF006907",NA,"1279","1279",NA,"2017","07",NA,NA,NA,NA,NA,NA,"-43.438611","-18.415556",NA
"24","2016-08-23 09:46:21-03","NHMLondon","NHM-LONDON-BOT","BM000546776","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","Renato de Mello-Silva; b.1961; Mello-Silva","Isotype","Ludwig Riedel; b.1790; d.1861; Riedel","1062 possibly","1824","12",NA,NA,"Brasil","Minas Gerais",NA,NA,"-43.650047","-18.999981",NA,NA,NA,NA,NA,NA,NA,"1978","08","15",NA,NA,NA,NA,NA,"-43.650047","-18.999981","NHMUK:ecatalogue:4977670"
"25","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","inclinata",NA,"Barbacenia inclinata","Goethart & Henrard","The Plant List",NA,"Menezes, NL; et al.","1071","1980","12","13","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, 8km do asfalto","-43.6002998352051","-18.2493991851807",NA,"Flores salmão; Borda da rocha","UB0028076","UB0028076",NA,NA,NA,"2016",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"26","2019-11-01 15:17:27-03","UnB","UB","15827","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","The Plant List",NA,"Martins, RC; Gomes, BM","442","2003","11","11","Southern America","Brasil","Minas Gerais","Chapada Gaúcha","Serra das Araras, Subida da Serra para capelinha. Parque Estadual Serra das Araras","-45.371389","-15.488889",NA,"Corola internamente amarela; Erva 0,25m. Flor vermelha; Cerrado.","UB0028078","UB0028078",NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,"-45.371389","-15.488889",NA
"27","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","The Plant List",NA,"Menezes, NL; et al.","CFCR11910","1987","12","11","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, Km 185","-43.6002998352051","-18.2493991851807",NA,"Flores salmão; Sobre pedras, formando colchões","UB0028079","UB0028079",NA,NA,NA,"2016",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"28","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","The Plant List",NA,"Menezes, NL","753","1977","12","16","Southern America","Brasil","Minas Gerais","Gouveia","Fazenda Contagem, Km 68 da estrada Curvelo - Diamantina","-43.7407989501953","-18.4543991088867",NA,NA,"UB0028081","UB0028081",NA,NA,NA,"2016",NA,NA,NA,"37970","auto",NA,NA,NA,NA,NA
