"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","imagecode","relatedCatalogItem","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","sex"
"24","2021-03-01 16:24:13-03","UNICAMP","UEC","2660","S","Plantae","Magnoliopsida","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Shepherd, GJ; Semir, J; Andrade, JB; Salgado, PR","7170","1978","02","21",NA,"Brazil","Minas Gerais","Parque Nacional da Serra da Canastra, entre Piumhi e Araxá, ca 80km de Piumhi.","Subarbusto de 80cm, capítulos alvos; Campo com lugares brejosos","UEC136344",NA,"1400","1400",NA,NA,"UEC136344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-25 21:38:11-03","UFPB","JPB","18391","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Agra, MF","1312","1991","09",NA,"Southern America","Brasil","Paraíba",NA,NA,NA,NA,"47","47",NA,"Dicotyledon",NA,NA,"João Pessoa","-34.863056","-7.115",NA,NA,NA,"-34.863056","-7.115",NA,NA
"26","2019-11-01 15:28:01-03","PUC-RIO","FCAB","0944","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","Linn.",NA,NA,"P. Capell S.J.","s.n.","1951","12",NA,NA,"Brasil","Rio de Janeiro",NA,NA,"000944",NA,NA,NA,NA,"Angiospermae",NA,NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA
"27","2013-09-10 14:33:00-03","MO","MOBOT","100627841","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","C.F. Reed",NA,"Román A. Pérez-Moreau","Pérez-Moreau 31/2307","1931","7","30","South America","Argentina","Misiones","Loreto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2011-12-22 05:01:00-02","MO","MOBOT","2493309","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","Cabrera, A. L.",NA,"Teodoro Rojas","Rojas 629","1906",NA,NA,"South America","Paraguay","Presidente Hayes","In regione cursus inferioris fluminis Pilcomayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-58.5","-24.83333",NA,NA,NA,NA,NA,NA,NA
"29","2020-08-31 08:52:58-03","INPA","INPA","22664","S","Plantae","Dicotyledon Asterids","Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","Robinson, HE","1983","Prance, GT","5909","1968","07","12","Southern America","Brasil","Rondônia","Rio Madeira at Abunã, E. bank of rio Madeira at Abunã. Muddy river bank.",NA,"INPA0022664",NA,NA,NA,NA,"Asterales","INPA0022664 INPA0022664_e INPA0022664_nd",NA,NA,"-65.45837","-9.668086",NA,NA,NA,"-65.45837","-9.668086",NA,NA
"30","2019-12-19 11:17:22-03","UFG","UFG","643","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"S.T.","643",NA,NA,NA,NA,"Brasil","Pernambuco",NA,NA,"UFG0000643",NA,NA,NA,NA,NA,NA,NA,"Jaboatão dos Guararapes","-35.0147018432617","-8.11277961730957","16392","auto",NA,NA,NA,NA,NA
"31","2019-06-10 10:10:16-03","FZB-BH","BHZB","10778","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum",NA,"M. Sobral-Leite","2010","M. Sobral-Leite","1125","2010","09","28",NA,"Brasil","PE","Bacia do Una - Riacho Mentirosos - Sítio Capivara - Trecho lótico do rio contido por barragem","Doação Herbário Geraldo Mariz - UFP. (Nº 63549). Coord: 8S 29' 37/ 35W 55' 42. Alt.: 400m. Erva emergente no leito assoreado do rio. Vegetando junto com Thalia geniculata (Marantaceae).",NA,"09","400","400",NA,NA,NA,NA,NA,"-35.928333","-8.493611",NA,NA,"28","35W 55' 42","8S 29' 37",NA,NA
"32","2021-01-26 11:46:43-03","IMA","MAC","44523","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota; V.G.Ramalho","6027","2009","10","04",NA,"Brasil","Alagoas","Fazenda Indiana.","Erva ca. 25 cm de altura. Inflorescências cremes.; Mata Atlântica.","MAC0044523","01",NA,NA,NA,NA,NA,NA,"São Sebastião","-36.569422","-9.9575",NA,NA,"31","-36.569422","-9.9575",NA,NA
"33","2021-01-26 11:46:43-03","IMA","MAC","34128","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota","1298","2008","09","20",NA,"Brasil","Alagoas","Fazenda Aniceto.","Erva ca. 10 cm de altura. Inflorescência alva.; Mata Pluvial Atlântica.","MAC0034128","01",NA,NA,NA,NA,NA,NA,"Viçosa","-36.389475","-9.558281",NA,NA,"31","-36.389475","-9.558281",NA,NA
"34","2021-01-26 11:46:43-03","IMA","MAC","33022","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota","868","2008","07","24",NA,"Brasil","Alagoas","Serra da Camonga.","Erva ca. 30 cm de altura. Flores brancas.; Caatinga.","MAC0033022","01",NA,NA,NA,NA,NA,NA,"Santana do Ipanema","-37.245278","-9.378328",NA,NA,"31","-37.245278","-9.378328",NA,NA
"35","2021-01-26 11:46:43-03","IMA","MAC","33391","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota","1034","2008","08","02",NA,"Brasil","Alagoas","Serra Dois Irmãos.","Erva ca. 12 cm de altura. Inflorescência branca.; Mata Pluvial Atlântica.","MAC0033391","01",NA,NA,NA,NA,NA,NA,"Viçosa","-36.306458","-9.384961",NA,NA,"31","-36.306458","-9.384961",NA,NA
"36","2021-01-26 11:46:43-03","IMA","MAC","43120","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota; D.S.Correia","4624","2009","08","04",NA,"Brasil","Alagoas","Serra da Saudinha.","Erva ca. 25 cm de altura. Inflorescência creme.; Mata Pluvial Atlântica.","MAC0043120","01",NA,NA,NA,NA,NA,NA,"Maceió","-35.708947","-9.649847",NA,NA,"31","-35.708947","-9.649847",NA,NA
"37","2021-01-26 11:46:43-03","IMA","MAC","43189","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","Chagas-Mota","4693","2009","08","08",NA,"Brasil","Alagoas","Serra do Grude.","Erva ca. 20 cm de altura. Inflorescência creme.; Caatinga.","MAC0043189","01",NA,NA,NA,NA,NA,NA,"Inhapi","-37.681228","-9.276686",NA,NA,"31","-37.681228","-9.276686",NA,NA
"38","2021-01-26 11:46:43-03","IMA","MAC","54105","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","A.V.F.Guterres","2020","D.G.Oliveira; F.B.Gonçalves; E.S.Almeida","267","2011","08","15",NA,"Brasil","Sergipe","Pov. Lagoa Grande, Faz. São Pedro.","Erva ca. 10 cm de altura. Haste com pilosidade semelhante a seda. Folhas glabras. Flores amarelo-cremes.; Caatinga.","MAC0054105","01",NA,NA,NA,NA,NA,NA,"Porto da Folha","-37.414722","-10.036111",NA,NA,"31","-37.414722","-10.036111",NA,NA
"39","2014-11-10 17:44:53-02","UFPB","EAN","1680","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,NA,NA,"1936","09","01",NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tapera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2014-11-10 17:44:53-02","UFPB","EAN","575","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,NA,NA,"1946","10","22",NA,"Brasil","Paraíba",NA,"Erva.",NA,NA,NA,NA,NA,NA,NA,NA,"Areia","-35.6917","-6.96333","15425","auto",NA,NA,NA,NA,NA
"41","2014-11-10 17:44:53-02","UFPB","EAN","3165","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","M. F. Agra","1987","L. P. Félix; G. V. Dornelas",NA,"1986","07","29",NA,"Brasil","Paraíba","CCA - UFPB, Campus - II","Herbáceo, flores brancas.Habitat: Terrestre",NA,"09",NA,NA,NA,NA,NA,NA,"Areia","-35.6917","-6.96333","15425","auto","15",NA,NA,NA,NA
"42","2014-11-10 17:44:53-02","UFPB","EAN","2613","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"L. P. Félix; G. V. Dornelas","145","1986","06","28",NA,"Brasil","Paraíba","CCA - UFPB, Campus - II","Herbáceo, flores brancas.Habitat: Terrestre",NA,NA,NA,NA,NA,NA,NA,NA,"Areia","-35.6917","-6.96333","15425","auto",NA,NA,NA,NA,NA
"43","2021-02-04 10:26:31-03","UFRPE","HST","643","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","R.M.King",NA,"S.Tavares","643","1961","07","11",NA,"Brasil","Pernambuco","Cachito","Ervinha de folhas verde claro, caule revestido por um tomento lanoso.","HST000643",NA,NA,NA,NA,NA,NA,NA,"Jaboatão",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-04 10:26:31-03","UFRPE","HST","19441","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","M.Sobral Leite","2010","M.Sobral Leite; P.Gomes","1162","2010","09","29",NA,"Brasil","Pernambuco","Bacia Hidrográfica do Una","Erva emergente nas margens do lago, vegetando junto com o Eichhornia paniculata (Ponteriaceae). Início da fase reprodutiva. Estruturas reprodutivas brancas e marrons, sem odor perceptível.","HST019441","09","400","400",NA,NA,NA,NA,"Agrestina","-35.928333","-8.493611",NA,NA,"29","35W55'42''","8S29'37''",NA,NA
"45","2021-03-01 11:53:18-03","UFPE","UFP","44264","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Irapuan, J","2008","Sobral-Leite, M","203","2006","04","24",NA,"Brasil","Pernambuco",NA,"Erva emergente na margem do rio sob solo rico em matéria orgânica junto a Eleocharis minima (Cyperaceae). Poucos indivíduos. Inicio de floração. Flores agrupadas em capítulos brancos.","UFP044264","08","243","243",NA,"Asterales",NA,NA,"Maraial","35.823778","-8.800778",NA,NA,"11","35.823778","-8.800778",NA,NA
"46","2021-03-01 11:53:18-03","UFPE","UFP","63598","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Sobral-Leite, M","2010","Sobral-Leite, M; Gomes, P","1170","2010","04","30",NA,"Brasil","Pernambuco",NA,"Macrófita emergente nas margens alagáveis do rio, vegetando junto com Rotala ramasior (Lythraceae). População em inicio de floração. Estrutras reprodutivas brancas e marrons, sem odor perceptível.; Caatinga Hipoxerófita.","UFP063598","04","500","500",NA,"Asterales",NA,NA,"Agrestina","35.993056","-8.391111",NA,NA,"30","35.993056","-8.391111",NA,NA
"47","2021-03-01 11:53:18-03","UFPE","UFP","57213","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Sobral-Leite, M","2009","Sobral-Leite, M; Maciel, B; Gomes, P","966","2009","07","25",NA,"Brasil","Pernambuco",NA,"Terófita da vegetação ef~emera, vegetando com Pterolepis sp. ( Melastomataceae). Início de floração. Estruturas reprodutivas marrons e alavas, sem odor.; Caatinga Hipoxerófila.","UFP057213","07","550","550",NA,"Asterales",NA,NA,"Altinho","36.043056","-8.448056",NA,NA,"25","36.043056","-8.448056",NA,NA
"48","2021-03-01 11:53:18-03","UFPE","UFP","21385","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Pereira, RC","1997","Baracho, GS; Siqueira-Filho, JA; Wanderley, L","UFP21385","1997","09","05",NA,"Brasil","Pernambuco",NA,"Pequena população ca. de 5 cm de altura, saxícola. Inflorescências terminais. Vilosa, sobre densa camada de matérias orgânica. Frequente no local de coleta, dentro do cercado do Gado.; Pequena população ca. de 5 cm de altura, saxícola.","UFP021385","09","260","260",NA,"Asterales",NA,NA,"Maraial","-35.833333","-8.8",NA,NA,"05","-35.833333","-8.8",NA,NA
"49","2021-03-01 11:53:18-03","UFPE","UFP","488","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","King, RM","1962","Tavares, S","UFP488","1961","07","11",NA,"Brasil","Pernambuco",NA,"Ervinha de folhas verde claro, caule revestido por um tomento lanoso.; Ervinha de folhas verde claro, caule revestido por um tomento lanoso.","UFP000488","03",NA,NA,NA,"Asterales",NA,NA,"Jaboatão dos Guararapes dos Gu",NA,NA,NA,NA,"09",NA,NA,NA,NA
"50","2021-03-01 11:53:18-03","UFPE","UFP","55424","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Gomes, P","2008","Gomes, P; Sobral-Leite, M; Maciel, M","506","2007","08","18",NA,"Brasil","Pernambuco",NA,"Erva. ca. de 10 cm; capítulos verdes copm detalhes negros; população em trecho encharcado na rocha.","UFP055424","08","832","832",NA,"Asterales",NA,NA,"Agrestina","-36.010444","-8.391389",NA,NA,NA,"-36.010444","-8.391389",NA,NA
"51","2021-03-01 11:53:18-03","UFPE","UFP","63549","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Sobral-Leite, M","2010","Sobral-Leite, M; Gomes, P","1125",NA,NA,NA,NA,"Brasil","Pernambuco",NA,"Erva emergente no leito assoreado do rio vegetando junto com Thalia geniculata ( Maranthaceae).&nf;População em plena floração. Estruturas reprodutivas brancas e marrons, sem odor percepitível.; Caatinga.","UFP063549","09","400","400",NA,"Asterales",NA,NA,"Agrestina","-35.928333","-8.493611",NA,NA,"28","-35.928333","-8.493611",NA,NA
