"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","194262","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. L. Balée","2322","1986","06","10","South America","Brazil","Pará",NA,"Xingu River. Assurini Indians","-52.5854588","-7.2040035",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01806253","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","A. M. Amorim","4624","2004","12","29","South America","Brazil","Bahia","Itanhém","Estrada Itanhaém a Batinga, ca. 16 km, Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de Etevaldo Rezende da Silva.","-40.4261","-17.1381",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2156336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806253","NY01806253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","886824","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. W. Thomas","11771","1998","02","09","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, Transect Quadrat 2","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886824","NY00886824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","869144","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","P. C. Standley","R. de Lemos Fróes","1869","1932","09","05","South America","Brazil","Maranhão",NA,"Maracassumé River Region; Campo de Boa Esperanca.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869144","NY00869144_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","95163","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. W. Thomas","10439","1994","05","20","South America","Brazil","Bahia","Uruçuca","Uruçuca, Escola Media de Agropecuaria da Regiao Cacaueria Reserva Gregório Bondar","-39.2842","-14.6033",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095163","NY00095163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2172083","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"G. T. Prance","1780","1965","10","29","South America","Brazil","Pará",NA,"Road BR 22, Capanema to Maranhão. Vicinity of Cachoeira, km. 96.","-46.537506","-1.765546",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319282' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172083","NY02172083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-27 18:26:00-03","NY","NYBG","865292","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia",NA,"C. C. Berg","C. A. Cid Ferreira","2865","1980","10","12","South America","Brazil","Acre","Porto Acre","33Km of Rio Branco-Porto Acre road","-67.68","-9.77",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865292","NY00865292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2172087","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"M. R. dos Santos","435","1978","11","29","South America","Brazil","Pará","Almeirim","Monte Dourado, Estrada Perimetral.","-52.85","-0.53",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319306' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172087","NY02172087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","2172075","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"R. P. Bahia","36","1978","08","14","South America","Brazil","Pará",NA,"Altamira, Estação Experimental da EMBRAPA, Rodovia Transamazônica, trecho Altamira-Itaituba, área abosqueada da EMBRAPA.","-52.3978758","-3.271835",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319260' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172075","NY02172075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01198262","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg; P. Fiaschi","W. W. Thomas","14255","2004","09","25","South America","Brazil","Bahia","Mun. Guaratinga","Forest to the south of Pedra Cruzeiro do Sul, 8.7 km SE of São João do Sul (first on road to Cabeceira do Sul and then on fazenda road that goes around east side of Pedia Cruzeiro do Sul).",NA,NA,"250","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198262","NY01198262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","865293","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","C. A. Cid Ferreira","2865","1980","10","12","South America","Brazil","Acre","Porto Acre","33Km of Rio Branco-Porto Acre road","-67.68","-9.77",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865293","NY00865293_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","565887","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","L. Riedel","s.n.","1832","09",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565887","NY00565887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2172068","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"B. A. Krukoff","5991","1934","09","04","South America","Brazil","Amazonas","Borba","Basin of Rio Madeira. Near Bella Vista.","-59.5939","-4.3881",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319250' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172068","NY02172068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2172107","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"D. C. Daly","1215","1981","11","05","South America","Brazil","Pará",NA,"Approx. 18 Km S of Tucuruí; just E of old BR 422 along recent logging road.","-49.6735668","-3.9273485",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319751' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172107","NY02172107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","194261","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. L. Balée","2444","1986","06","12","South America","Brazil","Pará",NA,"Xingu River. Assurini Indians","-52.5854588","-7.2040035",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","869145","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","B. A. Krukoff","1669","1931","12",NA,"South America","Brazil","Rondônia","Machadinho d'Oeste","Source of the Jatuaraha River, Machado River region.","-62.17","-9.12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2172115","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"M. G. Vieira","813","1979","10","31","South America","Brazil","Rondônia",NA,"A 4 Km de Vilhena","-60.166667","-12.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319763' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172115","NY02172115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","565889","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","J. G. Jardim","1123","1997","09","12","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupá, entrada a 7 km da sede do município. Serra dos Sete-Paus, ca. 12 km da entrada, Fazenda Cruzeiro do Sul","-39.7","-14.73",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565889","NY00565889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2172065","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"J. J. Pipoly","6718","1984","02","27","South America","Brazil","Amazonas",NA,"Serra Aracá, southern massif; W facing talus slope","-63.3745909","0.9016571",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319247' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172065","NY02172065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","2172070","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"B. A. Krukoff","6849","1934","10","12","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira. Near Livramento, on Rio Livramento.","-63.0206","-7.5061",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319252' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172070","NY02172070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","886825","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. W. Thomas","11782","1998","02","09","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, Transect Quadrat 3","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886825","NY00886825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2172090","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"N. T. da Silva","1689","1969","01","24","South America","Brazil",NA,NA,"Regiao do Rio Jarí. Pilão, estrada de Castanheiro","-52.52","-0.72",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319309' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172090","NY02172090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2172103","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"B. A. Krukoff","6049","1934","09","08","South America","Brazil","Amazonas","Manicoré","Basin of Rio Madeira. Near Santa Fe.","-61.3003005981445","-5.80916976928711",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319338' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172103","NY02172103_01","344308","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02172062","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"J. P. L. Sobrinho","1819","1969","08","16","South America","Brazil","Minas Gerais","Simonésia","Chácara das Casuarinas.","-42.0013999938965","-20.1238994598389",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319232' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172062","NY02172062_01","37999","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","472167","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","D. C. Daly","9588","1997","10","16","South America","Brazil","Acre","Rio Branco","Fazenda Catuaba (University reserve), near km 22 of BR-364 (Rio Branco - Porto Velho).","-67.62","-10.07",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472167","NY00472167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","02688424","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","C. Figueiredo","306","1994","01","12","South America","Brazil","Acre","Rio Branco","Fazenda Experimental Catuaba. Estrada de Seringa.","-67.62","-10.07",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=849068' target='other'> <mi>dwc_moreinfo</mi></a>","NY02688424","NY02688424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","2172119","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"G. T. Prance","11116","1971","03","19","South America","Brazil","Roraima",NA,"Margin of Rio Mucajaí.","-62.1706009","2.7471596",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319767' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172119","NY02172119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","2172096","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"G. T. Prance","11115","1971","03","19","South America","Brazil","Roraima",NA,"Margin of Rio Mucajaí.","-62.1706009","2.7471596",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319331' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172096","NY02172096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","869142","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","W. W. Thomas","4109","1985","09","30","South America","Brazil","Mato Grosso","Alta Floresta","12 km N of Alta Paraiso, 22.5 km W of Rio Apiacá on rd to Alta Floresta (MT208)","-57.1","-10",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869142","NY00869142_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02172111","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"N. T. da Silva","1171","1968","10","10","South America","Brazil","Pará",NA,"R. Jarí, Monte Dourado, Planalto B.","-52.6008224","-0.8809315",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319758' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172111","NY02172111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
