"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"11","2019-08-16 08:38:29-03","UTFPR","HCF","27587","S","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","J. Cordeiro","5390","2015","02",NA,"Brasil","Tatuquara, Eletrolux",NA,"subarbusto com 95 cm de altura. Capítulo lilás. Campo limpo, seco.",NA,"(DC.) R.M.King & H.Rob.","21","PR","911","911",NA,NA,"J. Cordeiro","2015","02","21","Curitiba","-49.325","-25.553333",NA,NA,"49°19'30 W","25°33'12 S",NA,NA,NA
"12","2020-12-21 16:15:31-03","MBM","MBM","402090","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Silva, J.M.; Motta, J.T.; Motta, J.T.","8837","2015","03","Southern America","Brazil","CIC",NA,"Xilopodífera. Capítulos de cor lilás.; Campo graminoso.","MBM402090","(DC.) R.M. King & H. Rob.","20","Paraná","906","906","MBM402090",NA,"Barboza, E.","2016","01",NA,"Curitiba","-49.326944","-25.553333",NA,NA,"-49.326944","-25.553333",NA,NA,NA
"13","2020-12-21 16:15:31-03","MBM","MBM","402102","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Silva, J.M.; Motta, J.T.; Motta, J.T.","8838","2015","03","Southern America","Brazil","CIC",NA,"Herbácea. Capítulos alvos.; Campo graminoso.","MBM402102","(DC.) R.M. King & H. Rob.","20","Paraná","906","906","MBM402102",NA,"Barboza, E.","2016","01",NA,"Curitiba","-49.326944","-25.553333",NA,NA,"-49.326944","-25.553333",NA,NA,NA
"14","2020-12-21 16:15:31-03","MBM","MBM","411680","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Cordeiro, J.; Silva, J.M.; Ceolin, L.; Silva, J.M.; Ceolin, L.","5390","2015","02","Southern America","Brazil","Tatuquara, Eletrolux",NA,"Subarbusto com 95 cm de altura; capítulo lilás.; Campo limpo, seco.","MBM411680","(DC.) R.M. King & H. Rob.","21","Paraná","911","911",NA,NA,"Cordeiro, J.","2015","02","21","Curitiba","-49.325","-25.553333",NA,NA,"-49.325","-25.553333",NA,NA,NA
"15","2020-12-21 16:15:31-03","MBM","MBM","17401","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Hatschbach, G.","23186","1969","12","Southern America","Brazil","Fazenda Três Corações",NA,NA,"MBM017401","(DC.) R.M. King & H. Rob.","09","Paraná",NA,NA,"MBM017401",NA,"Robinson, H.",NA,NA,NA,"Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA
"16","2020-12-21 16:15:31-03","MBM","MBM","168914","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Imaguire, N.","3210","1973","03","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM168914","(DC.) R.M. King & H. Rob.","21","Paraná",NA,NA,"MBM168914",NA,"Imaguire, N.",NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA
"17","2015-09-04 06:05:51-03","MNHN","RECOLNAT_MNHN_P","P02411397","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Sello",NA,NA,NA,NA,"Brasil","Brasilia Merid. São Paulo, Sudeste, Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02411397' target='other'> <mi>dwc_moreinfo</mi></a>","P02411397","DC.",NA,"São Paulo",NA,NA,"P02411397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"577",NA,NA
"18","2015-09-04 06:05:51-03","MNHN","RECOLNAT_MNHN_P","P02411400","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Gaudichaud, C.",NA,"1833",NA,NA,"Brésil","San Paolo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02411400' target='other'> <mi>dwc_moreinfo</mi></a>","P02411400","DC.",NA,NA,NA,NA,"P02411400_01 P02411400_02",NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","holotype",NA
"19","2015-09-04 05:29:31-03","MNHN","RECOLNAT_MNHN_P","P02457501","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Nadeaud",NA,NA,NA,NA,"Brasil","Brésil. Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02457501' target='other'> <mi>dwc_moreinfo</mi></a>","P02457501","DC.",NA,NA,NA,NA,"P02457501_01",NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2009-07-17 17:34:00-03","MO","MOBOT","3308993","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Per Dusén","Dusén 14590","1914",NA,"South America","Brazil","Curityba, in campo.",NA,NA,NA,"(DC.) R.M. King & H. Rob.",NA,"Paraná","900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-08-07 05:41:00-03","MO","MOBOT","2492820","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Émile Hassler","Hassler 5615",NA,NA,"South America","Paraguay","Pr. Igatimí",NA,NA,NA,"DC.",NA,"Canindeyú",NA,NA,NA,NA,"Cabrera, A. L.",NA,NA,NA,NA,"-55.5","-24.08333",NA,NA,NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","3062440","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","G. Hatschbach","23186",NA,NA,"South America","Brazil","Fda. 3 Capoes (Mun. Guarapuava)",NA,NA,"US01668476","(DC.) R.M. King & H. Rob.",NA,"Paraná",NA,NA,"US01668476_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","2019-09-04 18:46:51-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","F. Sellow",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Type [status unknown]",NA
"24","2021-02-08 12:36:09-03","UFRGS","ICN","200738","S","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Christ, AL","582b","2019","03","América do Sul","Brasil","18 km depois do trevo",NA,"Subarbusto com flores lilases.; Vassoural na beira da estrada.",NA,"(DC.) R. M. King & H. Rob.","08","SC","946","946",NA,NA,"Christ, AL","2019",NA,NA,"Lages","-50.333333","-27.666667",NA,NA,"-50.333333","-27.666667",NA,NA,NA
"25","2021-02-08 12:36:09-03","UFRGS","ICN","197167","S","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Christ, AL","480","2017","12","América do Sul","Brasil","Parque Nacional dos Aparados da Serra, Itaimbezinho",NA,"Borda do cânion",NA,"(DC.) R. M. King & H. Rob.","06","RS",NA,NA,NA,NA,"Christ, AL","2017",NA,NA,"Cambará do Sul","-50.1446990966797","-29.0478000640869","30776","auto",NA,NA,NA,NA,NA
"26","2014-09-23 11:01:05-03","G","G-DC","G00494038","S","Plantae",NA,NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Anon.","500",NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00494038","DC.",NA,NA,NA,NA,NA,NA,"CAT.HERB.PRODR.","2013","01","01",NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,"ISOTYPUS of Eupatorium rhinanthaceum DC.",NA
"27","2019-11-21 10:00:20-03","IBt","SP","6217","S","Plantae",NA,NA,"Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","Brade, AC","6217","1912","12",NA,"Brasil","Jaraguá",NA,NA,NA,"(DC.) R.M.King & H.Rob.","08","São Paulo","900","1000",NA,NA,"Esteves, RL","2001",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA
