"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","individualCount","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"12","2021-02-08 12:36:25-03","UFRGS","ICN","112795","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","2201","1996","12","11","Brasil","RS","São José dos Ausentes","Cascata da Rocinha","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).; Em campo limpo e úmido.",NA,"auto","América do Sul",NA,NA,NA,NA,NA,"930","930",NA
"13","2021-02-08 12:36:25-03","UFRGS","ICN","146958","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Schneider, AA",NA,NA,"Matzenbacher, LF Lima; N. I.","s.n.","2006","10","14","Brasil","RS","São José dos Ausentes","Serra da Rocinha","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).; Campo",NA,"auto","América do Sul",NA,NA,NA,NA,NA,"1200","1200",NA
"14","2021-02-08 12:36:25-03","UFRGS","ICN","106299","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Ritter, MR","818","1994","11","10","Brasil","RS","São José dos Ausentes","Rocinha","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).","ICN00000076","auto","América do Sul",NA,"ICN00000076",NA,NA,NA,NA,NA,"Paratypus"
"15","2021-02-08 12:36:25-03","UFRGS","ICN","106297","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Ritter, MR","766","1994","10","21","Brasil","RS","São José dos Ausentes","Rocinha","-50.0657997131348","-28.7483005523682","42598",NA,"ICN00000035","auto","América do Sul",NA,"ICN00000035",NA,NA,NA,NA,NA,"Paratypus"
"16","2021-02-08 12:36:25-03","UFRGS","ICN","106298","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Mondin, CA; Matzenbacher, NI; Ritter, MR","982","1994","10","21","Brasil","RS","São José dos Ausentes","Rocinha","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).; Flores brancas com a extremidade vinácea.; Em turfeira.","ICN00000075","auto","América do Sul",NA,"ICN00000075 ICN00000075_1",NA,NA,NA,"1100","1100","Holotypus"
"17","2021-02-08 12:36:25-03","UFRGS","ICN","106304","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Matzenbacher, NI","s.n.","1994","12","10","Brasil","RS","São José dos Ausentes","Rocinha Cascata","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).","ICN00000073","auto","América do Sul",NA,"ICN00000073",NA,NA,NA,NA,NA,"Paratypus"
"18","2021-02-08 12:36:25-03","UFRGS","ICN","106295","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Matzenbacher, NI","s.n.","1993","11","03","Brasil","SC","Bom Jardim da Serra","Rio do Rastro","-49.624698638916","-28.3369007110596","32577","Espécie ameaçada de extinção (Em perigo).","ICN00000034","auto","América do Sul",NA,"ICN00000034",NA,NA,NA,NA,NA,"Paratypus"
"19","2021-02-08 12:36:25-03","UFRGS","ICN","053236","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C","1994","01","Hagelund, K","12618","1978","10","20","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203","55856",NA,NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 12:36:25-03","UFRGS","ICN","110390","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","1995","12","08","Brasil","RS","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","30776","Espécie ameaçada de extinção (Em perigo).; Muito frequente no campo úmido.",NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-08 12:36:25-03","UFRGS","ICN","112802","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","2203","1996","12","12","Brasil","RS","São José dos Ausentes","Silveira Montenegro","-50.0657997131348","-28.7483005523682","42598","Espécie ameaçada de extinção (Em perigo).; No campo próximo ao canion.",NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
