"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","typeStatus","fieldNumber","individualCount"
"11","2018-01-05 13:02:31-02","MNHN","RECOLNAT_MNHN_P","P00742391","PreservedSpecimen",NA,NA,NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M.King & H.Rob.","Hattori","Gaudichaud, C.",NA,"1833",NA,NA,NA,"Brésil",NA,NA,"Province de Rio-Grande",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00742391' target='other'> <mi>dwc_moreinfo</mi></a>","P00742391","P00742391_01",NA,NA,NA,NA,NA,"syntype","843",NA
"12","2015-09-04 05:14:11-03","MNHN","RECOLNAT_MNHN_P","P02671866","PreservedSpecimen",NA,NA,NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M.King & H.Rob.","Hattori","Gaudichaud, C.",NA,"1833",NA,NA,NA,"Brésil",NA,NA,"Province de Rio-Grande",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671866' target='other'> <mi>dwc_moreinfo</mi></a>","P02671866","P02671866_01 P02671866_02",NA,NA,NA,NA,NA,"syntype","775",NA
"13","2011-02-22 13:06:00-03","MO","MOBOT","3318127","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M. King & H. Rob.","H. Robinson","Ronaldo Wasum|et al.","Wasum 6299","1989",NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"Viamão. Em beira da estrada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3170220","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M. King & H. Rob.",NA,"R. Wasum & et al.","6299","1989","11","11","South America","Brazil","Rio Grande do Sul",NA,"Viamão, em beira da estrada.",NA,NA,NA,NA,"US01641851","US01641851_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"15","2021-02-08 12:36:15-03","UFRGS","ICN","125898","S","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(Hook. & Arn.) R.M. King & H. Rob",NA,"Hagelund, K","9793","1975","04","24","América do Sul","Brasil","RS","Butiá",NA,"-51.9622001647949","-30.1196994781494",NA,NA,NA,NA,"39953","auto",NA,NA,NA,NA,NA,NA
"16","2021-02-08 12:36:15-03","UFRGS","ICN","185928","S","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(Hook. & Arn.) R.M. King & H. Rob","Schneider, AA","Setubal, R; Schneider, AA","712","2008","11","10","América do Sul","Brasil","RS","Porto Alegre","morro São Pedro","-51.2299995422363","-30.0331001281738",NA,"flores brancas; em campo rupestre de topo de morro",NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA
"17","2021-02-08 12:36:15-03","UFRGS","ICN","146997","S","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(Hook. & Arn.) R.M. King & H. Rob","Matzenbacher, NI","Bordignon, SAL; Apel, M","3184","2006","03","02","América do Sul","Brasil","RS","Viamão","Águas Claras","-51.0233001708984","-30.0811004638672",NA,"Material testemunho dissertação de mestrado PPG-Farmácia da UFRGS; Subarbusto ereto com aprox. 0,7-1,0 m de altura; planta em estágio vegetativo.; em campo arenoso.",NA,NA,"41667","auto",NA,NA,NA,NA,NA,NA
"18","2021-02-08 12:36:15-03","UFRGS","ICN","110882","S","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(Hook. & Arn.) R.M. King & H. Rob","Matzenbacher, NI","Irgang, BE; et al.","s.n.","1995","11","18","América do Sul","Brasil","RS","Viamão","Águas Claras","-51.0233001708984","-30.0811004638672",NA,NA,NA,NA,"41667","auto",NA,NA,NA,NA,NA,NA
"19","2021-02-08 12:36:15-03","UFRGS","ICN","043597","S","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(Hook. & Arn.) R.M. King & H. Rob","Matzenbacher, NI","Borges, J","s.n.",NA,NA,NA,"América do Sul","Brasil","RS","Viamão","lomba próxima à Estiva","-51.0233001708984","-30.0811004638672",NA,"Abundante na beira da estrada.",NA,NA,"41667","auto",NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:00:31-03","IBt","SP","50865","S","Plantae",NA,NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M.King & H.Rob.","Hattori, EKO","Rambo, B; Blake, V","533","1933","10","05",NA,"Brasil","Rio Grande do Sul","Porto Alegre","Maria da Glória","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"29946","auto",NA,"2009","11",NA,NA,NA
