"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","564180","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"A. L. Moldenke","1948","09","22","Brazil","São Paulo","Sao Paulo","Jardim Botanico, Instituto Botanico, Capital","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564180","NY00564180_01","Magnoliophyta","Lamiales","19625","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","564182","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","H. N. Moldenke",NA,NA,NA,"R. Schreiter","1934","12","05","Argentina","Tucumán",NA,"Dep. Tafí. Raco a Siambón",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564182",NA,"Magnoliophyta","Lamiales","9861","South America","sheet","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","137515","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens serrata","Moldenke","H. N. Moldenke",NA,NA,NA,"S. Venturi","1929","05",NA,"Argentina","Tucumán",NA,"Dept. Capital, Parque Centenario",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137515","NY00137515_01","Magnoliophyta","Lamiales","9059","South America","sheet","450","450",NA,NA,"serrata","holotype",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","564181","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","H. N. Moldenke",NA,NA,NA,"J. C. Diogo",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564181","NY00564181_01","Magnoliophyta","Lamiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","564178","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","1942","01","06","Brazil","São Paulo","Caieiras","Caieiras","-46.740798","-23.374672",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564178","NY00564178_01","Magnoliophyta","Lamiales","836","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","564176","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","H. N. Moldenke",NA,NA,NA,"J. E. Leite","1946","11",NA,"Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564176","NY00564176_01","Magnoliophyta","Lamiales","4181","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2026752","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"S. Tsugaru","1987","07","18","Brazil","Pará","Belém",NA,"-48.5042","-1.4558",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2166859' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026752","NY02026752_01","Magnoliophyta","Lamiales","B-272","South America","sheet","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","137515","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens serrata","Moldenke","H. N. Moldenke",NA,NA,NA,"S. Venturi","1929","05",NA,"Argentina","Tucumán",NA,"Dept. Capital, Parque Centenario",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137515","NY00137515_01","Magnoliophyta","Lamiales","9059","South America","sheet","450","450",NA,NA,"serrata","holotype",NA,NA,NA,NA,NA,NA,NA
"19","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","19445","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"Gormbone, M.T.","1986","01","15","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,"BOTU019445",NA,NA,NA,"08 150186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","7505","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"Proença, C.E.M.","1979","11","08","Brasil","São Paulo","Tatuí",NA,NA,NA,"9999","9999","arbusto ornmental de pequenas flores roxas, de forte odor que atrai muitos coleópteros.","BOTU007505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-06 11:42:51-03","UFPI-MRV","HDELTA","2427","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Ribeiro, M, T, B.","2012","05","16","Ribeiro, M, T, B.","2012","05","16","Brasil","Piauí",NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Pingo de ouro","HDELTA002427",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-24 17:11:08-03","UTFPR","DVPR","738","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Estevan, DA",NA,NA,NA,"Costa, MRBM","2013","04","06","Brasil","Paraná","Dois Vizinhos","Parque Jirau Alto","-53.057201385498","-25.7336006164551",NA,NA,"Arbusto1 m, folha verde-clara, frutos alaranjados, presença de espinhos.","DVPR000738","DVPR000738","Magnoliophyta",NA,"s.n.",NA,NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-24 17:11:08-03","UTFPR","DVPR","466","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Dias, MC","2004",NA,NA,"Tavela, VJ","2003","11","08","Brasil","Paraná","Londrina","Estação Experimental Pioner","-51.1627998352051","-23.3103008270264",NA,NA,"Arvoreta ca. 1,2 m, frutos amarelados, flores levemente violetas.","DVPR000466","DVPR000466","Magnoliophyta",NA,"s.n.",NA,NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-24 17:11:08-03","UTFPR","DVPR","1621","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Duarte, E","2014","11","18","Duarte, E; Estevan, DA","2014","09","18","Brasil","Paraná","Dois Vizinhos","Estrada para comunidade Pinheirinho","-53.055018","-25.431179","-53.055018","-25.431179","Arbusto, flores roxas, frutos alaranjados.; Beira de estrada.","DVPR001621","DVPR001621","Magnoliophyta",NA,"113",NA,NA,"539","539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-15 11:14:57-03","FUNED","FUNED-POL","4867","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens",NA,NA,NA,NA,NA,"Kamilla Castelan","2018","11","04","Brasil","MG","Mariana","Estrada para Fazenda da Palha","-43.4160995483398","-20.377799987793","43W°24'03.5''","20S°18'57.8''",NA,"POL004867",NA,NA,NA,NA,NA,NA,NA,NA,"33524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-10-18 16:28:41-02","UNEMAT","TANG","894","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"Costa, AC","2009","10","22","Brasil","Mato Grosso","Tangará da Serra","Perímetro urbano","-57.4858016967773","-14.6194000244141",NA,NA,"folhas simples, opostasflores roxas, diclamídeas, pentâmeras, cinco estames didínamos, arbustivo","TANG000000894",NA,NA,NA,"1",NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:50:13-03","EAO","IAN","15166","PreservedSpecimen","Plantae","Verbenaceae","Duranta","plumierie","Duranta plumierie strigillosa","Jacq.","Barreto, M",NA,NA,NA,"Oliveira, JE de","1942","07","01","Brasil","Minas Gerais","Poços de Caldas","Brejo, muito frequente.","-46.5614013671875","-21.7877998352051",NA,NA,NA,"IAN015166","IAN015166 IAN015166_e IAN015166_e1","Dicotiledônea",NA,"930","Southern America",NA,NA,NA,"23696","auto","strigillosa",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:50:13-03","EAO","IAN","15166","PreservedSpecimen","Plantae","Verbenaceae","Duranta","plumierie","Duranta plumierie strigillosa","Jacq.","Barreto, M",NA,NA,NA,"Oliveira, JE de","1942","07","01","Brasil","Minas Gerais","Poços de Caldas","Brejo, muito frequente.","-46.5614013671875","-21.7877998352051",NA,NA,NA,"IAN015166","IAN015166 IAN015166_e IAN015166_e1","Dicotiledônea",NA,"930","Southern America",NA,NA,NA,"23696","auto","strigillosa",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:50:13-03","EAO","IAN","39495","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"Bartlett, HH","1941","06","19","Haiti",NA,NA,"Bayeux, at mouth of Rivère de Port Margot, north coast, between Cap Haitien and Le Borgne, in old rubber platation within 20 fy of sea level (La Plaine de Port Margot).",NA,NA,NA,NA,NA,"IAN039495",NA,"Dicotiledônea",NA,"17449","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:50:13-03","EAO","IAN","53275","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Cordeiro, MR","2013","07","30","Bertoni, JEA","1946","01","18","Argentina",NA,NA,"Gob. Misiones, Candelária alrededores.",NA,NA,NA,NA,NA,"IAN053275",NA,"Dicotiledônea",NA,"2665","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:50:13-03","EAO","IAN","56273","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Merrill, ED",NA,NA,NA,"Groff, GW","1920","06","04","Asia",NA,NA,"SIAM. Bangkok.",NA,NA,NA,NA,NA,"IAN056273",NA,"Dicotiledônea",NA,"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:50:13-03","EAO","IAN","87047","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Ducke, A",NA,NA,NA,"Duque-Jaramillo, JM","1946","05","10","Colômbia",NA,NA,"Cundinamarca: Linea férrea entre Cachipay y Petaluma.",NA,NA,NA,NA,NA,"IAN087047",NA,"Dicotiledônea",NA,"3551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:50:13-03","EAO","IAN","90530","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Moldenke, HN",NA,NA,NA,"sc","1948","12","05","Brasil",NA,NA,"Fazenda do Fundão.",NA,NA,NA,NA,NA,"IAN090530",NA,"Dicotiledônea",NA,"1415","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:50:13-03","EAO","IAN","163485","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Cordeiro, MR",NA,NA,NA,"Nivaldo, S","1984","04","30","Brasil","Pará","Ananindeua","WE4 nº435, Conjunto Satélite, terra firme.","-48.372200012207","-1.36556005477905",NA,NA,NA,"IAN163485",NA,"Dicotiledônea",NA,"72","Southern America",NA,NA,NA,"16174","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:50:13-03","EAO","IAN","199373","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"Souza, LP de","2019","08","20","Brasil","Pará","Belém","Embrapa Amazônia Oriental, próximo ao pavilhão de pesquisa, terra firme, solo argiloso.","-48.5043983459473","-1.4558299779892",NA,NA,"Arbusto 2 m, flor roxa, fruto verde.","IAN199373",NA,"Dicotiledônea",NA,"12","Southern America",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:50:13-03","EAO","IAN","199410","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"Cunha, ELC da","2019","09","04","Brasil","Pará","Belém","Embrapa em frente ao pavilhão de pesquisa, terra firme, solo argiloso.","-48.5043983459473","-1.4558299779892",NA,NA,"Arbusto 2m, flor roxa, botão verde, fruto verde.","IAN199410",NA,"Dicotiledônea",NA,"16","Southern America",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:50:13-03","EAO","IAN","167302","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens aurea","L.",NA,NA,NA,NA,"Gomes, JI; Nascimento, MP do","1999","02","20","Brasil","Pará","Belém","Jardim do pavilhao de pesquisa do CPATU/Embrapa Amazonia Oriental.","-48.5043983459473","-1.4558299779892",NA,NA,"Arbusto; folha serrilhada de coloracao violeta-dourada a amarelo-dourada; inflorescencia longa e pendente; flor azul-arroxeada; fruto amarelo-dourado. Propagacao vegetativa.","IAN167302",NA,"Dicotiledônea",NA,"2","Southern America",NA,NA,NA,"48462","auto","aurea",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:50:13-03","EAO","IAN","164092","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","Cordeiro, MR","2013","07","30","Brasil, HMS; Rodrigues, ST","1995","04","01","Brasil","Pará","Belém","Tv. Barão do Triunfo.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN164092",NA,"Dicotiledônea",NA,"03","Southern America",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-27 21:09:23-03","PUCPR","HUCP","23673","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","Bittencourt","Vieira, RS",NA,NA,NA,"Vieira, RS","2007","09","04","Brasil","Paraná","Curitiba","Bigorrilho","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00019637","HUCP00019637","Eudicotiledonea",NA,"s.n.",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-27 21:09:23-03","PUCPR","HUCP","24510","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","Bittencourt","Stadler, V",NA,NA,NA,"Stadler, V",NA,NA,NA,"Brasil","Paraná","Curitiba","Santa Felicidade","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00003102","HUCP00003102","Eudicotiledonea",NA,"023",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-27 21:09:23-03","PUCPR","HUCP","15363","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","Bittencourt","Nogaroli, RL",NA,NA,NA,"Nogaroli, RL","2003","11","21","Brasil","Paraná","Curitiba","Xaxim","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00022386","HUCP00022386","Eudicotiledonea",NA,"025",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-02-27 21:09:23-03","PUCPR","HUCP","16859","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","Bittencourt","Bonaldi, R",NA,NA,NA,"Bonaldi, R","2005","04","04","Brasil","Paraná","Paranaguá","Pombal","-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00022382","HUCP00022382","Eudicotiledonea",NA,"009",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-27 21:09:23-03","PUCPR","HUCP","16881","S","Plantae","Verbenaceae","Duranta","repens","Duranta repens","Bittencourt","Bonaldi, R",NA,NA,NA,"Bonaldi, R","2005","09","29","Brasil","Paraná","Paranaguá","Pombal","-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00022434","HUCP00022434","Eudicotiledonea",NA,"014",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:25:30-03","UFBA","ALCB","10840","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Santos, TS dos","1985","01",NA,"Souza Santos, F",NA,NA,NA,"Brasil","Bahia","Santa Cruz Cabrália","Área da Estação Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Área da sementeira.","-39.133333","-16.383333","-39.133333","-16.383333","3m de altura. Flores liláses. Frutos alaranjados quando maduros.; Região de mata Higrófila Sul Baiana.",NA,NA,"Dicotyledon",NA,"475","Southern America",NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:25:30-03","UFBA","ALCB","026089","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Guedes, ML","1994","11",NA,"Guedes, ML; Alunos de Botânica III","1994","11","20","Brasil","Bahia","Vera Cruz","Jenibatuba.","-38.6","-12.95","-38.6","-12.95","De ca. 2m de altura. Flores de cor lilás.",NA,NA,"Dicotyledon",NA,"3608","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-02-08 21:33:14-03","UFBA","ALCB","09350","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"Souza, Padre JP de","1982","06","06","Brasil","Bahia",NA,"Jardim Bahiano de ensino.",NA,NA,NA,NA,"Com flores alvas e frutos quando maduros amarelos.",NA,NA,"Dicotyledon",NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:34:19-03","NBC","NL-BOTANY","U.1760738","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Jansen-Jacobs MJ",NA,NA,NA,"Pipoly JJ","1986","05","14","Guyana","West Demerara",NA,"Guyana. West Demerara Region: Georgetown. Guyana Botanica Garden. Vlissengen Road et Regent Street.","-58.133333","6.8","-58.133333","6.8","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1760738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1760738","NL-U1760738",NA,"Lamiales",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0234486",NA,NA,NA,NA,NA
"48","2020-02-08 09:34:19-03","NBC","NL-BOTANY","U.1760740","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"Widgren JF","1845","11","22","Brazil",NA,NA,"Prov. Minas Geraes Caldas.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1760740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1760740","NL-U1760740",NA,"Lamiales",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
