"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"11","2021-03-01 16:41:10-03","UNICAMP","UEC","64368","S","Plantae","Magnoliopsida",NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Lorenzi, H","28909","1993","08","05",NA,"Brazil","Rio Grande do Norte",NA,NA,"Árvore de 7-8 cm; frutos com 6-7 centimentros de comprimento, amarelado e comestivel. Nome vulgar: Baja-se-manteiga.","UEC031232","UEC031232",NA,"Natal","-35.209400177002","-5.79500007629395",NA,NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-06-27 10:26:52-03","UFES","VIES","36057","S","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Alves-Araújo, A.; Amorim, A.; Perdiz, R.; Rocha, D.; Lanev, L.","1189","2009","04","03",NA,"Brasil","Bahia","Mata Atlântica. RPPN Serra Bonita",NA,NA,"VIES036057","VIES036057",NA,"Camacan","-39.4958000183105","-15.4191999435425","100","100",NA,"22686","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-06-27 10:26:52-03","UFES","VIES","13954","S","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Folli, D.A.","2355","1994","07","18",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"VIES013954","VIES013954","Menandro, M.S.","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-04-27 16:11:41-03","UFES","VIES","32525","S","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Luz, A.A. da","225","2004","09","01",NA,"Brasil","Minas Gerais",NA,NA,NA,"VIES032525","VIES032525","Siqueira, G.S.","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676",NA,NA,"2009","22522","auto","07","23",NA,NA,NA,NA,NA
"15","2019-12-19 16:37:04-03","UNESP-IBB","BOTUW","1169","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhl.",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Comp. Vale do Rio Doce",NA,NA,"BOTUW001169",NA,NA,NA,"-40.533333","-19.866667",NA,NA,NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA
"16","2020-12-21 16:44:48-03","MBM","MBM","378747","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","ISOTYPE","Kuhlmann, J.G.","s.n.","1934","04","07","Southern America","Brazil","Espírito Santo","Colônia e Goytacazes",NA,"Árvore grande.","MBM378747","MBM378747",NA,"Rio Doce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2010-04-30 09:27:00-03","MO","MOBOT","3378334","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"João Geraldo Kuhlmann","Kuhlmann 359","1930","9","19","South America","Brazil","Espírito Santo","Rio Doce.",NA,NA,NA,NA,"A. Alves-Araújo","Colatina","-40.6305999755859","-19.539400100708",NA,NA,NA,"57036","auto",NA,NA,NA,NA,"1",NA,NA
"18","2018-08-15 04:31:00-03","MO","MOBOT","100661686","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Pedro Fiaschi|J. Lima da Paixão|L.C. da J. Gomes|A.B. Rodrigues","Fiaschi 2878","2005","3","18","South America","Brazil","Bahia","RPPN Serra Bonita, 9.7 km W de Camacã na estrada para Jacareci, ramal para a RPPN, ca. 6 km da entrada.",NA,NA,NA,NA,"A. Alves-Araujo",NA,"-39.5652778","-15.3916666","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2021-01-10 20:43:08-03","INPA","INPA","246870","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kulhm.",NA,"Kuhlmann, JG","RB28903","1934","04","07","Southern America","Brasil","Espírito Santo","Rio Doce, Colonia de Goytacazes.",NA,NA,"INPA0246870","INPA0246870 INPA0246870_e INPA0246870_num",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-03 19:37:20-03","MBML","MBML-HERBARIO","44584",NA,"Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","ISOTIPO","J. G. Kuhlmann",NA,"1934","04","07",NA,"Brasil","Espírito Santo","Colônia e Goytacazes, Rio Doce.",NA,"Árvore grande, fruto comestível","MBML044584","MBML044584",NA,"Linhares","-40.081389","-19.451389",NA,NA,NA,NA,NA,NA,NA,"40W4'53","19S27'5",NA,NA,NA
"21","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","21329",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"J. Rossini; et al","421","2003","08","12",NA,"Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,"Arbusto 23m, fuste 13m, DAP 40cm. Frutos amarelos com látex.","MBML021329",NA,"A. Alves Araújo/25-03-2014","Santa Teresa","-40.553056","-19.9075",NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA
"22","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","25208",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"A. P. Fontana; et al","1532","2005","07","08",NA,"Brasil","Espírito Santo","Vale do Canaã",NA,"Árvore 4m, frutos verdes com pintas brancas, látex branco no fruto.","MBML025208",NA,"A.Alves Araujo &A.Z.Monico/2014","Santa Teresa","-40.601944","-19.906111",NA,NA,NA,NA,NA,NA,NA,"40W36'7","19S54'22",NA,NA,NA
"23","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","27266",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2507","2006","06","29",NA,"Brasil","Espírito Santo","Colina Verde (Morro do Agudo), Prop.: Israel Elias Ramos",NA,"Arvore 23m, fuste 15m, Dap 40cm, frutos verdes, látex branco. Interior de mata.","MBML027266",NA,"A. Alves Araújo/25-03-2014","Santa Leopoldina","-40.437778","-20.097222","300","300",NA,NA,NA,NA,NA,"40W26'16","20S5'50",NA,NA,NA
"24","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","12930",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"V. Demuner; et al","1144","2000","06","14",NA,"Brasil","Espírito Santo","Valsugana Velha, Propriedade do Leomir",NA,"Árvore 14m, DAP 35cm, fuste 10m, frutos imaturos de cor verde. Látex branco. Borda de mata, ensolarado.","MBML012930",NA,"A. Alves Araújo/25-03-2014","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-02-25 10:11:52-03","CVRD","CVRD","8859","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Luz, A.A. da","225","2004","09","01","América do Sul","BRASIL","MG",NA,NA,"<ll>dwc_commonname:</ll> Mantegueira","CVRD008859",NA,"Terry D. Pennington","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676",NA,NA,"2010","22522","auto","12","01",NA,NA,NA,"Magnoliopsida",NA
"26","2021-02-25 10:11:52-03","CVRD","CVRD","8141","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Folli, D.A.","4503","2003","04","10","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Mantegueira","CVRD008141",NA,"Marcos de Souza Menandro","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"1981","48094","auto","12","16",NA,NA,NA,"Magnoliopsida",NA
"27","2021-02-25 10:11:52-03","CVRD","CVRD","4992","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Folli, D.A.","2355","1994","07","18","América do Sul","BRASIL","ES","Bloco 2-1-I, Sítio 01.",NA,"<ll>dwc_commonname:</ll> Mantegueira","CVRD004992","CVRD004992","Marcos de Souza Menandro","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"1981","48094","auto","11","16",NA,NA,NA,"Magnoliopsida",NA
"28","2021-02-25 10:11:52-03","CVRD","CVRD","351","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Silva, I.A.","79","1979","09","14","América do Sul","BRASIL","ES","Bloco 2-8-II, Sítio 03.",NA,"<ll>dwc_commonname:</ll> Mantegueira","CVRD000351",NA,"Marcos de Souza Menandro","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"1981","48094","auto","12","16",NA,NA,NA,"Magnoliopsida",NA
"29","2021-03-01 11:52:08-03","UFPE","UFP","69079","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Alves-Araújo, A; Amorim, A; Perdiz, R","1189","2009","04","03",NA,"Brasil","Bahia",NA,NA,"Árvore entre 30 a 35m de altura, frutos amarelo-alaranjados, rugoso. Sementes plano-convexas, testa brilhando cobrindo 3/4 da região convexa. Látex alvo, abundante.; Mata Atlântica.","UFP069079",NA,NA,"Camaçã",NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 11:52:08-03","UFPE","UFP","69131","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Alves-Araújo, A; Amorim, A; Perdiz, R","1185","2009","04","02",NA,"Brasil","Bahia",NA,NA,"Árvore entre 30 a 35m de altura, frutos amarelo-alaranjados, rugoso. Sementes plano-convexas, testa brilhando cobrindo 3/4 da região convexa. Látex alvo, abundante.; Mata Atlântica.","UFP069131",NA,NA,"Camaçã",NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","USw31669","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa",NA,NA,"A. Mattos & A. Magnanini","26",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"32","2020-09-12 05:00:02-03","US","US","2407697","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"G. G. Bondar","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Bahia","Cupao, Coletann na fasenda Canaao, Lado direito do rio Mucuri em.",NA,NA,"US02701479","US02701479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"33","2020-09-12 05:00:02-03","US","US","3372145","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"F. R. Mendonca, E. Cardoso, D. Alvarenga, M. A. Silva & F. C. A. Oliveira","3273","1997","11","10","South America - Neotropics","Brazil","Bahia","Projeto Biogeografia do Bioma Cerrado, Municipio de Formosa do Rio Preto; Fazenda Estrondo, 20 km apos a ponte do Rio Riachao indo em direcao a sede desta fazenda.",NA,NA,"US02701477","US02701477_01",NA,NA,"-45.5728","-11.5728","560",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"34","2020-09-12 05:00:02-03","US","US","3318926","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"S. A. Mori & T. S. Santos","11799","1979","5","5","South America - Neotropics","Brazil","Bahia","Regiao Cacaueira da Bahia, Municipo de Maracas, Rod. BA-026, a 6 km a SW de Maracas.",NA,NA,"US02701478","US02701478_01",NA,NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"35","2021-03-15 18:30:05-03","USP","SPF","206100","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","isotype","Kuhlmann, JG","s.n.","1934","04","07",NA,"Brasil","Espírito Santo","Rio Doce, Colônia e Goytacazes.",NA,"Árvore grande. Fruto comestível.","SPF00206100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:31:47-03","USP","SPF","169475","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Fiaschi, P","2878","2005","03","18",NA,"Brasil","Bahia",NA,NA,NA,"SPF00169475",NA,"Alves-Araújo, A","Camacan","-39.565278","-15.391667","850","850","2010",NA,NA,NA,NA,"-39.565278","-15.391667",NA,NA,NA
"37","2019-10-07 09:12:59-03","UEFS","HUEFS","188907","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Matos, E.N.de","2006","2011","10","03",NA,"Brasil","Bahia","Pratigi",NA,"Restinga. Floresta.","HUEFS0188907","HUEFS0188907",NA,"Ituberá","-39.023889","-13.733333",NA,NA,NA,NA,NA,NA,NA,"39W1'26''","13S43'60''",NA,"Asteranae",NA
"38","2019-10-07 09:12:59-03","UEFS","HUEFS","240719","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Fernandes, M.F.","330",NA,NA,NA,NA,"Brasil","Bahia","Comunidade Santo Amaro.",NA,"Floresta","HUEFS0240719","HUEFS0240719",NA,"Itacaré","-39.023889","-14.262222",NA,NA,NA,NA,NA,NA,NA,"39W1'26''","14S15'44''",NA,"Asteranae",NA
"39","2018-05-14 16:22:54-03","F","FMNH-SEEDPLANTS","V0324578F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"G. Bondar",NA,NA,NA,NA,"South America","Brazil","Bahia",NA,NA,NA,"V0324578F","V0324578F_01 V0324578F_02",NA,NA,"-42","-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"40","2020-07-23 12:22:19-03","CEPLAC","CEPEC","145390","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa",NA,"Isótipo","J. G. Kuhlmann",NA,"1980","04","09",NA,"Brasil","Espírito Santo","Rio Doce, Colônia e Goytacazes.",NA,NA,NA,NA,"J. G. Kuhlmann","LINHARES","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,"30/12/1936"
"41","2020-07-23 12:22:30-03","CEPLAC","CEPEC","81790","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. M. Amorim","2663","1998","11","21",NA,"Brasil","Bahia","Ro. Jussari/Palmira. Entreada ca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 520.",NA,NA,NA,NA,"P. Fiaschi","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/03/2003"
"42","2020-07-23 12:22:30-03","CEPLAC","CEPEC","80800","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"J. G. Jardim","1698","1998","02","18",NA,"Brasil","Bahia","Jussari/Palmira, Entrada ca. 7,5Km depois mais 1,7Km ate a sede da Faz. Teimoso. Árvore 326.",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"P. Fiaschi","JUSSARÍ","-39.583333","-15.166667",NA,NA,NA,NA,NA,NA,NA,"39W35'","15S10'",NA,NA,"30/03/2003"
"43","2020-07-23 12:22:30-03","CEPLAC","CEPEC","115237","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"Thomas, W.W.","14516","2006","01","18",NA,"Brasil","Bahia","Serra Peito de moça, 9,7 km NE of Arataca, on dirt road to Una, then 8,8 km NW (left) on road through Faz. Sta. Rita to Reserva do IESB (Faz. Palmeira.)",NA,NA,NA,NA,"Sem Informação","arataca","-39.341667","-15.173056","510","510",NA,NA,NA,NA,NA,"39W20'30","15S10'23",NA,NA,NA
"44","2020-07-23 12:22:30-03","CEPLAC","CEPEC","122717","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"Martini, A.",NA,NA,NA,NA,NA,"Brasil","Bahia","Estrada de Serra Grande para Uruçuca. Área do inventário do plano manejo do Parque Estadual da Serra do Conduru. Mata da Torre do Celular.",NA,"Individuo B 15.",NA,NA,"Sem Informação","URUÇUCA","-39.115","-14.499722","380","380",NA,NA,NA,NA,NA,"39W6'54","14S29'59",NA,NA,NA
"45","2020-07-23 12:22:30-03","CEPLAC","CEPEC","123638","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"Piotto, D.","234","2007","06","10",NA,"Brasil","Bahia","Parque Estadual da Serra do Conduru",NA,"Floresta secundária, idade: 25 anos, sítio: 7 , linha: 4 , #: 11 , dist.: 31.5 , dap: 5.9 cm, altura: 10 m",NA,NA,"Sem Informação","URUÇUCA","-39.083333","-14.416667","120","120",NA,NA,NA,NA,NA,"39W5'0","14S25'0",NA,NA,NA
"46","2020-07-23 12:22:30-03","CEPLAC","CEPEC","81084","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. M. Amorim","2224","1998","02","21",NA,"Brasil","Bahia","Rod. Jussari/Palmira. Entrada ca. 7,5KM de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 392.",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"T. D. Pennington","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/12/2000"
"47","2020-07-23 12:22:30-03","CEPLAC","CEPEC","81352","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. M. Amorim","2275","1998","02","21",NA,"Brasil","Bahia","Rod. Jussari/Palmira. Entrada ca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 502.",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"P. Fiaschi","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/03/2003"
