"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","county","imagecode","monthIdentified","dayIdentified","class","order","coordinatePrecision","geoFlag","individualCount"
"11","2021-04-07 11:47:12-03","UFMS","CGMS","21159","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","A. Guglieri; F.J.M. Caporal","1526",NA,"Brasil",NA,NA,NA,"CGMS1050562",NA,"Nees ex Steud.","A. Guglieri",NA,"2007","07","29","Mato Grosso do Sul","Recanto Anjo de Luz, Córrego Boa Sorte.","-54.8293991088867","-19.8316993713379",NA,NA,NA,NA,"Corguinho",NA,NA,NA,NA,NA,"56513","auto",NA
"12","2021-04-07 11:47:12-03","UFMS","CGMS","20563","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","L.M. Ribeiro; M.C. Pereira; A. Guglieri","7",NA,"Brasil",NA,NA,"Com rizoma. Habitat: Margem de córrego, local sombreado, solo arenoso. Habito: Herbáceo. 1,60m de altura.","CGMS1049957",NA,"Nees ex Steud.","A. Guglieri","2008","2007","09","23","Mato Grosso do Sul","Recanto Anjo de Luz. Córrego Boa Sorte.","-54.8293991088867","-19.8316993713379",NA,NA,NA,NA,"Corguinho",NA,"06","18",NA,NA,"56513","auto",NA
"13","2011-06-02 17:12:00-03","MO","MOBOT","100382547","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Émile Hassler","Hassler 11232","South America","Paraguay",NA,NA,NA,NA,NA,"Nees","G. Davidse (MO)",NA,"1912",NA,NA,NA,"In altaplanitie. Sierra de Amambay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2015-08-10 05:49:00-03","MO","MOBOT","226896","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Amaro Macedo","Macedo 2407","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,"1950","5","29","Minas Gerais","Sao Vicente.","-49.4650001525879","-18.968900680542",NA,NA,NA,NA,"Ituiutaba",NA,NA,NA,NA,NA,"50022","auto","1"
"15","2020-09-02 16:36:10-03","Cenargen","CEN","107312","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","José Francisco Montenegro Valls","8844",NA,"Brasil","Exsicatas",NA,"Colmos ascendentes.","CEN00107312",NA,"Nees ex Steud.","J. F. M. Valls","2018","1985","05","22","RO","Ao longo da estrada de terra que dá acesso a uma fazenda no km 179,7 da BR - 364.","-61.071388","-12.78","-61.071388","-12.78","200","200","PIMENTA BUENO","CEN00107312","06",NA,NA,NA,NA,NA,"5"
"16","2020-09-02 16:36:10-03","Cenargen","CEN","62805","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Glocimar Pereira-Silva","10548",NA,"Brasil","Exsicatas",NA,"Área de influência indireta.","CEN00062805",NA,"Nees ex Steud.","J. F. M. Valls","2018","2006","06","10","TO","Estrada São Salvador balsa do rio Custódio km 45, margens do corrego Rosário.","-48.129444","-12.964166","-48.129444","-12.964166","300","300","PARANA","CEN00062805","06",NA,NA,NA,NA,NA,"4"
"17","2020-09-02 16:36:10-03","Cenargen","CEN","47325","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Aécio Amaral-Santos","1267",NA,"Brasil","Exsicatas",NA,"Área de influência da AHE Queimado, influência direta.","CEN00047325",NA,"Nees ex Steud.","J. F. M. Valls","2018","2002","06","25","MG","Mata abaixo do vertedouro.","-46.9061012268066","-16.3575000762939","-4732472.0","-1622028.0",NA,NA,"UNAI","CEN00047325","06",NA,NA,NA,"97926","auto","2"
"18","2019-01-25 15:35:54-02","IAC","IAC","17543","S","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","J.M. Tucker","791",NA,"El Salvador",NA,NA,NA,NA,NA,"Nees","J.M. Tucker","1942","1942","01","14","Morazán",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","14",NA,NA,NA,NA,NA
"19","2019-11-01 15:15:54-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Nee, M","9508","Southern America","Panama",NA,NA,"Colony in wet spot, grassy area","UB0017065","Monocotyledonae","Ness","Davidse, G","1974","1974","01","31",NA,"Along RR 1 1/2 W of Gamboa. Apparently rare along RR for first 3km W of Gamboa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:14:46-03","IBt","SP","226949","S","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Nee, M; Taylor, K","26004",NA,"México",NA,NA,NA,NA,NA,"Nees","Davidse, G","1984","1983","03","18","Vera Cruz","Ridge on S of gorge of cascada de Texolo, 3 km SE of Villa Xico (Xico=Jico).","-97","19.4","-97","19.4","1250","1250","Xico",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:14:46-03","IBt","SP","160400","S","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Nee, M","9508",NA,"Panamá",NA,NA,NA,"SP040975",NA,"Nees","Davidse, G","1974","1974","01","31","Canal Zone","Grassy area along RR, 1 1/2 km W of gamboa.",NA,NA,NA,NA,"30","30",NA,"SP040975",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:14:46-03","IBt","SP","160501","S","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Croat, TB","34506",NA,"Panamá",NA,NA,NA,"SP040976",NA,"Nees","Davidse, G","1977","1976","04","29","Los Santos","Along upper Rio pedregal; below waterfall in ravine.",NA,NA,NA,NA,"350","400",NA,"SP040976",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:14:46-03","IBt","SP","271471","S","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Sugiyama, M; Kirizawa, M","1261",NA,"Brasil",NA,NA,NA,"SP040974",NA,"Nees","Shirasuna, RT",NA,"1994","10","13","São Paulo","Fazenda Intervales, Base do Quilombo. Sobre pedras na cachoeira do Quilombo.","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"Sete Barras","SP040974",NA,NA,NA,NA,"34059","auto",NA
