"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"11","2020-12-21 16:30:19-03","MBM","MBM","283496","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","74602","2003","03","11","Southern America","Brazil","Rio Grande do Sul","Bela Vista","Rod. MS-10-20, trevo da Rod. BR-267 para Bela Vista, entre km 10-20",NA,NA,NA,NA,NA,NA,"MBM283496","MBM283496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:30:19-03","MBM","MBM","186845","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Munhoz, C.","Kirkbride, J.H.","5530","1984","04","28","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 8 km SSE de Alto Paraíso","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM186845","MBM186845",NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA
"13","2020-12-21 16:30:19-03","MBM","MBM","133771","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","53913","1990","02","13","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO-118, 5-10 km N de Alto Paraíso","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM133771","MBM133771",NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA
"14","2020-12-21 16:30:19-03","MBM","MBM","279090","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","74152","2002","11","12","Southern America","Brazil","Mato Grosso do Sul","Bonito","Fazenda Baía das Garças, próximo a sede","-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,"MBM279090","MBM279090",NA,NA,NA,NA,NA,NA,"71352","auto",NA,NA,NA
"15","2015-09-05 12:47:47-03","MNHN","RECOLNAT_MNHN_P","P00737232","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Epling","Glaziou, A.",NA,"1895","1","9",NA,"Brésil",NA,NA,"Chapadao dos Veadeiros",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737232' target='other'> <mi>dwc_moreinfo</mi></a>","P00737232","P00737232_01",NA,NA,NA,NA,NA,NA,NA,NA,"holotype","21625",NA
"16","2015-09-27 15:40:57-03","MNHN","RECOLNAT_MNHN_P","P00737233","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Epling","Glaziou, A.",NA,"1895","1","9",NA,"Brésil",NA,NA,"Chapadao dos Veadeiros",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737233' target='other'> <mi>dwc_moreinfo</mi></a>","P00737233","P00737233_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","21625",NA
"17","2015-09-03 20:48:20-03","MNHN","RECOLNAT_MNHN_P","P00737234","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Epling","Glaziou, A.",NA,"1895","1","9",NA,"Brésil",NA,NA,"Chapadao dos Veadeiros",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737234' target='other'> <mi>dwc_moreinfo</mi></a>","P00737234","P00737234_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","21625",NA
"18","2020-10-01 14:21:49-03","JBB","HEPH","13617","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Munhoz, CBR","Munhoz, CBR; et al.","403","1997","05","31","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Chico Preto 12 Km a direita de Alto Paraíso sentido São Jorge","-47.636111","-14.151944","124","124",NA,NA,NA,NA,NA,"1997",NA,NA,"-47.636111","-14.151944",NA,NA,NA,NA,NA
"19","2020-10-01 14:21:49-03","JBB","HEPH","14029","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Oliveira, RC","Oliveira, RC; et al.","1054","1998","05","01","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.509167","-14.0725",NA,NA,NA,NA,NA,NA,NA,"1998",NA,NA,"-47.509167","-14.0725",NA,NA,NA,NA,NA
"20","2020-10-01 14:21:49-03","JBB","HEPH","8061","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Munhoz, CBR","Lima, IV","93","1993","05","24","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,"1997",NA,NA,NA,NA,"44724","auto",NA,NA,NA
"21","2020-05-25 15:13:54-03","FSU","FSU","000067314","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"J. W. Grear, R. Souza, H. S. Irwin, R. Reis dos Santos","12411",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-04-05 16:13:00-03","MO","MOBOT","2907246","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.Harley (K) (!RL 2018)","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32130","1971","3","18","South America","Brazil",NA,NA,"Among boulders on slopes down to small riascho. Wet campo and adjacent gallery forest, ca 20 km. N. of Alto do Paraiso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","2018-04-05 16:14:00-03","MO","MOBOT","2908382","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.Harley (K) (!RL 2018)","Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 53913","1990","2","13","South America","Brazil","Goiás",NA,"Rod. GO-118, 5-10 km ao norte de Alto Paraiso, Goias.",NA,NA,"1300.00000000","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2018-04-05 16:11:00-03","MO","MOBOT","2908997","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.Harley (K) (!RL 2018)","Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Irwin 12411","1966","2","9","South America","Brazil","Goiás",NA,"Creek margin, among rocks, Chapada dos Veadeiros, ca. 20 km W. of Veadeiros, Goias.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2018-04-05 16:12:00-03","MO","MOBOT","2909460","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.Harley (K) (!RL 2018)","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32130","1971","3","18","South America","Brazil","Goiás",NA,"Among boulders on slopes down to small riacho. Wet campo and adjacent gallery forest, ca 20 km N. of Alto do Paraiso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2019-12-19 11:19:12-03","UFG","UFG","15307","S","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, R.M.","Ratter, J.A.; Bridgewater, S.","7216","1994","05","22",NA,"Brasil","Goiás","Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,"UFG0015307","UFG0015307",NA,"1996","08","18",NA,NA,NA,NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","3189298","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"L. Dambrós","17.293-90","1990","3","29","South America - Neotropics","Brazil","Goiás",NA,"Município de Alto Paraíso de Goiás. Estrada Alto Paraíso/Terezina de Goiás. Km 28. Folha SD23VC. Ponto 09.","-47.3592","-13.9833",NA,NA,NA,NA,"US02885992","US02885992_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","2020-09-12 05:00:02-03","US","US","2863386","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12411","1966","2","9","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil, Chapada dos Veadeiros. Creek margin, among rocks, Chapada dos Veadeiros, ca. 20 km. W. of Veadeiros.","-47","-14","1000",NA,NA,NA,"US02885993","US02885993_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","2020-09-02 16:30:08-03","Cenargen","CEN","68688","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","José Floriano Barêa Pastore","1843","2007","03","14",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Beira da GO - 118, sentido A. Paraíso de Goiás - Teresina.","-47.4025","-13.908333","1292","1292","Exsicatas","Folhas verdes, imbricadas. Bractéolas e cáilce verde muito claro. Corola branca. Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117660). Feira de Santana - Bahia.","CEN00068688","CEN00068688",NA,"2007","03",NA,"-47.4025","-13.908333",NA,NA,NA,NA,"1"
"30","2020-09-02 16:30:08-03","Cenargen","CEN","19538","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","Taciana Barbosa Cavalcanti","1337","1995","03","14",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Estradinha de terra a 3 km N de Alto Paraíso de Goiás, com entrada privativa.","47.45","-14.133333","1380","1380","Exsicatas","Crescendo em afloramento rochoso.","CEN00019538","CEN00019538",NA,"1996","06",NA,"47.45","-14.133333",NA,NA,NA,NA,"8"
"31","2020-09-02 16:30:08-03","Cenargen","CEN","104419","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","J. B. Bringel","João Bernardo de Azevedo Bringel Jr.","1232","2015","03","04",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Estrada de São Jorge para Alto Paraíso de Goiás, cerca de 1,3 km a L de São Jorge.","-47.801944","-14.176666","1015","1015","Exsicatas",NA,"CEN00104419","CEN00104419",NA,"2015","03",NA,"-47.801944","-14.176666",NA,NA,NA,NA,"4"
"32","2020-09-02 16:30:08-03","Cenargen","CEN","94499","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","J. B. Bringel","Márcio Verdi - RB","7344","2014","11","26",NA,"Brasil","GO","CAVALCANTE","Parque Nacional Chapada dos Veadeiros, Pouso Alto","-47.494444","-13.943055","1462","1462","Exsicatas","Folhas verdes. Área recentemente queimada.. Doação Jardim Botânico do Rio de Janeiro - RB 630847.","CEN00094499","CEN00094499",NA,"2017","01",NA,"-47.494444","-13.943055",NA,NA,NA,NA,"1"
"33","2019-11-13 11:20:47-03","USP","SPF","101884","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, RM","Cavalcanti, TB","1337","1995","03","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.45","-14.133333","1380","1380",NA,NA,"SPF00101884","SPF00101884",NA,"1999",NA,NA,"-47.45","-14.133333",NA,NA,NA,NA,NA
"34","2019-11-13 11:20:47-03","USP","SPF","49603","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, RM","Pirani, JR","1902","1987","02","09",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.45","-13.966667",NA,NA,NA,NA,"SPF00049603","SPF00049603",NA,NA,NA,NA,"-47.45","-13.966667",NA,NA,NA,NA,NA
"35","2019-11-13 11:20:47-03","USP","SPF","49604","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, RM","Pirani, JR","1903","1987","02","09",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.45","-13.966667",NA,NA,NA,NA,"SPF00049604","SPF00049604",NA,NA,NA,NA,"-47.45","-13.966667",NA,NA,NA,NA,NA
"36","2019-11-13 11:20:47-03","USP","SPF","49895","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, RM","Pirani, JR","1865","1987","02","08",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.45","-13.966667",NA,NA,NA,NA,"SPF00049895","SPF00049895",NA,NA,NA,NA,"-47.45","-13.966667",NA,NA,NA,NA,NA
"37","2019-11-13 11:20:47-03","USP","SPF","40435","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, RM","Irwin, HS","32130","1971","03","18",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242","1250","1250",NA,NA,"SPF00040435",NA,NA,"1973","01",NA,NA,NA,"44724","auto",NA,NA,NA
"38","2020-12-02 09:07:19-03","UNITINS","HUTO","5432","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Munhoz, C.","Munhoz, C.","114","1994","05","21",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,"Arvoreta 3 m de altura. Flor branco-roseo. Anteras castanho-escuro; Cerrado rupestre","HUTO005432",NA,NA,"1994",NA,NA,NA,NA,"44724","auto",NA,NA,NA
"39","2019-10-07 09:16:18-03","UEFS","HUEFS","117660","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Pastore, J.F.B.","1843","2007","03","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Beira da GO - 118, sentido Alto Paraíso de Goiás - Terezina.","-47.4025","-13.908333","1292","1292",NA,"Campo sujo rupeste. Solo areno-pedregoso.","HUEFS0117660","HUEFS0117660","Asteranae","2007","06",NA,"47W24'9''","13S54'30''",NA,NA,NA,NA,NA
"40","2019-10-07 09:16:18-03","UEFS","HUEFS","164275","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Martinelli, G.","16465","2009","04","15",NA,"Brasil","Goiás","Cavalcante","Parque Nacional da Chapada dos Veadeiros. Alto do Cruzeiro, campos rupestres.","-47.696111","-13.943889","1320","1320",NA,"Campos rupestre.","HUEFS0164275","HUEFS0164275","Asteranae","2011","10",NA,"47W41'46''","13S56'38''",NA,NA,NA,NA,NA
"41","2019-10-07 09:16:18-03","UEFS","HUEFS","177536","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Dambrós, L.A.","391","2009","09","25",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Ponto 8. Rodovia GO - 239 (Alto Paraíso de Goiás - Colinas do Sul.).","-47.618056","-14.1625","1175","1175",NA,"Cerrado rupestre.","HUEFS0177536","HUEFS0177536","Asteranae","2014","02",NA,"47W37'5''","14S9'45''",NA,NA,NA,NA,NA
"42","2019-10-07 09:16:18-03","UEFS","HUEFS","23604","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Cavalcanti, T.B.","1337","1995","03","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.45","-14.133333","1380","1380",NA,NA,"HUEFS0023604","HUEFS0023604","Asteranae","1997","04",NA,"47W27'","14S8'",NA,NA,NA,NA,NA
"43","2019-10-07 09:16:18-03","UEFS","HUEFS","31113","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Cavalcanti, T.B.","1337","1995","03","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Entrada do Belvedere Paraíso a cerca de 4 KM Norte de Alto Paraíso de Goiás.","-47.45","-14.133333","1380","1380",NA,"Cerrado de altitude. Solo arenoso. Relevo montanhoso.","HUEFS0031113","HUEFS0031113","Asteranae","1998","07",NA,"47W27'","14S8'",NA,NA,NA,NA,NA
"44","2019-10-07 09:16:18-03","UEFS","HUEFS","156318","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R.M.Harley","Queiroz, L.P.de","14301","2009","04","25",NA,"Brasil","Goiás","Teresina","Estrada sentido Alto Paraíso-Teresina.","-47.443056","-13.935278","1465","1465",NA,"Campo rupestre.","HUEFS0156318","HUEFS0156318","Asteranae","2014","07",NA,"47W26'35''","13S56'7''",NA,NA,NA,NA,NA
"45","2019-09-04 18:53:10-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla",NA,NA,"A. Glaziou","21625","1895","1","9","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"46","2015-03-07 08:48:06-03","F","FMNH-SEEDPLANTS","V0144926F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0144926F","V0144926F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-02-17 11:29:40-03","UEG","HUEG",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Munhoz, C.B.R.","Munhoz, C.B.R.","114","1994","05","21","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","07 Km de Alto Paraíso para Teresina de Goiás","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Anteras castanho-escuro.",NA,NA,NA,"1994",NA,NA,NA,NA,"44724","auto",NA,NA,NA
"48","2021-02-23 13:22:36-03","MN","R-TIPOS","11274","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"Glaziou, A.F.M.","21625","1895","01","09",NA,"Brasil","Goiás",NA,"Chapadão dos Veadeiros",NA,NA,NA,NA,NA,NA,"R000011274","R000011274_001",NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA
"49","2014-09-23 10:58:02-03","G","G","G00437984","S","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Chautems, A.","Glaziou, A. F. M.","21625","1894",NA,"00","AMERIQUE DU SUD","Brazil","Goias",NA,NA,"-49.56972222","-15.81194444",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437984",NA,NA,"2010","01","01","-49.56972222","-15.81194444",NA,NA,"ISOTYPUS of Hyptis pachyphylla Epling",NA,NA
