"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","fieldNumber","sex"
"11","2021-02-15 11:56:52-03","UNICAMP","UEC","126744","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.","Loeuille, B","Vichnewski, W","35169","1995","07","06",NA,"Brazil","Goiás","Alto Paraíso de Goiás","Rodovia GO 118, Sentido Alto Paraíso, Teresina de Goiás, km 196-197.","-47.5099983215332","-14.1324996948242",NA,"Arvoreta 1 a 2 m.","UEC069299","UEC069299",NA,NA,NA,"2011","44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:15:51-03","MBM","MBM","391225","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","Macleish & Schmacher","Loeuille, B.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Romão, G.O.; Araújo, A.O.; Souza, J.P.; Scalon, V.R.; Romão, G.O.; Araújo, A.O.","24698","2000","07","31","Southern America","Brazil","Goiás","Teresina de Goiás","Fazenda Hotel Ecológico Alpes Goianos, Rodovia GO-118, km 202","-47.396917","-13.89975",NA,"Arbusto esguio, ca. 5m alt.; papilho creme.","MBM391225","MBM391225",NA,NA,NA,"2013",NA,NA,"-47.396917","-13.89975","09",NA,NA,NA,NA,NA
"13","2020-12-21 16:15:51-03","MBM","MBM","352068","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","Macleish & Schmacher","Loeuille, B.","Loeuille, B.; et al.; et al.","289","2007","07","20","Southern America","Brazil","Goiás","Alto Paraíso","Chapada dos Veadeiros. estrada GO 118 para Cavalcante, 30 km depois de alto Paraíso.",NA,NA,NA,"Arvoreta até 3m. Folhas argenteas. Capítulos velhos. Comum. Campo rupestre","MBM352068","MBM352068",NA,NA,NA,"2007",NA,NA,NA,NA,"07","20",NA,NA,NA,NA
"14","2021-01-20 14:35:00-03","MO","MOBOT","100358490","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"Gustavo Martinelli|Gary L. Smith|John G. Stutts|N.F.F. MacLeish","Martinelli 734","1980","10","14","South America","Brazil","Goiás",NA,"33 km north of Alto Paraiso towards Cavalcante. Campo rupestre with Guttiferae dominant.",NA,NA,NA,NA,NA,NA,"Isotype","1370.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"15","2019-06-10 10:10:16-03","FZB-BH","BHZB","12163","S","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus cf.","Eremanthus argenteus cf.",NA,NA,"Rezende, S.G.","6129","2018","07","10",NA,"Brasil","MG","Serro","São Gonçalo do Rio das Pedras","-43.3793983459473","-18.604700088501",NA,"Unicata",NA,NA,NA,"1098","1098",NA,"37754","auto","43°29'30","18°24'46",NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3499554","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"H. Schumacher","1035","1981","8","28","South America - Neotropics","Brazil","Goiás",NA,"Brasilia towards Campos Belos, 22 km from Alto Paraiso",NA,NA,NA,NA,"US01635680","US01635680_01",NA,"1500",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"17","2020-09-12 05:00:02-03","US","US","3120463","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"B. A. S. Pereira","1023","1984","6","15","South America - Neotropics","Brazil","Distrito Federal",NA,"Reserva Ecolo [illegible text]ica do IBGE",NA,NA,NA,NA,"US01635678","US01635678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"18","2020-09-12 05:00:02-03","US","US","3481963","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"N. F. F. MacLeish, G. Martinelli, G. L. Smith & J. G. Stutts","734","1980","10","14","South America - Neotropics","Brazil","Goiás",NA,"33 km north of Alto Paraiso towards Cavalcante",NA,NA,NA,NA,"US01635679","US01635679_01",NA,"1370",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"19","2020-09-12 05:00:02-03","US","US","3083709","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"N. F. F. MacLeish, G. Martinelli, G. L. Smith & J. G. Stutts","734","1980","10","14","South America - Neotropics","Brazil","Goiás",NA,"Goias: 33 km N of Alto Paraiso towards Cavalcante.",NA,NA,NA,NA,"US00048268","US00048268_01","Isotype","1370","1370",NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"20","2020-09-12 05:00:02-03","US","US","3668528","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumach.",NA,"V. C. Souza, J. Souza, V. Scalon, G. O. Romão & A. O. Araujo","24698","2000","7","31","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Teresina de Goias, Fazenda Hotel Ecologico Alpes Goianos, Rod. GO-118, km 202","-47.3969","-13.8998",NA,NA,"US01635677","US01635677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"21","2020-09-02 16:21:15-03","Cenargen","CEN","104511","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","Macleish & H.Schumacher","B. Loeuille","João Bernardo de Azevedo Bringel Jr.","1327","2017","05","14",NA,"Brasil","GO","PLANALTINA","Estrada vicinal a W da GO-118. Início da estrada ca. 28,5 km N de São Gabriel de Goiás.","-47.628055","-14.981388","Exsicatas",NA,"CEN00104511","CEN00104511",NA,"1189","1189","2017",NA,NA,"-47.628055","-14.981388","05",NA,"4",NA,NA,NA
"22","2021-03-15 18:25:29-03","USP","SPF","216005","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H.Schumach.","Loeuille, B","Loeuille, B","839","2013","07","20",NA,"Brasil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, Estrada GO 118, ca. 22 km de Alto Paraíso de Goiás. Reserva Particular do Patrimônio Natural Cara Preta.","-47.523875","-14.008483",NA,"Arvoreta até 4 m. Flores alvas a rosa.; Cerrado rupestre.","SPF00216005",NA,NA,"1502","1502","2013",NA,NA,"-47.523875","-14.008483",NA,NA,NA,NA,NA,NA
"23","2019-01-23 12:04:21-02","F","FMNH-SEEDPLANTS","V0049455F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus",NA,NA,"N. F. F. MacLeish & et al.","734","1980","10","14","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0049455F","V0049455F_01","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"24","2020-11-12 16:58:20-03","UEL","FUEL","32207","PreservedSpecimen","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H.Schumach.","Loeuille, B","Souza, VC; Souza, JP; Scalon, VR; Romão, GO; Araujo, AO","24698","2000","07","31",NA,"Brasil","Goiás","Teresina de Goiás","Fazenda Hotel Ecológico Alpes Goianos, Rod. GO-118, km 202","-47.396917","-13.89975",NA,NA,NA,NA,NA,NA,NA,"2013",NA,NA,"-47.396917","-13.89975","09",NA,NA,NA,NA,NA
"25","2010-08-16 16:37:14-03","GH","HU-HERB","GH 00014301","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H. Schumacher",NA,"N. F. F. MacLeish","734","1980","10","14","South America","Brazil","Goiás",NA,"33 km. north of Alto Paraiso towards Cavalcante.",NA,NA,"Sheet",NA,NA,NA,"Isotype","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"734","undetermined"
