"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"11","2019-11-21 14:39:39-03","UFJF","CESJ","54758","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"C.A.A. Nascimento; E.A. Gomes; M.L.Detoni; N.M.Rust; N.M.Farinazzo","8","2003","04","12","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Campus da UFJF, Mata do Biotério.","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta ca. 2m, no interior de mata, material sem flor, com substância arroxeada. Infrutescência em racemo com pedicelo.","CESJ054758",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:39:39-03","UFJF","CESJ","33108","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","D.S. Pifano; M.O. Afonso; R.M. Castro; F.R.G. Salimena","26","2001","05","05","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Morro do Imperador","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta ca. 3m, frutos maduros vináceos até negros, em clareira.","CESJ033108",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:39:39-03","UFJF","CESJ","35041","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","D.S. Pifano; A.S.M. Valente","135","2001","11","20","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Morro do Imperador","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arbusto ca. 3m na beira da trilha em local de encosta e clareira. Flores brancas com anteras e estigmas brancos.","CESJ035041",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:39:39-03","UFJF","CESJ","49353","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","A.S.M. Valente; P.O. Garcia","s.n.","2007",NA,NA,"América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"CESJ049353",NA,NA,NA,"20815","auto","2009",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:39:39-03","UFJF","CESJ","61728","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","L.L. Justino","L.L. Justino; D.R. Gonzaga, MRMSilva; R.T.Silva","19","2012","12","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","Monte Verde de Cima, Trilha da cachoeira do Arco Íris.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Árvore ca. 2,5 m em local sombreado próximo à trilha. Flores alvas.","CESJ061728",NA,NA,NA,"30417","auto","2012","12","08",NA,NA,NA,NA,NA
"16","2019-11-21 14:39:39-03","UFJF","CESJ","42186","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"K. Antunes; J.F.S. Pessôa; O.J. Bastos Neto; F.R.G. Salimena; P.H. Nobre","99","2004","04","22","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Fazenda da Tiririca.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Arvoreta, borda de mata, próximo ao curso d'água, folhas discolores, tricomas ferrugíneos, frutos imaturos verdes e magentos quando maduros.","CESJ042186",NA,NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:39:39-03","UFJF","CESJ","41643","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","K. Antunes; C.N. Matozinhos; A.S.M. Valente; F.R.G. Salimena; K. Antunes","9","2004","02",NA,"América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Fazenda da Tiririca.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Arbusto, 2m, no campo rupestre. Folhas discolores, frutos verdes. Prensado em álcool.","CESJ041643",NA,NA,NA,"20815","auto","2011","06",NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:39:39-03","UFJF","CESJ","27426","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","L.L. Justino","L. Krieger; M.C. Brügger","CESJ27426","1989","05","08","América do Sul","Brasil","Minas Gerais",NA,"São Francisco do Prata",NA,NA,NA,NA,NA,"Árvore pequena, na mata de altitude. Face abaxial das folhas avermelhadas.","CESJ027426",NA,NA,NA,NA,NA,"2015","08",NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:39:39-03","UFJF","CESJ","36668","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","D.S. Pifano","D.S. Pifano; R.M. Castro","322","2002","03","01","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Morro do Imperador","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta ca. 3,5m no interior da mata em local de boa luminosidade. Frutos imaturos verdes.","CESJ036668",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:39:39-03","UFJF","CESJ","42437","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","F.R.G. Salimena","s.n.","2004","06","05","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Parque da Lajinha","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta ca. 3,5m alt. Com frutos imaturos verdes, folhas grandes e longas.","CESJ042437",NA,NA,NA,"36144","auto","2004",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:39:39-03","UFJF","CESJ","55559","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"F.M.F. Viana","52","2005","03","05","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Parque Municipal da Lajinha","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arbusto, com ca. de 1,50m de altura em borda de mata.","CESJ055559",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:39:39-03","UFJF","CESJ","55690","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","L.L. Justino","F.M.F. Viana","165","2006","04","28","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Parque Municipal da Lajinha","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arbusto, ca. 2m, flores brancas com estames marelos, gamopétala.","CESJ055690",NA,NA,NA,"36144","auto","2015","08",NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:39:39-03","UFJF","CESJ","49476","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"F.R.G. Salimena; T.Guerra; F.M. Ferreira; P.H. Nobre","1291","2005","05","14","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Sítio Santalice","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Árvore ca. 3m, frutos imaturos verdes e maduros negros. No interior da mata no Chapadão.","CESJ049476",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:34:42-03","UNICAMP","UEC","151743","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Caddah, MK","Caddah, MK; Shimizu, GH; Belinello, R","638","2009","08","04",NA,"Brazil","São Paulo","Queluz","Margem do rio das Cruzes, Próximo à pousada Águas da Marambaia.","-45.3","-22.75","970","970",NA,"Arvoreta ca. 3m, face abaxial das folhas e inflorescência avermelhadas, lâminas até 50 x 22 cm, inf. jovem com até 26 cm casca externa descamante, coleta em sílica.","UEC071940","UEC071940",NA,NA,NA,NA,"2009","08",NA,"-45.3","-22.75",NA,NA,NA
"25","2019-08-20 10:19:22-03","UNICAMP","UEC","73692","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Goldenberg, R","Goldenberg, R; Belinello, R","77","1995","04","07",NA,"Brazil","São Paulo","Queluz","Margens do Rio das Cruzes","-44.781667","-22.455556",NA,NA,NA,"fruto, Arbusto com 2 m, frutos imaturos verdes e face inferior das folhas jovens avermelhadas.","UEC071937","UEC071937",NA,NA,NA,NA,"1996","05",NA,"-44.781667","-22.455556",NA,NA,NA
"26","2020-10-14 10:02:59-03","FURB","FURB","38920","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Goldenberg, R","Uhlmann, A.; et al.","391","2011","07","28",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Área da Pousada Vale dos Sonhos.","-42.5563889","-22.3694445","1200","1200",NA,NA,"FURB03828","FURB03828",NA,NA,NA,NA,"2011",NA,NA,"-42.5563889","-22.3694445",NA,NA,NA
"27","2020-12-21 16:34:34-03","MBM","MBM","392287","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","Barboza, E.","Oliveira, A.A.","3965","2016","11","11","Southern America","Brazil","Paraná","Antonina","Conglomerado: 414; subunidade: 4; subparcela: 2; indivíduo: 20","-48.78","-25.38",NA,NA,NA,"Árvore 8 m; inflorescência marrom, imatura.","MBM392287","MBM392287",NA,NA,NA,NA,"2017","05","23","-48.78","-25.38",NA,NA,NA
"28","2020-12-21 16:34:49-03","MBM","MBM","347005","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Santos Filho, L.A.F.; Baumgratz, J.F.A.; Silva, W.; Andrade, M.; Moura, A.L.O.; Baumgratz, J.F.A.; Silva, W.; Andrade, M.; Moura, A.L.O.","7","2008","04","20","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha para os Três Picos","-44.5633010864258","-22.4960994720459","1000","1400",NA,"Arvoreta, 4 m, ramos e pecíolos pardacentos, folhas, face adaxial verdes, abaxial vinosa passando a pardacenta; infrutescência pardacenta; frutos jovens verdes, maduros nigrescentes.; Mata de encosta. Margem da trilha.","MBM347005","MBM347005",NA,NA,"19648","auto","2018",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:34:49-03","MBM","MBM","257907","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Eiterer, M.; Sette de Almeida, D.; Sette de Almeida, D.","128","1993","01","22","Southern America","Brazil","Minas Gerais","Juiz de Fora","Campus da UFJF, Estrada de terra que liga ao Dom Orione (Parcela 1)","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Cerca de 3 m alt., apenas frutos.","MBM257907","MBM257907",NA,NA,"36144","auto","2018",NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:34:49-03","MBM","MBM","270432","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Pifano, D.S.; Valente, A.S.M.; Valente, A.S.M.","135","2001","11","20","Southern America","Brazil","Minas Gerais","Juiz de Fora","Morro do Imperador","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arbusto ca. 3 m, flores brancas com anteras e estigmas brancos.; Beira de trilha em local de encosta e clareira.","MBM270432","MBM270432",NA,NA,"36144","auto","2018",NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:34:49-03","MBM","MBM","352523","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Baumgratz, J.F.A.","Baumgratz, J.F.A.; et al.; et al.","1111","2009","05","05","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha Maromba a Macieiras (travessia Rui Braga-Sede Rebouças)","-44.635556","-22.4375","1369","1369",NA,"Ramos e raque ferrugíneos, quadrangulares; folhas verdes discolores, face adaxial bulada; abaxial reticulada; frutos jovens verdes, maduros roxo-nigrescentes. Altura 3m, Na encosta ao longo da trilha. Arvoreta. Ciófila. Floresta Ombr","MBM352523","MBM352523",NA,NA,NA,NA,"2009","05",NA,"-44.635556","-22.4375",NA,NA,NA
"32","2015-09-04 21:03:41-03","MNHN","RECOLNAT_MNHN_P","P05129083","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.",NA,"1875","5","21",NA,"Brasil",NA,NA,"Fazenda do Rio Preto.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129083' target='other'> <mi>dwc_moreinfo</mi></a>","P05129083","P05129083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-05-09 18:17:38-03","MNHN","RECOLNAT_MNHN_P","P01167982","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Cogniaux","Glaziou, A.",NA,"1887","7","30",NA,"Brésil","Rio de Janeiro",NA,"(Rio Jan.) Nova Friburgo, dans les bois vierge",NA,NA,NA,NA,"hb","Reçu le 23 octobre 1887 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167982' target='other'> <mi>dwc_moreinfo</mi></a>","P01167982","P01167982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","8689",NA
"34","2017-05-09 18:18:17-03","MNHN","RECOLNAT_MNHN_P","P01167983","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Cogniaux","Glaziou, A.",NA,"1887","7","30",NA,"Brésil","Rio de Janeiro",NA,"(Rio Jan.) Nova Friburgo, dans les bois vierge",NA,NA,NA,NA,"hb","Reçu le 23 octobre 1887 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167983' target='other'> <mi>dwc_moreinfo</mi></a>","P01167983","P01167983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","8689",NA
"35","2017-05-09 18:41:25-03","MNHN","RECOLNAT_MNHN_P","P01167984","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.",NA,"1887","7","30",NA,"Brésil","Rio de Janeiro",NA,"(Rio Jan.) Nova Friburgo, dans les bois vierge",NA,NA,NA,NA,"hb","Donné par Mme Simart, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167984' target='other'> <mi>dwc_moreinfo</mi></a>","P01167984","P01167984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","8689",NA
"36","2015-09-04 21:03:41-03","MNHN","RECOLNAT_MNHN_P","P05129082","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.",NA,"1887","6","25",NA,"Brasil",NA,NA,"Serra de S. José d´El Rei.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129082' target='other'> <mi>dwc_moreinfo</mi></a>","P05129082","P05129082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16888",NA
"37","2015-09-04 21:03:41-03","MNHN","RECOLNAT_MNHN_P","P05129084","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.",NA,"1887","6","4",NA,"Brasil","Minas Gerais","Tiradentes","Province de Brésil. Serra de São José Del Rei.","-44.1781005859375","-21.1103000640869",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129084' target='other'> <mi>dwc_moreinfo</mi></a>","P05129084","P05129084_01",NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,"h 16888",NA
"38","2020-12-11 11:38:26-03","UFMG","BHCB","76056","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Pifano, DS","322","2002","03","01","Southern America","Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-11 17:19:57-03","UFPR","UPCB","89101","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","Goldenberg, R.","Sztutman, M. et al","268","1999","01","11",NA,"Brasil","São Paulo","Pariquera-Açu","Parque Estadual de Pariquera-Abaixo (PEPA). Ombrófila Densa. Acesso pelo Bairro Braço Preto, no lado oeste, passando pelo viveiro, seguindo a trilha no interior da Floresta de Restinga de Baixada (Paludosa) muito perturbada, com domínio de jacatirão nos t","-47.649444","-24.708889",NA,NA,NA,"Árvore 5m, frutos imaturos verdes..","UPCB0031832","UPCB0031832",NA,NA,NA,NA,"1999","01","10","-47.649444","-24.708889",NA,NA,NA
"40","2021-02-11 17:19:57-03","UFPR","UPCB","88999","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","Goldenberg, R.","Ivanauskas, M.N.","604","1995","12","16",NA,"Brasil","São Paulo","Pariquera-açu","Estação Experimental do Instituto Agronômico. Floresta Atlântica","-47.876944","-24.608333",NA,NA,NA,"Árvore de 4 m. Flores brancas..","UPCB0031831","UPCB0031831",NA,NA,NA,NA,NA,NA,NA,"-47.876944","-24.608333",NA,NA,NA
"41","2021-02-11 17:20:09-03","UFPR","UPCB","42497","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Goldenberg, R.","77","1995","04","07",NA,"Brasil","São Paulo","Queluz","Margens do Rio das Cruzes, 22°27'20S 44°46'54W","-44.781667","-22.455556",NA,NA,NA,"Arbusto com 2m, frutos imaturos verdes e face inferior das folhas jovens avermelhadas..","UPCB0020336","UPCB0020336",NA,NA,NA,NA,"2016",NA,NA,"-44.781667","-22.455556",NA,NA,NA
"42","2021-02-11 17:20:09-03","UFPR","UPCB","85753","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Matos, F.A.R. et al.","148","2008","01","27",NA,"Brasil","Espírito Santo","Venda Nova","Propriedade do Sr. Edimar Peterle","-41.080833","-20.398056",NA,NA,NA,"Fruto verde, borda de mata, 2m de alt..","UPCB0020342","UPCB0020342",NA,NA,NA,NA,"2016",NA,NA,"-41.080833","-20.398056",NA,NA,NA
"43","2021-02-11 17:20:09-03","UFPR","UPCB","54018","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Kollmann, R.L.","1062","1998","11","15",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"850","850",NA,"Arbusto 2m, flor branca, folha rosada por baixo. Capoeirão..","UPCB0020338","UPCB0020338",NA,NA,NA,NA,"2016",NA,NA,"9999","9999",NA,NA,NA
"44","2021-02-11 17:20:09-03","UFPR","UPCB","54019","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Kollmann, R.L.","1388","1998","12","29",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"750","750",NA,"Arbusto 3m, fruto verde..","UPCB0020353","UPCB0020353",NA,NA,NA,NA,"2016",NA,NA,"9999","9999",NA,NA,NA
"45","2021-02-11 17:20:09-03","UFPR","UPCB","64465","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Caddah, M.K.","639","2009","08","04",NA,"Brasil","São Paulo","Queluz","Margem do Rio das Cruzes, próximo à pousada Águas da Marambaia",NA,"-22.763056","980","980",NA,"Arvoreta ca. 1,6 m, frutos maduros roxos, coleta em sílica..","UPCB0020347","UPCB0020347",NA,NA,NA,NA,"2016",NA,NA,NA,"-22.763056",NA,NA,NA
"46","2021-02-11 17:20:09-03","UFPR","UPCB","64464","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Caddah, M.K.","638","2009","08","04",NA,"Brasil","São Paulo","Queluz","Margem do Rio das Cruzes, próximo à pousada Águas da Marambaia",NA,"-22.763056","970","970",NA,"Arvoreta ca. 3 m, face abaxial das folhas e inflorescências avermelhadas, lâminas até 50 x 22 cm, inf. jovem com até 26 cm casca externa descamante, coleta em sílica..","UPCB0020339","UPCB0020339",NA,NA,NA,NA,"2016",NA,NA,NA,"-22.763056",NA,NA,NA
