"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class","sex"
"26","2019-10-07 09:19:50-03","UEFS","HUEFS","86443","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Purdie",NA,NA,NA,NA,NA,"Colômbia","Antioquia","Santa Marta.",NA,NA,NA,"HUEFS0086443",NA,NA,NA,NA,NA,NA,"San Miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
"27","2019-10-07 09:19:50-03","UEFS","HUEFS","117156","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Ribeiro, P.L.","140","2005","02",NA,NA,"Brasil","Pernambuco","Próximo a Serra do Ponto.","1235",NA,"Afloramentos de Brejo de altitude.","HUEFS0117156","HUEFS0117156","1235","E.C.Smidt","2007","10",NA,"Brejo da Madre de Deus","-36.405278","-8.196944",NA,NA,"36W24'19''","8S11'49''",NA,NA,NA,"Lilianae",NA
"28","2019-10-07 09:19:50-03","UEFS","HUEFS","70974","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Andrade-Lima","695613","1969","11","29",NA,"Brasil","Pernambuco","Propriedade Fazenda Nova. Serra do Cumunati",NA,NA,NA,"HUEFS0070974","HUEFS0070974",NA,"E.C.Smidt","2007","10",NA,"Águas Belas","-37.1231002807617","-9.11139011383057","36545","auto",NA,NA,NA,NA,NA,"Lilianae",NA
"29","2019-10-07 09:19:50-03","UEFS","HUEFS","96139","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Cardoso, D.","312A","2005","08","25",NA,"Brasil","Bahia","Serra do Orobó.",NA,NA,NA,"HUEFS0096139","HUEFS0096139",NA,"E.C.Smidt","2007","10",NA,"Rui Barbosa","-40.4939002990723","-12.2839002609253","68639","auto",NA,NA,NA,NA,NA,"Lilianae",NA
"30","2019-10-07 09:19:50-03","UEFS","HUEFS","86465","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","sanderianum","Bulbophyllum sanderianum","Rolfe","Sander & Son",NA,"1892","11",NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0086465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
"31","2019-11-22 16:07:57-03","UEFS","HUEFS","99694","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","sanderianum","Bulbophyllum sanderianum","Rolfe","Sander, F.",NA,NA,NA,NA,NA,"Brasil","Pernambuco","s.l.",NA,NA,NA,"HUEFS0099694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holótipo",NA,NA,"Lilianae",NA
"32","2019-07-09 12:46:47-03","F","FMNH-SEEDPLANTS","V0435760F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense",NA,"J. A. Steyermark","111021","1974","10","12","South America","Venezuela","Lara",NA,NA,NA,NA,"V0435760F","V0435760F_01 V0435760F_02",NA,"RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111021",NA,"Monocotyledoneae",NA
"33","2019-07-09 12:43:36-03","F","FMNH-SEEDPLANTS","V0435761F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense",NA,"J. A. Steyermark","55539","1944","2","15","South America","Venezuela",NA,NA,NA,NA,NA,"V0435761F","V0435761F_01",NA,NA,NA,NA,NA,NA,"-65.9119","7.0758",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA
"34","2019-07-09 12:43:36-03","F","FMNH-SEEDPLANTS","V0435762F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense",NA,"J. A. Steyermark & V. Carreño Espinoza","111021","1974","10","12","South America","Venezuela","Lara",NA,NA,NA,NA,"V0435762F","V0435762F_01 V0435762F_02",NA,"RRC ID Flag",NA,NA,NA,NA,"-69.8333","10.1667",NA,NA,NA,NA,NA,"111021",NA,"Monocotyledoneae",NA
"35","2020-08-20 14:54:43-03","UFSC","FLOR","3269","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Bresolin, A.","264","1971","06","25",NA,"Brasil","Santa Catarina","Palmas.","200",NA,"epífito, flor marrom-salpicada","FLOR0003269",NA,"200","Mancinelli, W.S.","2014","07","17","Governador Celso Ramos","-48.5592002868652","-27.3146991729736","13751","auto",NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","sanderianum","Bulbophyllum sanderianum","Rolfe","Sander","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Pernambuco","Habitat in prov. Pernambuco loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","sanderianum","Bulbophyllum sanderianum","Rolfe","Sander","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Pernambuco","Habitat in prov. Pernambuco loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:12:56-03","IBt","SP","45431","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Silva, JF","11","1941","04","15",NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"Mancinelli, WS","2010","07","20","Blumenau","-49.0661010742188","-26.9193992614746","34291","auto",NA,NA,NA,NA,NA,NA,NA
"39","2010-08-16 16:43:06-03","AMES","HU-HERB","AMES 00000579","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","H. G. Reichenbach","N. Funck & L. J. Schlim","735","1846",NA,NA,"South America","Venezuela","Mérida",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drawing of type","735",NA,NA,"undetermined"
"40","2010-08-16 16:43:06-03","AMES","HU-HERB","AMES 00000580","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","H. G. Reichenbach","N. Funck & L. J. Schlim","735","1846",NA,NA,"South America","Venezuela","Mérida",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drawing of type","735",NA,NA,"undetermined"
