original_uicn_name,especie
Aspidosperma cuspa,Aspidosperma cuspa
Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon
Aspidosperma ingratum,Aspidosperma parvifolium
Aspidosperma multiflorum,Aspidosperma multiflorum
Aspidosperma polyneuron,Aspidosperma polyneuron
Aspidosperma pyricollum,Aspidosperma pyricollum
Aspidosperma ramiflorum,Aspidosperma ramiflorum
Aspidosperma subincanum,Aspidosperma subincanum
Aspidosperma tomentosum,Aspidosperma tomentosum
Asplenium formosum,Asplenium formosum
Astrocaryum aculeatissimum,Astrocaryum aculeatissimum
Astronium urundeuva,Astronium urundeuva
Attalea oleifera,Attalea oleifera
Aureliana fasciculata,Athenaea fasciculata
Avena strigosa,Avena strigosa
Avicennia germinans,Avicennia germinans
Avicennia schaueriana,Avicennia schaueriana
Axonopus scoparius,Axonopus scoparius
Baccharis oreophila,Baccharis oreophila
Baccharis punctulata,Baccharis punctulata
Bacopa monnieri,Bacopa monnieri
Balfourodendron riedelianum,Balfourodendron riedelianum
Banara tomentosa,Banara tomentosa
Bathysa mendoncaei,Bathysa mendoncaei
Bathysa stipulata,Bathysa stipulata
Bauhinia cheilantha,Bauhinia cheilantha
Bauhinia forficata,Bauhinia forficata
Bauhinia longifolia,Bauhinia longifolia
Bauhinia pentandra,Bauhinia pentandra
Bauhinia ungulata,Bauhinia ungulata
Bauhinia variegata,Bauhinia variegata
Behuria insignis,Huberia insignis
Beilschmiedia emarginata,Beilschmiedia emarginata
Beilschmiedia fluminensis,Beilschmiedia fluminensis
Bixa arborea,Bixa arborea
Bixa orellana,Bixa orellana
Bixa urucurana,Bixa orellana
Boehmeria caudata,Boehmeria caudata
Boehmeria cylindrica,Boehmeria cylindrica
Boehmeria ulmifolia,Boehmeria ulmifolia
Bougainvillea glabra,Bougainvillea glabra
Bowdichia virgilioides,Bowdichia virgilioides
Brachiaria mutica,Urochloa mutica
Brasiliopuntia brasiliensis,Brasiliopuntia brasiliensis
Bredemeyera floribunda,Bredemeyera floribunda
Bredemeyera hebeclada,Bredemeyera hebeclada
Brosimum glaziovii,Brosimum glaziovii
Brosimum guianense,Brosimum guianense
Brosimum lactescens,Brosimum lactescens
Brugmansia suaveolens,Brugmansia suaveolens
Brunfelsia pauciflora,Brunfelsia pauciflora
Brunfelsia uniflora,Brunfelsia uniflora
Bulbophyllum regnellii,Bulbophyllum regnellii
Bulbostylis capillaris,Bulbostylis capillaris
Bunchosia glandulifera,Bunchosia glandulifera
Bunchosia pallescens,Bunchosia pallescens
Byrsonima basiloba,Byrsonima basiloba
Byrsonima coccolobifolia,Byrsonima coccolobifolia
Byrsonima crassifolia,Byrsonima crassifolia
Byrsonima cydoniifolia,Byrsonima cydoniifolia
Byrsonima guilleminiana,Byrsonima guilleminiana
Byrsonima lancifolia,Byrsonima variabilis
Byrsonima laxiflora,Byrsonima laxiflora
Byrsonima myricifolia,Byrsonima myricifolia
Byrsonima pachyphylla,Byrsonima pachyphylla
Byrsonima perseifolia,Byrsonima perseifolia
Byrsonima sericea,Byrsonima sericea
Byrsonima variabilis,Byrsonima variabilis
Byrsonima verbascifolia,Byrsonima verbascifolia
Cabralea canjerana,Cabralea canjerana
Caesalpinia pulcherrima,Caesalpinia pulcherrima
Calliandra parvifolia,Calliandra parvifolia
Calliandra tweediei,Calliandra tweedii
Callianthe rufinerva,Callianthe rufinerva
Callisthene fasciculata,Callisthene fasciculata
Calophyllum brasiliense,Calophyllum brasiliense
Calycorectes acutatus,Eugenia acutata
Calyptranthes grandifolia,Myrcia loranthifolia
Calyptranthes strigipes,Myrcia strigosa
Calyptranthes widgreniana,Myrcia glomerata
Campomanesia guazumifolia,Campomanesia guazumifolia
Campomanesia neriiflora,Campomanesia neriiflora
Campomanesia phaea,Campomanesia phaea
Campomanesia schlechtendaliana var. schlechtendaliana,Campomanesia schlechtendaliana var. schlechtendaliana
Campomanesia sessiliflora var. sessiliflora,Campomanesia sessiliflora var. sessiliflora
Campomanesia simulans,Campomanesia simulans
Campylocentrum spannagelii,Campylocentrum spannagelii
Capparidastrum frondosum,Capparidastrum frondosum
Cardiospermum halicacabum,Cardiospermum halicacabum
Cariniana legalis,Cariniana legalis
Caryocar brasiliense,Caryocar brasiliense
Casearia aculeata,Casearia aculeata
Casearia arborea,Casearia arborea
Casearia grandiflora,Casearia grandiflora
Casearia lasiophylla,Casearia lasiophylla
Casearia mariquitensis,Casearia mariquitensis
Casearia obliqua,Casearia obliqua
Casearia paranaensis,Casearia paranaensis
Casearia rupestris,Casearia rupestris
Casearia selloana,Casearia selloana
Casearia sylvestris,Casearia sylvestris
Cassia ferruginea,Cassia ferruginea
Cassia grandis,Cassia grandis
Cassia leptophylla,Cassia leptophylla
Cecropia hololeuca,Cecropia hololeuca
Cedrela fissilis,Cedrela fissilis
Cedrela odorata,Cedrela odorata
Ceiba erianthos,Ceiba erianthos
Ceiba pentandra,Ceiba pentandra
Celosia argentea,Celosia argentea
Celtis chichape,Celtis chichape
Celtis ehrenbergiana,Celtis iguanaea
Celtis iguanaea,Celtis iguanaea
Cenchrus latifolius,Cenchrus latifolius
Centrolobium microchaete,Centrolobium microchaete
Centrosema arenarium,Centrosema arenarium
Centrosema macrocarpum,Centrosema macrocarpum
Ceratophyllum demersum,Ceratophyllum demersum
Ceratopteris thalictroides,Ceratopteris thalictroides
Cereus fernambucensis,Cereus fernambucensis
Cereus hildmannianus,Cereus hildmannianus
Cestrum axillare,Cestrum axillare
Cestrum bracteatum,Cestrum bracteatum
Cestrum intermedium,Cestrum intermedium
Cestrum mariquitense,Cestrum mariquitense
Cestrum schlechtendahlii,Cestrum schlechtendalii
Cestrum strigilatum,Cestrum strigilatum
Cestrum subpulverulentum,Cestrum subpulverulentum
Chaetocalyx scandens,Nissolia vincentina
Chamaecrista desvauxii,Chamaecrista desvauxii
Chamaecrista ensiformis,Chamaecrista ensiformis
Chamaecrista glandulosa,Chamaecrista glandulosa
Chamaecrista setosa,Chamaecrista setosa
Chamaecrista trachycarpa,Chamaecrista trachycarpa
Chamaecrista viscosa,Chamaecrista viscosa
Cheiloclinium cognatum,Cheiloclinium cognatum
Chiococca alba,Chiococca alba
Chionanthus filiformis,Chionanthus filiformis
Chloroleucon tenuiflorum,Chloroleucon tenuiflorum
Chloroleucon tortum,Chloroleucon tortum
Chomelia brasiliana,Chomelia brasiliana
Chomelia paniculata,Chomelia pohliana
Chomelia parvifolia,Chomelia brasiliana
Chomelia pedunculosa,Chomelia pedunculosa
Chomelia pohliana,Chomelia pohliana
Chomelia randioides,Chomelia obtusa
Chrysobalanus icaco,Chrysobalanus icaco
Chrysophyllum flexuosum,Chrysophyllum flexuosum
Chrysophyllum gonocarpum,Chrysophyllum gonocarpum
Chrysophyllum imperiale,Chrysophyllum imperiale
Chrysophyllum inornatum,Chrysophyllum inornatum
Chrysophyllum marginatum,Chrysophyllum marginatum
Chrysophyllum viride,Chrysophyllum viride
Chusquea bambusoides,Chusquea bambusoides
Citronella gongonha,Citronella gongonha
Cladium mariscus,Cladium mariscus
Clarisia ilicifolia,Clarisia ilicifolia
Clarisia racemosa,Clarisia racemosa
Cleistes ionoglossa,Cleistes rodriguesii
Clethra scabra,Clethra scabra
Clidemia capitellata,Clidemia capitellata
Clidemia dentata,Clidemia dentata
Clusia lanceolata,Clusia lanceolata
Cnidoscolus oligandrus,Cnidoscolus oligandrus
Cnidoscolus urens,Cnidoscolus urens
Coccoloba declinata,Coccoloba declinata
Coccoloba glaziovii,Coccoloba glaziovii
Coccoloba mollis,Coccoloba mollis
Coccoloba striata,Coccoloba striata
Coccoloba warmingii,Coccoloba warmingii
Cochlospermum regium,Cochlospermum regium
Coelorachis aurita,Mnesithea aurita
Coffea arabica,Coffea arabica
Coleocephalocereus fluminensis,Coleocephalocereus fluminensis
Collaea speciosa,Collaea speciosa
Colubrina glandulosa,Colubrina glandulosa
Combretum laxum,Combretum laxum
Commelina diffusa,Commelina diffusa
Conchocarpus fontanesianus,Conchocarpus fontanesianus
Connarus suberosus,Connarus suberosus
Conocarpus erectus,Conocarpus erectus
Copaifera langsdorffii,Copaifera langsdorffii
Copaifera trapezifolia,Copaifera trapezifolia
Cordia insignis,Cordia insignis
Cordia sellowiana,Cordia sellowiana
Cordia superba,Cordia superba
Cordia taguahyensis,Cordia taguahyensis
Cordia trichotoma,Cordia trichotoma
Cordiera myrciifolia,Cordiera myrciifolia
Couepia leitaofilhoi,Couepia leitaofilhoi
Couepia meridionalis,Couepia meridionalis
Couepia venosa,Couepia venosa
Coussapoa microcarpa,Coussapoa microcarpa
Coussarea accedens,Coussarea accedens
Coussarea bocainae,Coussarea bocainae
Coussarea meridionalis,Coussarea meridionalis
Coutarea hexandra,Coutarea hexandra
Critonia morifolia,Critonia morifolia
Crotalaria lanceolata,Crotalaria lanceolata
Crotalaria micans,Crotalaria micans
Croton alchorneicarpus,Croton alchorneicarpus
Croton hemiargyreus,Croton hemiargyreus
Croton tricolor,Croton tricolor
Croton vulnerarius,Croton vulnerarius
Cryptocarya aschersoniana,Cryptocarya aschersoniana
Cryptocarya mandioccana,Cryptocarya mandioccana
Cryptocarya micrantha,Cryptocarya micrantha
Cryptocarya moschata,Cryptocarya moschata
Cryptocarya saligna,Cryptocarya saligna
Cupania bracteosa,Cupania bracteosa
Cupania emarginata,Cupania emarginata
Cupania oblongifolia,Cupania oblongifolia
Cupania tenuivalvis,Cupania tenuivalvis
Cupania vernalis,Cupania vernalis
Cuphea melvilla,Cuphea melvilla
Cyanocephalus lippioides,Cyanocephalus lippioides
Cybianthus detergens,Cybianthus detergens
Cybianthus goyazensis,Cybianthus goyazensis
Cybianthus peruvianus,Cybianthus peruvianus
Cyclolobium brasiliense,Cyclolobium brasiliense
Cyclopogon longibracteatus,Cyclopogon longibracteatus
Cyclosorus interruptus,Cyclosorus interruptus
Cynophalla flexuosa,Cynophalla flexuosa
Cyperus articulatus,Cyperus articulatus
Cyperus brasiliensis,Cyperus brasiliensis
Cyperus compressus,Cyperus compressus
Cyperus digitatus,Cyperus digitatus
Cyperus distans,Cyperus distans
Cyperus drummondii,Cyperus drummondii
Cyperus eragrostis,Cyperus eragrostis
Cyperus flavescens,Cyperus flavescens
Cyperus haspan,Cyperus haspan
Cyperus hortensis,Cyperus hortensis
Cyperus imbricatus,Cyperus imbricatus
Cyperus iria,Cyperus iria
Cyperus lanceolatus,Cyperus lanceolatus
Cyperus mundii,Cyperus mundtii
Cyperus polystachyos,Cyperus polystachyos
Cyperus rotundus,Cyperus rotundus
Cyperus sesquiflorus,Cyperus sesquiflorus
Cyperus unioloides,Cyperus unioloides
Cyphomandra diploconos,Solanum diploconos
Cyrtopodium brandonianum,Cyrtopodium brandonianum
Dalbergia ecastaphyllum,Dalbergia ecastaphyllum
Dalbergia nigra,Dalbergia nigra
Daphnopsis brasiliensis,Daphnopsis brasiliensis
Daphnopsis coriacea,Daphnopsis coriacea
Daphnopsis fasciculata,Daphnopsis fasciculata
Daphnopsis martii,Daphnopsis martii
Daphnopsis racemosa,Daphnopsis racemosa
Daphnopsis schwackeana,Daphnopsis schwackeana
Daphnopsis utilis,Daphnopsis utilis
Dasyphyllum spinescens,Dasyphyllum spinescens
Delonix regia,Delonix regia
Dendropanax australis,Dendropanax australis
Dendropanax cuneatus,Dendropanax cuneatus
Dendropanax denticulatus,Dendropanax denticulatus
Dendropanax monogynus,Dendropanax monogynus
Dendropanax nebulosus,Dendropanax nebulosus
Desmodium adscendens,Desmodium adscendens
Desmodium barbatum,Desmodium barbatum
Desmodium cajanifolium,Desmodium cajanifolium
Desmodium subsecundum,Desmodium subsecundum
Desmoscelis villosa,Desmoscelis villosa
Dictyoloma vandellianum,Dictyoloma vandellianum
Digitaria horizontalis,Digitaria horizontalis
Digitaria insularis,Digitaria insularis
Digitaria nuda,Digitaria nuda
Digitaria sacchariflora,Digitaria insularis
Dimerostemma asperatum,Dimerostemma lippioides
Dimorphandra mollis,Dimorphandra mollis
Dioscorea trilinguis,Dioscorea trilinguis
Diospyros apeibacarpos,Diospyros apeibacarpos
Diospyros brasiliensis,Diospyros brasiliensis
Diploon cuspidatum,Diploon cuspidatum
Dipteryx alata,Dipteryx alata
Ditassa fontellae,Ditassa bicolor
Dodonaea viscosa,Dodonaea viscosa
Drepanolejeunea aculeata,Drepanolejeunea aculeata
Duguetia furfuracea,Duguetia furfuracea
Duguetia lanceolata,Duguetia lanceolata
Duranta erecta,Duranta erecta
Duranta vestita,Duranta vestita
Ecclinusa ramiflora,Ecclinusa ramiflora
Echinochloa colona,Echinochloa colona
Echinochloa crus-pavonis,Echinochloa crus-pavonis
Echinochloa polystachya,Echinochloa polystachya
Echinochloa walteri,Echinochloa walteri
Eclipta prostrata,Eclipta prostrata
Elaphoglossum hybridum,Elaphoglossum hybridum
Eleocharis acutangula,Eleocharis acutangula
Eleocharis confervoides,Eleocharis confervoides
Eleocharis flavescens,Eleocharis flavescens
Eleocharis geniculata,Eleocharis geniculata
Eleocharis mutata,Eleocharis mutata
Eleocharis sellowiana,Eleocharis sellowiana
Eleusine tristachya,Eleusine tristachya
Endlicheria paniculata,Endlicheria paniculata
Enterolobium contortisiliquum,Enterolobium contortisiliquum
Enterolobium gummiferum,Enterolobium gummiferum
Epidendrum proligerum,Epidendrum proligerum
Epidendrum ramosum,Epidendrum ramosum
Epiphyllum phyllanthus,Epiphyllum phyllanthus
Equisetum giganteum,Equisetum giganteum
Eragrostis hypnoides,Eragrostis hypnoides
Eremanthus erythropappus,Eremanthus erythropappus
Eremanthus mattogrossensis,Eremanthus mattogrossensis
Eremocaulon setosum,Aulonemia setosa
Eriocaulon cinereum,Eriocaulon cinereum
Eriosema crinitum,Eriosema crinitum
Eriotheca pentaphylla,Eriotheca pentaphylla
Erythrina crista-galli,Erythrina crista-galli
Erythrina dominguezii,Erythrina mulungu
Erythrina speciosa,Erythrina speciosa
Erythrina verna,Erythrina verna
Erythroxylum citrifolium,Erythroxylum citrifolium
Erythroxylum cuspidifolium,Erythroxylum cuspidifolium
Erythroxylum daphnites,Erythroxylum daphnites
Erythroxylum gonoclados,Erythroxylum gonocladum
Erythroxylum myrsinites,Erythroxylum myrsinites
Erythroxylum pelleterianum,Erythroxylum pelleterianum
Erythroxylum suberosum,Erythroxylum suberosum
Erythroxylum tortuosum,Erythroxylum tortuosum
Escallonia bifida,Escallonia bifida
Esenbeckia grandiflora,Esenbeckia grandiflora
Esenbeckia leiocarpa,Esenbeckia leiocarpa
Eugenia bacopari,Eugenia bacopari
Eugenia batingabranca,Eugenia batingabranca
Eugenia beaurepairiana,Eugenia beaurepairiana
Eugenia bimarginata,Eugenia bimarginata
Eugenia candolleana,Eugenia candolleana
Eugenia capitulifera,Eugenia viridiflora
Eugenia chlorophylla,Eugenia chlorophylla
Eugenia cinerascens,Eugenia cinerascens
Eugenia cyclophylla,Eugenia astringens
Eugenia dodonaeifolia,Eugenia dodonaeifolia
Eugenia dysenterica,Eugenia dysenterica
Eugenia egensis,Eugenia egensis
Eugenia elongata,Eugenia elongata
Eugenia expansa,Eugenia expansa
Eugenia flavescens,Eugenia flavescens
Eugenia florida,Eugenia florida
Eugenia francavilleana,Eugenia francavilleana
Eugenia fusca,Eugenia fusca
Eugenia handroana,Eugenia handroana
Eugenia handroi,Eugenia handroi
Eugenia hermesiana,Eugenia hermesiana
Eugenia involucrata,Eugenia involucrata
Eugenia ischnosceles,Eugenia ischnosceles
Eugenia kleinii,Eugenia kleinii
Eugenia leptoclada,Eugenia leptoclada
Eugenia longipetiolata,Eugenia longipetiolata
Eugenia macahensis,Eugenia macahensis
Eugenia macrobracteolata,Eugenia macrobracteolata
Eugenia mansoi,Eugenia mansoi
Eugenia melanogyna,Eugenia melanogyna
Eugenia microcarpa,Eugenia pisiformis
Eugenia modesta,Eugenia modesta
Eugenia monosperma,Eugenia monosperma
Eugenia mosenii,Eugenia mosenii
Eugenia multicostata,Eugenia multicostata
Eugenia myrcianthes,Eugenia myrcianthes
Eugenia neoglomerata,Eugenia subglomerata
Eugenia neosilvestris,Eugenia neosilvestris
Eugenia neoverrucosa,Eugenia neoverrucosa
Eugenia oblongata,Eugenia disperma
Eugenia pantagensis,Eugenia pantagensis
Eugenia peruibensis,Eugenia peruibensis
Eugenia piloesis,Eugenia piloensis
Eugenia pithecocephala,Eugenia pithecocephala
Eugenia prasina,Eugenia prasina
Eugenia psidiiflora,Eugenia subterminalis
Eugenia punicifolia,Eugenia punicifolia
Eugenia pyriformis,Eugenia pyriformis
Eugenia repanda,Eugenia repanda
Eugenia sonderiana,Eugenia sonderiana
Eugenia speciosa,Eugenia speciosa
Eugenia squamiflora,Eugenia squamiflora
Eugenia stigmatosa,Eugenia stigmatosa
Eugenia subavenia,Eugenia subavenia
Eugenia sulcata,Eugenia sulcata
Eugenia supraaxillaris,Eugenia supraaxillaris
Eugenia umbrosa,Eugenia umbrosa
Eugenia verticillata,Eugenia verticillata
Eugenia zuccarinii,Eugenia zuccarinii
Eumachia cymuligera,Eumachia cymuligera
Euphorbia comosa,Euphorbia comosa
Euphorbia cotinifolia,Euphorbia cotinifolia
Euplassa hoehnei,Euplassa hoehnei
Euplassa inaequalis,Euplassa inaequalis
Euplassa itatiaiae,Euplassa itatiaiae
Euplassa legalis,Euplassa legalis
Exostyles venusta,Exostyles venusta
Faramea martiana,Faramea stipulacea
Faramea multiflora,Faramea multiflora
Faramea nigrescens,Faramea marginata
Faramea stipulacea,Faramea stipulacea
Faramea truncata,Faramea truncata
Ficus catappifolia,Ficus catappifolia
Ficus crocata,Ficus crocata
Ficus cyclophylla,Ficus cyclophylla
Ficus enormis,Ficus enormis
Ficus eximia,Ficus eximia
Ficus gomelleira,Ficus gomelleira
Ficus hirsuta,Ficus hirsuta
Ficus lagoensis,Ficus lagoensis
Ficus latipedunculata,Ficus latipedunculata
Ficus luschnathiana,Ficus luschnathiana
Ficus monckii,Ficus luschnathiana
Ficus obtusifolia,Ficus obtusifolia
Ficus obtusiuscula,Ficus obtusiuscula
Ficus pertusa,Ficus pertusa
Ficus pulchella,Ficus pulchella
Ficus salzmanniana,Ficus hirsuta
Ficus trigona,Ficus trigona
Fimbristylis autumnalis,Fimbristylis autumnalis
Fimbristylis complanata,Fimbristylis complanata
Fimbristylis cymosa,Fimbristylis cymosa
Fimbristylis dichotoma,Fimbristylis dichotoma
Fimbristylis littoralis,Fimbristylis littoralis
Fuirena umbellata,Fuirena umbellata
Galactia glaucescens,Galactia glaucescens
Galipea jasminiflora,Galipea jasminiflora
Gallesia integrifolia,Gallesia integrifolia
Garcinia brasiliensis,Garcinia brasiliensis
Garcinia gardneriana,Garcinia gardneriana
Gaultheria eriophylla,Gaultheria eriophylla
Gaylussacia brasiliensis,Gaylussacia brasiliensis
Genipa spruceana,Genipa americana
Gliricidia sepium,Gliricidia sepium
Gnaphalium polycaulon,Gnaphalium polycaulon
Gomesa sessilis,Gomesa recurva
Graffenrieda weddellii,Graffenrieda weddellii
Grandiphyllum schunkeanum,Grandiphyllum auricula
Griffinia intermedia,Griffinia intermedia
Guadua paniculata,Guadua paniculata
Guapira graciliflora,Guapira graciliflora
Guapira noxia,Guapira noxia
Guarea guidonia,Guarea guidonia
Guarea macrophylla,Guarea macrophylla
Guatteria australis,Guatteria australis
Guatteria sellowiana,Guatteria sellowiana
Guazuma ulmifolia,Guazuma ulmifolia
Guettarda pohliana,Guettarda pohliana
Guettarda uruguensis,Guettarda uruguensis
Gymnanthes gaudichaudii,Gymnanthes gaudichaudii
Habenaria dusenii,Habenaria dusenii
Habenaria glazioviana,Habenaria glazioviana
Habenaria parviflora,Habenaria parviflora
Habenaria pleiophylla,Habenaria pleiophylla
Halodule emarginata,Halodule emarginata
Halodule wrightii,Halodule wrightii
Hamelia patens,Hamelia patens
Handroanthus albus,Handroanthus albus
Handroanthus heptaphyllus,Handroanthus heptaphyllus
Handroanthus impetiginosus,Handroanthus impetiginosus
Hatiora epiphylloides,Schlumbergera lutea
Hatiora herminiae,Hatiora herminiae
Hatiora salicornioides,Hatiora salicornioides
Hedychium coronarium,Hedychium coronarium
Heisteria perianthomega,Heisteria perianthomega
Heisteria silvianii,Heisteria silvianii
Heliconia farinosa,Heliconia farinosa
Heliotropium curassavicum,Heliotropium curassavicum
Heteropterys byrsonimifolia,Heteropterys byrsonimifolia
Heteropterys eglandulosa,Heteropterys eglandulosa
Heteropterys nervosa,Heteropterys nervosa
Himatanthus obovatus,Himatanthus obovatus
Hiraea fagifolia,Hiraea fagifolia
Hirtella angustifolia,Hirtella angustifolia
Holocalyx balansae,Holocalyx balansae
Holochilus brasiliensis,Holocheilus brasiliensis
Homalolepis cuneata,Homalolepis cuneata
Homalolepis insignis,Homalolepis insignis
Homolepis aturensis,Homolepis aturensis
Hortia brasiliana,Hortia brasiliana
Huberia ovalifolia,Huberia ovalifolia
Humiria balsamifera,Humiria balsamifera
Humiriastrum dentatum,Humiriastrum dentatum
Hydrocotyle bonariensis,Hydrocotyle bonariensis
Hydrocotyle ranunculoides,Hydrocotyle ranunculoides
Hylocereus setaceus,Selenicereus setaceus
Hylocereus undatus,Selenicereus undatus
Hymenaea altissima,Hymenaea altissima
Hymenaea courbaril,Hymenaea courbaril
Hymenaea martiana,Hymenaea martiana
Hyptidendron canum,Hyptidendron canum
Ilex cerasifolia,Ilex cerasifolia
Ilex grandis,Ilex integerrima
Ilex integerrima,Ilex integerrima
Ilex microdonta,Ilex microdonta
Ilex paraguariensis,Ilex paraguariensis
Ilex pseudobuxus,Ilex pseudobuxus
Ilex taubertiana,Ilex taubertiana
Indigofera asperifolia,Indigofera asperifolia
Inga barbata,Inga barbata
Inga bullata,Inga bullata
Inga capitata,Inga capitata
Inga edulis,Inga edulis
Inga ingoides,Inga ingoides
Inga lanceifolia,Inga lanceifolia
Inga laurina,Inga laurina
Inga lenticellata,Inga lenticellata
Inga lentiscifolia,Inga lentiscifolia
Inga marginata,Inga marginata
Inga praegnans,Inga praegnans
Inga schinifolia,Inga schinifolia
Inga sellowiana,Inga sellowiana
Inga striata,Inga striata
Inga subnuda,Inga subnuda
Inga thibaudiana,Inga thibaudiana
Inga vera,Inga vera
Ipomoea cynanchifolia,Ipomoea cynanchifolia
Ipomoea grandifolia,Ipomoea triloba
Ipomoea ramosissima,Ipomoea ramosissima
Ipomoea rubens,Ipomoea rubens
Ipomoea tiliacea,Ipomoea tiliacea
Ischaemum rugosum,Ischaemum rugosum
Ixora brevifolia,Ixora brevifolia
Ixora gardneriana,Ixora gardneriana
Ixora schottiana,Ixora schottiana
Jacaranda caroba,Jacaranda caroba
Jacaranda cuspidifolia,Jacaranda cuspidifolia
Jacaranda micrantha,Jacaranda micrantha
Jacaranda puberula,Jacaranda puberula
Jacaranda rufa,Jacaranda rufa
Jatropha curcas,Jatropha curcas
Jatropha gossypiifolia,Jatropha gossypiifolia
Joannesia princeps,Joannesia princeps
Kielmeyera lathrophyton,Kielmeyera lathrophyton
Kyllinga brevifolia,Cyperus brevifolius
Lacistema aggregatum,Lacistema aggregatum
Lacistema lucidum,Lacistema lucidum
Lacistema pubescens,Lacistema pubescens
Lacistema serrulatum,Lacistema serrulatum
Lafoensia pacari,Lafoensia pacari
Laguncularia racemosa,Laguncularia racemosa
Lamanonia cuneata,Lamanonia cuneata
Lamanonia ternata,Lamanonia ternata
Lamanonia ulei,Lamanonia ulei
Lankesterella gnomus,Lankesterella gnoma
Laplacea fruticosa,Laplacea fruticosa
Lasiacis divaricata,Lasiacis divaricata
Laurembergia tetrandra,Laurembergia tetrandra
Leandra acutiflora,Leandra acutiflora
Leandra amplexicaulis,Leandra amplexicaulis
Leandra barbinervis,Leandra barbinervis
Leandra brackenridgei,Leandra brackenridgei
Leandra clidemioides,Leandra clidemioides
Leandra lancifolia,Leandra aurea
Leandra melastomoides,Leandra melastomoides
Leandra multiplinervis,Leandra multiplinervis
Leandra pilonensis,Leandra brackenridgei
Leandra purpureo-villosa,Leandra purpureovillosa
