"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"11","2020-11-04 11:14:33-03","ESALQ","ESA","16461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Fernandes, T.M.","Tamashiro, J.Y.; Gabrielli, A.C.; Santos, F.A.M.; Rodrigues, R.R.","18815.0",NA,"Brasil","São Paulo","Teodoro Sampaio",NA,"-52.1599998474121","-22.5300006866455",NA,NA,"ESA016461","ESA016461","1986","12","02",NA,NA,NA,NA,NA,"2011",NA,"54606","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:14:33-03","ESALQ","ESA","16444","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Fernandes, T.M.","Tamashiro, J.Y.; Gabrielli, A.C.; Santos, F.A.M.; Rodrigues, R.R.","18815.0",NA,"Brasil","São Paulo","Teodoro Sampaio",NA,"-52.1599998474121","-22.5300006866455",NA,NA,"ESA016444","ESA016444","1986","12","02",NA,NA,NA,NA,NA,"2011",NA,"54606","auto",NA,NA,NA,NA,NA
"13","2020-11-04 11:14:33-03","ESALQ","ESA","128843","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima",NA,"Souza, V.C.","Colletta, G.D.","1208.0",NA,"Brasil","São Paulo","Ilhabela","Trilha de Castelhanos, próximo a guarita","-45.3499984741211","-23.7700004577637",NA,"Árvore, 7m, botões alvos","ESA128843",NA,"2013","06","15",NA,NA,NA,NA,NA,"2013",NA,"23719","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:14:34-03","ESALQ","ESA","98256","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D. Legrand","Mazine, F.F.","Souza, L.F.","2655.0",NA,"Brasil","Goiás","Serranópolis",NA,"-51.9622001647949","-18.3061008453369",NA,NA,"ESA098256",NA,"2005","10","01",NA,NA,NA,NA,NA,"2007",NA,"86936","auto",NA,NA,NA,NA,NA
"15","2020-11-04 11:14:34-03","ESALQ","ESA","98255","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D. Legrand","Mazine, F.F.","Souza, L.F.","1303.0",NA,"Brasil","Goiás","Serranópolis",NA,"-51.9622001647949","-18.3061008453369",NA,NA,"ESA098255",NA,"2005","10","01",NA,NA,NA,NA,NA,"2007",NA,"86936","auto",NA,NA,NA,NA,NA
"16","2021-01-14 15:32:11-03","MN","R","25179","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Freire Allemão, F. 706; Cysneiros, M.",NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010054490","R010054490_001","1862","02","20",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-31 13:40:32-03","MN","R","25229","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M.","Freire Allemão, F.",NA,NA,"Brasil","Ceará","Aracati",NA,"-37.7696990966797","-4.56166982650757",NA,NA,"R010054487","R010054487_001 R010054487_002 R010054487_003 R010054487_004","1859","08",NA,NA,NA,NA,NA,NA,"2010",NA,"56389","auto",NA,NA,NA,NA,NA
"18","2019-08-28 09:36:51-03","IPA","IPA","91440","S","Plantae","Plantae",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Silva, A.G.","Gonçalves, J. .P.","s.n.","Southern America","Brasil","Pernambuco","Exu","Chapada do Araripe, Sítio Agrodora, Av. Edmundo Dantas 985","-39.7242012023926","-7.51194000244141",NA,"Material Botânico em estudo na UFPE para fim de tese de Doutorado da aluna Joelma Pessoa Gonçalves, sob a orientação da Profª Márcia Vanusa.; Arbusto.; Caatinga","IPA0091440",NA,"2016","07",NA,NA,NA,NA,NA,NA,"2016","09","29194","auto",NA,NA,NA,NA,NA
"19","2019-02-15 11:46:16-02","IPA","IPA","49145","S","Plantae","Plantae",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M.","Lima, V.C.","371","Southern America","Brasil","Pernambuco","Araripina","próximo à casa de farinha, divisa Araripina/Ipubi.","-40.4982986450195","-7.57610988616943",NA,"Arboreta 2m de altura. Botões branco-amarelados.; Caatinga (capoeira rala).","IPA0049145",NA,"1987","08","07",NA,NA,NA,NA,NA,"2006",NA,"41571","auto",NA,NA,NA,NA,NA
"20","2019-07-26 11:40:46-03","IPA","IPA","78992","S","Plantae","Plantae",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Marcos Sobral","Gomes, A.S.","s.n.","Southern America","Brasil","Pernambuco","Buíque","Vale do Catimbau","-37.1557998657227","-8.62306022644043",NA,"Material botânico a ser tombado no Herbário-IPA com a finalidade de atender trabalhos diversos na área de Bioquímica e Farmácia da UFPE.","IPA0078992",NA,"2016","07",NA,NA,NA,NA,NA,NA,"2019","02","38964","auto",NA,NA,NA,NA,NA
"21","2019-07-26 11:40:46-03","IPA","IPA","78997","S","Plantae","Plantae",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Marcos Sobral","Gomes, A.S.","s.n.","Southern America","Brasil","Pernambuco","Buíque","Vale do Catimbau","-37.1557998657227","-8.62306022644043",NA,"Material botânico a ser tombado no Herbário-IPA com a finalidade de atender trabalhos diversos na área de Bioquímica e Farmácia da UFPE.","IPA0078997",NA,"2016","07",NA,NA,NA,NA,NA,NA,"2019","02","38964","auto",NA,NA,NA,NA,NA
"22","2019-07-26 11:40:46-03","IPA","IPA","78998","S","Plantae","Plantae",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Marcos Sobral","Gomes, A.S.","s.n.","Southern America","Brasil","Pernambuco","Buíque","Vale do Catimbau","-37.1557998657227","-8.62306022644043",NA,"Material botânico a ser tombado no Herbário-IPA com a finalidade de atender trabalhos diversos na área de Bioquímica e Farmácia da UFPE.","IPA0078998",NA,"2016","07",NA,NA,NA,NA,NA,NA,"2019","02","38964","auto",NA,NA,NA,NA,NA
"23","2021-04-07 11:46:29-03","UFMS","CGMS","63548","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.",NA,"G. Hatschbach; C. Koczicki","33198",NA,"Brasil","Mato Grosso","Itiquira","Rio Corrente.","-54.1502990722656","-17.2089004516602",NA,"Flor alva. Habitat: Cerrado. Habito: Arbusto. 2 m de altura.","CGMS1096516",NA,"1973","11","14",NA,NA,NA,NA,NA,"2021",NA,"148503","auto",NA,NA,NA,NA,NA
"24","2021-04-07 11:46:29-03","UFMS","CGMS","22347","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","M. Sobral","B.G. Fina","222",NA,"Brasil","Mato Grosso do Sul","Aquidauana",NA,"-55.7872009277344","-20.4710998535156",NA,"Flores presentes. Habitat: Cerrado. Habito: Arbóreo. 2,00 m de altura.","CGMS1051758",NA,"2002","08","23",NA,NA,NA,NA,NA,NA,NA,"212961","auto",NA,NA,NA,NA,NA
"25","2021-04-07 11:46:29-03","UFMS","CGMS","2138","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","M. Sobral","C.A. Conceição","2523",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Chácara Cambará, estrada do aero rural.","-54.6464004516602","-20.4428005218506",NA,"Flores alvas. Folhas coreáceas, heliofila. Filotaxia alterna. Habitat: Cerrado. Solo arenoso. Habito: Subarbusto. 0,50-0,80m de altura.","CGMS1016712",NA,"1989","09","02",NA,NA,NA,NA,NA,NA,NA,"161190","auto",NA,NA,NA,NA,NA
"26","2021-03-01 16:36:15-03","UNICAMP","UEC","45017","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Mazine, FF","Tamashiro, JY; Gabrielli, AC; Santos, FAM; Rodrigues, RR","18815",NA,"Brazil","São Paulo","Teodoro Sampaio","Reserva do Morro do Diabo","-52.1599998474121","-22.5300006866455",NA,"Arvoreta de 6m, frutos maduros amrelos e imaturos verdes.","UEC065911",NA,"1986","12","02",NA,NA,NA,NA,NA,"2013","04","54606","auto",NA,NA,"16",NA,NA
"27","2021-03-01 16:36:19-03","UNICAMP","UEC","86971","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand","Sobral, M","Franco, GADC","1308",NA,"Brazil","São Paulo","Teodoro Sampaio","Parque Estadual do Morro do Diabo, estrada do 7000, na margem do caminho.","-52.1599998474121","-22.5300006866455",NA,"Arvoreta 3m alt., frutos imaturos verdes e maduros amarelados.",NA,NA,"1994","12","07",NA,NA,NA,NA,NA,"2003",NA,"54606","auto",NA,NA,NA,NA,NA
"28","2020-10-14 10:03:22-03","FURB","FURB","20636","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Dreveck, S.; Carneiro, F.E.","1888",NA,"Brasil","Santa Catarina","Itá","Fonte Preta.","-52.4213889","-27.2230556",NA,"Fito IFFSC 1861 /L/17 Habitat: Floresta Estacional Decidual; Estágio médio de regeneração Habito: arbórea;","FURB32174","FURB32174","2009","02","23","540","540",NA,"-52.4213889","-27.2230556","2010","01",NA,NA,NA,NA,"25",NA,NA
"29","2019-11-08 08:53:47-03","FURB","FURB","3231","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Sevegnani, L.",NA,NA,"Brasil","Santa Catarina","Indaial","Morro Geisler.","-49.2230556","-26.8966666",NA,NA,"FURB32175","FURB32175","1999","10","09",NA,NA,NA,"-49.2230556","-26.8966666","2009","07",NA,NA,NA,NA,"17",NA,NA
"30","2019-11-08 08:53:47-03","FURB","FURB","1425","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Jarenkow, J.A.",NA,NA,"Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.9063987731934","-27.4617004394531",NA,NA,"FURB02442","FURB02442","1988","10","01",NA,NA,NA,NA,NA,"2009","07","18635","auto",NA,NA,"17",NA,NA
"31","2021-03-16 17:53:52-03","UCS","HUCS","44538","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Grings, M.","Grings, M.","1884",NA,"Brasil","Rio Grande do Sul","Taquara","limite com o município de Igrejinha-RS, vale do arroio Três Irmãos- Rochedo","-50.7806015014648","-29.6506004333496",NA,"arvoreta de 5 m de altura; flores brancas e frutos passados.&nf;; em floresta ciliar de arroio Três Irmãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22252","auto",NA,NA,NA,NA,NA
"32","2021-03-21 19:37:33-03","UFC","EAC","51300","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M.","Araújo, D.","s.n.","Southern America","Brasil","Pernambuco","Exu",NA,"-39.7242012023926","-7.51194000244141",NA,"Arbusto; flor branca.; Caatinga","EAC0051300","EAC0051300","2011","02",NA,NA,NA,NA,NA,NA,"2013",NA,"29194","auto",NA,NA,NA,NA,NA
"33","2021-03-21 19:37:33-03","UFC","EAC","59664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M.","Ramalho, F.B.","340","Southern America","Brasil","Piaui","Canto do Buriti","fazenda Baixa Verde.","-42.9444007873535","-8.10999965667725",NA,"Árvore, ca. 8 m, flores alvas, perfume agradável.","EAC0059664","EAC0059664","1974","06","11",NA,NA,NA,NA,NA,"2012",NA,"120640","auto",NA,NA,NA,NA,NA
"34","2021-03-21 19:37:33-03","UFC","EAC","49540","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Lima-Verde, L.W.","Lima-Verde, L.W.","3602","Southern America","Brasil","Ceará","Guaramiranga","Pico Alto, Estrada linha da serra.","-38.974361","-4.209472",NA,"Fanerófito, hábito arbóreo, flor branca, estudo polínico, n° 187.; Mata ombrófila","EAC0049540","EAC0049540","2009","02","26","1015","1015",NA,"-38.974361","-4.209472","2018","05",NA,NA,NA,NA,"23",NA,NA
"35","2020-12-21 16:36:30-03","MBM","MBM","179358","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M.","Carvalho, A.M. de; et al.; et al.","4026","Southern America","Brazil","Bahia","Barreiras","Estrada para o aeroporto","-44.9900016784668","-12.1527996063232",NA,NA,"MBM179358","MBM179358","1992","06","11",NA,NA,NA,NA,NA,NA,NA,"152720","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:36:32-03","MBM","MBM","53802","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand","Mattos; Legrand, D.","Hatschbach, G.","9300","Southern America","Brazil","Paraná","Adrianópolis","Barra Grande, Margens do Rio Ribeira","-48.9911003112793","-24.6571998596191",NA,"Árvore 6m, flor alva; mata pluvial das margens do Rio Ribeira; Árvore 6m, flor alva.; Mata pluvial das margens do Rio Ribeira.","MBM053802","MBM053802","1962","09","24","150","150","ISOTYPE",NA,NA,NA,NA,"49901","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:36:32-03","MBM","MBM","121003","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand","Sobral, M.","Cervi, A.C.; Hatschbach, G.; Hatschbach, G.","2433","Southern America","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,"MBM121003","MBM121003","1986","12","05",NA,NA,NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:36:32-03","MBM","MBM","271078","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand","Sobral, M.","Jarenkow, J.A.","914","Southern America","Brazil","Rio Grande do Sul","Marcelino Ramos","Marcelino Rmos","-51.9063987731934","-27.4617004394531",NA,NA,"MBM271078","MBM271078","1988","10",NA,NA,NA,NA,NA,NA,NA,NA,"18635","auto",NA,NA,NA,NA,NA
"39","2020-12-21 16:36:34-03","MBM","MBM","194243","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","multipunctata","Eugenia multipunctata","Mattos & D.Legrand","Sobral, M.","Mendes, S.W.; et al.; et al.","s.n.","Southern America","Brazil","Mato Grosso do Sul","Jateí","Rio Ivinheima, Lagoa Raimundo","-54.3025016784668","-22.4818992614746",NA,NA,"MBM194243","MBM194243","1988","08","25",NA,NA,NA,NA,NA,NA,NA,"85335","auto",NA,NA,NA,NA,NA
"40","2020-12-21 16:36:36-03","MBM","MBM","6533","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","multipunctata","Eugenia multipunctata","Mattos & D.Legrand","Sobral, M.","Hatschbach, G.","17885","Southern America","Brazil","Paraná","Campina Grande do Sul","Ribeirão Grande","-49.0553016662598","-25.3055992126465",NA,NA,"MBM006533","MBM006533","1967","11","16",NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
"41","2020-12-21 16:36:36-03","MBM","MBM","63625","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","multipunctata","Eugenia multipunctata","Mattos & D.Legrand","Sobral, M.","Kummrow, R.","1306","Southern America","Brazil","Paraná","Curitiba","Parque do rio Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,"MBM063625","MBM063625","1979","12","27",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"42","2020-12-21 16:36:36-03","MBM","MBM","53821","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","multipunctata","Eugenia multipunctata","Mattos & D.Legrand","Legrand, D.","Hatschbach, G.","17013","Southern America","Brazil","Paraná","Umuarama","Serra Dourada","-53.3250007629395","-23.7663993835449",NA,"Arbusto, flor alva, mata pluvial; Arbusto, flor alva.; Mata pluvial.","MBM053821","MBM053821","1967","08","17",NA,NA,"ISOTYPE",NA,NA,NA,NA,"46517","auto",NA,NA,NA,NA,NA
"43","2020-12-21 16:36:36-03","MBM","MBM","229816","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Silva, J.M.; Barboza, E.; Abe, L.M.; Barboza, E.; Abe, L.M.","2484","Southern America","Brazil","Paraná","Diamante do Norte","Estação Ecológica de Caiuá","-52.8596992492676","-22.656400680542",NA,NA,"MBM229816","MBM229816","1998","09","05",NA,NA,NA,NA,NA,NA,NA,"16110","auto",NA,NA,NA,NA,NA
"44","2020-12-21 16:36:36-03","MBM","MBM","10507","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Lindeman, J.; Haas, H.; Haas, H.","1631","Southern America","Brazil","Paraná","Xambrê","Xambrê","-53.4900016784668","-23.7360992431641",NA,NA,"MBM010507","MBM010507","1966","06","18",NA,NA,NA,NA,NA,NA,NA,"25930","auto",NA,NA,NA,NA,NA
"45","2020-12-21 16:36:36-03","MBM","MBM","200989","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Carneiro, J.","306","Southern America","Brazil","Paraná","Planaltina","Fazenda Recanto do Boi",NA,NA,NA,NA,"MBM200989","MBM200989","1996","09","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:36:36-03","MBM","MBM","93337","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Hatschbach, G.","48045","Southern America","Brazil","Bahia","Mucugê","Vereda Grande","-41.3708000183105","-13.0052995681763",NA,NA,"MBM093337","MBM093337","1984","06","18",NA,NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"47","2020-12-21 16:36:36-03","MBM","MBM","31081","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Hatschbach, G.; Koczicki, C.; Koczicki, C.","33198","Southern America","Brazil","Mato Grosso","Itiquira","Rio Corrente","-54.1502990722656","-17.2089004516602",NA,NA,"MBM031081","MBM031081","1973","11","14",NA,NA,NA,NA,NA,NA,NA,"148503","auto",NA,NA,NA,NA,NA
"48","2020-12-21 16:36:36-03","MBM","MBM","239228","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Kawasaki, M.L.","Silva, J.M.; Barboza, E.; Abe, L.M.; Barboza, E.; Abe, L.M.","2484","Southern America","Brazil","Paraná","Diamante do Norte","Estação Ecológica de Caiuá","-52.8596992492676","-22.656400680542",NA,NA,"MBM239228","MBM239228","1998","09","05",NA,NA,NA,NA,NA,NA,NA,"16110","auto",NA,NA,NA,NA,NA
"49","2020-12-21 16:36:36-03","MBM","MBM","14382","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral","Sobral, M.","Lindeman, J.; Haas, H.; Haas, H.","1562","Southern America","Brazil","Paraná","Xambrê","Xambrê","-53.4900016784668","-23.7360992431641",NA,NA,"MBM014382","MBM014382","1966","06","15",NA,NA,NA,NA,NA,NA,NA,"25930","auto",NA,NA,NA,NA,NA
