"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","infraspecificEpithet","scientificNameAuthorship","imagecode","county","identifiedBy","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"17","2021-03-15 16:37:00-03","NY","NYBG","594935","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","decorticans","Eugenia decorticans",NA,"G. Jönsson","1188a","1914","10","23","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594935","Desvio Rileas, Turma 23",NA,NA,NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00594935_01",NA,"F. F. Mazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00907446","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","decorticans","Eugenia decorticans",NA,"E. P. Heringer","7049","1981","06","15","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907446","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907446_01","Brasília","F. F. Mazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","557973","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","decorticans","Eugenia decorticans",NA,"P. K. H. Dusén","9729","1910","04","19","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557973","Jaguariahyva","-49.713647","-24.340602",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00557973_01","Jaguariaíva","F. F. Mazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","404904","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","diantha","Eugenia diantha glabra","type","G. Gardner","1014","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404904","Brasilia",NA,NA,NA,NA,"Magnoliophyta","Myrtales","glabra","O.Berg","NY00404904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","404905","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","diantha","Eugenia diantha glabra","isotype","G. Gardner","III1014","1837",NA,NA,"South America","Brazil","Pernambuco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404905",NA,NA,NA,NA,NA,"Magnoliophyta","Myrtales","glabra","O.Berg","NY00404905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00907291","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","diantha","Eugenia diantha",NA,"Y. E. J. Mexia","5111","1930","09","27","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907291","Viçosa, Agricultural College lands. Hill northwest of main building","-42.8819007873535","-20.7539005279541",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907291_01","Viçosa","P. C. Standley","13937","675","675","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","404904","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","diantha","Eugenia diantha glabra","type","G. Gardner","1014","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404904","Brasilia",NA,NA,NA,NA,"Magnoliophyta","Myrtales","glabra","O.Berg","NY00404904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","404905","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","diantha","Eugenia diantha glabra","isotype","G. Gardner","III1014","1837",NA,NA,"South America","Brazil","Pernambuco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404905",NA,NA,NA,NA,NA,"Magnoliophyta","Myrtales","glabra","O.Berg","NY00404905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","404938","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kunthiana","Eugenia kunthiana","syntype","Martii Herbar. Florae Brasil.","1227",NA,NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404938","Cachoeira de Campo","-43.5081","-20.2878",NA,NA,"Magnoliophyta","Myrtales",NA,"DC.","NY00404938_01","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00907685","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","5156","1964","08","15","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907685","Universidade de Brasília.","-47.875","-15.758",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907685_01","Brasília","C. M. D. E. Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00907687","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","8906","1965","10","03","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907687","Vicinity of Planaltina","-47.67","-15.62",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907687_01","Brasília","C. M. D. E. Legrand",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00907663","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","7981","1965","09","05","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907663","Chapada da Contagem, ca. 50 km N.E. of Brasília","-47.58674","-15.46379",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907663_01","Brasília","C. M. D. E. Legrand",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00907664","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","11821","1966","01","19","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907664","Serra Dourada, near summit, Serra Dourada, ca. 20 km S.E. of Goiás Velho","-50.00111111","-16.0611",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907664_01","Goiás","C. M. D. E. Legrand",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00907665","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","12654","1966","02","12","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907665","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907665_01","Alto Paraíso de Goiás","C. M. D. E. Legrand",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-10-19 09:54:00-02","NY","NYBG","1552481","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"M. L. Kawasaki","CFCR6610","1984","11","29","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947605' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552481","5 km de Itacambira, a leste da cidade, na estrada para Montes Claros","-43.3089","-17.0647",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"NY01552481_01","Itacambira","F. F. Mazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00907686","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","linearifolia","Eugenia linearifolia",NA,"H. S. Irwin","8254","1965","09","13","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907686","Summit of Chapada da Contagem, ca. 10 km. E. of Brasília.","-47.82337","-15.7833",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907686_01","Brasília","C. M. D. E. Legrand",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01095788","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","maximiliana","Eugenia maximiliana",NA,"A. M. Amorim","1140",NA,NA,NA,"South America","Brazil","Bahia","sheet",NA,"Site: Picada paralela ao Rio Maruim <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095788","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 8-10 Kms na estrada que margeia ao Rio Maruim. Picada paralela ao rio Maruim.","-39.08","-15.15",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY01095788_01","Una","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02714783","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","maximiliana","Eugenia maximiliana",NA,"J. G. Jardim","174","1993","07","13","South America","Brazil","Bahia","sheet",NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654731' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714783","Una Biological Reserve. Entrada no km 46 da Rod. BA-001 Ilhéus-Una","-39.08","-15.15",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY02714783_01","Una","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00749341","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","nhanica","Eugenia nhanica",NA,"H. S. Irwin","12936","1966","02","16","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=890085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749341","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167",NA,NA,"Magnoliophyta","Myrtales",NA,"Cambess.","NY00749341_01","Alto Paraíso de Goiás","C. M. D. E. Legrand",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","580014","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","ovalifolia","Eugenia ovalifolia",NA,"A. M. S. da F. Vaz","452","1987","06","30","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580014","Grumari.","-43.2075","-22.9028",NA,NA,"Magnoliophyta","Myrtales",NA,"Cambess.","NY00580014_01","Rio de Janeiro","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","580016","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","ovalifolia","Eugenia ovalifolia",NA,"H. C. de Lima","657","1978","09","12","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580016","Restinga da Praia de Carapebres.","-41.7867","-22.3708",NA,NA,"Magnoliophyta","Myrtales",NA,"Cambess.","NY00580016_01","Macaé","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","580015","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","ovalifolia","Eugenia ovalifolia",NA,"B. D. Sucre","8054","1971","12","10","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580015","Estado da Guanabara, Restinga da Tijuca.","-43.36594","-23.011012",NA,NA,"Magnoliophyta","Myrtales",NA,"Cambess.","NY00580015_01",NA,"G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","580013","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","ovalifolia","Eugenia ovalifolia",NA,"G. B. Fontenelle","s.n.","1987","09","23","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580013",NA,"-42.8183","-22.9194",NA,NA,"Magnoliophyta","Myrtales",NA,"Cambess.","NY00580013_01","Maricá","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1019253","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platyclada","Eugenia platyclada",NA,"R. Fonseca","34","2005","05","19","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019253","Px. a fonte da murutiba.","-41.4","-12.55",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY01019253_01","Lençóis","L. S. Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00907520","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","polyphylla","Eugenia polyphylla",NA,"H. S. Irwin","22832","1969","01","29","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907520","Ca. 7km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.57","-18.2",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907520_01",NA,"C. M. D. E. Legrand",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","580123","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","polyphylla","Eugenia polyphylla",NA,"B. D. Sucre","11302","1981","08",NA,"South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580123","Saquarema","-42.5103","-22.9203",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00580123_01","Saquarema","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00907522","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","polyphylla","Eugenia polyphylla",NA,"H. S. Irwin","14391","1966","04","05","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907522","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13",NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00907522_01","Posse","C. M. D. E. Legrand",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
