"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"22","2020-12-21 16:16:30-03","MBM","MBM","27016","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","31068","1972","12","28","Southern America","Brazil",NA,NA,"Erva ereta, capítulos amarelos.; Do brejo.","MBM027016",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","São José dos Pinhais","Rio Itaqui","-49.2064018249512","-25.5347003936768","MBM027016",NA,NA,"2010","45291","auto",NA,NA,NA,"07","30",NA,NA,NA
"23","2020-12-21 16:16:30-03","MBM","MBM","79439","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Kummrow, R.","2143","1982","12","28","Southern America","Brazil",NA,NA,"Ereta, 60 cm, capítulo e lígulas amarelos.; Sobre <em>Cyatheaceae</em>. Brejo","MBM079439",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","MBM079439",NA,NA,"2010","45291","auto",NA,NA,NA,"07","30",NA,NA,NA
"24","2020-12-21 16:16:30-03","MBM","MBM","191245","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.; Moreira, E.; Moreira, E.","6591","1959","12","04","Southern America","Brazil",NA,NA,"Erva ereta, 1-1,5 m. Capítulos amarelos.; Do brejo.","MBM191245",NA,NA,"(Less.) Zardini","Hatschbach, G.","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","MBM191245",NA,NA,"1959","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:16:30-03","MBM","MBM","17487","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","23205","1969","12","12","Southern America","Brazil",NA,NA,"Capítulos amarelos.; Do brejo.","MBM017487",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","MBM017487","950","950","2010","45291","auto",NA,NA,NA,"07","30",NA,NA,NA
"26","2020-12-21 16:16:30-03","MBM","MBM","009038","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.; Fontella, J.P.; Fontella, J.P.","20788","1969","01","17","Southern America","Brazil",NA,NA,"Sub-arbusto, capítulos amarelos, altura 50 cm.; Do brejo.","MBM009038",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","MBM009038",NA,NA,"2010","45291","auto",NA,NA,NA,"07","30",NA,NA,NA
"27","2020-12-21 16:16:30-03","MBM","MBM","356587","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Ribas, O.S.; Cordeiro, J.; Silva, J.M.; Vaz, J.; Cordeiro, J.; Silva, J.M.; Vaz, J.","8387","2010","01","24","Southern America","Brazil",NA,NA,"Ereta até 70 cm, capítulos e lígulas amarelos.; Campo turfoso e úmido do alto do morro.","MBM356587",NA,NA,"(Less.) Zardini","Robinson, H.; Smith, S.F.","Paraná","Tijucas do Sul","Serra Papanduva","-49.1988983154297","-25.9281005859375","MBM356587","1670","1670","2010","25228","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:16:30-03","MBM","MBM","381463","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Barboza, E.; Santos, E.L. dos; Bohrer, P.; Picoli, A.C.; Santos, E.L. dos; Bohrer, P.; Picoli, A.C.","3529","2013","01","29","Southern America","Brazil",NA,NA,"Herbácea, 70 cm, capítulos amarelos.; Campo de altitude.","MBM381463",NA,NA,"(Less.) Zardini","Barboza, E.","Santa Catarina","Garuva","Campos do Quiriri","-48.8549995422363","-26.0266990661621","MBM381463",NA,NA,"2013","22441","auto",NA,NA,NA,"02",NA,NA,NA,NA
"29","2020-12-21 16:16:30-03","MBM","MBM","366843","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Barboza, E.; Silva, J.M.; Costa, E.F.; Silva, J.M.; Costa, E.F.","3041","2011","02","12","Southern America","Brazil",NA,NA,"Planta ereta, 70 cm, capítulo amarelo.; Campo de altitude.","MBM366843",NA,NA,"(Less.) Zardini","Barboza, E.","Santa Catarina","Garuva","Serra do Quiriri","-48.8549995422363","-26.0266990661621","MBM366843","1400","1400","2011","22441","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:16:30-03","MBM","MBM","42539","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","2728","1952","01","20","Southern America","Brazil",NA,NA,"Flor amarela.; Do brejo. Grande maioria crescendo sobre xaxins.","MBM042539",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895","MBM042539",NA,NA,"2010","12577","auto",NA,NA,NA,"07","30",NA,NA,NA
"31","2020-12-21 16:16:30-03","MBM","MBM","318462","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","4750","2006","05","18","Southern America","Brazil",NA,NA,"Erva 50 cm, capítulo amarelo.; Depressão turfosa e úmida.","MBM318462",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM318462",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"32","2020-12-21 16:16:30-03","MBM","MBM","28847","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","33669","1974","01","17","Southern America","Brazil",NA,NA,"Lígulas amarelas.; Do brejo. Solo preto turfoso.","MBM028847",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"33","2020-12-21 16:16:30-03","MBM","MBM","113665","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Hatschbach, G.; Hatschbach, G.","288","1987","01","20","Southern America","Brazil",NA,NA,"Capítulos amarelos.; Pequeno campo graminoso turfoso junto a <em>Eryngium</em>, <em>Rechsteineria, <em>Tibouchina.</em>.","MBM113665",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM113665",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"34","2020-12-21 16:16:30-03","MBM","MBM","8848","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","20688","1969","01","09","Southern America","Brazil",NA,NA,"Flor amarela.; Do brejo (campo ácido).","MBM008848",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM008848","850","850","2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"35","2020-12-21 16:16:30-03","MBM","MBM","339101","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","6345","2008","02","05","Southern America","Brazil",NA,NA,"Ereta, capítulo amarelo-alaranjado.; Brejo.","MBM339101",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM339101",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"36","2020-12-21 16:16:30-03","MBM","MBM","255621","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Ribas, O.S.; Poliquesi, C.B.; Silva, J.M.; Costa, E.F.; Poliquesi, C.B.; Silva, J.M.; Costa, E.F.","3348","2001","03","03","Southern America","Brazil",NA,NA,"Ereta, 60 cm, capítulo e lígulas amarelos.; Campo de altitude.","MBM255621",NA,NA,"(Less.) Zardini","Pasini, E.","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.2655982971191","-26.1924991607666","MBM255621","1400","1400","2010","37493","auto",NA,NA,NA,"07","30",NA,NA,NA
"37","2020-12-21 16:16:30-03","MBM","MBM","324517","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Andrade, C.A.; Andrade, C.A.","5457","2006","12","20","Southern America","Brazil",NA,NA,"Ereta, capítulo amarelo.; Campo limpo.","MBM324517",NA,NA,"(Less.) Zardini","Barboza, E.","Santa Catarina","Garuva","Serra do Quiriri","-48.8549995422363","-26.0266990661621",NA,NA,NA,"2014","22441","auto",NA,NA,NA,"05","28",NA,NA,NA
"38","2020-12-21 16:16:30-03","MBM","MBM","359843","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Cordeiro, J.; Silva, J.M.; Silva, J.M.","3478","2010","03","06","Southern America","Brazil",NA,NA,"Ereta, capítulo amarelo.","MBM359843",NA,NA,"(Less.) Zardini","Barboza, E.","São Paulo","São José do Barreiro","Serra da Bocaina","-44.5699996948242","-22.6399993896484",NA,"1640","1640","2014","30784","auto",NA,NA,NA,"08","22",NA,NA,NA
"39","2019-11-01 15:28:02-03","PUC-RIO","FCAB","1033","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","P.E. Leite S.J.","s.n.","1946","02",NA,NA,"Brasil",NA,NA,"Sinónimo relevante: Lulia nervosa (Less.) Zardini","001033",NA,"Angiospermae","Less.","G.M. Barroso","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-11-02 10:02:46-02","MNHN","RECOLNAT_MNHN_P","P02419325","PreservedSpecimen",NA,"Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.",NA,"1967","2","21",NA,"Brésil","hb",NA,"Prélèvement de feuille réalisé pour E. Pasini & M. R. Ritter, Univ. Fed. do Rio Grande del Sul (ICN), Porto Alegre, Brésil, sept 2012. D emande colhelper n° 14801 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02419325' target='other'> <mi>dwc_moreinfo</mi></a>","P02419325",NA,NA,"(Less.) Zardini","Roque",NA,NA,"Estado Paraná : Rio Taquari (mun. Quatro Barras)",NA,NA,"P02419325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16030",NA,NA
"41","2015-11-02 10:03:18-02","MNHN","RECOLNAT_MNHN_P","P02419326","PreservedSpecimen",NA,"Asteraceae","Lulia","nervosa","Lulia nervosa","Glaziou, A.",NA,"1876","2","11",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02419326' target='other'> <mi>dwc_moreinfo</mi></a>","P02419326",NA,NA,"(Less.) Zardini","Roque",NA,NA,"Campos da Bocaina, près de la Fazenda",NA,NA,"P02419326_01 P02419326_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8119",NA,NA
"42","2015-09-04 06:12:54-03","MNHN","RECOLNAT_MNHN_P","P02419327","PreservedSpecimen",NA,"Asteraceae","Lulia","nervosa","Lulia nervosa","Glaziou, A.",NA,"1876","2","11",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02419327' target='other'> <mi>dwc_moreinfo</mi></a>","P02419327",NA,NA,"(Less.) Zardini","Roque",NA,NA,"Campos da Bocaina, près de la Fazenda",NA,NA,"P02419327_01 P02419327_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8119",NA,NA
"43","2021-02-11 17:18:10-03","UFPR","UPCB","30262","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Cervi, A.C.","3630","1992","04","03",NA,"Brasil",NA,NA,"Erva ereta, capítulo amarelo. Campo graminoso úmido..",NA,NA,NA,"Less.","Cervi, A.C.","Paraná","Quatro Barras","Campo Instrução do Exército","-49.0769004821777","-25.3656005859375",NA,NA,NA,"1997","17116","auto",NA,NA,NA,"04",NA,NA,NA,NA
"44","2021-02-11 17:18:10-03","UFPR","UPCB","30683","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Santos, E.P.","191","1996","11","07",NA,"Brasil",NA,NA,"Erva, ca. 1m, capítulo alaranjado. Campo limpo, local úmido à beira da estrada..",NA,NA,NA,"Less.","Cervi, A.C.","Paraná","Jaguariaíva","Estrada Jaguariaíva-Sengés","-49.7057991027832","-24.2511005401611",NA,NA,NA,"1997","44368","auto",NA,NA,NA,"05",NA,NA,NA,NA
"45","2021-02-11 17:18:10-03","UFPR","UPCB","6028","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Hatschbach, G.","16030","1967","02","21",NA,"Brasil",NA,NA,"Capítulo amarelo. Campo graminoso ácido, locais brejosos, ensolarado..",NA,NA,NA,"Less.","Hatschbach, G.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,"1967","17116","auto",NA,NA,NA,"01","01",NA,NA,NA
"46","2021-02-11 17:18:10-03","UFPR","UPCB","20383","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Silva, J.M.","1084","1992","04","03",NA,"Brasil",NA,NA,"Erva ereta, capítulo amarelo alaranjado. Campo graminoso, solo turfoso úmido..",NA,NA,NA,"Less.","Hatschbach, G.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,"1992","17116","auto",NA,NA,NA,"01","01",NA,NA,NA
"47","2018-06-22 05:25:00-03","MO","MOBOT","2452391","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Pe. Raulino Reitz","Reitz 5500",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Less.",NA,"Santa Catarina",NA,"São José",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2018-05-28 17:23:58-03","UNIOESTE","UNOP","4935","S","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","6345","2008","02","05",NA,"Brasil",NA,NA,"Ereta, capítulo amarelo-alaranjado. Brejo.",NA,NA,NA,"(Less.) Zardini","Hatschbach, G.","Paraná","Quatro Barras","Rio Taquari.","-49.0769004821777","-25.3656005859375",NA,NA,NA,"2008","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2014-07-30 10:40:46-03","CITSF","HXBH","011535","S","Plantae","Asteraceae","Trichocline","nervosa less.","Trichocline nervosa less.","J.M. Silva 1084 & A.C. Cervi",NA,"1992","04","03",NA,"Brasil",NA,NA,"Capítulos amarelos, solo turfoso, úmido.",NA,NA,NA,NA,"G. Hatschbach","PR","Quatro Barras","Rio Taquari","-49.0769","-25.3656",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
