"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","imagecode","stateProvince","locality","infraspecificEpithet","class","typeStatus","month","day","relatedCatalogItem","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410796","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Luetzelburg P von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410796",NA,"Dioscoreales","(Malme) Jonker",NA,"1911","NL-U1410796",NA,"Brasilia : Rio.",NA,"Magnoliopsidae",NA,"01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410797","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Ule EHG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410797",NA,"Dioscoreales","(Malme) Jonker",NA,"1894","NL-U1410797",NA,"En pandaus ta Serra do Slakara.",NA,"Magnoliopsidae",NA,"03","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:26:36-03","MN","R","31803","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Schwacke, C.A.W.",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1890",NA,NA,NA,NA,NA,NA,"02","08",NA,"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:26:36-03","MN","R","31804","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Ule, E.H.G.","223",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1894",NA,NA,NA,NA,NA,NA,"03",NA,NA,"1977","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:26:36-03","MN","R","31806","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Ule, E.H.G.","4115",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1896",NA,"Rio de Janeiro",NA,NA,NA,NA,"12",NA,NA,"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:36-03","MN","R","129005","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Madame Brunes",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1888",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"1977",NA,NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA
"17","2021-01-14 15:26:36-03","MN","R","24313","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Brade, A.C.","10776",NA,"Brasil",NA,NA,NA,"R010071924,R010071927",NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1931","R010071924 R010071927","Rio de Janeiro",NA,NA,NA,NA,"05","02",NA,"1977","2100","2100","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA
"18","2021-01-14 15:26:36-03","MN","R","31805","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Brunet, M.",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1881",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"1977",NA,NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA
"19","2021-01-14 15:26:36-03","MN","R","129008","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","s.col.","7379",NA,"Brasil",NA,NA,"Gabinete de Botânica da Escola Politécnica/ Herb. J. Saldanha",NA,NA,NA,"(Malme) Jonker","Benthem, J. van & Maas, P.J.M.","1883",NA,"Rio de Janeiro","Parque Nacional da Serra dos Órgãos",NA,NA,NA,"03","27",NA,"1977",NA,NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA
"20","2019-11-21 14:33:02-03","UFJF","CESJ","23580","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","L. Krieger; et al.","CESJ875","América do Sul","Brasil",NA,NA,"Na beira do rio José Pedro, sobre musgos, flores arroxeadas.","CESJ023580","Angiosperma",NA,"(Malme) Jonker","P.J.Maas","1989",NA,"Minas Gerais","Parque Nacional do Caparaó, Campos Altos, 2000 m.s.m.",NA,NA,NA,"04","01",NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:33:02-03","UFJF","CESJ","24047","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","L. Krieger; et al.","CESJ972","América do Sul","Brasil",NA,NA,"Em terreno de brejo turfoso. Flores azul-escuro. Roseta pequena.","CESJ024047","Angiosperma",NA,"(Malme) Jonker","P.J.Maas","1989",NA,"Minas Gerais","Parque Nacional do Caparaó",NA,NA,NA,"04","30",NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:28:05-03","PUC-RIO","FCAB","0705","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","P.E. Leite S.J.","s.n.",NA,"Brasil",NA,NA,"Flores roxas nos terrenos brejosos.","000705",NA,"Angiospermae","(Malme) Jonker","L.B. Smith.","1945",NA,"São Paulo",NA,NA,NA,NA,"12",NA,NA,NA,"1600","1600","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA
"23","2015-09-17 00:10:28-03","MNHN","RECOLNAT_MNHN_P","P00506018","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Brésil, A.",NA,NA,"Brésil","hb",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506018' target='other'> <mi>dwc_moreinfo</mi></a>","P00506018",NA,NA,"(Malme) Jonker",NA,"1870","P00506018_01 P00506018_02",NA,"Rio de Janeiro. Haut des Orgues",NA,NA,NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4100",NA,NA,NA
"24","2015-09-04 09:47:30-03","MNHN","RECOLNAT_MNHN_P","P00506021","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Glaziou, A.",NA,NA,"Brésil","hb",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506021' target='other'> <mi>dwc_moreinfo</mi></a>","P00506021",NA,NA,"(Malme) Jonker",NA,"1887","P00506021_01",NA,"Rio de Janeiro. Haut de la Serra dos Orgues",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16635",NA,NA,NA
"25","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086192","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Saint-Hilaire, A.",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086192' target='other'> <mi>dwc_moreinfo</mi></a>","P02086192",NA,NA,"(Malme) Jonker",NA,"1816","P02086192_01","Minas Gerais",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1748",NA,NA,NA
"26","2015-09-17 00:09:10-03","MNHN","RECOLNAT_MNHN_P","P00506017","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Regnell, A.F.",NA,NA,"Brésil","hb",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506017' target='other'> <mi>dwc_moreinfo</mi></a>","P00506017",NA,NA,"(Malme) Jonker",NA,"1876","P00506017_01",NA,"Serra do Ginata",NA,NA,NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 1238",NA,NA,NA
"27","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086193","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Glaziou, A.",NA,NA,"Brasil","hb",NA,"Donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086193' target='other'> <mi>dwc_moreinfo</mi></a>","P02086193",NA,NA,"(Malme) Jonker",NA,"1887","P02086193_01","Rio de Janeiro","Haut de la Serra dos orgaos",NA,NA,NA,"5","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3730",NA,NA,NA
"28","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086194","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Glaziou, A.",NA,NA,"Brasil","hb",NA,"Museum Juillet 1908 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086194' target='other'> <mi>dwc_moreinfo</mi></a>","P02086194",NA,NA,"(Malme) Jonker",NA,NA,"P02086194_01",NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086195","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Saint-Hilaire",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086195' target='other'> <mi>dwc_moreinfo</mi></a>","P02086195",NA,NA,"(Malme) Jonker",NA,"1816","P02086195_01","Minas Gerais",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 622",NA,NA,NA
"30","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086196","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Gardner",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086196' target='other'> <mi>dwc_moreinfo</mi></a>","P02086196",NA,NA,"(Malme) Jonker",NA,"1838","P02086196_01","Rio de Janeiro","Montagnes Organ",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"706",NA,NA,NA
"31","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086197","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Guillemin",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086197' target='other'> <mi>dwc_moreinfo</mi></a>","P02086197",NA,NA,"(Malme) Jonker",NA,"1839","P02086197_01","Rio de Janeiro","Serra dos Orgaos",NA,NA,NA,"5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"898",NA,NA,NA
"32","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086201","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Saint-Hilaire, A.",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086201' target='other'> <mi>dwc_moreinfo</mi></a>","P02086201",NA,NA,"(Malme) Jonker",NA,"16","P02086201_01","Minas Gerais","Brésil. province de Minas Geraes",NA,NA,NA,"11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1819",NA,NA,NA
"33","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086198","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","aprica","Burmannia aprica","Riedel",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086198' target='other'> <mi>dwc_moreinfo</mi></a>","P02086198",NA,NA,"(Malme) Jonker",NA,"1848","P02086198_01","Minas Gerais","Monte Itacolomi. Minas",NA,NA,NA,"1","1",NA,NA,NA,NA,"Mariana","-43.4160995483398","-20.377799987793","33524","auto",NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","37074","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Collector unknown","s.n.","South America - Neotropics","Brazil",NA,NA,NA,"US00225010",NA,"Orchidales",NA,NA,"1838","US00225010_01",NA,"Near rio janeiro",NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"35","2019-09-04 19:08:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor aprica","A. Glaziou","4100","South America","Brazil",NA,NA,NA,NA,"Spermatophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,"aprica","Monocotyledoneae","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA
"36","2016-08-23 11:01:02-03","NHMLondon","NHM-LONDON-BOT","BM001122933","S","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","George Gardner; b.1812; d.1849; Gardner","706",NA,"Brasil",NA,"NHMUK:ecatalogue:5687099","<a href=http://www.nhm.ac.uk/services/media-store/asset/97c5dfa32cdf49d9bdd5dcedbead9af0d6acacdf/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Dioscoreales","(Malme) Jonker","Collaboration; J. van Benthem & P.J.M. Maas","1837",NA,"Rio de Janeiro",NA,NA,"Liliopsida",NA,"05",NA,NA,"1977",NA,NA,NA,"-42.989594","-22.510275",NA,NA,NA,NA,"-42.989594","-22.510275"
