"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","imagecode","typeStatus"
"11","2020-12-21 16:13:36-03","MBM","MBM","400317","PreservedSpecimen","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Quingerski, N.F.","s.n.","Southern America","Brazil","MBM400317","Ribas, O.S.","2014",NA,NA,"2011","02","23","Paraná","Laranjeiras do Sul",NA,"-52.304167","-25.398333",NA,NA,NA,NA,NA,NA,NA,"-52.304167","-25.398333","MBM400317 MBM400317_1 MBM400317_2 MBM400317_3",NA
"12","2021-02-11 17:17:56-03","UFPR","UPCB","93980","PreservedSpecimen","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Carlucci, M. B. | Brum, F. B. | Hoffmann, P. | Gurski, E.","24",NA,"Brasil","UPCB0042374","Carlucci, M.B.","2019","05",NA,"2019","05","13","Rio Grande do Sul","Vacaria","Parque Estadual do Ibitiriá","-54.746111","-28.325833",NA,NA,NA,NA,"Indivíduo adulto caído, mas ainda vivo, 6-8m de altura, em meio à floresta com araucárias, próximo do Rio Santana (650m em linha reta do rio). Indíviduo com bainhas com espinhos até a base do caule. Próximo (10m) da estrada que desc","800","800","-54.746111","-28.325833","UPCB0042374 UPCB0042374_1 UPCB0042374_2 UPCB0042374_3",NA
"13","2019-03-29 10:41:14-03","UFSM","HDCF","6269","S","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Soares, K. P.",NA,"América","Brasil",NA,"Soares, K. P.",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul","Nova Prata",NA,"-51.6100006103516","-28.783899307251","18634","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-09-04 19:19:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma",NA,"A. Glaziou","9014","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"15","2019-01-23 11:06:31-02","F","FMNH-SEEDPLANTS","V0075110F","PreservedSpecimen","Plantae","Spermatophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma",NA,"A. Glaziou","9014","South America","Brazil","V0075110F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,"V0075110F_01","Isotype"
"16","2017-09-11 17:07:24-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Glaziou, AFM","9014",NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crescit in Brasilia extratropica (frequens): ad margines nemorum Capoés dictorum in provinciae Rio Grande do Sul campis elevatis, praesertim in vicinitate pr. Cruz Alta",NA,NA,NA,NA,"P03P2N0131",NA
"17","2021-02-08 12:50:43-03","UFRGS","ICN","148361","S","Plantae","Monocotyledon","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Cossio, RR","75","América do Sul","Brasil",NA,"Cossio, RR",NA,NA,NA,"2006","11","09","RS","Canela","Vale do Caí","-50.815601348877","-29.3656005859375","16452","auto",NA,NA,"Segundo morador local, os frutos maduros são vermelhos e doces; Árvore de 2,5 m de altura, frutos imaturos com coloração verde (um cacho com aprox. 180 frutos); Clareira no mato, em terreno muito íngreme, com afloramentos",NA,NA,NA,NA,NA,NA
"18","2021-02-08 12:50:43-03","UFRGS","ICN","062890","S","Plantae","Monocotyledon","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Waechter, JL; Baptista, LRM","2102","América do Sul","Brasil",NA,"Soares, K","2012","11","21","1985","04","28","RS","Torres","Itapeva","-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,"Espécie ameaçada de extinção (Em perigo).; Palmeira ca. 6m altura; estéril.; em mata arenosa do morro Itapeva, junto a afloramentos basálticos.",NA,NA,NA,NA,NA,NA
"19","2021-02-08 12:50:43-03","UFRGS","ICN","143749","S","Plantae","Monocotyledon","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Cossio, R","66","América do Sul","Brasil",NA,"Cossio, R",NA,NA,NA,"2006","03","10","RS","Farroupilha","estrada para Bento Gonçalves Lat. 29°11'47 6S Long. 51°24'49 4W","-51.413611","-29.196389",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; inflorescência velha; não há regeneração; campo sujo; terreno íngreme com afloramentos e pedras soltas","628","628","-51.413611","-29.196389",NA,NA
"20","2021-02-08 12:50:43-03","UFRGS","ICN","143750","S","Plantae","Monocotyledon","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Cossio, R; Poester, G; Grings, M; Setubal, R","67","América do Sul","Brasil",NA,"Cossio, R",NA,NA,NA,"2006","04","25","RS","Nova Petrópolis","Linha Brasil Fundos Pedras do Silêncio","-51.1143989562988","-29.3763999938965","14669","auto",NA,NA,"Espécie ameaçada de extinção (Em perigo).; flores fortemente aromáticas, com muitos coleópteros Meloidae pousados; lavoura na encosta das Pedras do Silêncio",NA,NA,NA,NA,NA,NA
"21","2019-10-04 16:06:17-03","MCN-FZBRS","HAS","4331","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Oliveira, R.G.","311",NA,"Brasil","HAS0004331","Oliveira, R.G.","1977","03","25","1977","03",NA,"Rio Grande do Sul","Giruá","Rincão Maciel","-54.3497009277344","-28.028299331665","23862","auto",NA,NA,"folha média; frutos coletados no chão; periferia de capão; folha bicolor",NA,NA,NA,NA,NA,NA
