"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","identifiedBy","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00939834","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","E. H. Snethlage","1923","07",NA,"Brazil","Maranhão","São Luís","-44.3028","-2.5297",NA,NA,NA,NA,"NY00939834","NY00939834_01","Magnoliophyta","Myrtales",NA,"143","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013430' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3475645","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","B. Maguire","1944","10","19","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,"NY03475645",NA,"Magnoliophyta","Myrtales",NA,"25038","South America","Zanderij II","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3788842' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","522856","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","C. A. F. Moura","1964","10","13","Brazil","São Paulo","Registro","-47.84","-24.48",NA,NA,NA,NA,"NY00522856","NY00522856_01","Magnoliophyta","Myrtales","S. A. C. Chiea","s.n.","South America","Registro, ca. de 500 m da cidade de Registro, aproximadamente e estrada BR-2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97874' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","522849","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","A. P. Duarte","1961","08","18","Brazil","Bahia","Caravelas","-39.2519617","-17.650688",NA,NA,NA,NA,"NY00522849","NY00522849_01","Magnoliophyta","Myrtales","S. S. Renner","5916","South America","Aeroporto de Caravelas, Sul da Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97898' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02103859","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(DC.) Triana","F. A. Michelangeli","2013","08","13","Suriname","Sipaliwini",NA,"-56.14961","3.79144",NA,NA,"315",NA,"NY02103859","NY02103859_01","Magnoliophyta","Myrtales","F. A. Michelangeli","2037","South America","Around Rudi Kappel airstrip","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2177676' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00939831","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","H. S. Irwin","1965","09","18","Brazil","Distrito Federal","Brasília","-47.88","-15.72",NA,NA,"975","975","NY00939831","NY00939831_01","Magnoliophyta","Myrtales","S. S. Renner","8422","South America","Rio Torto, immediately N. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","522828","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","M. Hoff","1988","11","04","French Guiana",NA,NA,"-52.3","4.9",NA,NA,"10","10","NY00522828","NY00522828_01","Magnoliophyta","Myrtales","G. Cremers","5398","South America","Crique Cabassou - Ile de Cayenne. Croisement R. N. 3 - Crique Cabassou","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97875' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 05:01:00-03","NY","NYBG","1653300","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata",NA,"C. V. Martin","2004","11","10","French Guiana",NA,NA,"-52.05978","4.11503",NA,NA,"10",NA,"NY01653300","NY01653300_01","Magnoliophyta","Myrtales","C. V. Martin","421","South America","Along the small river, second bridge on road Regina/Cayenne","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1435066' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-12-13 10:16:00-02","NY","NYBG","01421490","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata",NA,"E. J. Tepe","2002","03","20","French Guiana",NA,NA,"-52.4331","4.7936",NA,NA,"20",NA,"NY01421490","NY01421490_01","Magnoliophyta","Myrtales","F. A. Michelangeli","610","South America","Montsinéry, intersection of N2 and CD5, collections along road in front of Emerald Jungle Village.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1686317' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","522845","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","J. S. Blanchet","1841",NA,NA,"Brazil","Bahia","Muritiba","-38.99","-12.6267",NA,NA,NA,NA,"NY00522845","NY00522845_01","Magnoliophyta","Myrtales","S. S. Renner","348","South America","Moritiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97867' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01807046","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. M. Déda","2012","04","17","Brazil","Sergipe","Santa Luzia do Itanhy","-37.4258","-11.3828",NA,NA,NA,NA,"NY01807046","NY01807046_01","Magnoliophyta","Myrtales","F. A. Michelangeli","167","South America","RPPN Mata do Crasto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518769' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00750170","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","J. G. Jardim","1998","07","09","Brazil","Bahia","Uruçuca","-39.03692","-14.471626",NA,NA,NA,NA,"NY00750170","NY00750170_01","Magnoliophyta","Myrtales","R. Goldenberg","1811","South America","Distrito de Serra Grande: próximo à represa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537021' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","522848","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","B. J. Pickel","1934","06","05","Brazil","Pernambuco","Recife","-34.931635","-8.045763",NA,NA,NA,NA,"NY00522848","NY00522848_01","Magnoliophyta","Myrtales","S. S. Renner","3570","South America","Recife","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","522855","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","E. Pereira","1964","06","05","Brazil","Rio de Janeiro","Rio de Janeiro","-43.397161","-23.010952",NA,NA,NA,NA,"NY00522855","NY00522855_01","Magnoliophyta","Myrtales","S. S. Renner","8125","South America","Restinga de Jacarepaguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","245692","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata longifolia","Cogn.","Schott",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00245692","NY00245692_01","Magnoliophyta","Myrtales",NA,"4160","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405340' target='other'> <mi>dwc_moreinfo</mi></a>","longifolia","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-27 15:50:00-03","NY","NYBG","38407","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata longifolia","Cogn.","R. H. Schomburgk","1841",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,NA,NA,"NY00038407","NY00038407_01","Magnoliophyta","Myrtales",NA,"165(18b)","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405342' target='other'> <mi>dwc_moreinfo</mi></a>","longifolia","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","522869","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","Restinga I","1953","05","30","Brazil","Rio de Janeiro","Sao Joao da Barra","-41.0508","-21.6406",NA,NA,NA,NA,"NY00522869","NY00522869_01","Magnoliophyta","Myrtales","J. J. Wurdack","399","South America","Road Campos-Atafona, 1 km south of the bifurcation to Guruçai borough","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97881' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","522851","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. P. Belém","1966","07","07","Brazil","Bahia","Belmonte","-38.88","-15.86",NA,NA,NA,NA,"NY00522851","NY00522851_01","Magnoliophyta","Myrtales","J. J. Wurdack","2508","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97887' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","522829","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","C. E. O. Kuntze","1892","07",NA,"Bolivia",NA,NA,NA,NA,NA,NA,"200","200","NY00522829","NY00522829_01","Magnoliophyta","Myrtales","S. S. Renner","s.n.","South America","Velasco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97865' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","522865","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","G. G. Hatschbach","1968","04","22","Brazil","Paraná","Guairá","-54.2556","-24.08",NA,NA,NA,NA,"NY00522865","NY00522865_01","Magnoliophyta","Myrtales","J. J. Wurdack","19091","South America","7 Quedas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-01-26 16:38:00-02","NY","NYBG","00749462","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata",NA,"P. Fiaschi","2004","06","26","Brazil","Bahia","Valença","-39.0902778","-13.3288889",NA,NA,NA,NA,"NY00749462","NY00749462_01","Magnoliophyta","Myrtales","F. A. Michelangeli; R. Goldenberg","2346","South America","Estrada de Valença para Guaibim, ca. 2 km. Ramal à esq.; 8 km. Ramal vicinal à esq.; ca. 1 km. RPPN Agua Branca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898566' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","522860","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. Reitz","1960","07","04","Brazil","Santa Catarina","Joinville","-48.8456","-26.3044",NA,NA,"10","10","NY00522860","NY00522860_01","Magnoliophyta","Myrtales","J. J. Wurdack","4162","South America","Rio Bonito","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02713028","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","B. Maguire","1952","03","05","Guyana",NA,NA,NA,NA,NA,NA,"823","823","NY02713028","NY02713028_01","Magnoliophyta","Myrtales","J. J. Wurdack","33261","South America","Kamarang River Crossing, Kamarang Head","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2247888' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","522867","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","A. C. Brade","1937","06","16","Brazil","Rio de Janeiro","Macaé","-41.7867","-22.3708",NA,NA,NA,NA,"NY00522867","NY00522867_01","Magnoliophyta","Myrtales","S. S. Renner","15787","South America","Macahé - Restinga de Cabiúna","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97905' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","522868","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. P. Belém","1965","05","21","Brazil","Bahia","Una","-39.2540887","-15.1469363",NA,NA,NA,NA,"NY00522868","NY00522868_01","Magnoliophyta","Myrtales","S. S. Renner","1088","South America","Estrada que liga a Rod. BR 101 (São José) com BA 215, a 17 km da entrada. Região de Mata Higrófila Sul Baiana. Folha SE-24","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97904' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","522835","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","S. F. Athayde","1993","08","07","Brazil","Paraná","Guaraqueçaba","-48.33","-25.28",NA,NA,NA,NA,"NY00522835","NY00522835_01","Magnoliophyta","Myrtales","S. M. Silva","42","South America","Composiçao floristica e estrutura fitossociológica em diferentes estágios sucessionais da Floesta Ombrófila Densa Atlantica Submontana. Morro do Quitumbé ou do Costao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","522853","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","E. Pereira","1964","06","05","Brazil","Rio de Janeiro","Rio de Janeiro","-43.397161","-23.010952",NA,NA,NA,NA,"NY00522853","NY00522853_01","Magnoliophyta","Myrtales","S. S. Renner","8125","South America","Guanabara, Restinga de Jacarepagá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97903' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00939836","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","A. F. M. Glaziou","1895","04","28","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"NY00939836","NY00939836_01","Magnoliophyta","Myrtales","S. S. Renner","21347","South America","Bords du Rio Bananal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013434' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","02098126","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","F. A. Michelangeli","2014","03","24","Guyana","Potaro-Siparuni",NA,"-59.57836","4.98242",NA,NA,"455",NA,"NY02098126","NY02098126_01","Magnoliophyta","Myrtales","F. A. Michelangeli","2458","South America","Potaro River, left bank, boat landing of the village of Chenapau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2362755' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","522859","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","A. P. Duarte","1948","04","29","Brazil","Rio de Janeiro","Rio de Janeiro","-43.369099","-22.995332",NA,NA,NA,NA,"NY00522859","NY00522859_01","Magnoliophyta","Myrtales",NA,"1167","South America","Distrito Federal - Rio de Janeiro - Barra da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97908' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","522864","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","Restinga I","1953","05","27","Brazil","Rio de Janeiro","Casimiro de Abreu","-41.989285","-22.571814",NA,NA,NA,NA,"NY00522864","NY00522864_01","Magnoliophyta","Myrtales","J. J. Wurdack","338","South America","District of Barra de Sao Joao. Near Barra de Sao Joao village","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97880' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","4218354","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","F. Almeda","1998","06","08","Brazil","Minas Gerais","Diamantina","-43.61666667","-18.28333333",NA,NA,NA,NA,"NY04218354",NA,"Magnoliophyta","Myrtales",NA,"7830","South America","Estrada para Biribiri, ca. 6km de Diamantina.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451222' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00749442","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","J. G. Jardim","1998","03","19","Brazil","Bahia","Una","-39.08","-15.15",NA,NA,NA,NA,"NY00749442","NY00749442_01","Magnoliophyta","Myrtales","R. Goldenberg","1720","South America","Reserva Biologica de Una-REBIO (IBAMA): entorno da REBIO margem e leito do Rio Maruim","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537020' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
