"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","locality","imagecode","class","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"12","2015-09-05 11:22:38-03","MNHN","RECOLNAT_MNHN_P","P00623724","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","isolectotype","Sellow",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623724' target='other'> <mi>dwc_moreinfo</mi></a>","P00623724",NA,NA,"Mart.",NA,NA,"Brasil. merid.","P00623724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-23 00:48:44-03","MNHN","RECOLNAT_MNHN_P","P00623725","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","isolectotype","Sellow",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623725' target='other'> <mi>dwc_moreinfo</mi></a>","P00623725",NA,NA,"Mart.",NA,NA,"Brasil. merid.","P00623725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-21 15:48:20-03","MNHN","RECOLNAT_MNHN_P","P00623726","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","isolectotype","Sellow",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623726' target='other'> <mi>dwc_moreinfo</mi></a>","P00623726",NA,NA,"Mart.",NA,NA,"Brasil. merid.","P00623726_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925375","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Gaudichaud",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925375' target='other'> <mi>dwc_moreinfo</mi></a>","P04925375",NA,NA,"Mart.",NA,"1833","Brésil. Province de Rio-Grande.","P04925375_01",NA,"1","1",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"395"
"16","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925378","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Vauthier",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925378' target='other'> <mi>dwc_moreinfo</mi></a>","P04925378",NA,NA,"Mart.",NA,NA,NA,"P04925378_01",NA,NA,NA,NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925379","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Gaudichaud, C.",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925379' target='other'> <mi>dwc_moreinfo</mi></a>","P04925379",NA,NA,"Mart.",NA,"1833",NA,"P04925379_01",NA,"1","1",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"345"
"18","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925384","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Balansa, Benjamin.",NA,"Paraguay","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925384' target='other'> <mi>dwc_moreinfo</mi></a>","P04925384",NA,NA,"Mart.",NA,"1874","Caaguazu, dans les campos","P04925384_01",NA,"11","1",NA,NA,NA,NA,"Caaguazú",NA,"-56.025","-25.22819",NA,NA,NA,NA,NA,NA,NA
"19","2021-02-11 17:17:48-03","UFPR","UPCB","9148","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Pereira, E.",NA,"Brasil",NA,NA,"Flores sulferinas. Campo..",NA,NA,NA,"Mart.","8454","1964",NA,NA,NA,"01","16","Carvalho, L.D.F. de","1964","01","01","Rio Grande do Sul","Passo do Socorro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2012-04-12 07:56:00-03","MO","MOBOT","2459054","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Guido F.J. Pabst","South America","Brazil",NA,NA,NA,NA,NA,NA,"Mart.","Pabst 7729","1964","Vacaria. Passo do Socorro",NA,NA,"1","16",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-09-04 18:48:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","Type [status unknown]","F. Sellow","South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"22","2020-04-21 17:41:38-03","F","FMNH-SEEDPLANTS","V0361721F","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","Isotype","F. Sellow","South America","Brazil",NA,NA,NA,"V0361721F","Spermatophyta",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"23","2020-04-21 17:41:47-03","F","FMNH-SEEDPLANTS","V0361723F","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","Isotype","F. Sellow","South America","Brazil",NA,NA,NA,"V0361723F","Spermatophyta",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"24","2020-04-21 17:41:53-03","F","FMNH-SEEDPLANTS","V0361724F","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","Isotype","F. Sellow","South America","Brazil",NA,NA,NA,"V0361724F","Spermatophyta",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"25","2016-08-23 11:12:12-03","NHMLondon","NHM-LONDON-BOT","BM000993135","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","type","Friedrich Sellow; b.1789; d.1831; Sellow",NA,"Brasil",NA,"NHMUK:ecatalogue:501794",NA,NA,NA,NA,"Mart.","s.n.","1815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109",NA,NA,NA
"26","2017-09-11 17:06:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Sello, HL",NA,"?",NA,NA,NA,NA,NA,NA,"Mart.","s.n.",NA,"Crescit in Brasilia meridionali et ad Montevideo","P05P1N0064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:06:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Gaudichaud Beaupré, C",NA,"?",NA,NA,NA,NA,NA,NA,"Mart.","s.n.",NA,"Crescit in Brasilia meridionali et ad Montevideo","P05P1N0064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 12:31:36-03","UFRGS","ICN","021189","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Valls, JFM; Pott, A","América do Sul","Brasil",NA,NA,"Espécie ameaçada de extinção (Em perigo).; capítulo vermelho (5 R 5/12), anteras amarelas (2 y 7/10); campo sujo",NA,"Dicotyledon",NA,"Mart.","2533","1973","estrada de entrada para IPEAS",NA,NA,"01","09","Vasconcellos, J",NA,NA,NA,"RS","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA
"29","2021-02-08 12:31:36-03","UFRGS","ICN","040231","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Fleig, M","América do Sul","Brasil",NA,NA,"Espécie ameaçada de extinção (Em perigo).; Flores roseo-sulferinas.",NA,"Dicotyledon",NA,"Mart.","908","1978","estrada secundária entre Vacaria e Lagoa Vermelha",NA,NA,"01","05","Gavilanes, ML",NA,NA,NA,"RS","Lagoa Vermelha","-51.5257987976074","-28.2085990905762","42261","auto",NA,NA,NA,NA,NA
"30","2021-02-18 17:08:17-03","FEPAGRO","BLA","14789","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"P. N. Capparelli",NA,"Brasil",NA,NA,"Habitat: Amtreiros experimentais.","BLA014789","Spermatophyta",NA,"Mart.",NA,"1957","Granja das Pedras Altas",NA,NA,"11","20","P. N. Capparelli",NA,NA,NA,"Rio Grande do Sul","Pinheiro Machado","-53.3810997009277","-31.5783004760742","70026","auto",NA,NA,NA,NA,NA
"31","2021-02-18 17:08:17-03","FEPAGRO","BLA","14788","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"P. N. Capparelli",NA,"Brasil",NA,NA,"Habitat: Po arepo seao","BLA014788","Spermatophyta",NA,"Mart.","972","1957","Pedras Altas",NA,NA,"11","20","B. Rambo",NA,NA,NA,"Rio Grande do Sul","Pinheiro Machado","-53.3810997009277","-31.5783004760742","70026","auto",NA,NA,"480","480",NA
"32","2014-09-23 10:56:35-03","G","G","G00236978","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","TYPUS of Gomphrena schlechtendaliana Mart.","Sellow, F.","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=187182&base=img&lang=en","G00236978",NA,NA,"Mart.",NA,NA,NA,"G00236978",NA,NA,NA,"?",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,NA,NA
"33","2014-09-23 10:56:35-03","G","G","G00236979","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","TYPUS of Gomphrena schlechtendaliana Mart.","Sellow, F.","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=187183&base=img&lang=en","G00236979",NA,NA,"Mart.",NA,NA,NA,"G00236979",NA,NA,NA,"?",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,NA,NA
