"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","coordinatePrecision","geoFlag","recordNumber","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","sex"
"16","2021-03-15 16:37:00-03","NY","NYBG","1462274","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","Determiner unspecified",NA,NA,NA,"J. L. Viana","2010","08","19","Brazil","Pernambuco",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551861' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462274","Lagoa dos Gatos. Fazenda Pedra Danta. Fazenda Pedra D'anta",NA,NA,"71","NY01462274_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","498151","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"C. E. F. von Glocker","1842",NA,NA,"Brazil","Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498151",NA,NA,NA,"XXXX8E","NY00498151_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","679928","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","D. R. Hunt",NA,NA,NA,"G. T. Prance","1964","08","04","Brazil","Tocantins","Filadélfia","-47.517972","-7.286786",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679928","W bank of Rio Tocantins, 8 km N of Filadélfia.",NA,NA,"58551","NY00679928_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02103608","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","S. G. Freire",NA,NA,NA,"L.A. Gomes","2013","05","22","Brazil","Sergipe","Maruim","-37.1272","-10.7167",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2258939' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103608","Mata do Caititu: Borda de mata.",NA,NA,"1088","NY02103608_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01392716","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","R. B. Faden",NA,NA,NA,"H. A. Gleason","1821","06","18","Guyana",NA,NA,"-59.148411","5.261506",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3406818' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392716","In and about the vilage, Tumatumari",NA,NA,"275",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","498192","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","D. R. Hunt",NA,NA,NA,"S. A. Mori","1979","03","24","Brazil","Bahia","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,"A coleta é testemunha para um estudo de plantas invasoras <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498192","CEPEC, km 22 da Rodovia Ilhéus/Itabuna. Quadra E', recentemente limpa de toda sua vegetaçao",NA,NA,"11625","NY00498192_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02239131","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"J. M. Pires",NA,NA,NA,"Brazil","Amapá",NA,"-51.37","0.73",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2403762' target='other'> <mi>dwc_moreinfo</mi></a>","NY02239131","Downriver from Porto Platon 20 min",NA,NA,"51021","NY02239131_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02450181","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"G. T. Prance","1967","01","30","Brazil","Roraima",NA,"-61.3527203","2.6891605",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2641227' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450181","Rio Apiaú, km 5-15 from mouth",NA,NA,"4177","NY02450181_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01392711","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","R. B. Faden",NA,NA,NA,"H. C. Rothery",NA,NA,NA,"French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3406809' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392711",NA,NA,NA,"41",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02450182","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"G. T. Prance","1971","10","27","Brazil","Amazonas",NA,"-65.0192","-0.4142",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2641256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450182","Basin of rio Negro, Tapuruquara.",NA,NA,"15618","NY02450182_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1183789","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"A. Lourteig","1967","12","15","Brazil","Santa Catarina","Lajes","-50.3258","-27.8161",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183789","Painel",NA,NA,"2218","NY01183789_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00874999","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"W. A. Archer","1942","10","14","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1735030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00874999","Belém, in cult. plots of the I. A. N.",NA,NA,"7672","NY00874999_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","498165","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"F. E. Drouet","1935","07","28","Brazil","Ceará","Fortaleza","-38.5431","-3.7172",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498165","Mecejana. Weedy margins of Lagoa Mecejana",NA,NA,"2154","NY00498165_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","498166","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"R. Reitz","1953","05","13","Brazil","Santa Catarina","Florianópolis","-48.4776878","-27.6525515",NA,NA,"2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498166","Rio Tavares, Ilha S. Catarina",NA,NA,"719","NY00498166_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","498193","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"L. B. Smith","1957","02","04","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498193","Between Fazenda Frei Rogério and Rio Pintado, southeast of Pôrto Uniao",NA,NA,"10780","NY00498193_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","498169","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"F. C. Hoehne","1929","10","10","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498169","Jaraguá",NA,NA,"24400","NY00498169_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01067689","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","D. Maia",NA,NA,NA,"R. C. Forzza","1998","01","11","Brazil","Minas Gerais","Joaquim Felício","-44.3167","-17.7011",NA,NA,"1080","1080","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214727' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067689","Serra do Cabral",NA,NA,"573","NY01067689_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01392715","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","R. B. Faden",NA,NA,NA,"G. S. Jenman","1888","11",NA,"Guyana",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3406817' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392715","Bartica Grove",NA,NA,"4640",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","872607","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","D. R. Hunt",NA,NA,NA,"H. S. Irwin","1971","02","01","Brazil","Minas Gerais","Ouro Preto","-43.5058333","-20.3874",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872607","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto",NA,NA,"29570","NY00872607_01 NY00872607_02",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02098302","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","R. Barreto",NA,NA,NA,"J. L. Viana","2011","03","14","Brazil","Pernambuco","Lagoa dos Gatos","-35.9","-8.6583",NA,NA,"464",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479518' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098302","RPPN Pedra D'Anta: Preta flor",NA,NA,"286","NY02098302_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"36","2017-10-16 13:42:00-02","NY","NYBG","02684387","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa",NA,NA,NA,NA,NA,"W. E. Broadway","1921","05","30","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3013975' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684387","Vicinity of Cayenne.",NA,NA,"316","NY02684387_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","498312","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","R. B. Faden",NA,NA,NA,"J. C. Solomon","1984","03","23","Bolivia","La Paz","Nor Yungas","-67.78","-16.23",NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498312","14.3 km SW (above) Yolosa on road to Chuspipata",NA,NA,"12100",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","498311","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"R. B. Foster","1984","08","15","Peru","Madre de Dios","Manú","-71.38","-11.88",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498311","Parque Nacional de Manu. Rio Manu: Cocha Cashu Station",NA,NA,"9837",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","498168","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"R. Reitz","1957","05","26","Brazil","Santa Catarina","Joinville","-48.8456","-26.3044",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498168","Estrada Dona Francisca",NA,NA,"4248","NY00498168_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","498174","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"B. J. Pickel","1931","08","10","Brazil","Pernambuco",NA,"-35.18","-8.12",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498174","Tapera",NA,NA,"2726","NY00498174_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","2239135","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"E. Lleras","1973","08","03","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2403766' target='other'> <mi>dwc_moreinfo</mi></a>","NY02239135","Rio Javari, north of Palmeiras airstrip",NA,NA,"17093","NY02239135_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","2239134","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"C. C. Berg","1977","10","22","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2403765' target='other'> <mi>dwc_moreinfo</mi></a>","NY02239134","Tucuruí dam area, Rio Tocantins. Itupiranga, along Rio Tocantins.",NA,NA,"BG675","NY02239134_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","498170","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"J. Ball","1882","07","21","Brazil","Rio de Janeiro","Rio de Janeiro","-43.274528","-22.95583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498170","Brasiliae juxta Tijuca",NA,NA,"s.n.","NY00498170_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","679927","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","M. H. Nee",NA,NA,NA,"H. S. Irwin","1968","01","25","Brazil","Goiás","Cocalzinho de Goiás","-48.6","-15.57",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679927","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.",NA,NA,"19168","NY00679927_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","02450180","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.",NA,NA,NA,NA,"S. R. Hill","1983","07","15","Brazil","Amazonas",NA,"-57.93","-4.8",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2641160' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450180","Rio Parauari, tributary of the Rio Maués-Açu, at Agua Mineral.",NA,NA,"13080","NY02450180_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
