"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount"
"18","2020-11-04 11:14:34-03","ESALQ","ESA","4743","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, M.L.","Catharino, E.L.M.","777.0","1986","05","30",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA004743","ESA004743",NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA
"19","2020-11-04 11:14:34-03","ESALQ","ESA","85374","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Bopp, L.T.",NA,"2003","02","12",NA,"Brasil","São Paulo","Rio Grande da Serra",NA,"-46.3899993896484","-23.7399997711182",NA,NA,NA,NA,"ESA085374","ESA085374",NA,NA,NA,NA,NA,NA,"7673","auto",NA,NA,NA,NA
"20","2020-11-04 11:14:34-03","ESALQ","ESA","32747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Leitão Filho, H. F. et al.","34725.0","1996","01","30",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA032747","ESA032747",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"21","2020-11-04 11:14:34-03","ESALQ","ESA","36402","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Furlan, A.","746.0","1989","03","12",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA036402","ESA036402",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"22","2020-11-04 11:14:34-03","ESALQ","ESA","40218","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Ponte, A.C.E. et al.","29803.0","1993","11","11",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA040218","ESA040218",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"23","2020-11-04 11:14:34-03","ESALQ","ESA","75392","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2173.0","2001","04","12",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.","-46.6300010681152","-23.5400009155273","700","700",NA,"Árvore, 3m alt. Flores róseas.","ESA075392","ESA075392",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"24","2021-01-14 15:32:11-03","MN","R","9070","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","compactiflora","Eugenia compactiflora","Spreng.",NA,"Glaziou, A.F.M.","10785","1879","03","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009070","R000009070_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:03:14-03","JBP","HPL","10746","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,"R. Tsuji","R. Tsuji","2496","2008","03","10",NA,"Brasil","RS","Porto Alegre","Coletado e cultivado no Parque Zoobotânico; nativo do Rio Grande do Sul.","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,"2008","03",NA,NA,NA,NA,"29946","auto","10",NA,NA,NA
"26","2015-07-02 14:03:14-03","JBP","HPL","9406","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,"R. Tsuji","R. Tsuji","2116","2007","09","05",NA,"Brasil","SP","Iguape","Coletado nas proximidades do município de Iguape; Bairro Jaeri, em estrada de terra.","-47.55","-24.7",NA,NA,NA,NA,NA,NA,"2007","09",NA,NA,NA,NA,"55628","auto","05",NA,NA,NA
"27","2015-07-02 14:03:14-03","JBP","HPL","10297","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,"R. Tsuji","R. Tsuji & A. Bonassa","2409","2007","12","20",NA,"Brasil","SP","Iguape","Estrada de terra entrando para o bairro Jaire pela cidade de Iguape lado direito.","-47.55","-24.7",NA,NA,NA,NA,NA,NA,"2007","12",NA,NA,NA,NA,"55628","auto","20",NA,NA,NA
"28","2019-11-21 14:40:08-03","UFJF","CESJ","39858","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","M. Sobral","F.R. Couto","11","2002","05","29","América do Sul","Brasil","Minas Gerais","Caratinga","Est. Ecológica de Caratinga, mata do Jaó","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,"CESJ039858",NA,"2002","06",NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA
"29","2019-08-20 10:21:06-03","UNICAMP","UEC","147712","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg","Sobral, M","Campos, MCR; Assis, MA; Guilherme, FAG; Mania, L; Grejanin, M","124","2006","03","28",NA,"Brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,NA,"indivíduo E0166, altura 6m","UEC023590","UEC023590","2007","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:36:19-03","UNICAMP","UEC","160923","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg","Cavalin, PO","Cavalin, PO","35","2009","11","12",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio","-45.092778","-23.396667","348","395",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039358","UEC039358","2010","06","-45.092778","-23.396667",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:36:19-03","UNICAMP","UEC","160956","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg","Cavalin, PO","Cavalin, PO","68","2009","03","15",NA,"Brazil","São Paulo","Ubatuba","Sertão da Fazenda","-44.8325","-23.365556","64","89",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039323","UEC039323","2010","06","-44.8325","-23.365556",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:36:19-03","UNICAMP","UEC","178242","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg","Sobral, M","Rochelle, ALC","J1672",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral.","-45.088889","-23.371389","450","450",NA,"Indivíduo J1672 da parcela J do Projeto Temático BIOTA - Gradiente funcional.&nf;; Floresta Ombrófila Densa Submontana.","UEC041679","UEC041679","2008","03","-45.088889","-23.371389",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:36:19-03","UNICAMP","UEC","78545","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg",NA,"Leite, EC; et al.","29252","1993","11","10",NA,"Brazil","São Paulo","Ubatuba","Próximo à margem do Rio da Fazenda, Picinguaba","-44.816667","-23.333333",NA,NA,NA,"Árvore","UEC023589","UEC023589",NA,NA,"-44.816667","-23.333333",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:36:19-03","UNICAMP","UEC","67907","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","O.Berg",NA,"Ponte, ACE; et al.","29803","1993","11","11",NA,"Brazil","São Paulo","Ubatuba","Morro do Puruba, Planície Litorânea","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Arbusto com 3m de alt., frutos imaturos verdes.","UEC023587","UEC023587",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"35","2021-03-01 16:36:19-03","UNICAMP","UEC","113791","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, ML","Sanchez, M; Pedroni, F","703","1997","09","10",NA,"Brazil","São Paulo","Ubatuba","Picinguaba","-44.8","-23.366667",NA,NA,NA,"Mata de planície. Restinga. Árvore 742 com 7m de alt.; vegetativo.","UEC023575","UEC023575","1997",NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:36:19-03","UNICAMP","UEC","116131","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, ML","Oliveira, AA; Forster, W; Ferreira, L; Zidko, A; Baptista, VR; Mendonça; Cielo-Filho, R","3671","2000","04","23",NA,"Brazil","São Paulo","São Sebastião","Praia da Baleia - Rua Olavo Pazzanesi, 100m da antiga Rio-Santos, remanescente margeando loteamentos. .","-45.665083","-23.774361",NA,NA,NA,"Árvore ca. 5m alt.; frutos verde imaturo. Interior da mata.; CAxetal com perturbação","UEC023573","UEC023573","2000",NA,"-45.665083","-23.774361",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:36:19-03","UNICAMP","UEC","116132","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, ML","Oliveira, AA; Forster, W; Ferreira, L; Zidko, A; Baptista, VR; Mendonça; Cielo-Filho, R","3653","2000","04","23",NA,"Brazil","São Paulo","São Sebastião","Praia da Baleia - Rua Olavo Pazzanesi, 100m da antiga Rio-Santos, remanescente margeando loteamentos. .","-45.665083","-23.774361",NA,NA,NA,"Árvore ca. 4m alt. Frutos imaturos verde claro, flores velhas. Interior da mata.; CAxetal com perturbação","UEC023576","UEC023576","2000",NA,"-45.665083","-23.774361",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:36:19-03","UNICAMP","UEC","116498","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, ML","Franco, G; Matteo, BC; Giarola, N; Nogueira, L; Passold, AJ; Fonseca, MG","2994","2000","04","23",NA,"Brazil","São Paulo","São Sebastião","Praia da Baleia - Rua Olavo Pazzanesi, 100m da antiga Rio-Santos, remanescente margeando loteamentos. .","-45.665","-23.774167",NA,NA,NA,"ÁRvore com arpoximadamente 3m alt. Frutos imaturos verdes. Borda de estrada.; CAxetal com perturbação",NA,NA,"2000","06","-45.665","-23.774167",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:36:19-03","UNICAMP","UEC","121540","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, FF","Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY; et al.","2173","2001","04","12",NA,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Trilha do Rio Branco.","-46.7","-23.983333","700","800",NA,"Árvore, 3m alt. Flores róseas.; Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campo adjacentes.","UEC023574","UEC023574","2002","10","-46.7","-23.983333",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:36:19-03","UNICAMP","UEC","174025","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"Pedroni, F; Belinello, R; Sanchez, M; Laps, RR","1354","1997","02","04",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-44.812222","-23.311111","300","300",NA,"Árvore 112 com 7 m de altura, vegetativo.; Mata Atlântica de Encosta, Morro do Corisco.","UEC089213","UEC089213",NA,NA,"-44.812222","-23.311111",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:36:19-03","UNICAMP","UEC","174146","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Rawasaki, L","Sanchez, M; Pedroni, F","730","1996","09","17",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Mata Atlântica de Encosta.","-44.8","-23.366667","120","120",NA,"Árvore 124 com 10m de altura, frutos imaturos verdes.; Próximo à trilha do Corisco.","UEC089088","UEC089088","1997",NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:36:19-03","UNICAMP","UEC","73595","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, FF","Bernacci, LC; Cardoso, EG; Camargo, O; Falivene, SMP","272","1994","05","19",NA,"Brazil","São Paulo","Pariquera-Açu","E.E. Pariquera-Açu, Mata alta e pluriestratifica, com bromeliáceas epífitas, 19 V-94.","-40.616667","-22.716667",NA,NA,NA,"Árvore, 12m alt., frutos em maturação arroxeados.",NA,NA,"2004","02","-40.616667","-22.716667",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-07-06 21:42:33-03","UFPB","JPB","24158","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae","Eugenia","linguiformis","Eugenia linguiformis","Berg.",NA,"Ponte, AC; et al.","JPB24158","1993","11","11","Southern America","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"44","2020-12-04 13:19:27-03","UDESC","LUSC","5444","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"M.Szututman; Walmir","314","1999","07","12",NA,"Brasil","São Paulo","Pariquera-Açu","Parque Estadual de Campina do Encantado, Morro do Carrapato.","-47.8800010681152","-24.7099990844727",NA,NA,NA,"Floresta Ombrófila Densa;;;Frutos vinho escuro, globosos.. Habitat: floresta alta de Restinga Habito: árvore","LUSC007097","LUSC007097",NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"45","2014-10-14 15:56:58-03","BS","M","M-0137716","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M0137716",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,"NOTATYPE",NA,NA
"46","2021-02-12 18:12:20-03","UFES","VIES","14076","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Assis, A.M.","Assis, A.M.","s.n.",NA,NA,NA,NA,"Brasil","Espírito Santo","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"VIES014076","VIES014076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-06-27 10:25:52-03","UFES","VIES","14157","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"Assis, A.M.; Zambom, O.","443","1998","03","24",NA,"Brasil","Espírito Santo","Guarapari","Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"VIES014157","VIES014157",NA,NA,NA,NA,NA,NA,"28401","auto",NA,NA,NA,NA
"48","2019-06-27 10:25:52-03","UFES","VIES","14158","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"Assis, A.M.","720","1999","09","09",NA,"Brasil","Espírito Santo","Guarapari","Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"VIES014158","VIES014158",NA,NA,NA,NA,NA,NA,"28401","auto",NA,NA,NA,NA
"49","2020-06-29 09:31:29-03","UFRRJ","RBR","30672","S","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.",NA,"L.F.T. Menezes","1085","2003","09","20",NA,"Brasil","Rio de Janeiro","Três Rios","Fazenda Sossego, Coord: 22º09#?#27'S e 43º08#?#54' W","-43.2092018127441","-22.11669921875",NA,NA,NA,NA,"RBR00030672","RBR00030672","2016","07",NA,NA,NA,NA,"24903","auto","11",NA,NA,NA
