"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"27","2021-03-15 16:37:00-03","NY","NYBG","602304","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","T. M. Koyama","1970","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602304","13739","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Paraná","Along highway #87 between Urai and Cornélio Procópio.",NA,NA,"NY00602304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00925769","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","W. R. Anderson","1973","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925769","8397","Magnoliophyta","Poales","(Retz.) Link",NA,"Minas Gerais","12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.68024","-18.32666","NY00925769_01",NA,"1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","602311","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J. G. Jardim","1997","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602311","1176","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Bahia","Estrada Real, entrada a ca. 1,5 km ao L de Rio de Contas.","-41.8114","-13.5792","NY00602311_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","602303","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Davidse","1976","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602303","11400","Magnoliophyta","Poales","(Retz.) Link",NA,"Paraná","17 km N of Castro along Highway PR-11.","-49.968241","-24.650912","NY00602303_01",NA,"960","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00925753","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","H. S. Irwin","1958","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925753","2281","Magnoliophyta","Poales","(Retz.) Link","A. P. do N. Prata","Minas Gerais","State Agricultural School.","-42.868031","-20.7613428","NY00925753_01","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00925756","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","H. S. Irwin","1966","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925756","13324","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Goiás","Serra dos Cristais, ca. 2 km N. of Cristalina","-47.6","-16.73193","NY00925756_01","Cristalina","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 14:56:00-03","NY","NYBG","636948","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","R. L. Liesner","1980","03","13","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636948","9650","Magnoliophyta","Poales",NA,"G. Davidse","Táchira","On Rio San Buena, 10 km W of La Fundacion.",NA,NA,NA,NA,"700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-10-28 15:21:00-02","NY","NYBG","00925779","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","M. Alves","2000","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925779","2138","Magnoliophyta","Poales",NA,NA,"Minas Gerais","Parque Nacional da Serra do Cipó, trilha para o Capão dos Palmitos em direção ao córrego dos Confins.","-43.7447","-19.5136","NY00925779_01","Jaboticatubas","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 14:56:00-03","NY","NYBG","636949","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","M. Moraes","1985","09","06","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636949","502","Magnoliophyta","Poales",NA,"E. R. Guaglianone","Pando","Barraca Trinidadcito, río Madre de Dios.",NA,NA,NA,"Madre de Dios","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-11-01 11:56:00-02","NY","NYBG","602312","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","E. C. Soares","1921","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602312","5427","Magnoliophyta","Poales",NA,"R. Gross","São Paulo","Villa C.Cesar, S.Paulo.","-49.16475","-23.034334","NY00602312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01177050","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","L. Coradin","1977","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177050","814","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Roraima",NA,NA,NA,"NY01177050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","687573","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","H. S. Irwin","1966","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687573","14753","Magnoliophyta","Poales","(Retz.) Link","A. P. do N. Prata","Bahia","Drainage of the Rio Corrente, western Bahia. Rio Piau, ca. 150 km SW of Barreiras",NA,NA,"NY00687573_01",NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","602297","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","R. M. Harley","1977","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602297","19391","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Bahia","19.5 km. S.E. of the town of Morro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido. Morro do Chapeu.","-41.03","-11.63","NY00602297_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","602296","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","R. M. Harley","1977","03","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602296","19216","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Bahia","19.5 km SE of Morro do Chapeu on the BA 052 road to Mundo Novo by the Rio Ferro Doido. Morro do Chapeu.","-41.03","-11.63","NY00602296_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00925781","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","W. D. Clayton",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925781","4846","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Distrito Federal","Universidade da Brasilia.","-47.9294","-15.7797","NY00925781_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-10-28 15:21:00-02","NY","NYBG","00925775","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","I. Cordeiro","1981","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925775","817","Magnoliophyta","Poales",NA,"S. J. Mayo","Minas Gerais","Atrás da cidade.","-42.8894","-16.5594","NY00925775_01","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
