"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","monthIdentified","relatedCatalogItem","dayIdentified"
"18","2020-09-12 05:00:02-03","US","US","1126278","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","F. Morel","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,"Sheet mounted with fragmentary material of type specimen ex herb. L. Specimen made from cultivated plant? Additional fragmentary material mounted on sheet from cultivated plants at K are apparently not type material.","US00902214","US00902214_01","Soreng, R. J., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,NA,"Monocotyledonae",NA,NA,NA,"Isotype","1",NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1126278","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Collector unknown","s.n.","1848","8",NA,"South America - Neotropics","Brazil","Bahia",NA,"North of Esplanda city on road to Jaquera.",NA,NA,NA,NA,"US00902214","US00902214_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2925787","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","C. E. Calderón","2381","1976","4","21","South America - Neotropics","Brazil","Bahia",NA,"Una",NA,NA,NA,NA,"US00029989","US00029989_01 US00029989_02","Judziewicz, E. J.","180","190","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3090795","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","T. S. Santos & E. J. Judziewicz","4266","1986","3","2","South America - Neotropics","Brazil","Bahia",NA,"Una muncipality, km 15.6 of rodovia sao jose/una, 10 km by air se sao jose",NA,NA,NA,NA,"US00057284","US00057284_01 US00057284_02",NA,"160","160","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2925785","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","C. E. Calderón","2381","1976","4","21","South America - Neotropics","Brazil","Bahia",NA,"Una",NA,NA,NA,NA,"US00029991","US00029991_01 US00029991_02","Judziewicz, E. J.","180","190","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"23","2019-10-07 09:21:35-03","UEFS","HUEFS","217406","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Oliveira, R.P.","2233","2015","07","25",NA,"Brasil","Bahia","Una","Estrada para São José, Km 15 a partir da BR 101.","-39.263889","-15.131389",NA,"Mata higrófila.","HUEFS0217406",NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA,"39W15'50''","15S7'53''",NA,NA,NA
"24","2019-10-07 09:21:35-03","UEFS","HUEFS","226925","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Vieira, J.P.S.","1","2016","06","11",NA,"Brasil","Bahia","Una","BA-669, estrada São José da Vitória-Una, Fazenda Santa Rosa (Reserva indígena).","-39.293611","-15.098611",NA,NA,"HUEFS0226925","HUEFS0226925",NA,"354","354","Lilianae",NA,NA,NA,NA,NA,"39W17'37''","15S5'55''",NA,NA,NA
"25","2019-10-07 09:21:35-03","UEFS","HUEFS","76464","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Oliveira, R.P.","976","2003","10","30",NA,"Brasil","Bahia","Ilhéus","Quadra D do Ceplac, atrás da casa das preguiças, à esquerda.","-39.221944","-14.772222",NA,"Mata atlântica.","HUEFS0076464","HUEFS0076464",NA,"30","30","Lilianae",NA,NA,NA,NA,NA,"39W13'19''","14S46'20''",NA,NA,NA
"26","2019-10-07 09:21:35-03","UEFS","HUEFS","48794","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Oliveira, R.P.","704","2000","10","05",NA,"Brasil","Bahia","Una","Ca 8,6km da BR 101, na estrada de São José para Una (ca 42km de Una).","-39.0752983093262","-15.2932996749878",NA,"Mata Higrófila.","HUEFS0048794","HUEFS0048794","R.P.Oliveira",NA,NA,"Lilianae","2004","36070","auto",NA,NA,NA,NA,"01",NA,NA
"27","2019-10-07 09:21:35-03","UEFS","HUEFS","182029","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Ferreira, F.M.","2063","2008","11","26",NA,"Brasil","Bahia","Ilhéus","CEPLAC: Quadra D","-39.0494003295898","-14.7889003753662",NA,"Floresta Ombrófila Densa.","HUEFS0182029","HUEFS0182029",NA,NA,NA,"Lilianae",NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-07-23 12:18:19-03","CEPLAC","CEPEC","150021","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"Jardim, J.G.","6786","2015","10","09",NA,"Brasil","Bahia","BUERAREMA","Comunidade Indígena Serra do Padeiro. Acesso pela Rod. São José-Una, entrada c. 10 km da BR101.","-39.258333","-15.069722",NA,"Foto. Genética <ll>dwc_commonname:</ll>",NA,NA,"J. Jardim","170","170",NA,NA,NA,NA,NA,NA,"39W15'30","15S4'11",NA,NA,NA
"29","2020-07-23 12:18:19-03","CEPLAC","CEPEC","39315","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"T. S. dos Santos","4266","1986","03","12",NA,"Brasil","Bahia","UNA","Km 15.6 da Rod. São José/Una. Serra ao S da Rod.","-38.268056","-15.115278",NA,NA,NA,NA,"T. S. dos Santos",NA,NA,NA,NA,NA,NA,NA,NA,"38W16'5","15S6'55",NA,"30/12/1986",NA
"30","2020-07-23 12:18:19-03","CEPLAC","CEPEC","81483","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"V. C. Hollowell","3000","1982","01","20",NA,"Brasil","Bahia","UNA","9Km ao S de São José BR-101, aprox. 50Km ao NW de Una estr. de terra velha p/ Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"V. C. Hollowell",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,"30/12/1982",NA
"31","2020-07-23 12:18:19-03","CEPLAC","CEPEC","61208","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"V. Hollowell","3001","1982","01","20",NA,"Brasil","Bahia","UNA","9Km ao S de São José, BR-101, aprox. 50Km NW de Una na Rod antiga para Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"V. Hollowell",NA,NA,NA,NA,"36070","auto",NA,NA,"0W0'0","0S0'0",NA,"30/12/1982",NA
"32","2020-07-23 12:18:19-03","CEPLAC","CEPEC","61216","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"V. Hollowell","3000","1982","01","20",NA,"Brasil","Bahia","UNA","9Km ao S de Sãoo José, BR-101, aprox. 50Km NW de Una na estrada velha para Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"V. Hollowell",NA,NA,NA,NA,"36070","auto",NA,NA,"0w0'0","0S0'0",NA,"30/12/1982",NA
"33","2020-07-23 12:18:19-03","CEPLAC","CEPEC","56581","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"A. M. Amorim","831","1992","10","08",NA,"Brasil","Bahia","UNA","Estrada São José/Una, Km 9 a partir da BR. Faz. Sta. Rosa.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"G. Davidse",NA,NA,NA,NA,"36070","auto",NA,NA,"0W0'0","0S0'0",NA,"30/12/1993",NA
"34","2020-07-23 12:18:19-03","CEPLAC","CEPEC","14278","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"T. S. dos Santos","3236","1978","07","11",NA,"Brasil","Bahia","UNA","Km 9 Rod. São José/Colonia.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"G. Davidse",NA,NA,NA,NA,"36070","auto",NA,NA,"0W0'0","0S0'0",NA,"30/12/1979",NA
"35","2020-07-23 12:18:19-03","CEPLAC","CEPEC","81482","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"T. S. dos Santos","3880","1983","10","18",NA,"Brasil","Bahia","UNA","Rod. São José /Una, 8Km a E da BR-101, perto de Buerarema.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"T. S. dos Santos",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,"30/12/1983",NA
"36","2020-07-23 12:18:19-03","CEPLAC","CEPEC","29026","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"C. E. Calderon","2381","1976","04","21",NA,"Brasil","Bahia","UNA","Sem informação.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"S. A. Renvoize",NA,NA,NA,NA,"36070","auto",NA,NA,"0W0'0","0S0'0",NA,"30/12/1982",NA
"37","2020-07-23 12:18:19-03","CEPLAC","CEPEC","50542","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea",NA,"A. M. de Carvalho","3335","1991","05","14",NA,"Brasil","Bahia","UNA","Sem informação.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"M. Kobayashi",NA,NA,NA,NA,"36070","auto",NA,NA,"0W0'0","0S0'0",NA,"30/12/1991",NA
"38","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Brongniart, AT","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"qui specimen in Horto Parisiensi cultum benigne mecum communicavit.; HABITAT: qui specimen in Horto Parisiensi cultum benigne mecum communicavit.",NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Morel, F","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Brongniart, AT","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"E provincia Bahiensi accepit hoc gramen",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","?","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"qui specimen in horto Parisiensi cultum benigne mecum communicavit",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Morel, F","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"E provincia Bahiensi accepit hoc gramen",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Morel, F","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"E provincia Bahiensi accepit hoc gramen",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Brongniart, AT","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"E provincia Bahiensi accepit hoc gramen",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","?","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"qui specimen in horto Parisiensi cultum benigne mecum communicavit",NA,NA,NA,NA,NA,"P02P2N0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-02-08 12:52:33-03","UFRGS","ICN","129824","S","Plantae","Monocotyledon",NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Longhi-Wagner, HM; de Oliveira -, RP","7438","2001","03","15","América do Sul","Brasil","BA","São josé - Una",NA,NA,NA,NA,"único local de onde é conhecida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:52:33-03","UFRGS","ICN","131765","S","Plantae","Monocotyledon",NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Longhi-Wagner, HM; Oliveira, RP","9240","2004","03","13","América do Sul","Brasil","BA","Una","8 5 km da BR-101 de São José para Una (entrada na placa Unacau) 15°0 5'37 7 S 39°17'18 6 W","-39.288333","-15.093611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-39.288333","-15.093611",NA,NA,NA
"48","2019-11-21 10:14:39-03","IBt","SP","349349","S","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Calderón, CE; Santos, TS; Oliveira, LB","2381","1976","04","21",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"SP040454","SP040454","Filgueiras, TS","180","190",NA,"2008","36070","auto",NA,NA,NA,NA,NA,NA,NA
"49","2019-11-21 10:14:39-03","IBt","SP","349696","S","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Hollowell, VC; Santos, TS; Carvalho, A","3003","1982","01","20",NA,"Brasil","Bahia","Una","9 km S of São José on BR 101, approx. 50 km NW of Una on the old dirt road to Una.","-39.0752983093262","-15.2932996749878",NA,NA,"SP040451","SP040451","Filgueiras, TS","195","195",NA,"2008","36070","auto",NA,NA,NA,NA,"10",NA,"23"
