"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","locality","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","verbatimLongitude","verbatimLatitude","relatedCatalogItem","imagecode","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","preparationType"
"11","2020-10-14 10:05:03-03","FURB","FURB","53111","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Funez, L.A.","6196","2017","03","16","Brasil","Subida, próximo ao Ativa Rafting.",NA,"FURB53111",NA,NA,NA,NA,"Santa Catarina","Apiúna","-49.4375","-27.0763889",NA,NA,NA,NA,"-49.4375000","-27.0763889",NA,"FURB53111","103","103",NA,NA,NA
"12","2021-03-24 17:18:25-03","UFMA","MAR","8633","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"AMORIM, G. S","88","2015","01","24","Brasil","Praia do Araçagy",NA,NA,NA,NA,NA,NA,"Maranhão","Paço do Lumiar","-44.183333","-2.463806",NA,NA,NA,NA,"44º11'00.0W","02º27'49.7S",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-24 17:18:25-03","UFMA","MAR","10557","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"DIAS, K. N. L","314","2017","08","26","Brasil","Sitio Aguahy","Espiguetas saciformes. Coletada em área alagada",NA,NA,NA,NA,NA,"Maranhão","São José de Ribamar","-44.127417","-2.649333",NA,NA,NA,NA,"44º07'38.7W","2º38'57.6S",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-24 17:18:25-03","UFMA","MAR","10556","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"DIAS, K. N. L","312","2017","08","26","Brasil","Sitio Aguahy","Espiguetas saciformes. Coletada em área alagada",NA,NA,NA,NA,NA,"Maranhão","São José de Ribamar","-44.127417","-2.649333",NA,NA,NA,NA,"44º07'38.7W","2º38'57.6S",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-24 17:18:25-03","UFMA","MAR","10224","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"ALMEIDA JR., E. B.","1347","2017","07","01","Brasil","Praia de Panaquatira",NA,NA,NA,NA,NA,NA,"Maranhão","Paço do Lumiar","-44.050583","-2.475306",NA,NA,NA,NA,"44º3'2.1W","2º28'31.1S",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-24 17:18:25-03","UFMA","MAR","10617","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"DIAS, K. N. L","74","2015","01","24","Brasil","Praia do Araçagy","Coletada em área úmida",NA,NA,NA,NA,NA,"Maranhão","Paço do Lumiar","-44.181778","-2.463611",NA,NA,NA,NA,"44º10'54.4W","2º27'49.0S",NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1233375","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","S. Laegaard (AAU)","Benjamin Øllgaard|Hugo Navarrete","Øllgaard 105397","1994","11","3","Ecuador","Road Lita-San Lorenzo, km 26.2. Open road banks with barren blackish soil.",NA,NA,NA,NA,NA,"South America","Esmeraldas",NA,"-78.56666","0.95",NA,NA,NA,NA,NA,NA,NA,NA,"650.00000000",NA,NA,NA,NA
"18","2012-10-17 05:07:00-03","MO","MOBOT","1917440","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","G. Davidse (MO)","José L. Hage","Hage 1588","1982","1","6","Brazil","Mpio. de Ilheus. Area do CEPEC (Centro de Pesquisas do Cacau), km 22 a Rodovia Ilheus/Itabuna (BR 415). Região de Mata Higrófila Sul Baiana. Quadra 1",NA,NA,NA,NA,NA,"South America","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.00000000",NA,NA,NA,NA
"19","2020-08-25 20:30:00-03","MO","MOBOT","2158708","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Gerrit Davidse, 2005 (MO)","L. Cayola|et al.","Cayola Pérez 1269","2004","9","10","Bolivia","Area Natural de Manejo Integrado Apolobamba, Quita Calzon. Bosque yungueño subandino inferior pluvial.",NA,NA,NA,NA,NA,"South America","La Paz","Bautista Saavedra","-68.5122222","-15.1511111",NA,NA,NA,NA,NA,NA,NA,NA,"788.00000000",NA,"04-10","4",NA
"20","2020-08-25 19:16:00-03","MO","MOBOT","2159802","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Gerrit Davidse, 2005 (MO)","L. Cayola|A. Antezana|F. Miranda|C. Cuevas|D. Cuevas","Cayola Pérez 1238","2004","9","8","Bolivia","Área Natural de Manejo Integrado Apolobamba, Pauje Yuyo, 1.8 km NE de la comunidad.",NA,NA,NA,NA,NA,"South America","La Paz","Bautista Saavedra","-68.4483333","-15.0386111",NA,NA,NA,NA,NA,NA,NA,NA,"1020.00000000",NA,"04-09","8",NA
"21","2010-07-06 15:45:00-03","MO","MOBOT","231980","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","G. DAvidse (MO)","Francesca T. Grifo|James C. Solomon","Grifo 768","1988","1","23","Bolivia","16.2 km from Guanay",NA,NA,NA,NA,NA,"South America","La Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200.00000000",NA,NA,"1",NA
"22","2009-06-27 16:40:00-03","MO","MOBOT","2668613","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Simon Lægaard","Lægaard 20057","1999","5","12","Ecuador","Lita - San Lorenzo km 20",NA,NA,NA,NA,NA,"South America","Esmeraldas",NA,"-78.55","0.8666667",NA,NA,NA,NA,NA,NA,NA,NA,"900.00000000",NA,NA,"1",NA
"23","2009-06-27 16:40:00-03","MO","MOBOT","2668708","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Simon Lægaard","Lægaard 20088","1999","5","13","Ecuador","San Lorenzo - Lita, ca km 55-60.",NA,NA,NA,NA,NA,"South America","Esmeraldas",NA,"-78.58333","0.91666",NA,NA,NA,NA,NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA
"24","2019-10-30 16:25:00-03","MO","MOBOT","2772596","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","G. Davidse","F. Miranda|Rúben Huanca|Pamela Mollinedo","Miranda Aviles 758","2005","4","25","Bolivia","Área Natural de Manejo Integrado Apolobamba, orilla del camino carretero entre Quita Calzon y Florida.",NA,NA,NA,NA,NA,"South America","La Paz","Bautista Saavedra","-68.5416666","-15.1663889",NA,NA,NA,NA,NA,NA,NA,NA,"1010.00000000",NA,"05-05","5",NA
"25","2010-04-13 11:35:00-03","MO","MOBOT","3430164","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Gerrit Davidse","Thomas B. Croat|Geneviève Ferry","Croat 99058","2007","9","23","Ecuador","Vicinity of Ecuacorrientes mining company, Valley of Río Quime, trail along Río Waiwaime near its mouth at Río Quime.",NA,NA,NA,NA,NA,"South America","Zamora-Chinchipe",NA,"-78.4630556","-3.5625",NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,"4321","3",NA
"26","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","53255",NA,"Plantae",NA,"Gramineae","Sacciolepis","indica","Sacciolepis indica","Chase","T. Filgueiras/2015","P.J. Coelho","238","2015","05","02","Brasil","Rodovia ES 261 Santa Teresa X Fundão. Em frente à loja de Biscoitos Claid#?#s","Erva anual delgada. Abundante e cresendo em local úmido","MBML053255",NA,NA,NA,NA,"Espírito Santo","Santa Teresa","-40.5625","-19.918611",NA,NA,NA,NA,"40W33'45","19S55'7",NA,"MBML053255",NA,NA,NA,NA,NA
"27","2020-09-02 16:37:44-03","Cenargen","CEN","10560","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","J. F. M. Valls","J. L. Hage","1742","1983","11","17","Brasil","Área do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus - Itabuna BR-415.","Doação do Herbário Centro de Pesquisas do Cacau. Plantas da Região Cacaueira da Bahia. CEPLAC.","CEN00010560","1986","09",NA,NA,"BA","ILHEUS","-39.0494003295898","-14.7889003753662","61245","auto",NA,NA,NA,NA,NA,"CEN00010560","50","50",NA,"1","Exsicatas"
"28","2021-03-25 13:53:16-03","UNIVILLE","JOI","12014","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","L.A. Funez","L.A. Funez","382","2012","02","27","Brasil","Centro de Rodeio.","; HABITAT: terreno baldio; HABITO: erva terrícola","JOI012014",NA,NA,NA,NA,"Santa Catarina","Rodeio","-49.371111","-26.924444",NA,NA,NA,NA,"49º22'16''W","26º55'28''S",NA,NA,"239","239",NA,NA,NA
"29","2021-03-25 13:53:16-03","UNIVILLE","JOI","10990","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","J.Z. Berger","D. Bussmann","67","2006","03","19","Brasil","Ilha das Flores.","; HABITAT: restinga","JOI010990","2006","05","19",NA,"Santa Catarina","São Francisco do Sul","-48.6380996704102","-26.2432994842529","23627","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-07 09:22:28-03","UEFS","HUEFS","131992","PreservedSpecimen","Plantae","Angiospermae","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Pimenta, K.M.","25","2007","12","27","Brasil","Reserva Ecológica de Michelin, Mata da Vila 5.","Mata Altântica","HUEFS0131992",NA,NA,NA,NA,"Bahia","Igrapiúna","-39.116667","-13.816667",NA,NA,"Lilianae","Poales","39W7'","13S49'",NA,"HUEFS0131992",NA,NA,NA,NA,NA
"31","2019-10-07 09:22:28-03","UEFS","HUEFS","140106","PreservedSpecimen","Plantae","Angiospermae","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Oliveira, R.P.","1405","2007","12","26","Brasil","Rodovia para Igrapiúna. Reserva Ecológica de Michelin. Cachoeira da Pancada Grande Grande.","Mata Atlântica.","HUEFS0140106",NA,NA,NA,NA,"Bahia","Ituberá","-39.133333","-13.816667",NA,NA,"Lilianae","Poales","39W8'","13S49'",NA,"HUEFS0140106",NA,NA,NA,NA,NA
"32","2020-07-23 12:19:00-03","CEPLAC","CEPEC","33546","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica",NA,"S. A. Renvoize","J. L. Hage","1742","1983","11","17","Brasil","Area do CEPEC.",NA,NA,NA,NA,NA,NA,"Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662","61245","auto",NA,NA,"0W0'0","0S0'0","30/01/1985",NA,NA,NA,NA,NA,NA
"33","2020-07-23 12:19:00-03","CEPLAC","CEPEC","29269","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica",NA,"S. A. Renvoize","J. L. Hage","1648","1982","08","03","Brasil","Quadra I' do CEPEC.",NA,NA,NA,NA,NA,NA,"Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662","61245","auto",NA,NA,"0W0'0","0S0'0","01/10/1983",NA,NA,NA,NA,NA,NA
"34","2020-07-23 12:19:00-03","CEPLAC","CEPEC","27223","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica",NA,"G. Davidse","J. L. Hage","1588","1982","01","05","Brasil","Quadra I' do CEPEC.",NA,NA,NA,NA,NA,NA,"Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662","61245","auto",NA,NA,"0W0'0","0S0'0","30/12/1982",NA,NA,NA,NA,NA,NA
"35","2020-08-20 20:41:41-03","UFSC","FLOR","51207","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Ferreira, J.P.R.","Hassemer, G.N.; Trevisan, R.","716","2013","09","12","Brasil","Aterro da Costeira, em barranco perto da rodovia.","erva","FLOR0051207","2013",NA,NA,NA,"Santa Catarina","Florianópolis","-48.538611","-27.610278",NA,NA,NA,"Poales","48º32'19''W","27º36'37''S",NA,"FLOR0051207","6","6",NA,NA,NA
"36","2020-08-20 14:59:57-03","UFSC","FLOR","61361","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Zannin, A.","Zannin, A.; Trevisan, R.","1661","2016","04","16","Brasil","Fazenda Experimental da Ressacada, Universidade Federal de Santa Catarina Tapera, Ilha de Santa Catarina.",NA,"FLOR0061361","2016","04",NA,NA,"Santa Catarina","Florianópolis","-48.543056","-27.683611",NA,NA,NA,"Poales","48º32'35''W","27º41'1''S",NA,"FLOR0061361","10","10",NA,NA,NA
"37","2020-08-20 20:41:41-03","UFSC","FLOR","37136","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Ferreira, J.P.R.","Zanin, A.; Santos, B.H.","1569","2009","01","23","Brasil","Ingleses, Ilha de Santa Catarina.","Comum.","FLOR0037136","2014",NA,NA,NA,"Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,"Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:42:14-03","IF","SPSF","52842","PreservedSpecimen","Plantae","Magnoliophyta","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) (Chase)","T.S.Figueiras","R.T. & Shirasuna","3189","2014","02","12","Brasil",NA,"COLETA: Herbáceae decumbente. Inflorescência esverdeada.; GEOGRAFIA: Rodoanel norte, lote 6, OAE 603;",NA,NA,NA,NA,"América do Sul","SP","Guarulhos","-46.433056","-23.386667",NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,"772","772",NA,NA,NA
"39","2021-02-08 12:54:21-03","UFRGS","ICN","134940","S","Plantae","Monocotyledon","Poaceae","Sacciolepis","cf. indica","Sacciolepis cf. indica","(L.) Chase",NA,"Harley, RM","26662","1988","11","29","Brasil","Pico das Almas","Doação SPF",NA,NA,NA,NA,"América do Sul","BA","Rio de Contas","-41.8114013671875","-13.5789003372192","49773","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 12:54:21-03","UFRGS","ICN","134943","S","Plantae","Monocotyledon","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Harley, RM; et al.","25272","1988","10","20","Brasil",NA,"Doação SPF",NA,NA,NA,NA,"América do Sul","MG","Jequitinhonha","-41.0032997131348","-16.4339008331299","48921","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-08 12:54:21-03","UFRGS","ICN","176062","S","Plantae","Monocotyledon","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Bonilha, CL","Bonilha, CL","407","2011","10","22","Brasil","Fazenda Pedra Mole",NA,NA,"2012","01","10","América do Sul","RS","São Lourenço do Sul","-51.9782981872559","-31.3652992248535","48842","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:16:46-03","IBt","SP","203417","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Hara, H; Takehara, A; Kato, N","76","1983","09","15","Japão",NA,NA,"SP038199",NA,NA,NA,NA,"Honshu","Iwate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP038199",NA,NA,NA,NA,NA
"43","2019-11-21 10:16:46-03","IBt","SP","409591","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Filgueiras, TS; Shirasuna, RT","Shirasuna, RT","1972","2008","12","08","Brasil","Sisterna, área de supressão do rodoanel, lote 5.",NA,"SP038195","2009","01","21",NA,"São Paulo","Itapecerica da Serra","-46.820278","-23.70075",NA,NA,NA,NA,"-46.820278","-23.70075",NA,"SP038195","749","749",NA,NA,NA
"44","2019-11-21 10:16:46-03","IBt","SP","412828","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Filgueiras, TS; Shirasuna, RT","Shirasuna, RT","2360","2009","05","08","Brasil","Rodoanel, trecho sul, lote 5.",NA,"SP038197","2009","05",NA,NA,"São Paulo","Itapecerica da Serra","-46.818333","-23.699722",NA,NA,NA,NA,"-46.818333","-23.699722",NA,"SP038197","784","784",NA,NA,NA
"45","2019-11-21 10:16:46-03","IBt","SP","352077","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Simon, BK","Blake, ST","16192","1946","06","27","Austrália","Near Hayes Creek Farm.",NA,"SP038200",NA,NA,NA,NA,"Northern",NA,"131.466667","-13.583333",NA,NA,NA,NA,"131.466667","-13.583333",NA,"SP038200","107","107",NA,NA,NA
"46","2019-11-21 10:16:46-03","IBt","SP","475595","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Rodrigues, RS","Rodrigues, RS","214","2011","10","25","Brasil","Fazenda Campininha, Gleba A.",NA,"SP038198","2012","01","09",NA,"São Paulo","Mogi Guaçu","-47.171667","-22.269722",NA,NA,NA,NA,"-47.171667","-22.269722",NA,"SP038198","630","630",NA,NA,NA
"47","2019-11-21 10:16:46-03","IBt","SP","475596","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Rodrigues, RS","Rodrigues, RS; Silva, CV","291","2012","06","19","Brasil","Fazenda Campininha, Gleba A.",NA,NA,"2012","07",NA,NA,"São Paulo","Mogi Guaçu","-47.160278","-22.2625",NA,NA,NA,NA,"-47.160278","-22.2625",NA,NA,"629","629",NA,NA,NA
"48","2019-11-21 10:16:46-03","IBt","SP","488156","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Shirasuna, RT","Shirasuna, RT","3189","2014","02","12","Brasil","Lote 6 OEA 606-607",NA,NA,"2014",NA,NA,NA,"São Paulo","Guarulhos","-46.45325","-23.393944",NA,NA,NA,NA,"-46.45325","-23.393944",NA,NA,"797","797",NA,NA,NA
"49","2019-11-21 10:16:46-03","IBt","SP","415262","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Shirasuna, RT","2489","2009","08","06","Brasil","Rodoanel, trecho sul, lote 3. Beira da Represa Billings.",NA,"SP038196",NA,NA,NA,NA,"São Paulo","São Bernardo do Campo","-46.103333","-23.763889",NA,NA,NA,NA,"-46.103333","-23.763889",NA,"SP038196","740","740",NA,NA,NA
"50","2019-11-21 10:16:46-03","IBt","SP","425873","S","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase",NA,"Shirasuna, RT; Chiea, SAC","2915","2010","10","29","Brasil","Fazenda Campininha, IBT, sede IBt.",NA,NA,NA,NA,NA,NA,"São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA,NA,NA,"631","631",NA,NA,NA
