"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"11","2020-12-21 16:39:34-03","MBM","MBM","338961","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","July, V.H.","214",NA,NA,NA,"Southern America","Brazil","Santa Catarina","São Francisco do Sul","Vila da Glória","-48.6380996704102","-26.2432994842529",NA,NA,NA,"Erva, espigas maduras. à beira de plantação de banana","MBM338961","MBM338961","Ribas, O.S.",NA,"23627","auto","2009",NA,NA,NA,NA,NA,NA
"12","2021-02-11 17:21:12-03","UFPR","UPCB","40610","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","Borgo, M.","351","1998","11","28",NA,"Brasil","Paraná","Morretes","Serra da Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,"Herbácea terrícola em local úmido e sombreado em caminho no interior da floresta..",NA,NA,"Borgo, M.",NA,"30514","auto","1999","05",NA,NA,NA,NA,NA
"13","2012-11-26 11:27:00-02","MO","MOBOT","2479748","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","Carl Schwacke","Schwacke 13173","1897","9","19","South America","Brazil","Santa Catarina",NA,"Rio Piraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"14","2012-05-17 05:02:00-03","MO","MOBOT","2873409","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","Carl Schwacke","Schwacke s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:48:48-03","MBML","MBML-HERBARIO","17497",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","R.R. Vervloet; et al","824","2002","09","04",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Rupícola, fundo de vale, dossel 18m, inflorescência de cor verde claro. Altitude 800m.","MBML017497",NA,"V.B. Sarnaglia Jr./2012",NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"16","2020-07-10 09:48:48-03","MBML","MBML-HERBARIO","25762",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","L. Kollmann; et al","8180","2005","07","29",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,"Rupestre na sombra, pecíolo e caule avermelhadas.","MBML025762",NA,"V.B. Sarnaglia Jr./2012",NA,NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA
"17","2019-09-04 19:07:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei",NA,"C. A. W. Schwacke","13173","1897","9","19","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"18","2014-09-23 11:02:08-03","G","G-DC","G00321261","S","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","Schwacke, C. A. W.","13173","1897","09","19","AMERIQUE DU SUD","Brazil","Santa Catarina",NA,NA,"-51.16277778","-27.02861111",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00321261",NA,"Mathieu, G.","HOLOTYPUS of Peperomia schwackei C. DC.",NA,NA,"2005","01","01","-51.16277778","-27.02861111",NA,NA
"19","2019-11-21 10:14:15-03","IBt","SP","292293","S","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","Pirani, JR; Garcia, RF","3110","1994","04","19",NA,"Brasil","São Paulo","Miracatu","Serra de Paranapiacaba, Fazenda Itereí. BR 116, km 350. Trilha Capoeirinha. À sombra.","-47.216667","-24.05","550","550",NA,NA,NA,NA,"Guimarães, EF",NA,NA,NA,"2012",NA,NA,"-47.216667","-24.05",NA,NA
"20","2019-11-21 10:14:15-03","IBt","SP","292285","S","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","Miyagi, PH; Zandoval, JA; Souza, JP","474","1995","02","15",NA,"Brasil","São Paulo","Sete Barras","Reserva Florestal Carlos Botelho, Mamparra. A 2 km da sedinha, beira de estrada.","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"SP011020","SP011020","Guimarães, EF",NA,"34059","auto","2012",NA,NA,NA,NA,NA,NA
