"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","monthIdentified","dayIdentified","day","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","fieldNumber","preparationType","class","order","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus"
"11","2020-09-12 05:00:02-03","US","US","2745033","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","M. Kuhlmann","4420","Brazil","São Paulo",NA,NA,"US00320742","US00320742_01",NA,NA,"1958","5",NA,NA,"30","Sao Jose do Barreiro, Campos da Bocaina",NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Scrophulariales",NA,NA,"1",NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","1994249","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","M. F. Peixoto",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Scrophulariales",NA,NA,"1",NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2951636","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","G. Martinelli, M. C. M. Marques & M. Pessoa","7780","Brazil","São Paulo",NA,NA,"US00320743","US00320743_01","Chautems, A. P.",NA,"1981","11",NA,NA,"24","Mun. of Bananal, Parque Nacional da Serra da Bocaina, banks of Rio Bonito",NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Scrophulariales","1000","1100","1",NA,NA,NA,NA
"14","2020-07-23 12:08:41-03","CEPLAC","CEPEC","32784","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana",NA,"A. M. de Carvalho","23","Brasil","São Paulo","BANANAL",NA,NA,NA,"A. Chautems",NA,"1977","03",NA,NA,"24","Parque Nacional Serra da Bocaina. Seda Moderna. Leito do rio.","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/06/1986",NA
"15","2020-07-23 12:08:41-03","CEPLAC","CEPEC","32753","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana",NA,"A. C. Brade","20652","Brasil","São Paulo","BANANAL",NA,NA,NA,"A. Chautems",NA,"1969","10",NA,NA,"23","Serra da Bocaina. Leito do rio.","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/06/1986",NA
"16","2021-02-23 13:22:32-03","MN","R-TIPOS","11036","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Corytholoma","glaziovianum","Corytholoma glaziovianum","Fritsch","Glaziou, A.F.M.","11590","Brasil","São Paulo",NA,NA,"R000011036","R000011036_001","Chautems, A.","1990","1879","09",NA,NA,"09","Campos da Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"17","2021-03-04 15:46:38-03","IF","SPSF","26814","PreservedSpecimen","Plantae","Magnoliophyta","Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","R.J.F. Garcia & S.L.Proenca & S.Vieira & P.Fiaschi","1965","Brasil","SP","Bananal","COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha do rio da Pedra Vermelha, mata&nf;;",NA,NA,"A.Chautems","2011","2000","04","10","24","15","Estaçao Ecológica","-44.3199996948242","-22.6800003051758","26795","auto","América do Sul",NA,NA,"Magnoliopsida","Scrophulariales",NA,NA,NA,NA,NA,NA,NA
"18","2020-08-27 12:19:40-03","IBt","SP","309195","S","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Rapini, A","285","Brasil","São Paulo","Areias",NA,NA,NA,NA,NA,"1997","05",NA,NA,"04","Serra da Bocaina","-44.689998626709","-22.5799999237061","28205","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-22 10:13:08-03","IBt","SP","344459","S","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Garcia, RJF","1965","Brasil","São Paulo","Bananal",NA,NA,NA,NA,NA,"2000","04",NA,NA,"15","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-16 10:05:37-03","IBt","SP","290131","S","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Shirasuna, RT","75","Brasil","São Paulo","Bananal",NA,NA,NA,NA,NA,"1994","09",NA,NA,"29","Serra da Bocaina","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-09-23 10:57:56-03","G","G","G00164686","S","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Glaziou, A. F. M.","11590","Brazil","Rio de Janeiro",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=170410&base=img&lang=en","G00164686","G00164686","Chautems, A.","2006","1880",NA,"01","01","00",NA,"-42.9125","-22.48222222",NA,NA,"AMERIQUE DU SUD",NA,NA,NA,NA,NA,NA,NA,"-42.9125","-22.48222222",NA,"ISOTYPUS of Corytholoma glaziovianum Fritsch"
