"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","stateProvince","locality","decimalLongitude","decimalLatitude","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","06424","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis",NA,"P.G. Windisch","6847","América do Sul","Brasil",NA,"GEOGRAFIA: epífita pendente, na mata;",NA,NA,NA,"1992","03","São Paulo","serra do mar",NA,NA,"04","Campos da Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA
"12","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","01233","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis",NA,"P.G. Windisch","4990","América do Sul","Brasil",NA,"GEOGRAFIA: mata de altitude, epífita em árvore à margem da estrada;",NA,NA,"B. Ollgaard","1987","02","São Paulo","12 km do Horto Florestal","-45.5900001525879","-22.7299995422363","12","Campos do Jordão",NA,NA,"21048","auto",NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA
"13","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","06391","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis",NA,"P.G. Windisch","2864","América do Sul","Brasil",NA,"GEOGRAFIA: epífita em matinha nebular;",NA,NA,NA,"1980","11","São Paulo","divisa com Pindamonhangaba","-45.5900001525879","-22.7299995422363","19","Campos do Jordão",NA,NA,"21048","auto",NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA
"14","2020-02-27 20:28:30-03","PUCPR","HUCP","25659","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Kersten, RA","2015",NA,"Brasil",NA,"Floresta Altomontana do Capivari Grande. Epífita.","HUCP00025659","HUCP00025659","Kersten, RA","2019","09","Parana","Morro Capivari Grande","-48.8216","-25.1283","28","Campina Grande do Sul","1600","1600",NA,NA,"2019","10","-48.8216","-25.1283",NA,NA,NA,NA,NA
"15","2019-12-04 15:26:02-03","PUCPR","HUCP","25565","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Alves, BKS","21",NA,"Brasil",NA,NA,"HUCP00025565","HUCP00025565","Kersten, RA","2019","07","Parana","Morro Mãe Catira","-48.834400177002","-25.476900100708","02","Morretes",NA,NA,"30514","auto","2019","08",NA,NA,NA,"13",NA,NA,NA
"16","2019-12-04 15:26:02-03","PUCPR","HUCP","20529","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Ariati, V; Struminski, E","287",NA,"Brasil",NA,"Vale de rio.","HUCP00001093","HUCP00001093","Michelon, C","2009","08","Paraná","Trilha Ciririca","-49.0553016662598","-25.3055992126465","30","Campina Grande do Sul",NA,NA,"55154","auto","2009","10",NA,NA,NA,"05",NA,NA,NA
"17","2019-12-04 15:26:02-03","PUCPR","HUCP","21783","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Michelon, C","476",NA,"Brasil",NA,NA,"HUCP00001094","HUCP00001094","Michelon, C","2009","07","Paraná","Morro do Canal","-49.0633010864258","-25.4416999816895","07","Piraquara",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:26:02-03","PUCPR","HUCP","20856","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Michelon, C; Kersten, RA; Ariati, V; Selusniaki, M","600",NA,"Brasil",NA,NA,"HUCP00001100","HUCP00001100","Michelon, C","2009","10","Paraná","Torre do Vigia","-49.0633010864258","-25.4416999816895","30","Piraquara",NA,NA,"12577","auto","2009","11",NA,NA,NA,"02",NA,NA,NA
"19","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1016684","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","Camerik AM",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016684 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016684","NL-U1016684",NA,"1975","07",NA,"Brasil, Est R.J. Serra dos Orgaos, 2000m.",NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA
"20","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1016683","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","Lindeman JC; Haas JH de",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016683","NL-U1016683","Øllgaard B","1967","02","Paraná",NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA,"U 0095302",NA,NA
"21","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1016682","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","Camerik AM",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016682","NL-U1016682","Øllgaard B","1975","07","Rio de Janeiro",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA,"U 0097062",NA,NA
"22","2020-11-04 11:21:14-03","ESALQ","ESA","64576","PreservedSpecimen","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis",NA,"Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23420.0",NA,"Brasil",NA,"Epífita pendente; estróbilos verdes","ESA064576",NA,"Gissi, D.S.","2000","02","Espírito Santo","Parque Nacional do Caparaó. Arrozal. Mata Ciliar do Rio Claro","-41.5358009338379","-20.3458003997803","18","Iúna",NA,NA,"32198","auto","2014","07",NA,NA,NA,"07",NA,NA,NA
"23","2020-11-04 11:21:14-03","ESALQ","ESA","95544","PreservedSpecimen","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis",NA,"Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","5866.0",NA,"Brasil",NA,"Epífita","ESA095544",NA,"Gissi, D.S.","2006","07","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino","-43","-22.45","13","Teresópolis","1170","1170",NA,NA,"2014","07","-43","-22.45",NA,"07",NA,NA,NA
"24","2021-01-14 15:31:29-03","MN","R","232738","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Damasceno, E.R. 430; Diniz, C.E.S.",NA,NA,"Brasil",NA,NA,"R010043304",NA,NA,"2012","07","Rio de Janeiro","Parque Estadual dos Três Picos","-42.5311012268066","-22.2819004058838","13","Nova Friburgo",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:18:08-03","UFV","VIC","022245","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook .) B.Ollg.","Basilio, L.A.; et al.","s.n.",NA,"Brasil",NA,"Erva rupicola coletada em mata ciliar. Altitude de cerca de 1500 m de altitude.","VIC022245","VIC022245",NA,"1998","08","Minas Gerais","Parque Estadual da Serra do Brigadeiro, A 1500 m de altitude na trilha principal da fazenda do Brigadeiro, próximo a uma cachoeira já em matipozinho.","-42.5208015441895","-20.6667003631592","12","Araponga",NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:50:28-03","UFJF","CESJ","67895","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","V.C. Souza; J. Paula-Souza; W. Forster; F.F. Mazine","23420","América do Sul","Brasil",NA,"Epífita pendente; estróbilos verdes.","CESJ067895","CESJ067895","D.S. Gissi","2000","02","Espirito Santo","Parque Nacional do Caparaó, Arrozal. Mata ciliar do Rio Claro.","-41.5358009338379","-20.3458003997803","18","Iúna",NA,NA,"32198","auto","2014","07",NA,NA,NA,"07",NA,NA,NA
"27","2019-11-21 14:50:28-03","UFJF","CESJ","14311","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","L. Krieger","CESJ14311","América do Sul","Brasil",NA,"Folhas estéreis, mais largas. As férteis em espigas, bem menores.","CESJ014311","CESJ014311","B. Øllgaard","1976","09","Minas Gerais","Epífita, pendente, na mata de galeria.",NA,NA,"24","Ibitipoca",NA,NA,NA,NA,"2014","08",NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 14:50:28-03","UFJF","CESJ","64249","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","V.A.O. Dittrich; A.A. Vale; J.H.C. Ribeiro; L.D. Santana","1881","América do Sul","Brasil",NA,"Holoepífito a aproximadamente 6m de altura em angiosperma ignorada em Floresta Ombrófila Densa","CESJ064249","CESJ064249","V.A.O. Dittrich","2014","05","Minas Gerais","Parque Estadual da Serra do Papagaio, Picada para o Pico do Papagaio","-44.652417","-22.043833","11","Aiuruoca","1929","1929",NA,NA,"2014","05","-44.652417","-22.043833",NA,NA,NA,NA,NA
"29","2019-11-21 14:50:28-03","UFJF","CESJ","67276","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","V.A.O. Dittrich; L.V. Lima; E. Landroz","2062","América do Sul","Brasil",NA,"Epífita a 2,5m de altura em Floresta Ombrófila Densa Alto-montana","CESJ067276",NA,"V.A.O. Dittrich","2015","03","MInas Gerais","Parque Estadual da Serra do Papagaio, Trilha da Macieira ao Retiro dos Pedros","-44.684389","-22.077167","24","Baependi","2055","2055",NA,NA,"2015","03","-44.684389","-22.077167",NA,NA,NA,NA,NA
"30","2019-11-21 14:50:28-03","UFJF","CESJ","71861","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","D.E.F. Barbosa; G.A. Basilio","346","América do Sul","Brasil",NA,"Epífita pendente a 1m. Interior de floresta, próxima a curso d'água.","CESJ071861",NA,"V.A.O. Dittrich","2016","11","Minas Gerais","Serra do Relógio, Floresta semidecidual montana","-42.935833","-21.387778","20","Descoberto","1200","1200",NA,NA,"2018","09","-42.935833","-21.387778",NA,"12",NA,NA,NA
"31","2019-11-21 14:50:28-03","UFJF","CESJ","71871","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","D.E.F. Barbosa; H.R. Pereira Filho","359","América do Sul","Brasil",NA,"Epífita pendente a 3m. Interior de floresta, próximo a curso d'água.","CESJ071871",NA,"V.A.O. Dittrich","2016","12","Minas Gerais","Serra do Relógio, Floresta semidecidual montana","-42.935833","-21.387778","23","Descoberto","1200","1200",NA,NA,"2018","09","-42.935833","-21.387778",NA,"12",NA,NA,NA
"32","2019-11-21 14:50:28-03","UFJF","CESJ","72498","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","F. Gonzatti; L. Nogueira; G. Coelho","3984","América do Sul","Brasil",NA,"Erva pendente epífita em mata nebular. parte alta da trilha para o Sino","CESJ072498",NA,"F. Gonzatti","2017","11","Rio de Janeiro",NA,"-43.016306","-22.454028","18","Teresópolis","2034","2034",NA,NA,"2018","11","-43.016306","-22.454028",NA,NA,NA,NA,NA
"33","2019-11-21 14:50:28-03","UFJF","CESJ","72500","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","F. Gonzatti; L. Nogueira; G. Coelho","3934","América do Sul","Brasil",NA,"Erva epífita em arvoreta, local com cachoeira, à sombra, entre Tronqueira e Terreirão","CESJ072500",NA,"F. Gonzatti","2017","11","Minas Gerais",NA,"-41.837111","-20.409917","13","Alto Caparaó","1350","1350",NA,NA,"2018","11","-41.837111","-20.409917",NA,NA,NA,NA,NA
"34","2019-11-21 14:50:28-03","UFJF","CESJ","23510","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","M.C. Brügger; et al.","FPNC745","América do Sul","Brasil",NA,"Epífita, lugar sombrio, ao lado do riacho, pendente.","CESJ023510","CESJ023510","B. Øllgaard","1988","10","Minas Gerais","Parque Nacional do Caparaó, Cachoeira Bonita.",NA,NA,"15",NA,NA,NA,NA,NA,"2014","06",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 14:50:28-03","UFJF","CESJ","71409","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","K. Antunes; L.D. Santana; C.N. Delgado; L.N. Gonçalvez","727","América do Sul","Brasil",NA,"Erva, epífita em Floresta Nebular","CESJ071409",NA,NA,"2017","08","Minas Gerais","APA da Mantiqueira, Serra dos Marins, Morro do Careca","-45.239597","-22.836331","01","Marmelópolis",NA,NA,NA,NA,NA,NA,"-45.239597","-22.836331",NA,NA,NA,NA,NA
"36","2019-11-21 14:50:28-03","UFJF","CESJ","3109","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","A.C. Brade","s.n.","América do Sul","Brasil",NA,NA,"CESJ003109","CESJ003109","B. Øllgaard","1951","04","São Paulo","Serra da Bocaina, 1650m. Faz. do Lageado.",NA,NA,"20",NA,NA,NA,NA,NA,"2014","08",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 14:50:28-03","UFJF","CESJ","3111","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","A.C. Brade","s.n.","América do Sul","Brasil",NA,NA,"CESJ003111","CESJ003111","B. Øllgaard","1948",NA,"Rio de Janeiro","Serra dos Grãos, Epífita.",NA,NA,NA,NA,NA,NA,NA,NA,"2014","08",NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 14:50:28-03","UFJF","CESJ","60190","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","S.G. Furtado; L. Menini Neto","75","América do Sul","Brasil",NA,"Epífita pendente, na base de Podocarpus lambertii, a ca. 50cm alt., próximo ao curso d'água. Esporângios amarelos.","CESJ060190","CESJ060190","D.S. Gissi","2012","07","MInas Gerais","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista, Mata do Cambuí, próximo ao Garrafão.","-44.8899993896484","-21.9589004516602","07","Baependi",NA,NA,"29865","auto","2015","11",NA,NA,NA,NA,NA,NA,NA
"39","2020-06-30 18:33:07-03","UFJF","CESJ","9346A","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","L. Krieger","CESJ9346-A","América do Sul","Brasil",NA,"Epífita, em mata de galeria, pendente.","CESJ09346A",NA,"B. Øllgaard",NA,NA,"Minas Gerais","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Lima Duarte",NA,NA,"30417","auto","2014","08",NA,NA,NA,NA,NA,NA,NA
"40","2020-06-30 18:33:07-03","UFJF","CESJ","2665","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","L. Krieger","CESJ2665","América do Sul","Brasil",NA,"Epífita, pendente, na mata de galeria, folhas férteis muito diferentes das estéreis.","CESJ002665","CESJ002665","B. Øllgaard","1976","09","Minas Gerais","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455","24","Lima Duarte",NA,NA,"30417","auto","2014","08",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:43:48-03","UNICAMP","UEC","120583","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Ollg.","Meireles, LD; et al.","508",NA,"Brazil",NA,"Epífita pendente sob tronco.; Floresta Ombrófila Densa Alto-Montana.","UEC091742","UEC091742","Gissi, DS","2001","08","Minas Gerais","Camanducaia - Monte Verde.",NA,NA,"22",NA,NA,NA,NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:43:48-03","UNICAMP","UEC","120858","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Ollg.","Meireles, LD; et al.","626",NA,"Brazil",NA,"Epífita sob troncos.; Floresta Ombrófila Densa Alto-Montana.","UEC091739","UEC091739","Gissi, DS","2001","09","Minas Gerais","Camanducaia - Monte Verde, no interior da mata.",NA,NA,"20",NA,NA,NA,NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 10:28:46-03","UNICAMP","UEC","138623","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Ollg.","Breier, TB","1163",NA,"Brazil",NA,NA,"UEC052436","UEC052436","Gissi, DS","2002","03","Minas Gerais","Monte Verde","-46.1446990966797","-22.7553005218506","15","Camanducaia",NA,NA,"22140","auto","2015","09",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:43:48-03","UNICAMP","UEC","57621","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Ollg.","Salino, A; et al.","25819",NA,"Brazil",NA,"No campo de altitude.&nf;Epífita em arbusto, junto com musgos e líquens, margem de riacho, em mata nebular.","UEC052438","UEC052438","Gissi, DS","1989","04","Minas Gerais","Parque Nacional do Caparaó, No caminho para o Terreirão.","-41.9043998718262","-20.523099899292","30","Caparaó","2400","2400","15056","auto","2015","09",NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:02:27-03","FURB","FURB","13878","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","Cadorin, T.J.","25",NA,"Brasil",NA,NA,"FURB09145","FURB09145","Salino, A","2009","08","Santa Catarina","RPPN Prima Luna.","-49.0258334","-27.2608333","14","Botuverá","1090","1090",NA,NA,"2011","07","-49.0258334","-27.2608333",NA,"19",NA,NA,NA
"46","2020-10-14 10:02:27-03","FURB","FURB","29337","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","Korte, A.; Kniess, A.","4156",NA,"Brasil",NA,NA,"FURB09144","FURB09144","Gasper, AL de","2010","08","Santa Catarina","Serra Quimada.","-49.0497222","-26.1002778","19","Joinville","1167","1167",NA,NA,"2010","09","-49.0497222","-26.1002778",NA,"30",NA,NA,NA
"47","2020-10-14 10:02:27-03","FURB","FURB","29364","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2603",NA,"Brasil",NA,NA,"FURB00170","FURB00170","Gasper, AL de","2010","06","Santa Catarina","RPPN Prima Luna / Monte Barão.","-49.0269445","-27.2636111","15","Nova Trento","1097","1097",NA,NA,"2010","09","-49.0269445","-27.2636111",NA,"30",NA,NA,NA
"48","2021-03-16 17:56:29-03","UCS","HUCS","48863","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B. Øllg.","Gonzatti, F.","3984",NA,"Brasil",NA,"Erva pendente epífita em mata nebular. parte alta da trilha para o Sino","HUCS002224","HUCS002224","Gonzatti, F.","2017","11","Rio de Janeiro","Serra dos òrgãos, PARNASO, Parque Nacional","-43.016306","-22.454028","18","Teresópolis","2034","2034",NA,NA,"2018","11","-43.016306","-22.454028",NA,NA,NA,NA,NA
